,https://roic.ai/company/ORLA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,648372,1240000,1240000,1920646,2971443,3425465,4458315,5137924,15146417,30899596,131549997,176700000,182600000,217100000,104899000
28,Weighted Average Shares Outstanding Diluted,648372,1240000,1240000,1920646,2971443,3425465,4458315,5137924,15146417,30899596,131549997,176700000,182600000,217100000,107486000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,370871,37531,566691,499287,97708,142508,37273,2091,301727,19295550,4884515,12250831,22973045,72180000,20516000
32,Short-Term Investments,504898,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,875769,37531,566691,499287,97708,142508,37273,2091,301727,19295550,4884515,12250831,22973045,72180000,20516000
34,Net Receivables,3023,2316,3935,4785,47940,23144,7470,239,3734,304066,118421,282666,93396,204000,17082000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9657000
36,Other Current Assets,- -,617053,- -,6194,- -,941,148,-0,5249,267532,612371,151245,48994,716000,1090000
37,Total Current Assets,878792,656900,570626,510266,145648,166592,44891,2329,310709,19867148,5615307,12684743,23115436,73100000,48345000
38,PP&E,- -,- -,- -,477455,1106264,1199473,590542,508902,427361,83433987,131049676,124539107,125359229,154725000,304127000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,3266,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,3266,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,19589,9047,1878,861,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,19100,- -,-0,0,- -,-0,- -,149844,149709,773845,1844182,11370000,12423000
45,Total Non-Current Assets,- -,- -,22367,477455,1125853,1208520,592420,509763,427361,83583831,131199385,125312952,127203411,166095000,316550000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,878792,656900,592992,987721,1271501,1375112,637311,512093,738070,103450979,136814693,137997695,150318847,239195000,364895000
48,Accounts Payable,1731,- -,- -,- -,- -,- -,- -,- -,8518,1319897,852267,984560,489179,2583000,5966000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23732,- -,25665000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,20341,53918,42004,115275,139624,253120,175383,121654,686409,942372,1701871,1853369,5143000,6137000
53,Total Current Liabilities,1731,20341,53918,42004,115275,139624,253120,175383,130172,2006307,1794639,2686431,2366280,7726000,37768000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4480812,22555061,70136000,137089000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,5026,- -,- -,- -,- -,- -,546978,831375,752000,5621000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,5026,- -,- -,- -,- -,- -,5027789,23386436,70888000,142710000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67367,273000,1401000
61,Total Liabilities,1731,20341,53918,42004,115275,144650,253120,175383,130172,2006307,1794639,7714221,25752716,78614000,180478000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,799448,1463393,1656573,1904125,1807227,1685585,1606637,95335006,138716330,147630375,159374402,217948000,269198000
64,Retained Earnings,- -,-164523,-391990,-695893,-768423,-883247,-1636926,-1624140,-1562954,-3763915,-11915979,-39928636,-64137583,-90250000,-116528000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,268076,-5026,-11270,-11199,564215,9873582,8219703,22581735,29329312,-455000,31747000
66,Other Total Stockholders Equity,- -,- -,131616,178216,0,214611,225160,286463,- -,-0,-0,-0,0,33338000,- -
67,Total Stockholders Equity,877061,636559,539074,945717,1156226,1230462,384191,336710,607899,101444672,135020053,130283474,124566131,160581000,184417000
68,Total Liabilities And Stockholders Equity,878792,656900,592992,987721,1271501,1375112,637311,512093,738070,103450979,136814693,137997695,150318847,239195000,364895000
69,Minority Interest,- -,- -,-0,0,- -,- -,- -,-0,0,0,- -,-0,- -,- -,- -
70,Total Liabilities & Equity,878792,656900,592992,987721,1271501,1375112,637311,512093,738070,103450979,136814693,137997695,150318847,239195000,364895000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-107405,-77126,-200772,-285505,-116528,-154122,-816391,-122710,-204293,-2150274,-7892856,-21962071,-22504536,-27694000,-26278000
74,Depreciation and Amortization,- -,- -,1089,3419,- -,- -,- -,- -,- -,13493,6790,112332,103000,106000,154000
75,Deferred Income Tax,- -,- -,- -,- -,-114297,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,10348,61704,- -,24647,- -,77970,525813,2940782,2925780,- -,2523000,2329000
77,Change in Working Capital,-1293,19076,29945,-28054,18135,72370,137552,102638,-12196,-218872,-449265,1373685,13323000,4010000,-6645000
78,Accounts Receivable,- -,- -,- -,- -,- -,26058,- -,- -,- -,- -,- -,73420,253000,-702000,-604000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10846000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,95551,- -,- -,4499,-1763,-23885,584962,16051,-3042,- -,493835,-1130665,9078536,2929000,5698000
83,Cash Provided by Operating Activities,-13147,-58050,-169738,-295292,-152748,-105637,-69231,-4021,-141561,-1829840,-4900715,-18680939,- -,-18126000,-24742000
84,CAPEX,- -,- -,-4355,-214447,-591396,-54599,-26643,-28076,-1644,-281408,-11542722,-470621,-20000,-31301000,-96241000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-504898,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-206206,215299,499920,- -,- -,- -,- -,- -,-2378358,- -,-592498,-1057974,-5594000,-17025000
89,Cash Used for Investing Activites,-504898,-206206,215299,285473,-591396,-54599,-26643,-28076,-1644,-2659766,-11542722,-1063119,-1073285,-36895000,-113266000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17268739,- -,- -,39212000,-40000,-649000
91,Common Stock Issued,888915,- -,- -,424932,401567,217123,- -,- -,443183,41139313,832306,22767487,- -,53368000,34442000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-399391,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-9194,-48811,-14656,- -,- -,- -,- -,- -,4718692,-8329411,47258000,52158000
95,Cash Used/Provided by Financing Activities,888915,- -,- -,415738,352756,202467,- -,- -,443183,23471184,832306,27486179,30882589,100586000,85951000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,2460,-128727,-734,163825,3509000,393000
97,Net Change In Cash,- -,-264256,45561,405920,-391388,42229,-95874,-32097,299978,18984038,-15739858,7741386,13323000,49074000,-51664000
98,Cash at the End of Period,370871,37531,89182,499287,97708,142508,37273,2091,301727,19295550,4884515,12250831,- -,72180000,20516000
99,Cash at the Beginning of Period,- -,301787,43620,93367,489096,100278,133147,34188,1749,311512,20624373,4509445,- -,23106000,72180000
100,Free Cash Flow,-13147,-58050,-174093,-509738,-744144,-160236,-95874,-32097,-143205,-2111248,-16443437,-19151561,- -,-49427000,-120983000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,
