,https://roic.ai/company/SSOK,2012,2013,2014,2015,2016,2017,2018,2019,2020
77,Change in Working Capital,- -,41129,-102039,350143,-15724,-1057280,-2139205,-1262642,4833055
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-788,-45492,20961
79,Inventory,- -,- -,-30377,3063,22633,-4110,69340,-114048,-198093
80,Accounts Payable,- -,- -,- -,- -,17104,-11449,333845,- -,100256
81,Other Working Capital,1650,42779,-59260,290883,275159,-782121,-2921326,-4183968,649087
82,Other Non-Cash Items,- -,-85546,375210,-296547,6328578,36809785,11234246,3333184,-7930929
83,Cash Provided by Operating Activities,- -,-201736,-72758,-146351,-22383,-518509,-309962,-213078,-414280
84,CAPEX,- -,- -,-9781,-8961,-917,-8374,-27165,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-354056,-13924,-3476,-37539,- -,- -
89,Cash Used for Investing Activites,- -,- -,-9781,-363017,-14841,-11850,-64704,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-32726,- -
91,Common Stock Issued,- -,124230,45100,521500,40126,13630,127938,236600,553400
92,Common Stock Repurchased,- -,-1950,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,88088,28374,- -,- -,559295,272000,78400,-245700
95,Cash Used/Provided by Financing Activities,- -,210368,73474,521500,40126,572925,399938,282274,307700
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,8632,-9065,12132,2902,42566,25272,69196,-106580
98,Cash at the End of Period,- -,10632,1567,13699,16601,59167,84439,153635,47055
99,Cash at the Beginning of Period,- -,2000,10632,1567,13699,16601,59167,84439,153635
100,Free Cash Flow,- -,-201736,-82539,-155312,-23300,-526883,-337127,-213078,-414280
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559157/000118518514001626/0001185185-14-001626-index.htm,https://www.sec.gov/Archives/edgar/data/1559157/000149315215001442/0001493152-15-001442-index.htm,https://www.sec.gov/Archives/edgar/data/1559157/000149315216008615/0001493152-16-008615-index.html,https://www.sec.gov/Archives/edgar/data/1559157/000149315217004447/0001493152-17-004447-index.htm,https://www.sec.gov/Archives/edgar/data/1559157/000149315218004863/0001493152-18-004863-index.htm,https://www.sec.gov/Archives/edgar/data/1559157/000149315219009435/0001493152-19-009435-index.htm,https://www.sec.gov/Archives/edgar/data/1559157/000149315220007102/0001493152-20-007102-index.htm,https://www.sec.gov/Archives/edgar/data/1559157/000149315221008942/0001493152-21-008942-index.htm
102,false,,,,,,,,,
