,https://roic.ai/company/OPXS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,- -,28052,39728,39728,121088,139444,139444,143496,904749,921882,312219,1546774,7995092,8795799,8492884,8589919,8323809
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1397016/000121390008000476/0001213900-08-000476-index.htm,https://www.sec.gov/Archives/edgar/data/1397016/000121390008002226/0001213900-08-002226-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1397016/000114420410068418/0001144204-10-068418-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000114420411071709/0001144204-11-071709-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000114420412068723/0001144204-12-068723-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000157104913001285/0001571049-13-001285-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000157104914007394/0001571049-14-007394-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000157104915009981/0001571049-15-009981-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000161577416009051/0001615774-16-009051-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000161577417007478/0001615774-17-007478-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000161577418014680/0001615774-18-014680-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000149315219019283/0001493152-19-019283-index.htm,https://www.sec.gov/Archives/edgar/data/1397016/000149315220023848/0001493152-20-023848-index.htm,https://www.sec.gov/Archives/edgar/data/1397016/000149315221032028/0001493152-21-032028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4893,10157,170000,920000,1030000,1510000,1653000,880000,1690000,683000,2568000,1682000,1133000,1068000,4700000,3900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4893,10157,170000,920000,1030000,1510000,1653000,880000,1690000,683000,2568000,1682000,1133000,1068000,4700000,3900000
34,Net Receivables,- -,- -,- -,2450000,1800000,2380000,2390000,1843000,3120000,730000,2866000,2095000,3125000,2458000,3066000,2953000,3183000
35,Inventory,- -,- -,- -,4550000,8010000,5890000,4090000,7094000,7580000,5910000,5713000,6214000,7614000,7639000,10535000,8791000,7583000
36,Other Current Assets,- -,- -,- -,310000,1030000,240000,20000,28000,40000,40000,170000,120000,63000,104000,348000,229000,-3900000
37,Total Current Assets,- -,4893,10157,7480000,11760000,9540000,8010000,10618000,11620000,8370000,9432000,10997000,12484000,11334000,15017000,16673000,10766000
38,PP&E,- -,- -,- -,320000,250000,300000,260000,- -,240000,200000,1971000,1651000,1460000,- -,1102000,2422000,4616000
39,Goodwill,- -,- -,- -,10050000,7110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1100000,1970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,11150000,9080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,21000,21000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,1157000,- -,- -,- -,- -,- -,- -,- -,1227000,1288000
44,Other Non-Current Assets,- -,- -,- -,20000,10000,1010000,1209000,402000,1280000,180000,143000,113000,83000,1353000,1437000,23000,- -
45,Total Non-Current Assets,- -,- -,- -,11490000,9340000,1310000,1490000,1580000,1520000,380000,2114000,1764000,1543000,1353000,2539000,3672000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10089000
47,Total Assets,- -,4893,10157,18970000,21100000,10850000,9500000,12198000,13140000,8750000,11546000,12761000,14027000,12687000,17556000,20345000,20855000
48,Accounts Payable,- -,- -,- -,1820000,2500000,760000,720000,1109000,990000,310000,575000,706000,1362000,943000,1833000,833000,551000
49,Short-Term Debt,- -,- -,- -,370000,- -,1110000,510000,- -,860000,- -,817000,300000,300000,300000,250000,- -,6794000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,776000,- -,- -,- -,- -,- -,308000,3000,1000,- -
52,Other Current Liabilities,- -,2500,25250,1860000,2100000,1960000,570000,779000,1500000,1560000,1931000,1397000,2812000,1292000,1226000,1577000,- -
53,Total Current Liabilities,- -,2500,25250,4050000,4600000,3830000,1800000,2664000,3350000,1870000,3323000,2403000,4474000,2843000,3312000,2411000,7345000
54,Long-Term Debt,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1944000,- -,- -,- -,- -,- -,- -,2036000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2036000,- -,- -
57,Other Non-Current Liabilities,- -,20000,- -,4630000,- -,- -,- -,- -,1930000,980000,65000,3118000,3607000,3500000,-2036000,3581000,-2204000
58,Total Non-Current Liabilities,- -,20000,- -,6630000,- -,- -,- -,1944000,1930000,980000,65000,3118000,3607000,3500000,2036000,3958000,-2204000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1454000,- -
61,Total Liabilities,- -,22500,25250,10680000,4600000,3830000,1800000,4608000,5280000,2850000,3388000,5521000,8081000,6343000,5348000,6369000,5141000
62,Preferred Stock,- -,- -,- -,- -,1,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,16000,16059,170000,140000,140000,140000,152000,160000,170000,- -,8000,8000,8000,8000,9000,9000
64,Retained Earnings,- -,-87607,-102793,-5910000,-280000,-10280000,-10100000,-10361000,-10220000,-12290000,-18236000,-19647000,-20473000,-19602000,-13934000,-12109000,-9978000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1000000,-1100000,-1160000,-1230000,-1392000,-1460000,-1540000,-1874000,- -,- -,-2875000,- -,- -,- -
66,Other Total Stockholders Equity,- -,54000,71641,15020000,17747100,18324439,18892000,19191000,19375000,19558000,28268000,29997000,26411000,28813000,26134000,26076000,9969000
67,Total Stockholders Equity,- -,-17607,-15093,8280000,16507101,7024440,7702000,7590000,7855000,5898000,8158000,10358000,5946000,6344000,12208000,13976000,15714000
68,Total Liabilities And Stockholders Equity,- -,4893,10157,18960000,21107101,10854440,9502000,12198000,13135000,8748000,11546000,15879000,14027000,12687000,17556000,20345000,20855000
69,Minority Interest,- -,- -,- -,10000,-7101,-4440,-2000,- -,5000,2000,- -,-3118000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4893,10157,18970000,21100000,10850000,9500000,12198000,13140000,8750000,11546000,12761000,14027000,12687000,17556000,20345000,20855000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1397016/000121390008000476/0001213900-08-000476-index.htm,https://www.sec.gov/Archives/edgar/data/1397016/000121390008002226/0001213900-08-002226-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1397016/000114420410068418/0001144204-10-068418-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000114420411071709/0001144204-11-071709-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000114420412068723/0001144204-12-068723-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000157104913001285/0001571049-13-001285-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000157104914007394/0001571049-14-007394-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000157104915009981/0001571049-15-009981-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000161577416009051/0001615774-16-009051-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000161577417007478/0001615774-17-007478-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000161577418014680/0001615774-18-014680-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000149315219019283/0001493152-19-019283-index.htm,https://www.sec.gov/Archives/edgar/data/1397016/000149315220023848/0001493152-20-023848-index.htm,https://www.sec.gov/Archives/edgar/data/1397016/000149315221032028/0001493152-21-032028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,-87607,-15186,-4830000,-30000,-9610000,590000,-368000,140000,-2060000,491000,-208000,-304000,1394000,5668000,1825000,2131000
74,Depreciation and Amortization,- -,- -,- -,760000,2171177,1103732,66000,165000,69000,80000,334000,345000,337000,327000,340000,248000,263000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1414000,187000,-60000
76,Stock Based Compensation,- -,- -,- -,- -,39528,97311,87000,152000,128000,105000,140000,192000,220000,153000,113000,197000,228000
77,Change in Working Capital,- -,22500,-17486,3445093,7161950,-1450000,500000,1744000,316000,-1770000,-391000,2485000,-584000,481000,3214000,2557000,-10841000
78,Accounts Receivable,- -,- -,- -,- -,651806,-572854,-17000,549000,-1276000,2387000,-2135000,771000,-1185000,666000,-608000,113000,-230000
79,Inventory,- -,- -,- -,- -,-3347252,2253247,1474000,-3334000,-634000,1555000,-49000,-562000,-1366000,-75000,-2896000,1744000,1208000
80,Accounts Payable,- -,- -,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,903000,-1065000,-510000
81,Other Working Capital,- -,2393,-15093,3430000,7160000,5710000,6210000,7954000,8270000,6500000,6109000,8594000,8010000,8491000,11705000,14262000,3421000
82,Other Non-Cash Items,- -,10000,20236,34907,-9367642,8982713,-129000,-845000,-2191000,5316000,-1792000,-2643000,347000,-1316000,-7761000,-1103000,8760000
83,Cash Provided by Operating Activities,- -,-55107,-12436,-590000,-24987,-876244,1114000,848000,-1538000,1671000,-1218000,171000,16000,1039000,160000,3911000,481000
84,CAPEX,- -,- -,- -,-120000,-27162,-115703,-31000,-96000,-121000,-40000,-2100000,-34000,-149000,-167000,-143000,-152000,-274000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,253581,- -,- -,-210000,30000,30000,30000,4000,41000,- -,8000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-120000,226419,-115703,-31000,-306000,-91000,-10000,-2070000,-30000,-108000,-167000,-135000,-152000,-274000
90,Debt Repayment,- -,- -,- -,- -,- -,-250000,- -,- -,- -,- -,- -,-500000,- -,- -,-50000,- -,-44000
91,Common Stock Issued,- -,60000,17700,- -,1024529,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1751000,- -,-700000,- -,-200000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-261000,-784000,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,370000,-227265,1356852,-599000,-453000,858000,-858000,2286000,3995000,-533000,63000,-40000,73000,-963000
95,Cash Used/Provided by Financing Activities,- -,60000,17700,370000,797264,1106852,-599000,-403000,858000,-858000,2286000,1744000,-794000,-1421000,-90000,-127000,-1007000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,60000,5264,-340000,998696,114905,484000,139000,-771000,803000,-1002000,1885000,-886000,-549000,-65000,3632000,-800000
98,Cash at the End of Period,- -,4893,10157,-330000,1168879,1030203,1514000,1653000,882000,1685000,683000,2568000,1682000,1133000,1068000,4700000,3900000
99,Cash at the Beginning of Period,- -,- -,4893,10000,170183,915298,1030000,1514000,1653000,882000,1685000,683000,2568000,1682000,1133000,1068000,4700000
100,Free Cash Flow,- -,-55107,-12436,-710000,-52149,-991947,1083000,752000,-1659000,1631000,-3318000,137000,-133000,872000,17000,3759000,207000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1397016/000121390008000476/0001213900-08-000476-index.htm,https://www.sec.gov/Archives/edgar/data/1397016/000121390008002226/0001213900-08-002226-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1397016/000114420410068418/0001144204-10-068418-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000114420411071709/0001144204-11-071709-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000114420412068723/0001144204-12-068723-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000157104913001285/0001571049-13-001285-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000157104914007394/0001571049-14-007394-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000157104915009981/0001571049-15-009981-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000161577416009051/0001615774-16-009051-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000161577417007478/0001615774-17-007478-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000161577418014680/0001615774-18-014680-index.html,https://www.sec.gov/Archives/edgar/data/1397016/000149315219019283/0001493152-19-019283-index.htm,https://www.sec.gov/Archives/edgar/data/1397016/000149315220023848/0001493152-20-023848-index.htm,https://www.sec.gov/Archives/edgar/data/1397016/000149315221032028/0001493152-21-032028-index.htm
102,false,,,,,,,,,,,,,,,,,
