,https://roic.ai/company/TTM,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,1273000000,4657700000,20967463035,26305675488,30242403697,32911390252,38380000000,2961600000,129832900000,166488300000,213091700000,242362500000,342500900000,384168300000,339383600000,321651600000,360902500000,-30783900000,169889400000,193188400000
16,EBITDA ratio,0.0166,0.0487,0.1501,0.1325,0.1255,0.0990,0.1051,0.0041,0.1402,0.1351,0.1280,0.1282,0.1463,0.1463,0.1258,0.1211,0.1252,-0.0103,0.0655,0.0778
17,Operating Income,-732400000,- -,14212582020,18812226096,20078425086,- -,23684000000,- -,- -,- -,78430500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,-0.0095,- -,0.1018,0.0947,0.0833,- -,0.0649,- -,- -,- -,0.0471,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-2927200000,-2456000000,-190889380,-406113516,441137169,-38881926,-2380000000,-60462800000,4137000000,-1021000000,42717000000,67045200000,105734300000,104829200000,96499300000,161860500000,221478000000,-114461400000,92082900000,-39876300000
20,Income Before Tax,-3659600000,4626300000,14021692640,18406112580,20519562255,26456990536,21304000000,-59932100000,52352700000,86536000000,121147500000,128773700000,179405100000,198232100000,124384900000,97904400000,105740500000,-317553100000,-109339600000,-116727300000
21,Income Before Tax Ratio,-0.0477,0.0483,0.1004,0.0927,0.0851,0.0796,0.0584,-0.0829,0.0565,0.0702,0.0728,0.0681,0.0766,0.0755,0.0461,0.0369,0.0367,-0.1061,-0.0421,-0.0470
22,Income Tax expense (Gain),-513000000,1888400000,5262473135,5104803228,5627840853,8130642748,5896000000,841800000,14771600000,12787300000,4707100000,39190500000,48226500000,69149700000,27512700000,35670000000,38058500000,-25425000000,3644500000,25410700000
23,Net Income,-3413900000,2769300000,8893709750,13275108480,15034311194,18157859442,14204000000,-60142300000,38028700000,73401800000,115659100000,88697000000,130717100000,128291200000,95883400000,61210500000,66660800000,-293142700000,-113940300000,-142700900000
24,Net Income ratio,-0.0445,0.0289,0.0637,0.0668,0.0624,0.0546,0.0389,-0.0832,0.0411,0.0596,0.0695,0.0469,0.0558,0.0489,0.0355,0.0230,0.0231,-0.0979,-0.0439,-0.0575
25,EPS,-12.74,8.34,25.35,35.26,38.51,44.86,35.25,-135.05,71.24,121.60,180.07,137.52,201.34,194.91,142.00,90.00,98.00,-431.50,-164.50,-206.16
26,EPS Diluted,-12.74,8.34,23.67,33.44,37.08,43.24,34.20,-135.05,71.14,121.40,178.09,137.52,200.85,194.91,142.00,90.00,98.00,-431.50,-164.50,-206.16
27,Weighted Average Shares Outstanding,267206408,333743409,342645595,375553126,389570393,401339041,402272564,445206577,468710500,523313633,544082471,644433525,649757057,657534806,675850414,679140405,679170139,679170169,692171113,692171113
28,Weighted Average Shares Outstanding Diluted,267206408,333743409,378983136,405832594,416749973,424949874,424950095,445206577,468862080,523732384,565580180,644583218,649905340,657681167,676026172,679310837,679315787,679170169,692171113,692171113
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926042/000119312516662177/0001193125-16-662177-index.htm,https://www.sec.gov/Archives/edgar/data/926042/000119312517240716/0001193125-17-240716-index.htm,https://www.sec.gov/Archives/edgar/data/926042/000119312518233379/0001193125-18-233379-index.htm,https://www.sec.gov/Archives/edgar/data/926042/000119312519206948/0001193125-19-206948-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,6507592500,4877729004,6327422020,7668379850,11388000000,23235600000,67650000000,98406100000,145952400000,116118500000,159921500000,197430900000,171536100000,139867600000,147167500000,215598000000,184678000000,317000100000
32,Short-Term Investments,- -,- -,- -,15746724072,8078602903,2769257174,784000000,834100000,11058700000,22482300000,76208500000,144148200000,220487900000,245138800000,320139400000,369339100000,345226700000,195125400000,256910100000,333971800000
33,Cash and Short-Term Investments,- -,- -,6507592500,20624453076,14406024923,10437637024,12172000000,24069700000,78708700000,120888400000,222160900000,260266700000,380409400000,442569700000,491675500000,509206700000,492394200000,410723400000,441588100000,650971900000
34,Net Receivables,- -,- -,11249458235,18379911708,34769629593,48140144602,52396000000,121725000000,141177300000,132441100000,215697400000,224940100000,246130600000,223640500000,244292200000,260138300000,345900700000,363928400000,303683800000,363749000000
35,Inventory,- -,- -,15136660155,21375544740,26352375934,34004404394,34324000000,107955700000,110674600000,139547700000,180834000000,208393200000,272735900000,287279800000,326370400000,352953800000,424296200000,390015900000,374527800000,360865000000
36,Other Current Assets,- -,- -,8928416910,11925763572,14717940093,21622671070,25568000000,43069100000,43758600000,44943900000,34537900000,29660900000,54433500000,40001300000,37102300000,41037600000,100057200000,63607500000,76036000000,93273600000
37,Total Current Assets,- -,- -,41822127800,72305673096,90245970543,114204857090,124460000000,296819500000,374319200000,437821100000,653230200000,723260900000,953709400000,993491300000,1099440400000,1163336400000,1362648300000,1228275200000,1195835700000,1468859500000
38,PP&E,- -,- -,35466379125,38947596228,45588630061,63800920352,99588000000,220854200000,223050900000,232479000000,282716100000,346663000000,494609900000,586899100000,670065000000,651199400000,850444100000,762303300000,878462000000,887947700000
39,Goodwill,- -,- -,199566170,- -,7044826911,7253639306,6964000000,5350800000,3518300000,3760800000,4253000000,4320300000,7449200000,7319500000,7598000000,6733200000,1164500000,7478700000,7770600000,8037200000
40,Intangible Assets,- -,- -,34707160,895196460,2361643430,2998228516,3112000000,124370300000,155109400000,199652600000,282347400000,351236100000,492184100000,530900800000,600314700000,571513800000,685167900000,580555900000,664544500000,614483300000
41,Intangible Assets,- -,- -,234273330,895196460,9406470341,10251867822,10076000000,129721100000,158627700000,203413400000,286600400000,355556400000,499633300000,538220300000,607912700000,578247000000,686332400000,588034600000,672315100000,622520500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,16442800000,33479700000,36120300000,38675200000,41005800000,30267300000,41756400000,48488400000,60227800000,65831600000,70468300000,56786900000,63095500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,4279200000,5939100000,10640700000,46103300000,45205200000,39150500000,40478800000,39575900000,44221700000,41064600000,51511100000,54578600000,45203500000
44,Other Non-Current Assets,- -,- -,36308027755,47170303224,57276537074,83401731270,134968000000,114512600000,113764100000,111052400000,121887400000,157004100000,167405500000,144797500000,154498900000,169413700000,229616200000,286527400000,282823800000,255167700000
45,Total Non-Current Assets,- -,- -,72008680210,87013095912,112271637476,157454519444,244632000000,485809900000,534861500000,593705800000,775982400000,945434500000,1231066500000,1352152100000,1520540900000,1503309600000,1873288900000,1758844700000,1944966400000,1873934900000
46,Other Assets,- -,78762000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,78762000000,113830808010,159318769008,202517608019,271659376534,369092000000,782629400000,909180700000,1031526900000,1429212600000,1668695400000,2184775900000,2345643400000,2619981300000,2666646000000,3235937200000,2987119900000,3140802100000,3342794400000
48,Accounts Payable,- -,- -,25505424205,25925762844,30362713834,45582577914,55028000000,146618400000,183841700000,224904700000,334558900000,409096300000,544197300000,569383400000,613364400000,610201400000,804601600000,759681700000,705671900000,739739600000
49,Short-Term Debt,- -,- -,7757050260,2868995484,9455485582,38994251564,68980000000,319628600000,218754300000,185990800000,218342100000,231949700000,166672500000,181037100000,188428700000,179748000000,277509700000,352016700000,363090800000,436057400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,3837600000,- -,- -,11501500000,47464200000,32139000000,26546300000,31684500000,40515100000,47359300000,49315400000,46966000000,48161300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20979100000,35493500000,29099100000,32815600000,31284800000,37562400000,45773800000,42566300000,57359300000
52,Other Current Liabilities,- -,- -,26919740975,40764190020,41212905819,36492847658,59896000000,115911600000,147108400000,137927500000,171701600000,164391600000,164226200000,213135100000,233080600000,331652000000,308109000000,290278400000,286069500000,337072500000
53,Total Current Liabilities,- -,- -,60182215440,69558948348,81031105235,121069677136,183904000000,582158600000,549704400000,548823000000,724602600000,826416700000,910589500000,992654700000,1067689300000,1152886200000,1427782700000,1447750600000,1397398500000,1570228800000
54,Long-Term Debt,- -,13877400000,10798265155,25659387312,27252473996,40329197690,58764000000,116185900000,204397400000,201471300000,287148100000,327291300000,455635600000,545770000000,505201700000,606184600000,611886900000,709628700000,884677500000,985140300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6406400000,9236200000,19802200000,29956200000,41116200000,46730900000,50157700000,48477000000
56,Deferred Tax Liabilities,- -,- -,4056399325,5301309768,6144728849,5996457032,6116000000,7822900000,13634500000,13963000000,10902400000,15668100000,35271800000,23466800000,43441400000,11806400000,61257800000,14910400000,19418700000,15558900000
57,Other Non-Current Liabilities,- -,- -,- -,- -,3613760041,8614506716,9464000000,37736200000,39221600000,56010300000,75215900000,125413600000,145176300000,235163900000,215810000000,326970400000,179946300000,210031900000,191115000000,204253600000
58,Total Non-Current Liabilities,- -,13877400000,14854664480,30960697080,37010962886,54940161438,74344000000,161745000000,257253500000,271444600000,373266400000,468373000000,642490100000,813636900000,784255300000,974917600000,894207200000,981301900000,1145368900000,1253429800000
59,Other Liabilities,- -,71723800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2426600000,2208900000,1479200000,1262600000,761400000,689800000,1734700000,59771200000,62260600000
61,Total Liabilities,- -,57846400000,75036879920,100519645428,118042068121,176009838574,258248000000,743903600000,806957900000,820267600000,1097869000000,1294789700000,1553079600000,1806291600000,1851944600000,2127803800000,2321989900000,2429052500000,2542767400000,2823658600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3527115135,3620087148,3836556591,3862271316,3852000000,5140500000,5064200000,6346500000,6347500000,6380700000,6437800000,6437800000,6791800000,6792200000,6792200000,6792200000,7195400000,7658100000
64,Retained Earnings,- -,- -,-1127982700,10620086784,20439355497,32211515584,39104000000,-28003700000,4223800000,45136200000,131826400000,- -,- -,- -,- -,513241700000,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,8099783465,14052401016,18046520550,15703977890,22496000000,-69714900000,-91477700000,-115527800000,16318800000,197576500000,308089400000,400658500000,534195800000,529009900000,634764400000,317926700000,276352500000,74667600000
66,Other Total Stockholders Equity,- -,- -,26863341840,28174671024,38842350527,39806451796,39760000000,127123400000,182367400000,272914100000,173919900000,166311300000,312950500000,127845400000,222609500000,-514846800000,267033200000,228019800000,306253300000,420977200000
67,Total Stockholders Equity,- -,20915600000,37362257740,56467245972,81164783165,91584216586,105212000000,34545300000,100177700000,208869000000,328412600000,370268500000,627477700000,534941700000,763597100000,534197000000,908589800000,552738700000,589801200000,503302900000
68,Total Liabilities And Stockholders Equity,- -,78762000000,112399137660,156986891400,199206851286,267594055160,363460000000,778448900000,907135600000,1029136600000,1426281600000,1665058200000,2180557300000,2341233300000,2615541700000,2662000800000,3230579700000,2981791200000,3132568600000,3326961500000
69,Minority Interest,- -,- -,1431670350,2331877608,3310756733,4065321374,5632000000,4180500000,2045100000,2390300000,2931000000,3637200000,4218600000,4410100000,4439600000,4645200000,5357500000,5328700000,8233500000,15832900000
70,Total Liabilities & Equity,- -,78762000000,113830808010,159318769008,202517608019,271659376534,369092000000,782629400000,909180700000,1031526900000,1429212600000,1668695400000,2184775900000,2345643400000,2619981300000,2666646000000,3235937200000,2987119900000,3140802100000,3342794400000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926042/000119312516662177/0001193125-16-662177-index.htm,https://www.sec.gov/Archives/edgar/data/926042/000119312517240716/0001193125-17-240716-index.htm,https://www.sec.gov/Archives/edgar/data/926042/000119312518233379/0001193125-18-233379-index.htm,https://www.sec.gov/Archives/edgar/data/926042/000119312519206948/0001193125-19-206948-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,8893709750,13275108480,15034311194,18157859442,14204000000,-60142300000,38028700000,73401800000,115659100000,88697000000,130717100000,128291200000,95883400000,61210500000,66660800000,-293142700000,-113940300000,-142700900000
74,Depreciation and Amortization,- -,- -,4125813645,4930130748,5855093334,6622888062,7780000000,28039800000,36636600000,43445700000,54435100000,73723200000,110462600000,134495800000,168074900000,182405400000,209818200000,230197800000,207632100000,229638100000
75,Deferred Income Tax,- -,- -,4112798460,903930084,686213374,829481088,-428000000,- -,- -,- -,- -,39190500000,48226500000,69149700000,27512700000,35670000000,38058500000,-25425000000,3644500000,25410700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,90400000
77,Change in Working Capital,- -,- -,10481562320,4275108948,-14619909611,-8528102436,14604000000,-2039300000,35046700000,-27510100000,2860100000,-6407500000,39607700000,-38047600000,13332800000,33822200000,-58317600000,-63336000000,51125600000,18918000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-18698700000,- -,-13946800000,-17807000000,11055800000,-31612900000,-7945600000,-23677800000,-43265800000,9547000000,79131100000,-11183500000
79,Inventory,- -,- -,-82429505,-6052401432,-4611888585,-7586295784,-968000000,15048800000,-19173300000,-27569900000,-29083500000,-30526400000,-31763600000,-36962900000,-57341500000,-66309400000,-35604300000,20686400000,23251800000,37975100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,5748800000,43082900000,33498400000,78936300000,64461400000,47075400000,40256200000,40776500000,84935100000,72565700000,-26810700000,-76794300000,6606500000
81,Other Working Capital,- -,- -,- -,- -,-1840299503,-816520446,-832000000,-4212100000,-23551900000,-11683500000,9206000000,14413400000,16486300000,-23232400000,13327400000,29594900000,69012900000,-3482100000,97837700000,-77790200000
82,Other Non-Cash Items,- -,- -,-30368765,-550218312,-1274396266,449302256,-692000000,59336100000,18653000000,52639000000,45272600000,27729600000,42417800000,71512200000,69909200000,-10000800000,-17645700000,340613400000,117820500000,158648800000
83,Cash Provided by Operating Activities,- -,- -,27583515410,22834059948,5681312025,17531428412,35468000000,25194300000,128365000000,141976400000,218226900000,222932800000,371431700000,365401300000,374713000000,303107300000,238574200000,188907500000,266329400000,290005100000
84,CAPEX,- -,- -,-2642082555,-7746724488,-10752161503,-25338055110,-42684000000,-89689800000,-81727300000,-82098000000,-138744500000,-185674200000,-258813800000,-301603100000,-311602600000,-306597600000,-350789200000,-353035200000,-297020300000,-202054000000
85,Acquisitions Net,- -,- -,-1158351465,-187772916,-4464842862,- -,-88000000,-97264400000,-426000000,-1776300000,- -,-6216600000,-10301900000,-12258600000,- -,-1069500000,102400000,5210700000,-6119900000,2159200000
86,Purchases of Investments,- -,- -,-16147506190,-14707422816,-873362476,-522745894,-19964000000,-6395400000,-29881800000,-1471000000,-59334400000,-68840400000,-52445300000,-342103700000,-481694000000,-447493000000,-481970700000,-241983800000,-402142000000,-448095100000
87,Sales/Maturities of Investments,- -,- -,143167035,4982532492,21272614594,6696331700,3600000000,28307900000,32700300000,135300000,27700000,10161500000,3117800000,306156100000,416205100000,354115400000,547243200000,384914100000,345358000000,380859900000
88,Other Investing Activites,- -,- -,-5622559920,-16960697808,-14250067338,-34924609976,-14848000000,-39419300000,-40659300000,-38023600000,-78493200000,-80800500000,-102586200000,-124609600000,-145474500000,-125481800000,-128736700000,-171056400000,-135606600000,-78430100000
89,Cash Used for Investing Activites,- -,- -,-25427333095,-34620085536,-9067819585,-54089079280,-73984000000,-162379500000,-75980800000,-74988400000,-203343700000,-236115500000,-296329700000,-344177600000,-370501300000,-382727600000,-262016100000,-197110900000,-341702200000,-261262600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-140226200000,-337213800000,-216715300000,-192351000000,-240947700000,-309465000000,-285472200000,-235859200000,-217320900000,-299638700000,-351980200000,-307298100000,-352341100000
91,Common Stock Issued,- -,- -,2303687745,1493449704,672845581,164168132,40684000000,41099900000,18484700000,33567600000,- -,6800000,900000,- -,74906700000,51700000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-137100000,-1030800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-3032538105,-1772925672,-5155512167,-5694042052,-6760000000,-6766300000,-3637700000,-10230000000,-14648500000,-14841800000,-6822600000,-6744200000,- -,-730000000,- -,- -,- -,-15700000
94,Other Financing Activites,- -,- -,2885032675,10275108636,8934141655,44096424298,9696000000,261329300000,316538000000,151409300000,235982200000,236444800000,268039000000,322826700000,123023800000,280052200000,319755800000,440283900000,341194100000,451398700000
95,Cash Used/Provided by Financing Activities,- -,- -,2156182315,9995632668,4451475069,38566550378,43620000000,155436700000,-5965900000,-42999200000,28982700000,-19337900000,-48247700000,30610300000,-37928700000,62053000000,20117100000,88303700000,33896000000,99041900000
96,Effect of Forex Changes on Cash,- -,- -,-563991350,152838420,378754135,-669633170,-1352000000,-6840100000,-5782600000,3219200000,11415600000,2686700000,16157300000,-14324600000,7822200000,-14101200000,13064100000,-14109200000,10556800000,4537700000
97,Net Change In Cash,- -,- -,3748373280,-1637554500,1443721644,1339266340,3752000000,11411400000,40635700000,27208000000,55281500000,-29833900000,43011600000,37509400000,-25894800000,-31668500000,7299900000,68430500000,-30920000000,132322100000
98,Cash at the End of Period,- -,- -,6507592500,4877729004,6327422020,7668379850,11388000000,22827200000,63462900000,90670900000,145952400000,116118500000,159921500000,197430900000,171536100000,139867600000,147167500000,215598000000,184678000000,317000100000
99,Cash at the Beginning of Period,- -,- -,2759219220,6515283504,4883700376,6329113510,7636000000,11415800000,22827200000,63462900000,90670900000,145952400000,116909900000,159921500000,197430900000,171536100000,139867600000,147167500000,215598000000,184678000000
100,Free Cash Flow,- -,- -,24941432855,15087335460,-5070849478,-7806626698,-7216000000,-64495500000,46637700000,59878400000,79482400000,37258600000,112617900000,63798200000,63110400000,-3490300000,-112215000000,-164127700000,-30690900000,87951100000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926042/000119312516662177/0001193125-16-662177-index.htm,https://www.sec.gov/Archives/edgar/data/926042/000119312517240716/0001193125-17-240716-index.htm,https://www.sec.gov/Archives/edgar/data/926042/000119312518233379/0001193125-18-233379-index.htm,https://www.sec.gov/Archives/edgar/data/926042/000119312519206948/0001193125-19-206948-index.htm,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.016,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
