,https://roic.ai/company/TPTW,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,190248,29059,36111,48648,180362
37,Total Current Assets,- -,- -,- -,- -,- -,- -,368390,128846,116819,620625,364489
38,PP&E,- -,- -,- -,- -,- -,- -,2989559,2814067,3046942,4423148,2145597
39,Goodwill,- -,- -,- -,- -,- -,- -,70995,70995,924361,1050366,768091
40,Intangible Assets,- -,- -,- -,- -,- -,- -,2594258,5754932,6671582,5369083,4714941
41,Intangible Assets,- -,- -,- -,- -,- -,- -,2665253,5825927,7595943,6419449,5483032
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,58020,57470,62013,3990531,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,5712832,8697464,10704898,14833128,7628629
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,6081222,8826310,10821717,15453753,7993118
48,Accounts Payable,- -,- -,- -,- -,- -,- -,1414601,2416028,4687652,6543635,7866140
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3742570,8370341,10628413,14826270,19024422
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,629462,633357,641012
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,291470,349650,6450,305741,341789
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,161035,317669,821500,9175239,5603864
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,5609676,11453688,16144015,30850885,32836215
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,252819,252819,5000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,4269,- -,599200,3398737,3716529
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,257088,252819,604200,3398737,3716529
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,565883,555645,560807,4800397,6516386
61,Total Liabilities,- -,- -,- -,- -,- -,- -,5866764,11706507,16748215,34249622,36552744
62,Preferred Stock,- -,- -,- -,- -,- -,- -,3589,3589,3589,3589,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,136954,136954,136954,177630,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-9618038,-13387417,-18802928,-32831093,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-308384,-483876,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,10000337,10850553,12735887,13854005,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,214458,-2880197,-5926498,-18795869,-28449387
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,6081222,8826310,10821717,15453753,8103357
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110239
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,6081222,8826310,10821717,15453753,7993118
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1661039/000165495419007502/0001654954-19-007502-index.htm,https://www.sec.gov/Archives/edgar/data/1661039/000165495420004046/0001654954-20-004046-index.htm,https://www.sec.gov/Archives/edgar/data/1661039/000165495421004259/0001654954-21-004259-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-4463199,-3769379,-5377489,-14028165,-8119268
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,851506,1139335,974173,1459691,1785642
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,2541881,- -,864079,406250,417649
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-4917954,-6083556,-4702354,-14203064,-2241466
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,34932,21449,232218,-330883,254022
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,416607,1158060,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-5241286,-11324842,-16027196,-30230260,-32471726
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,5634974,7963192,7325184,26037037,7667870
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,-352792,-750408,-916407,-328251,-489573
84,CAPEX,- -,- -,- -,- -,- -,- -,-3337,- -,- -,-103515,-501358
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,13925,- -,40614,-798386,460
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76798
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,10588,- -,40614,-901901,-500898
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-7206,-121733,-90995,-1516216,-1397996
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,70000,367500,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,277086,745235,594694,2906754,2215604
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,269880,693502,871199,1390538,817608
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-72324,-56906,-4594,160386,-172863
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,93286,36380,31786,192172,19309
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,165610,93286,36380,31786,192172
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-356129,-750408,-916407,-431766,-990931
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1661039/000165495419007502/0001654954-19-007502-index.htm,https://www.sec.gov/Archives/edgar/data/1661039/000165495420004046/0001654954-20-004046-index.htm,https://www.sec.gov/Archives/edgar/data/1661039/000165495421004259/0001654954-21-004259-index.htm
102,false,,,,,,,,,,,
