,https://roic.ai/company/NEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,41431,- -,196796,325625,- -,308523,532391,710000,768000,1146000,989000,929000,854000,9998000,5540000,6230000,3713000,7019000,5082000
14,Depreciation and Amortization,26400,245671,-207307,48037,104263,181066,306588,506359,740564,1184109,1781000,2085000,3818000,4412000,5640000,7142000,23209000,22591000,21732000,30271000,35721000,53352000
15,EBITDA,-943880,-7832295,-797831,-446295,-714722,-619298,502552,-2873813,-333499,-526313,-812000,1676000,5029000,7586000,7858000,3507000,25783000,24650000,31786000,37629000,28684000,43359000
16,EBITDA ratio,-3.7396,-7832.2950,-8.5338,-1.2063,-1.2807,-0.3285,0.0776,-0.2498,-0.0167,-0.0179,-0.0236,0.0385,0.0840,0.1141,0.0903,0.0351,0.1056,0.0953,0.1149,0.0920,0.0645,0.0895
17,Operating Income,-970926,-8077966,-583673,-494332,-729564,-800364,139994,-3140972,-883989,-1727513,-2963000,-409000,1211000,3174000,2218000,-5635000,2574000,2324000,10040000,13006000,-13992000,-118754000
18,Operating Income ratio,-3.8467,-8077.9660,-6.2431,-1.3361,-1.3073,-0.4245,0.0216,-0.2730,-0.0442,-0.0586,-0.0862,-0.0094,0.0202,0.0478,0.0255,-0.0565,0.0105,0.0090,0.0363,0.0318,-0.0315,-0.2452
19,Total Other Income Expenses (Gains),646,- -,- -,- -,- -,- -,55970,24256,-190074,17091,370000,- -,-1146000,-989000,-929000,1146000,-9998000,-5805000,-6216000,-9361000,-64000,103679000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,2185000,1289000,-4489000,-7424000,-3481000,3824000,3645000,-14056000,-15075000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0011,0.0329,0.0148,-0.0450,-0.0304,-0.0135,0.0138,0.0089,-0.0316,-0.0311
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000,157000,-1954000,-1701000,-2635000,1184000,-4361000,-18228000,-6728000
23,Net Income,-970280,-8077966,-590524,-535763,-818985,-997160,-129661,-3380172,-1382586,-2242813,-3303000,-1177000,65000,2033000,1132000,-2535000,-5723000,-846000,2640000,8006000,4172000,-8347000
24,Net Income ratio,-3.8442,-8077.9660,-6.3164,-1.4481,-1.4675,-0.5289,-0.0200,-0.2938,-0.0691,-0.0761,-0.0961,-0.0271,0.0011,0.0306,0.0130,-0.0254,-0.0234,-0.0033,0.0095,0.0196,0.0094,-0.0172
25,EPS,-1.00,-2.00,-0.14,-0.04,-0.04,-0.04,-0.00,-0.11,-0.04,-0.06,-0.09,-0.03,0.00,0.04,0.02,-0.04,-0.39,-0.14,0.07,0.08,0.04,-0.07
26,EPS Diluted,-1.00,-2.00,-0.14,-0.04,-0.04,-0.04,-0.00,-0.11,-0.04,-0.06,-0.09,-0.03,0.00,0.04,0.02,-0.04,-0.39,-0.14,0.07,0.08,0.04,-0.07
27,Weighted Average Shares Outstanding,781984,3771101,4212894,14385009,19901028,22264435,26166031,29764289,31506824,34638502,37328940,42758252,45027010,48263000,53483000,60526000,77542000,79426000,85618000,100470000,108579000,119962000
28,Weighted Average Shares Outstanding Diluted,781984,3771101,4212894,14385009,19901028,22264435,26166031,29764289,31506824,34638502,37328940,42758252,48715063,52775000,56016000,60526000,77542000,79426000,91568000,103615000,111794000,119962000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1077183/000110801707000231/neogenomics10ksb2006.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1077183/000114420410016236/v178787_10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000114420411010464/v212234_10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312512109860/d262716d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312513068680/d444070d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312514064714/d647097d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312515075318/d832983d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000156459016014868/neo-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000156459017004158/neo-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000156459018005479/neo-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718319000008/neo-20181231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718320000022/neo-20191231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718321000064/0001077183-21-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718322000017/0001077183-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,77216,- -,25051,112548,10944,126266,210573,468171,1631069,1097000,2628000,1868000,4834000,33689000,23420000,12525000,12821000,9811000,173016000,228713000,316827000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67546000,198563000
33,Cash and Short-Term Investments,- -,77216,- -,25051,112548,10944,126266,210573,468171,1631069,1097000,2628000,1868000,4834000,33689000,23420000,12525000,12821000,9811000,173016000,296259000,515390000
34,Net Receivables,- -,- -,40082,63861,56491,551099,1549758,3236751,2913531,4632219,5236000,7894000,14034000,18653000,20475000,48943000,55512000,60427000,76919000,94242000,106843000,112130000
35,Inventory,- -,- -,19306,10593,15122,60000,117362,304750,491459,601802,887000,1202000,1859000,2301000,2616000,5108000,6253000,7474000,8650000,14405000,29526000,23395000
36,Other Current Assets,- -,1300,2000,2627,12121,58509,102172,400168,482408,1655046,1518000,1454000,820000,1703000,1962000,21557000,4535000,4241000,8288000,9075000,16102000,30593000
37,Total Current Assets,- -,78516,61388,102132,196282,680552,1895558,4152242,4355569,8520136,8738000,13178000,18581000,27491000,58742000,99028000,78825000,84963000,103668000,290738000,448730000,681508000
38,PP&E,- -,2827,382535,397686,393036,381556,1202487,2108083,2875297,4339560,4839000,6642000,8606819,9694000,15082000,34577000,34036000,36504000,60888000,90680000,131659000,211662000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2929000,146421000,147019000,147019000,197892000,198601000,211083000,527115000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2577000,4212000,87800000,77064000,74165000,140029000,126640000,120653000,442325000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2577000,7141000,234221000,224083000,221184000,337921000,325241000,331736000,969440000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29555000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,3916,7221,2681,17996,33903,260575,64509,85604,74000,129000,83000,154000,141000,129000,174000,689000,2538000,2847000,46651000,7168000
45,Total Non-Current Assets,- -,2827,386451,404907,395717,399552,1236390,2368658,2939806,4425164,4913000,6771000,11489819,12425000,22364000,268927000,258293000,258377000,401347000,418768000,539601000,1188270000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,81343,447839,507039,591999,1080104,3131948,6520900,7295375,12945300,13651000,19949000,30070819,39916000,81106000,367955000,337118000,343340000,505015000,709506000,988331000,1869778000
48,Accounts Payable,- -,19302,119840,70343,96210,463637,697754,1799159,1512427,1968884,1933000,2529000,3611000,4177000,6294000,12464000,16782000,10450000,17779000,19568000,24965000,17921000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,94430,242966,1783750,552033,3442000,3898000,8458000,4282000,- -,9469000,3842000,3799000,7873000,5000000,5000000,8019000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,100000,110000,110000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,927000,1610000,4029000,5192000
52,Other Current Liabilities,- -,166914,204654,104498,812444,102212,1836303,1319580,1094817,3255316,3793000,5017000,5689000,5864000,8329000,18125000,17489000,20816000,34346000,37726000,39189000,56100000
53,Total Current Liabilities,- -,186216,424494,284841,1018654,665849,2628487,3361705,4390994,5776233,9168000,11444000,17758000,14323000,14623000,40058000,38113000,35065000,60925000,63904000,73183000,87232000
54,Long-Term Debt,- -,- -,- -,590000,- -,- -,- -,837081,1403271,- -,- -,- -,- -,3882000,- -,52336000,92058000,91152000,92880000,91829000,168120000,604843000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,588000,821000,32409000,14973000,6307000,22457000,15566000,5415000,55475000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1409194,448947,- -,- -,1525728,1348000,2608000,3097000,-588000,5257000,5040000,5378000,5283000,8310000,30799000,47319000,13951000
58,Total Non-Current Liabilities,- -,- -,- -,590000,- -,1409194,448947,837081,1403271,1525728,1348000,2608000,3097000,3882000,6078000,89785000,112409000,102742000,123647000,138194000,220854000,674269000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,448947,837081,2040171,3008054,3343000,4715000,5309000,6080000,8481000,9574000,10269000,10473000,11548000,36046000,51071000,80379000
61,Total Liabilities,- -,186216,424494,874841,1018654,2075043,3077434,4198786,5794265,7301961,10516000,14052000,20855000,18205000,20701000,129843000,150522000,137807000,184572000,202098000,294037000,761501000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28602000,22873000,32615000,- -,- -,- -,- -
63,Common Stock,- -,405000,4482,18449,21539,22836,27061,31391,32117,37185,37000,43000,45000,49000,60000,76000,79000,80000,94000,105000,112000,124000
64,Retained Earnings,- -,-8077966,-8668490,-8668490,-10023238,-11020398,-11150059,-14530231,-15912817,-18155630,-21459000,-22636000,-22571000,-20538000,-19406000,-21941000,-52460000,-57466000,-51258000,-11357000,-7185000,-14837000
65,Other Comprehensive Income/Loss,- -,-73,-38364,-85740,-137313,-261311,-494942,- -,- -,-2786704,-4568000,-6652000,-10289435,-14478000,-19822000,-26534000,-27102000,-40530000,-1000000,-2000000,10000,-638000
66,Other Total Stockholders Equity,- -,7568166,8725717,8367979,9712357,10263934,11672454,- -,- -,26548488,29125000,35142000,42031435,56678000,99573000,257909000,243206000,270834000,372607000,520660000,701357000,- -
67,Total Stockholders Equity,- -,-104873,23345,-367802,-426655,-994939,54514,2322114,1501110,5643339,3135000,5897000,9216000,21711000,60405000,238112000,186596000,205533000,320443000,507408000,694294000,1108277000
68,Total Liabilities And Stockholders Equity,- -,81343,447839,507039,591999,1080104,3131948,6520900,7295375,12945300,13651000,19949000,30071000,39916000,81106000,367955000,337118000,343340000,505015000,709506000,988331000,1869778000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,81343,447839,507039,591999,1080104,3131948,6520900,7295375,12945300,13651000,19949000,30070819,39916000,81106000,367955000,337118000,343340000,505015000,709506000,988331000,1869778000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1077183/000110801707000231/neogenomics10ksb2006.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1077183/000114420410016236/v178787_10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000114420411010464/v212234_10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312512109860/d262716d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312513068680/d444070d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312514064714/d647097d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312515075318/d832983d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000156459016014868/neo-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000156459017004158/neo-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000156459018005479/neo-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718319000008/neo-20181231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718320000022/neo-20191231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718321000064/0001077183-21-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718322000017/0001077183-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-970280,-8077966,-590524,-535763,-818985,-997160,-129661,-3380172,-1382586,-2242813,-3303000,-1177000,65000,2033000,1132000,-2535000,-5723000,-846000,2640000,8006000,4172000,-8347000
74,Depreciation and Amortization,26400,245671,-207307,48037,104263,181066,306588,506359,740564,1184109,1781000,2085000,3818000,4412000,5640000,7142000,23209000,22591000,21732000,30271000,35721000,53352000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2066000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,246180,372951,411000,458000,798000,929000,692000,3479000,5438000,6441000,6955000,10000000,10212000,22458000
77,Change in Working Capital,571513,-255406,180397,-639663,837075,-747632,1523466,-825962,2779328,-3173903,2164000,-911000,12345000,30951000,14851000,-18258000,9186000,-7155000,184091000,148713000,241646000,-4600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-1466357,-3873255,-2857000,-5226000,-9192000,-7416000,-2770000,-3215000,-18425000,-24243000,209000,-17301000,-12601000,-4691000
79,Inventory,- -,- -,-19306,8713,-4529,-44878,-57362,-187388,-186709,-110343,-285000,-315000,-657000,-442000,-229000,-896000,-1145000,-1423000,734000,-5754000,-15197000,1634000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1443000,868000,2466000,5903000,-2103000,-4544000,12922000,-9001000,-3970000,5151000
81,Other Working Capital,-107700,-363106,-182709,-822372,14703,-732929,790537,-35425,2743903,-430000,1734000,823000,13168000,44119000,58970000,40712000,49898000,42743000,226834000,375547000,617193000,- -
82,Other Non-Cash Items,195236,8010294,232638,595023,-780486,661675,-2394175,1057184,-2521792,2359239,-3105000,-386000,-17518000,-36098000,-12865000,18631000,-10633000,-2994000,-170632000,-173621000,-290291000,-89586000
83,Cash Provided by Operating Activities,-177131,-77407,-384796,-532366,-658133,-902051,-693782,-2642591,-138306,-1500417,-2052000,69000,-492000,2227000,9450000,6393000,21477000,18037000,44786000,23369000,1460000,-26723000
84,CAPEX,- -,-2900,-417999,-63188,-85932,-117628,-398618,-516144,-501781,-963740,-916000,-897000,-3652000,-2011000,-3772000,-2215000,-7536000,-13690000,-14310000,-20029000,-29096000,-64142000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-73000000,1000000,- -,-125000000,- -,-37000000,-419404000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73101000,-196791000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5356000,62970000
88,Other Investing Activites,- -,209,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,-1037000,- -,170000,60000,35000,- -,-377000,399000,-25600000,-15000000
89,Cash Used for Investing Activites,- -,-2691,-417999,-63188,-85932,-117628,-398618,-716144,-501781,-963740,-916000,-897000,-3652000,-2011000,-9602000,-75155000,-6501000,-13690000,-139687000,-19630000,-159441000,-632367000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-377641,-1404417,-1373000,-1579000,-2187000,-6783000,-7863000,-4115000,-60293000,-9177000,-11063000,-111451000,-103155000,-3047000
91,Common Stock Issued,25000,- -,- -,- -,740228,211662,1089702,5286521,60477,5758353,180000,3482000,511000,9533000,34254000,1083000,- -,2804000,144094000,171976000,147603000,423213000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55000000,- -,-50096000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,108704,157314,725579,620605,91334,706413,118020,-1843479,1214849,-726881,3627000,456000,5060000,- -,2616000,61525000,89422000,2278000,9024000,98941000,191149000,305119000
95,Cash Used/Provided by Financing Activities,133704,157314,725579,620605,831562,918075,1207722,3443042,897685,3627055,2434000,2359000,3384000,2750000,29007000,58493000,-25871000,-4095000,91959000,159466000,235597000,725285000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000,-68000,- -,- -,- -
97,Net Change In Cash,-43427,- -,- -,- -,87497,-101604,115322,84307,257598,1162898,-534000,1531000,-760000,2966000,28855000,-10269000,-10895000,296000,-3010000,163205000,77616000,66195000
98,Cash at the End of Period,186,77216,- -,25051,112548,10944,126266,210573,468171,1631069,1097000,2628000,1868000,4834000,33689000,23420000,12525000,12821000,9811000,173016000,250632000,316827000
99,Cash at the Beginning of Period,43613,- -,77216,- -,25051,112548,10944,126266,210573,468171,1631000,1097000,2628000,1868000,4834000,33689000,23420000,12525000,12821000,9811000,173016000,250632000
100,Free Cash Flow,-177131,-80307,-802795,-595554,-744065,-1019679,-1092400,-3158735,-640087,-2464157,-2968000,-828000,-4144000,216000,5678000,4178000,13941000,4347000,30476000,3340000,-27636000,-90865000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1077183/000110801707000231/neogenomics10ksb2006.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1077183/000114420410016236/v178787_10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000114420411010464/v212234_10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312512109860/d262716d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312513068680/d444070d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312514064714/d647097d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000119312515075318/d832983d10k.htm,https://www.sec.gov/Archives/edgar/data/1077183/000156459016014868/neo-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000156459017004158/neo-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000156459018005479/neo-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718319000008/neo-20181231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718320000022/neo-20191231.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718321000064/0001077183-21-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1077183/000107718322000017/0001077183-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
