,https://roic.ai/company/CNM,2019,2020,2021,2022
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-13300000,-13500000,-11700000,-25000000
89,Cash Used for Investing Activites,-21600000,-233600000,-228900000,-203000000
90,Debt Repayment,-396200000,-12500000,-473000000,-2319000000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-200000,- -,- -
93,Dividends Paid,-25400000,-323100000,-20900000,- -
94,Other Financing Activites,379500000,506500000,703000000,2173000000
95,Cash Used/Provided by Financing Activities,-42100000,170700000,209100000,-146000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,37200000,143600000,200000000,-379900000
98,Cash at the End of Period,37300000,180900000,380900000,1000000
99,Cash at the Beginning of Period,100000,37300000,180900000,380900000
100,Free Cash Flow,87000000,192600000,207900000,-51000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1856525/000185652522000013/0001856525-22-000013-index.htm
102,false,,,,
