,https://roic.ai/company/PAM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,72909,-1172196,88712311,1232578950,3504233024,3702726840,4584811169,6599512217,8055756786,3841475551,5412773185,3835294330,29090000000,41293000000,92358000000,144406049370,68327575120,1040000000
12,Interest Income ,- -,- -,- -,11123644,67779523,45636644,38654815,90179841,82959392,154955476,337630137,440541774,348527733,893000000,1432000000,3751000000,5749888320,3281743140,10000000
13,Interest Expense (Gain),- -,65568,79776,9076606,80443269,194838841,213514657,205594144,468367063,500183235,794043652,1037573233,1208069339,4202000000,5009000000,11746000000,17668927650,14305034200,185000000
14,Depreciation and Amortization,- -,11111,10584,18235982,148907321,325045730,338609265,350512379,456450684,400746404,371291733,467160148,720684258,3022000000,3421000000,8816000000,15991876890,17250188300,205000000
15,EBITDA,- -,-542902,648612,36501328,451667988,743749425,927063215,583826089,-46907790,149437386,1442739693,2348305014,5580619969,6115000000,11669000000,29655000000,77982860340,3618332180,740000000
16,EBITDA ratio,- -,-Infinity,Infinity,0.2859,0.3053,0.1853,0.2264,0.1200,-0.0069,0.0198,0.2704,0.3785,0.7793,0.1954,0.2318,0.2694,0.4591,0.0401,0.4907
17,Operating Income,- -,-72909,1172196,38974202,246647573,509598830,103012677,71072984,40647209,-104491145,264011766,104215533,281308232,138034651,528161597,671346561,751000000,243000000,579000000
18,Operating Income ratio,- -,-Infinity,Infinity,0.3052,0.1667,0.1270,0.0252,0.0146,0.0060,-0.0138,0.0495,0.0168,0.0393,0.0044,0.0105,0.0061,0.0044,0.0027,0.3840
19,Total Other Income Expenses (Gains),- -,-685213,-613944,-25709894,37821947,-204256467,367237759,-33379139,-1193448496,-1054509295,468952389,525737031,4154292731,-1488034651,3680838403,7775653439,50039680160,13136414340,-189000000
20,Income Before Tax,- -,-758122,558252,13264308,284469520,305342363,470250436,37693845,-1152801287,-1159000440,732964155,629952564,4435600963,-1350000000,4209000000,8447000000,50790680160,13379414340,390000000
21,Income Before Tax Ratio,- -,-Infinity,Infinity,0.1039,0.1923,0.0761,0.1149,0.0077,-0.1702,-0.1532,0.1374,0.1015,0.6194,-0.0431,0.0836,0.0767,0.2990,0.1485,0.2586
22,Income Tax expense (Gain),- -,59599,47389,1831357,36264991,108841126,160202472,74280606,-40597544,-101797999,-8679493,100412278,586776949,-1098000000,-1367000000,658000000,2874944160,2945154100,77000000
23,Net Income,- -,-817721,510863,7357383,186052407,115023728,214736821,-46561040,-931127993,-649694254,286083801,743159355,3065089423,-11000000,4606000000,8435000000,41447111640,-30882044420,273000000
24,Net Income ratio,- -,-Infinity,Infinity,0.0576,0.1258,0.0287,0.0525,-0.0096,-0.1374,-0.0859,0.0536,0.1198,0.4280,-0.0004,0.0915,0.0766,0.2440,-0.3427,0.1810
25,EPS,- -,-1.15,0.74,0.19,1.34,0.55,1.02,-0.22,-4.11,-2.52,0.83,1.67,4.39,-0.01,3.04,2.86,9.50,-6.32,4.75
26,EPS Diluted,- -,-1.15,0.74,0.18,1.24,0.54,0.96,-0.22,-4.11,-2.52,0.83,1.50,4.39,-0.01,3.04,2.86,9.50,-6.32,4.75
27,Weighted Average Shares Outstanding,- -,239977,240124,12426957,44094576,60169976,55616366,52572436,52572436,52572436,52572436,52572436,53868656,69440000,78840000,78360000,72842105,58046831,56200000
28,Weighted Average Shares Outstanding Diluted,- -,239977,240124,13053852,47471331,61552591,59130258,59143245,60729067,52572436,52572436,59018496,53868656,69440000,78840000,78360000,72842105,58046831,56200000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1469395/000129281411001845/0001292814-11-001845-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281412001110/0001292814-12-001110-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281413000973/0001292814-13-000973-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281414000978/0001292814-14-000978-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281415001186/0001292814-15-001186-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281416004448/0001292814-16-004448-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281417001101/0001292814-17-001101-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281418001513/0001292814-18-001513-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281419001636/0001292814-19-001636-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281420001571/0001292814-20-001571-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1424,5026,23142888,187237083,121685278,158043109,208715476,158071597,279881871,341668865,335234106,516597918,1421000000,799000000,9097000000,13476300750,11864763660,110000000
32,Short-Term Investments,- -,- -,- -,182670957,635595494,478466922,467697236,961538811,366625428,113404707,844259368,1028577127,4081019508,4211000000,14638000000,16603000000,25095866730,29451541000,463000000
33,Cash and Short-Term Investments,- -,1424,5026,205813845,822832577,600152200,625740345,1170254287,524697025,393286578,1185928233,1363811233,4597617426,5632000000,15437000000,25700000000,38572167480,41316304660,573000000
34,Net Receivables,- -,283287,127558,106036516,663201837,986434825,861311995,1115684180,1604708584,1431868607,2183099639,2443491516,4552540778,13041000000,17987000000,25862000000,33181647180,28105184840,398000000
35,Inventory,- -,- -,- -,3009120,34349752,44873719,42628748,29678642,39009916,103330353,80224618,118377502,209720158,3257000000,2183000000,5098000000,7906096440,9508640380,155000000
36,Other Current Assets,- -,- -,- -,43010,25503893,162850,138591381,128091604,279394070,429834645,120810039,470735468,398289896,1239000000,13806000000,701000000,1916629440,124453797540,- -
37,Total Current Assets,- -,284711,132584,314902491,1545888059,1631623594,1668272469,2443708713,2447809595,2358320183,3570062529,4396415719,9758168258,23169000000,49413000000,57361000000,81576540540,203383927420,1126000000
38,PP&E,- -,8184,- -,776298365,5161420296,5504672088,6293503476,6563165793,7667912556,6023903432,6902661359,9218099975,14508403073,41090000000,41214000000,125005000000,211008922410,136318561200,1671000000
39,Goodwill,- -,- -,- -,-11763365,642122255,612680752,569252345,572704466,-255276795,5627370,5627370,5627370,5627370,999000000,688000000,1309000000,2096313450,2945154100,- -
40,Intangible Assets,- -,7306,4906,330661176,338348633,317118396,297564513,268206304,270923058,1802883805,896218943,866756729,728540516,1015000000,898000000,4771000000,6947781720,504883560,- -
41,Intangible Assets,- -,7306,4906,318897811,980470888,929799148,866816858,840910770,15646263,1808511175,901846313,872384099,734167886,2014000000,1586000000,6080000000,9044095170,3450037660,39000000
42,Investments,- -,- -,- -,66678,114953438,504008009,170674025,481680,685457154,628660866,756148794,1323077439,2925338981,5290000000,5904000000,15755000000,32343121800,55537191600,908000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,87532301,63214262,93681916,52279953,1232000000,1306000000,80000000,1677050760,9087904080,84000000
44,Other Non-Current Assets,- -,4770900,6276690,287296929,600500483,568075701,563267098,574643906,632517881,423940125,368620975,956737374,1171250957,4482000000,5044000000,9554000000,4791573600,3702479440,34000000
45,Total Non-Current Assets,- -,4786390,6281596,1382559783,6857345105,7506554946,7894261457,7979202149,9001533854,8972547899,8992491703,12463980803,19391440850,54108000000,55054000000,156474000000,258864763740,208096173980,2736000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5071101,6414180,1697462274,8403233164,9138178540,9562533926,10422910862,11449343449,11330868082,12562554232,16860396522,29149609108,77277000000,104467000000,213835000000,340441304280,411480101400,3862000000
48,Accounts Payable,- -,141281,- -,42378326,552813466,579635012,505832717,651057807,1014511374,1504775715,2932260356,4146361765,6182140726,11685000000,16564000000,21612000000,22939658610,8330578740,181000000
49,Short-Term Debt,- -,1211508,1416363,25162899,192066876,167033039,367450270,668299691,835582499,790916969,753571799,839303970,1307662872,10686000000,5840000000,12901000000,11200303290,20531931440,79000000
50,Tax Payable,- -,3020510,3363327,23997556,127067576,161338682,203170182,171295524,227559673,263804006,239718270,231928622,610112473,2392000000,1965000000,2052000000,4312416240,3029301360,23000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,6726857,41458188,- -,11413701,32230752,15000000,17000000,19000000,- -,1009767120,- -
52,Other Current Liabilities,- -,3020510,3363327,34274205,247402428,429274314,554990436,519822138,926913174,1042742921,928383482,1435545852,2070720259,7677000000,9907000000,10074000000,17010086280,93740047640,81000000
53,Total Current Liabilities,- -,4373299,4779690,101815430,992282770,1175942365,1428273423,1839179636,2783733904,3379893793,4614215637,6432625288,9592754609,30063000000,32328000000,44606000000,51150048180,123612324940,341000000
54,Long-Term Debt,- -,- -,- -,408032911,1930538943,2031000665,1703992392,1994572167,2770919436,2218483028,2924530436,3731267723,6684746241,15286000000,37126000000,69189000000,105654197880,115450040720,1359000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,56036765,264427265,33665717,109089120,153815820,200000000,195000000,275000000,299473350,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,635967606,416561631,470584488,591588053,4730000000,2389000000,16388000000,22640185260,11107438320,188000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1365168147,1720754601,2057469588,2501856792,1698758708,2562990888,3745506133,12924000000,12317000000,15694000000,16411139580,12453794480,182000000
58,Total Non-Current Liabilities,- -,- -,- -,408032911,1930538943,2031000665,3069160539,3715326768,4884425789,5620734691,5073516492,6873932219,11175656247,33140000000,52027000000,101546000000,145004996070,139011273520,1729000000
59,Other Liabilities,- -,920000,1345825,1012968475,4592840042,5168170554,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239578680,168294520,- -
61,Total Liabilities,- -,5293299,6125515,706750994,3654583869,4313112254,4497433962,5554506404,7668159693,9000628484,9687732129,13306557507,20768410856,63203000000,84355000000,146152000000,196155044250,262623598460,2070000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,1399768046,1314310895,1314310895,1314310895,1314310895,1314310895,1314310895,1695859459,1938000000,2080000000,11700000000,18327769020,20111195140,- -
64,Retained Earnings,- -,- -,- -,- -,- -,135103149,248849684,412720739,-545804047,-771796574,286083801,743159355,3065089423,-11000000,3243000000,15193000000,43483530420,-31302780720,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-719610220,-1063077419,-903274140,82823849,-10753372,-24385321,253892705,998156954,4164000000,5841000000,7621000000,25095866730,88438770260,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,2396021090,2836594799,2457193573,1507437729,1268757917,522840964,609044938,1231483268,4963000000,5746000000,17009000000,27910916220,42915102600,- -
67,Total Stockholders Equity,- -,-222198,288665,500000965,3222137683,3211282065,3336677959,3280951067,2358768426,1800518866,2098850339,2920407893,6990589104,11054000000,16910000000,51523000000,114818082390,120162287280,1786000000
68,Total Liabilities And Stockholders Equity,- -,5071101,6414180,1206751959,6876721552,7524394319,7834111921,8835457471,10026928119,10801147350,11786582468,16226965400,27758999960,74257000000,101265000000,197675000000,310973126640,382785885740,3856000000
69,Minority Interest,- -,- -,- -,490710315,1526511612,1613784221,1728422005,1587453391,1422415330,529720732,775971764,633431122,1390609148,3020000000,3202000000,16160000000,29468177640,28694215660,6000000
70,Total Liabilities & Equity,- -,5071101,6414180,1697462274,8403233164,9138178540,9562533926,10422910862,11449343449,11330868082,12562554232,16860396522,29149609108,77277000000,104467000000,213835000000,340441304280,411480101400,3862000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1469395/000129281411001845/0001292814-11-001845-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281412001110/0001292814-12-001110-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281413000973/0001292814-13-000973-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281414000978/0001292814-14-000978-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281415001186/0001292814-15-001186-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281416004448/0001292814-16-004448-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281417001101/0001292814-17-001101-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281418001513/0001292814-18-001513-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281419001636/0001292814-19-001636-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281420001571/0001292814-20-001571-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-817721,510863,7357383,186052407,115023728,214736821,-46561040,-931127993,-649694254,286083801,743159355,3065089423,-11000000,4606000000,8435000000,41447111640,-30882044420,273000000
74,Depreciation and Amortization,- -,11111,10584,18235982,148907321,325045730,338609265,350512379,456450684,400746404,371291733,467160148,720684258,3022000000,3421000000,8816000000,15991876890,17250188300,205000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,108841126,- -,- -,-40597544,-101797999,-8679493,59301569,586776949,-1098000000,-1367000000,658000000,2874944160,2945154100,75000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61546421,223600947,502000000,645000000,196000000,- -,- -,- -
77,Change in Working Capital,- -,-102528,94405,1997943,349417939,-110918722,100092101,83363617,-43026330,1063755065,996281515,-4911921,-482579691,1821000000,-4170000000,-6962000000,6588413700,-1009767120,-40000000
78,Accounts Receivable,- -,- -,- -,- -,- -,-290031408,193620626,-262428893,-406311798,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,198950,-20302781,23007536,7423306,7107130,-12027195,-42809651,-50402379,-21085864,-89662239,-57000000,-480000000,-718000000,-1677050760,-504883560,-40000000
80,Accounts Payable,- -,- -,- -,- -,- -,190965423,-119415842,144894790,263047060,697792173,1483195797,-29446104,1061352687,3254000000,1047000000,836000000,5809782990,252441780,43000000
81,Other Working Capital,- -,-169340,-110250,- -,- -,136775084,216883702,335364719,234495370,77154522,-39223621,3950691,-24208628,-138000000,-1298000000,-2316000000,-658841370,-589030820,-5000000
82,Other Non-Cash Items,- -,41117,-844457,62066668,-355737239,312070893,308615930,272908811,1195504668,631444926,150836360,1289704080,467090538,1743000000,7581000000,11792000000,-18866821050,70010520320,216000000
83,Cash Provided by Operating Activities,- -,-868021,-228605,89657976,328640428,750062755,962054117,660223767,637203485,1344454142,1795813916,2615959652,4580662424,5979000000,10716000000,22935000000,48035525340,58314051180,729000000
84,CAPEX,- -,- -,- -,-9577728,-820846059,-740966502,-974895108,-568260070,-767237680,-776800847,-1197754080,-2331067374,-4797918069,-7188000000,-10725000000,-25413000000,-34858697940,-10434260240,-210000000
85,Acquisitions Net,- -,- -,- -,-302135199,-125290940,-68661857,- -,- -,-1110601626,-198565,-205386,-250000,-475000,-8840000000,328000000,17240000000,-3953048220,252441780,40000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-395386927,-85797736,-114253259,-8807842,-689647868,-635717295,-1132811731,-3506210675,-221000000,-17046000000,-110026000000,-1916629440,-12706236260,-234000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,67795114,202512850,118145401,110075140,212204696,788038242,364441040,1261499956,890719496,3794000000,9272000000,118284000000,12997143390,7825695180,52000000
88,Other Investing Activites,- -,1411578,- -,427198,589445,-370650819,349936309,57858451,179649469,-201577293,-106200846,-311227001,299363171,1195000000,-1114000000,649000000,5630098980,-6395191760,-126000000
89,Cash Used for Investing Activites,- -,1411578,- -,-311285729,-877752440,-1373153255,-592611134,-514579738,-1494792983,-794500074,-1575436567,-2513856150,-7114521077,-11231000000,-19285000000,740000000,-22101133230,-21457551300,-474000000
90,Debt Repayment,- -,- -,- -,-53941696,-87480627,-402317850,-410939267,-525147730,-1111235121,-963922316,-779577696,-2253561870,-2402689218,-7706000000,-16178000000,-9505000000,-38691956820,-33911345780,-344000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-84630538,- -,- -,- -,- -,- -,- -,- -,-72000000,-13938000000,-9044095170,-8751315040,-39000000
93,Dividends Paid,- -,- -,- -,- -,-9076073,-18314331,-16797217,-15771731,-18111204,- -,- -,-19432044,-26092252,- -,-44000000,-82000000,-59894670,-757325340,- -
94,Other Financing Activites,- -,-547429,232207,345000000,1289324999,717715770,183565419,868122280,1532283264,271764546,681877875,2125305637,5066133475,13536000000,24379000000,5811000000,24437025360,5974455460,41000000
95,Cash Used/Provided by Financing Activities,- -,-547429,232207,291058304,1192768299,297083589,-328801603,327202819,402936939,-692157770,-97699821,-147688277,2637352005,5830000000,8085000000,-17714000000,-23358921300,-37445530700,-342000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51190336,39150016,77870460,326000000,23000000,2011000000,-3533785530,-2103681500,4000000
97,Net Change In Cash,- -,-3872,3602,69430551,643656287,-326006911,40641380,472846848,-454652559,-65236874,185021864,-6434759,181363812,904000000,-622000000,7918000000,-958314720,-7068369840,-31000000
98,Cash at the End of Period,- -,1424,5026,77555254,721211541,395209631,435851011,908697859,454045300,279881871,341668865,335234106,516597918,1421000000,799000000,9097000000,13476300750,11864763660,110000000
99,Cash at the Beginning of Period,- -,5296,1424,8124703,77555254,721216542,395209631,435851011,908697859,345118745,156647001,341668865,335234106,517000000,1421000000,1179000000,14434615470,18933133500,141000000
100,Free Cash Flow,- -,-868021,-228605,80080248,-492205631,9096253,-12840991,91963697,-130034195,567653295,598059836,284892278,-217255645,-1209000000,-9000000,-2478000000,13176827400,47879790940,519000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1469395/000129281411001845/0001292814-11-001845-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281412001110/0001292814-12-001110-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281413000973/0001292814-13-000973-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281414000978/0001292814-14-000978-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281415001186/0001292814-15-001186-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281416004448/0001292814-16-004448-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281417001101/0001292814-17-001101-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281418001513/0001292814-18-001513-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281419001636/0001292814-19-001636-index.htm,https://www.sec.gov/Archives/edgar/data/1469395/000129281420001571/0001292814-20-001571-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,
