,https://roic.ai/company/FREVS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,3700000,3730000,4840000,4890000,5580000,6080000,5250000,4460000,5160000,5170000,7180000,6670000,4130000,6710000,4220000,3600000,3420000,2912000,3099000,10683000,966000,1793000,17320000,1047000
21,Income Before Tax Ratio,0.2564,0.2371,0.2665,0.2504,0.2914,0.3011,0.1729,0.1325,0.1347,0.1269,0.1696,0.1572,0.0938,0.1523,0.0928,0.0871,0.0806,0.0650,0.0670,0.2069,0.0167,0.0297,0.3285,0.0208
22,Income Tax expense (Gain),10000,10000,20000,20000,20000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,3690000,3720000,4820000,4870000,5960000,6060000,15210000,4460000,5160000,8940000,6040000,5550000,4410000,5380000,11350000,7450000,11660000,2631000,3005000,13116000,1483000,1787000,20553000,927000
24,Net Income ratio,0.2557,0.2365,0.2654,0.2494,0.3112,0.3001,0.5010,0.1325,0.1347,0.2194,0.1427,0.1308,0.1001,0.1221,0.2496,0.1802,0.2748,0.0587,0.0650,0.2540,0.0256,0.0296,0.3898,0.0184
25,EPS,1.18,0.59,0.76,0.76,0.91,0.89,2.38,0.69,0.78,1.32,0.88,0.80,0.64,0.77,1.64,1.07,1.69,0.39,0.44,1.92,0.21,0.26,2.94,0.13
26,EPS Diluted,1.18,0.59,0.76,0.75,0.88,0.85,2.29,0.66,0.76,1.29,0.88,0.80,0.64,0.77,1.64,1.07,1.69,0.39,0.44,1.92,0.21,0.26,2.94,0.13
27,Weighted Average Shares Outstanding,3120000,6239154,6239154,6240000,6240000,6268000,6378000,6440000,6574000,6753000,6835000,6944000,6942000,6942000,6942000,6942000,6908000,6778000,6783000,6833000,6883000,6940000,6992000,6992000
28,Weighted Average Shares Outstanding Diluted,3120000,6239154,6239154,6266000,6466000,6522000,6658000,6774000,6816000,6916000,6835000,6944000,6942000,6942000,6942000,6942000,6908000,6778000,6784000,6833000,6883000,6940000,6994000,6994000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/36840/000091431701000056/0000914317-01-000056-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431702000038/0000914317-02-000038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/36840/000091431706000170/0000914317-06-000170-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431707000220/form10k-80741_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000091431708000081/0000914317-08-000081-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431709000096/0000914317-09-000096-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431710000065/0000914317-10-000065-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431711000048/form10k-112012_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000091431712000048/0000914317-12-000048-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431713000059/0000914317-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431714000021/form10k-134098_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000117494715000044/form10k-141608_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000117494716001916/0001174947-16-001916-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494717000045/0001174947-17-000045-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494718000033/0001174947-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494719000021/0001174947-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494720000048/0001174947-20-000048-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494721000060/0001174947-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/36840/000117494722000082/0001174947-22-000082-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,11900000,12900000,18800000,5700000,9600000,12700000,8192000,6751000,6769000,6317000,10610000,7801000,10554000,13500000,10906000,7899000,21747000,38075000,36860000,35891000
32,Short-Term Investments,- -,14453000,9451000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2007000,- -,- -,20101000,19383000
33,Cash and Short-Term Investments,- -,14453000,9451000,500000,11900000,12900000,18800000,5700000,9600000,12700000,8192000,6751000,6769000,6317000,10610000,7801000,10554000,13500000,10906000,9906000,21747000,38075000,56961000,55274000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7697000,6587000,11203000,8607000,10270000,10184000,10993000,10160000,9906000,10577000,10262000,11168000,10982000,10661000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2952000,3198000,3264000,5361000,5123000,4801000,5649000,6283000,8434000,9135000,8246000,8229000,6393000,6833000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18841000,16536000,21236000,20285000,26003000,22786000,27196000,29943000,29246000,29618000,40255000,57472000,74336000,72768000
38,PP&E,- -,63441000,78038000,76955000,74687000,84414000,160357000,193186000,207308000,212063000,217013000,223977000,220505000,220161000,214084000,12119000,50146000,101415000,128000,129000,159000,395000,566000,665000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4549000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5902000,6789000,3387000,2774000,2213000,209346000,227975000,220757000,338597000,343210000,351659000,332751000,280313000,272672000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222915000,235315000,223892000,222935000,216297000,221465000,278121000,322172000,338725000,343339000,351818000,333146000,280879000,273337000
46,Other Assets,- -,84428000,96781000,96495000,96032000,107150000,190575000,214998000,234786000,242755000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,84428000,96781000,96495000,96032000,107150000,190575000,214998000,234786000,242755000,241756000,251851000,245128000,243220000,242300000,244251000,305317000,352115000,367971000,372957000,392073000,390618000,355215000,346105000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4014000,7496000,6920000,4000000,4136000,5656000,9495000,10305000,8379000,3870000,1910000,3097000,2277000,2375000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9078000,- -,- -,1043000,1143000
52,Other Current Liabilities,- -,3800000,5400000,5500000,5700000,8100000,11200000,19500000,29100000,28200000,2084000,2083000,4751000,7750000,8101000,4582000,2046000,2018000,2022000,-9078000,338000,1357000,- -,6413000
53,Total Current Liabilities,- -,3800000,5400000,5500000,5700000,8100000,11200000,19500000,29100000,28200000,6098000,9579000,11671000,11750000,12237000,10238000,11541000,12323000,10401000,3870000,2248000,4454000,3320000,9931000
54,Long-Term Debt,- -,60071000,70214000,69354000,68393000,76890000,148244000,166874000,180679000,189389000,192352000,202260000,204604000,203275000,200420000,198443000,251552000,304770000,327198000,326744000,352423000,355609000,311351000,299876000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3485000,3049000,3319000,3036000,1143000,854000,1042000,1080000,1134000,1276000,1369000,1390000,1043000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,29000,-14000,46000,7000,10000,-44000,26000,21000,11000,3061000,2847000,- -,2509000,2325000,10911000,11336000,12705000,13777000,12477000,11689000,13117000,8638000,4347000
58,Total Non-Current Liabilities,- -,60100000,70200000,69400000,68400000,76900000,148200000,166900000,180700000,189400000,198898000,208156000,207923000,208820000,203888000,210208000,263930000,318555000,342109000,340497000,365481000,370116000,321032000,304223000
59,Other Liabilities,- -,120208000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,63908000,74590000,73597000,73032000,83894000,157141000,178839000,196919000,204321000,204996000,217735000,219594000,220570000,216125000,220446000,275471000,330878000,352510000,344367000,367729000,374570000,324352000,314154000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,19314000,19314000,19314000,19314000,19854000,20694000,21129000,- -,- -,- -,- -,- -,- -,- -,24969000,24985000,25860000,26713000,27651000,28288000,28847000,27960000,71000
64,Retained Earnings,- -,1253000,1879000,2274000,2589000,2487000,10633000,7349000,1735000,1891000,-333000,-3112000,- -,-9984000,-6270000,-9651000,-6270000,-11769000,-16916000,-4824000,-4376000,-6762000,13791000,12963000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52892000,-58913000,-64976000,-69619000,686000,360000,-1030000,-1690000,284000,2517000,-2040000,-3986000,-2017000
66,Other Total Stockholders Equity,- -,- -,998000,1310000,- -,-201000,-160000,96000,36132000,36543000,85120000,90120000,84447000,97610000,102064000,-1135000,-3348000,-5517000,-5273000,-5273000,-4941000,-4330000,-2863000,- -
67,Total Stockholders Equity,- -,20520000,22191000,22898000,21903000,22140000,31167000,28574000,24972000,25130000,23561000,20722000,16802000,13850000,17564000,14869000,15727000,7544000,2834000,17838000,21488000,15715000,34902000,36573000
68,Total Liabilities And Stockholders Equity,- -,84428000,96781000,96495000,94935000,106034000,188308000,207413000,221891000,229451000,228557000,238457000,236396000,234420000,233689000,235315000,291198000,338422000,355344000,362205000,389217000,390285000,359254000,350727000
69,Minority Interest,- -,- -,- -,- -,1097000,1116000,2267000,7585000,12895000,13304000,13199000,13394000,8732000,8800000,8611000,8936000,14119000,13693000,12627000,10752000,2856000,333000,-4039000,-4622000
70,Total Liabilities & Equity,- -,84428000,96781000,96495000,96032000,107150000,190575000,214998000,234786000,242755000,241756000,251851000,245128000,243220000,242300000,244251000,305317000,352115000,367971000,372957000,392073000,390618000,355215000,346105000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/36840/000091431701000056/0000914317-01-000056-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431702000038/0000914317-02-000038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/36840/000091431706000170/0000914317-06-000170-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431707000220/form10k-80741_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000091431708000081/0000914317-08-000081-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431709000096/0000914317-09-000096-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431710000065/0000914317-10-000065-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431711000048/form10k-112012_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000091431712000048/0000914317-12-000048-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431713000059/0000914317-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431714000021/form10k-134098_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000117494715000044/form10k-141608_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000117494716001916/0001174947-16-001916-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494717000045/0001174947-17-000045-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494718000033/0001174947-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494719000021/0001174947-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494720000048/0001174947-20-000048-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494721000060/0001174947-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/36840/000117494722000082/0001174947-22-000082-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3690000,3720000,4820000,4870000,5960000,6060000,15210000,4460000,5160000,8940000,6040000,5550000,4410000,5380000,11350000,7450000,11660000,2631000,3005000,13116000,1483000,1787000,20553000,927000
74,Depreciation and Amortization,1780000,1878000,2182000,2445000,2463000,2485000,4333000,4678000,5006000,5781000,6292000,6374000,6666000,6701000,6884000,6909000,7096000,7562000,8804000,12601000,13304000,13089000,12160000,10953000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,94000,94000,122000,130000,124000,46000,42000
77,Change in Working Capital,-130000,-3800000,-1600000,-100000,-200000,-2400000,-3100000,-8300000,-9600000,900000,40943000,-5786000,2608000,-1030000,5231000,-1218000,3107000,1965000,1225000,6903000,12259000,15011000,17998000,-8179000
78,Accounts Receivable,- -,-448000,-1025000,-881000,-169000,-2893000,-1169000,-3424000,884000,-1003000,- -,- -,- -,- -,- -,-181000,-217000,-1766000,-793000,-2780000,-2256000,-1537000,-1777000,-363000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,133000,424000,111000,-138000,725000,1870000,3497000,570000,-93000,- -,- -,- -,- -,- -,318000,1812000,392000,-3264000,-1021000,-1808000,64000,-5452000,-7000
81,Other Working Capital,- -,-3800000,-5400000,-5500000,-5700000,-8100000,-11200000,-19500000,-29100000,-28200000,12743000,6957000,9565000,8535000,13766000,12548000,15655000,17620000,18845000,25748000,38007000,53018000,71016000,62837000
82,Other Non-Cash Items,-220000,3679000,765000,-812000,-793000,-358000,-5139000,8860000,11525000,-4477000,-39488000,7222000,-3493000,3750000,-10340000,-2666000,-9485000,-210000,-5068000,-28014000,-16341000,-16191000,-47120000,8476000
83,Cash Provided by Operating Activities,5120000,5477000,6167000,6403000,7430000,5787000,11304000,9698000,12091000,11144000,13787000,13360000,10191000,14801000,13125000,10475000,12394000,12042000,8060000,4728000,10835000,13820000,3637000,12219000
84,CAPEX,-5350000,-536000,-937000,-1132000,-635000,-2023000,-2409000,-6204000,-16814000,-10626000,-2715000,-10325000,-3683000,-4124000,-6113000,-2149000,-3770000,-4158000,3059000,9135000,-5335000,-3087000,-2048000,-1936000
85,Acquisitions Net,- -,- -,- -,- -,- -,-7323000,-18412000,-8390000,3224000,- -,- -,- -,- -,- -,- -,3752000,-10855000,- -,- -,- -,-12585000,- -,-1383000,- -
86,Purchases of Investments,- -,-14500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4549000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,4932000,9000000,500000,- -,- -,- -,- -,- -,- -,- -,4549000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,2260000,-4497000,209000,-2417000,3848000,18644000,-1658000,-1749000,3796000,-9006000,- -,- -,-1343000,7794000,-6881000,-39477000,-52734000,-20403000,-923000,-3465000,3973000,-1593000,-1792000
89,Cash Used for Investing Activites,-5250000,-12776000,-502000,8077000,-2552000,-5498000,-2177000,-16252000,-15339000,-6830000,-11721000,-14874000,866000,-4124000,3795000,-3129000,-50332000,-52734000,-20403000,-923000,-16050000,3973000,-2976000,-1792000
90,Debt Repayment,- -,-728000,-777000,-860000,-961000,-1132000,-1776000,-3945000,-1989000,-19621000,-8118000,-14873000,-21319000,-3066000,-6337000,-45747000,-20260000,-9117000,-27844000,-34254000,-151801000,-26529000,-22910000,-7823000
91,Common Stock Issued,- -,- -,- -,- -,- -,540000,840000,435000,2021000,75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1075000,-60000,- -,- -,- -,- -,-2213000,-2169000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-3200000,-3307000,-3977000,-4602000,-4773000,-5390000,-6219000,-8036000,-7854000,-9458000,-9976000,-9257000,-8331000,-8330000,-8331000,-7637000,-10812000,-8129000,-8072000,-3033000,-676000,-3048000,-1357000,-1027000
94,Other Financing Activites,3890000,12624000,-69000,1244000,-401000,6634000,2434000,4929000,15014000,27814000,12555000,24263000,18611000,267000,2041000,43229000,73976000,63053000,45665000,30475000,171540000,27878000,20635000,-2049000
95,Cash Used/Provided by Financing Activities,690000,8589000,-4823000,-4218000,-6135000,652000,-4721000,-6617000,7192000,-1190000,-6614000,73000,-11039000,-11129000,-12627000,-10155000,40691000,43638000,9749000,-6812000,19063000,-1699000,-3632000,-10899000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,570000,1290000,842000,10262000,-1257000,941000,4406000,-13171000,3944000,3124000,-4548000,-1441000,18000,-452000,4293000,-2809000,2753000,2946000,-2594000,-3007000,13848000,16094000,-2971000,-472000
98,Cash at the End of Period,22317000,2083000,2925000,13187000,11930000,12871000,18843000,5672000,9616000,12740000,8192000,6751000,6769000,6317000,10610000,7801000,10554000,13500000,10906000,7899000,21747000,42488000,39517000,39045000
99,Cash at the Beginning of Period,21747000,793000,2083000,2925000,13187000,11930000,14437000,18843000,5672000,9616000,12740000,8192000,6751000,6769000,6317000,10610000,7801000,10554000,13500000,10906000,7899000,26394000,42488000,39517000
100,Free Cash Flow,-230000,4941000,5230000,5271000,6795000,3764000,8895000,3494000,-4723000,518000,11072000,3035000,6508000,10677000,7012000,8326000,8624000,7884000,-1867000,-5330000,5500000,10733000,1589000,10283000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/36840/000091431701000056/0000914317-01-000056-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431702000038/0000914317-02-000038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/36840/000091431706000170/0000914317-06-000170-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431707000220/form10k-80741_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000091431708000081/0000914317-08-000081-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431709000096/0000914317-09-000096-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431710000065/0000914317-10-000065-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431711000048/form10k-112012_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000091431712000048/0000914317-12-000048-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431713000059/0000914317-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/36840/000091431714000021/form10k-134098_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000117494715000044/form10k-141608_freit.htm,https://www.sec.gov/Archives/edgar/data/36840/000117494716001916/0001174947-16-001916-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494717000045/0001174947-17-000045-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494718000033/0001174947-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494719000021/0001174947-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494720000048/0001174947-20-000048-index.html,https://www.sec.gov/Archives/edgar/data/36840/000117494721000060/0001174947-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/36840/000117494722000082/0001174947-22-000082-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
