,https://roic.ai/company/WDAY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36,Other Current Assets,- -,10526000,- -,17542000,26526000,44895000,62973000,99442000,115873000,160920000,217498000,272471000,233924000,327359000
37,Total Current Assets,- -,67275000,- -,183172000,884302000,2023658000,2109039000,2362308000,2496526000,3956978000,2700596000,3094622000,4802061000,5214065000
38,PP&E,8800000,12896000,- -,25861000,44585000,77664000,140136000,214158000,365877000,546609000,796907000,1227081000,1386546000,1370883000
39,Goodwill,- -,8488000,- -,8488000,8488000,8488000,32312000,50325000,158354000,159376000,1379125000,1819261000,1819625000,2840044000
40,Intangible Assets,- -,188000,- -,90000,- -,4865000,6409000,18511000,50885000,45451000,332656000,326299000,266392000,413794000
41,Intangible Assets,- -,8676000,- -,8578000,8488000,13353000,38721000,68836000,209239000,204827000,1711781000,2145560000,2086017000,3253838000
42,Investments,- -,- -,- -,- -,- -,- -,10000000,28742000,14004000,29205000,50546000,75004000,134090000,256759000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1884000,4544000,6912000,9985000,11642000
44,Other Non-Current Assets,- -,11758000,- -,15027000,21705000,61590000,60737000,56050000,80778000,207921000,256372000,267186000,299712000,391318000
45,Total Non-Current Assets,- -,33330000,- -,49466000,74778000,152607000,249594000,367786000,669898000,990446000,2820150000,3721743000,3916350000,5284440000
46,Other Assets,97800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,97800000,100605000,- -,232638000,959080000,2176265000,2358633000,2730094000,3166424000,4947424000,5520746000,6816365000,8718411000,10498505000
48,Accounts Payable,- -,1145000,- -,2730000,2665000,6212000,10623000,19605000,26824000,20998000,29093000,57556000,75596000,55487000
49,Short-Term Debt,- -,1665000,- -,7075000,12008000,9377000,3207000,- -,- -,341509000,232514000,310466000,1196101000,1302946000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,55541000,- -,114734000,199340000,332682000,547151000,768741000,1097417000,1426241000,1837618000,2223178000,2556624000,3110947000
52,Other Current Liabilities,- -,12989000,- -,20699000,40761000,73619000,80284000,134333000,172207000,270126000,331466000,378204000,454327000,598475000
53,Total Current Liabilities,- -,71340000,- -,145238000,254774000,421890000,641265000,922679000,1296448000,2058874000,2430691000,2969404000,4282648000,5067855000
54,Long-Term Debt,- -,- -,- -,- -,- -,468412000,490501000,507476000,534423000,1149845000,972264000,1017967000,1041964000,799810000
55,Deferred Revenue,- -,41863000,- -,73363000,85920000,80883000,85593000,130988000,135970000,110906000,111652000,86025000,80111000,71533000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,85041000,- -,189598000,26103000,17863000,15299000,32794000,36677000,47434000,47697000,256418000,35854000,24225000
58,Total Non-Current Liabilities,- -,126904000,- -,262961000,112023000,567158000,591393000,671258000,707070000,1308185000,1131613000,1360410000,1157929000,895568000
59,Other Liabilities,66400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,4160000,- -,15716000,24980000,12966000,3207000,- -,- -,- -,- -,307572000,443051000,262959000
61,Total Liabilities,66400000,198244000,- -,408199000,366797000,989048000,1232658000,1593937000,2003518000,3367059000,3562304000,4329814000,5440577000,5963423000
62,Preferred Stock,- -,68000,- -,68000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,26000,- -,33000,162000,181000,186000,193000,202000,211000,221000,231000,242000,251000
64,Retained Earnings,- -,-196701000,- -,-282122000,-401880000,-574389000,-822371000,-1112289000,-1520567000,-1727856000,-2146304000,-2627359000,-2909990000,-2744585000
65,Other Comprehensive Income/Loss,-88400000,3000,- -,3000,68000,269000,-140000,799000,2071000,-46413000,-809000,23492000,-54970000,7709000
66,Other Total Stockholders Equity,- -,98965000,- -,106457000,993933000,1761156000,1948300000,2247454000,2681200000,3354423000,4105334000,5090187000,6242552000,7271707000
67,Total Stockholders Equity,- -,-97639000,- -,-175561000,592283000,1187217000,1125975000,1136157000,1162906000,1580365000,1958442000,2486551000,3277834000,4535082000
68,Total Liabilities And Stockholders Equity,- -,100605000,- -,232638000,959080000,2176265000,2358633000,2730094000,3166424000,4947424000,5520746000,6816365000,8718411000,10498505000
69,Minority Interest,97800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,97800000,100605000,- -,232638000,959080000,2176265000,2358633000,2730094000,3166424000,4947424000,5520746000,6816365000,8718411000,10498505000
71,SEC Link,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1327811/000119312513122351/0001193125-13-122351-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000119312514124249/0001193125-14-124249-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781115000006/wday-01312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781116000032/0001327811-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781117000008/0001327811-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781118000009/0001327811-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781119000038/0001327811-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781120000022/0001327811-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781121000020/0001327811-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781122000030/0001327811-22-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-49942000,-56215000,-5500000,-79629000,-119190000,-172509000,-247982000,-289918000,-408278000,-321222000,-418258000,-480674000,-282431000,29373000
74,Depreciation and Amortization,3262000,5313000,500000,9319000,17722000,34695000,59205000,85939000,115885000,136974000,198111000,276278000,293657000,343723000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,896000,1702000,- -,4182000,15328000,61851000,156048000,249970000,372272000,478425000,652465000,859571000,1004854000,1100584000
77,Change in Working Capital,13200000,- -,-4065000,41999000,591594000,972240000,-133994000,-28145000,-239551000,698026000,-1628199000,-144687000,394195000,108062000
78,Accounts Receivable,966000,-14520000,- -,-39025000,-12970000,-25037000,-96876000,-105264000,-88639000,-114613000,-160527000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-295000,274000,274000,2195000,-65000,3547000,1120000,6824000,6336000,-7249000,5877000,20293000,-3476000,9414000
81,Other Working Capital,- -,- -,-4065000,37934000,629528000,1601768000,1467774000,1439629000,1200078000,1898104000,269905000,125218000,519413000,291063000
82,Other Non-Cash Items,2456000,33865000,7965000,10355000,-494240000,-850014000,268726000,240791000,508327000,-526476000,1802539000,354110000,-141834000,68962000
83,Cash Provided by Operating Activities,-30128000,-15335000,-1100000,-13774000,11214000,46263000,102003000,258637000,348655000,465727000,606658000,864598000,1268441000,1650704000
84,CAPEX,-4229000,-3662000,-100000,-4999000,-15898000,-75725000,-103646000,-133667000,-106997000,-124811000,-181180000,-99308000,-256330000,-272274000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-26317000,-31436000,-147879000,-5744000,-1474337000,-473603000,- -,-1190199000
86,Purchases of Investments,-51001000,-20862000,- -,-64282000,-765797000,-1589240000,-1747840000,-2142391000,-1917538000,-2532196000,-2032884000,-1822861000,-2799367000,-2981740000
87,Sales/Maturities of Investments,40703000,36691000,- -,13086000,111577000,983242000,1472636000,2008107000,2124638000,1836307000,3058574000,1743403000,1820189000,3008288000
88,Other Investing Activites,- -,- -,800000,- -,- -,-910000,1000000,-760000,-121109000,-152536000,-212957000,-244553000,-262446000,-443775000
89,Cash Used for Investing Activites,-14527000,12167000,700000,-56195000,-670118000,-682633000,-404167000,-300147000,-168885000,-978980000,-842784000,-896922000,-1241624000,-1607426000
90,Debt Repayment,- -,-952000,- -,-4296000,-9453000,-12129000,-9759000,-3193000,- -,- -,-350030000,-30000,-268762000,-37614000
91,Common Stock Issued,- -,- -,- -,- -,684620000,592241000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,100000,- -,- -,- -,-8291000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,76704000,626000,- -,101274000,10370000,553498000,37505000,47302000,59681000,1106262000,93319000,125154000,893811000,147865000
95,Cash Used/Provided by Financing Activities,76704000,-326000,- -,96978000,685537000,1133610000,19455000,44109000,59681000,1106262000,-256711000,125124000,625049000,110251000
96,Effect of Forex Changes on Cash,-4000,9000,- -,8000,-4000,-72000,-425000,-704000,385000,751000,-614000,-282000,1334000,-705000
97,Net Change In Cash,32045000,-3485000,-400000,27017000,26629000,497168000,-283134000,1895000,239836000,593760000,-493451000,92518000,653200000,152824000
98,Cash at the End of Period,34372000,30887000,638154000,57529000,84158000,581326000,298192000,300087000,539923000,1135654000,642203000,734721000,1387921000,1540745000
99,Cash at the Beginning of Period,2327000,34372000,638554000,30512000,57529000,84158000,581326000,298192000,300087000,541894000,1135654000,642203000,734721000,1387921000
100,Free Cash Flow,-34357000,-18997000,-1200000,-18773000,-4684000,-29462000,-1643000,124970000,227842000,313191000,393701000,620054000,1012111000,1378430000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1327811/000119312513122351/0001193125-13-122351-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000119312514124249/0001193125-14-124249-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781115000006/wday-01312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781116000032/0001327811-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781117000008/0001327811-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781118000009/0001327811-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781119000038/0001327811-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781120000022/0001327811-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781121000020/0001327811-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781122000030/0001327811-22-000030-index.htm
102,false,,,,,,,,,,,,,,
