,https://roic.ai/company/GOOS,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,-692000,-1302000,-3124000,-2400000,400000,-143600000
66,Other Total Stockholders Equity,57240000,57740000,4074000,4483000,9200000,97200000,168800000
67,Total Stockholders Equity,114433000,142702000,146168000,243610000,399100000,520200000,600100000
68,Total Liabilities And Stockholders Equity,274825000,353018000,380869000,548438000,725400000,1112700000,1507200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,274825000,353018000,380869000,548438000,725400000,1112700000,1507200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,14425000,26485000,21640000,96055000,143600000,151700000,70200000
74,Depreciation and Amortization,3394000,5916000,8521000,14219000,22700000,63100000,84600000
75,Deferred Income Tax,4707000,6473000,8900000,29185000,38900000,- -,15800000
76,Stock Based Compensation,300000,500000,3274000,1971000,3800000,- -,11300000
77,Change in Working Capital,-17493000,-37848000,19866000,-2320000,-100700000,-130600000,102500000
78,Accounts Receivable,-9241000,-3366000,7677000,-3065000,3400000,-11900000,-10400000
79,Inventory,-10622000,-49778000,-5958000,-39512000,-87300000,-145000000,67000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1425000,1367000,5746000,4317000,8200000,17000000,13900000
82,Other Non-Cash Items,-373000,-7968000,-22871000,-12879000,-34900000,-21700000,9300000
83,Cash Provided by Operating Activities,4960000,-6442000,39330000,126231000,73400000,62500000,293700000
84,CAPEX,-6003000,-21842000,-26269000,-33799000,-49300000,-62300000,-32000000
85,Acquisitions Net,-1260000,- -,-710000,-585000,-33600000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2172000,-6772000,-10471000,-7673000,-19000000,- -,-5100000
89,Cash Used for Investing Activites,-7263000,-21842000,-26979000,-34384000,-82900000,-62300000,-32000000
90,Debt Repayment,-1250000,-1250000,-240583000,-8861000,- -,- -,-38800000
91,Common Stock Issued,- -,- -,100000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-121481000,- -,- -,-36300000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6201000,30842000,252165000,927000,3100000,-22400000,235800000
95,Cash Used/Provided by Financing Activities,4951000,29592000,-9899000,-7934000,3100000,-58700000,197000000
96,Effect of Forex Changes on Cash,- -,- -,- -,1699000,-300000,1600000,-12500000
97,Net Change In Cash,2648000,1308000,2452000,85612000,-6700000,-56900000,446200000
98,Cash at the End of Period,5918000,7226000,9678000,95290000,88600000,31700000,477900000
99,Cash at the Beginning of Period,3270000,5918000,7226000,9678000,95300000,88600000,31700000
100,Free Cash Flow,-1043000,-28284000,13061000,92432000,24100000,200000,261700000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.7881,0.7688,0.7509,0.7754,0.7492,0.711,0.7961
