,https://roic.ai/company/AKO-A,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11884239000,5418767000,3376138000,3182434000,2728059000,4973312000,8655623000,10118375000,9661692000,11194375000,3940244000,3249550000,7931055000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27576509000,7897359000,7401831000,7235176000,11172753000,28944023000,65081431000,55669217000,51374971000,55220369000,55014660000,39490706000,47114231000,- -
14,Depreciation and Amortization,38487639018,43939651051,48893532157,55850627662,48932997451,40093935720,39627778095,35608650965,36271565280,35887450334,46021089000,36960663000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,93262238628,76189519031,82210075067,96128221680,90459654794,56857907153,83560000668,100230175330,124228433769,144360060304,193681630000,164142259000,147339443000,138944242000,137314350000,140892965000,162310950000,185175263000,190708055000,224853793000,207182886000,274379525000,224019435000,200875000000
16,EBITDA ratio,0.2239,0.1979,0.1849,0.1995,0.2271,0.1470,0.2027,0.2094,0.2271,0.2267,0.2286,0.2209,0.1658,0.1414,0.1171,0.0926,0.0903,0.0986,0.1073,0.1216,0.1238,0.1542,0.1319,0.0906
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130061281000,- -,- -,- -,- -,- -,- -,- -,- -,- -,237781000000,239612000000,292438000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1750,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1337,0.1411,0.1319
19,Total Other Income Expenses (Gains),5525933058,-447856013,-21524327590,-15549239857,5043228,-30932818019,-18706666816,-13338825986,-7126198041,-6980079708,-18608091000,-10775095000,-2550028000,-2165485000,-22251732000,-48635013000,-84664629000,-77636938000,-66841178000,-60258866000,-67700158000,-1367884000,-61589281000,-89229000000
20,Income Before Tax,54774599610,32249867980,33316542909,40277594018,41526657343,16766944085,43934444796,64609680904,87986687445,108514940647,120068509000,119286186000,139940304000,131712085000,126773808000,113233488000,97388527000,129740488000,140856204000,170798359000,153015601000,236413116000,178022719000,203209000000
21,Income Before Tax Ratio,0.1315,0.0838,0.0749,0.0836,0.1043,0.0433,0.1066,0.1350,0.1608,0.1704,0.1417,0.1605,0.1575,0.1340,0.1081,0.0744,0.0542,0.0691,0.0792,0.0924,0.0915,0.1329,0.1048,0.0917
22,Income Tax expense (Gain),9064469139,5091582899,1816256454,7210839362,8505043286,1009512483,3929444476,8553553060,13562300239,26870518029,25248075000,32365904000,36340240000,34684661000,38504636000,22966264000,45354435000,41642562000,48807093000,51797634000,55564855000,61166891000,54905399000,46177000000
23,Net Income,45710130471,27158285080,31500286455,33066754656,33021614057,15754458950,40002778098,56067971305,74394568250,81602091940,94835957000,86918333000,103597372000,97024405000,87636961000,88982678000,51875084000,87863484000,90525991000,117835790000,96603371000,173721928000,121999805000,154698000000
24,Net Income ratio,0.1097,0.0706,0.0708,0.0686,0.0829,0.0407,0.0971,0.1171,0.1360,0.1282,0.1119,0.1170,0.1166,0.0987,0.0748,0.0585,0.0289,0.0468,0.0509,0.0637,0.0577,0.0977,0.0718,0.0698
25,EPS,358.70,195.87,248.54,260.86,271.00,119.71,316.81,444.75,587.05,644.06,750.00,685.80,778.68,765.72,655.92,564.06,478.50,556.92,573.84,746.94,583.20,1101.18,773.34,980.58
26,EPS Diluted,358.70,195.87,248.54,260.86,271.00,119.71,316.81,444.75,587.05,644.06,750.00,685.80,778.68,765.72,655.92,564.06,478.50,556.92,573.84,746.94,583.20,1101.18,773.34,980.58
27,Weighted Average Shares Outstanding,127432777,126712000,126712000,126712333,126712333,126712333,126712333,126712333,126712333,126712333,126712333,126716667,126712424,126712424,133603127,157761767,157761767,157761767,157761767,157761767,157761767,157761767,157761767,157761767
28,Weighted Average Shares Outstanding Diluted,127432777,126712000,126712000,126712333,126712333,126712333,126712333,126712333,126712333,126712333,126716667,126716667,126712424,126712424,133603127,157761767,157761767,157761767,157761767,157761767,157761767,157761767,157761767,157761767
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925261/000110465920053223/0001104659-20-053223-index.htm,https://www.sec.gov/Archives/edgar/data/925261/000110465921056483/0001104659-21-056483-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,24085014573,9346016630,13773333444,14420185412,16350905122,24753984157,21250102000,20217244000,48263080000,31297922000,55522255000,79976126000,79514434000,129160939000,141263880000,136242116000,137538613000,157567986000,309530699000,- -
32,Short-Term Investments,- -,- -,- -,- -,25539625534,31696194950,23551111300,39724510914,33234291603,97622012319,108002588000,118099705000,48914734000,15661183000,128581000,33129465000,103705709000,87491931000,55474284000,14138161000,14040000,347278000,140304853000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,49624640107,41042211581,37324444743,54144696326,49585196725,122375996476,129252690000,138316949000,97177814000,46959105000,55650836000,113105591000,183220143000,216652870000,196738164000,150380277000,137552653000,157915264000,449835552000,499783000000
34,Net Receivables,- -,- -,- -,- -,44035302893,53481569466,57352222681,70751287511,71094248780,86429781201,83052553000,84173962000,99791595000,116325598000,156999677000,202526430000,204112302000,181960010000,189239122000,188766488000,177440844000,211909345000,206349257000,274910000000
35,Inventory,- -,- -,- -,- -,17811239314,19690249668,20637222387,17434088612,22703407746,27298804884,31227350000,36222020000,49939194000,57486658000,89319826000,125853991000,149727618000,133333253000,144709348000,131363000000,151319709000,147641224000,127972650000,191350000000
36,Other Current Assets,- -,- -,- -,- -,11903458294,13603448252,16493333465,19768795106,20829605840,29714641546,13009580000,12262518000,10712132000,14760858000,25201828000,19098074000,16676138000,15463723000,22055763000,13500285000,15273248000,16008270000,13140257000,24943000000
37,Total Current Assets,- -,- -,- -,- -,123374640608,127817478966,131807223277,162098867556,164212459092,265819224107,256542173000,270975449000,257620735000,235532219000,327172167000,460584086000,553736201000,547409856000,552742397000,484010050000,481586454000,533474103000,797297716000,990986000000
38,PP&E,- -,- -,- -,- -,207349425041,169085612069,153029445669,139377961216,142117677540,168583665973,227193981000,204497255000,291482180000,350064467000,1153101450000,1385899616000,1426150570000,1281059744000,1332301770000,1319500998000,710770968000,722718863000,605576545000,716379000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,71429969284,67921192356,57062251211,65269071000,46093855000,57770335000,57552178000,64792741000,115779067000,116924199000,95835936000,102919505000,93598217000,117229173000,121221661000,98325593000,118043000000
40,Intangible Assets,- -,- -,- -,- -,114500721240,87979191284,83703334003,176107107,167731628,162350598,163785000,477231000,1365595000,1138857000,464582273000,700606492000,728181279000,665666655000,680996062000,663272878000,668822553000,675075375000,604514165000,- -
41,Intangible Assets,- -,- -,- -,- -,114500721240,87979191284,83703334003,71606076391,68088923985,57224601809,65432856000,46571086000,59135930000,58691035000,529375014000,816385559000,845105478000,761502591000,783915567000,756871095000,786051726000,796297036000,702839758000,118043000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53732964000,57351037000,50754168000,60290966000,73080061000,68673399000,66050213000,54190546000,77197781000,99169321000,112326578000,210651044000,249969632000,91489000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,676622041,- -,- -,- -,- -,6891609000,8060227000,- -,- -,- -,- -,- -,3212981000,- -,1364340000,1925869000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,225403459746,200543994891,208936668338,152560762485,139453673296,48800796996,54581000,5857665000,29321082000,29320429000,-542892361000,-648581350000,-621869171000,-434801713000,-547047768000,-547904978000,123768963000,126443037000,90454880000,1029209000000
45,Total Non-Current Assets,- -,- -,- -,- -,547253606027,457608798243,445669448010,364221422133,349660274820,274609064778,346414382000,314277043000,437584969000,506427124000,1212664164000,1622377224000,1715437090000,1661951168000,1646367350000,1630849417000,1732918235000,1857474320000,1650766684000,1955120000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3910241000000
47,Total Assets,- -,- -,- -,- -,670628246635,585426277210,577476671286,526320289689,513872733912,540428288885,602956555000,585252492000,695205704000,741959343000,1539836331000,2082961310000,2269173291000,2209361024000,2199109747000,2114859467000,2214504689000,2390948423000,2448064400000,2946107000000
48,Accounts Payable,- -,- -,- -,- -,29396253802,27742568322,33504444712,37895983618,42890841067,59573705403,81591762000,76969589000,105282335000,112963542000,159211448000,162980833000,171289867000,212526368000,242836356000,257519477000,238109847000,243700553000,230445809000,383513000000
49,Short-Term Debt,- -,- -,- -,- -,17035302710,20269322200,33373889156,42125128839,32919062638,30144920432,8803775000,3733066000,10061870000,12116592000,92001957000,91262210000,62988043000,45863234000,50125139000,53686623000,43741684000,29056297000,25222571000,25410000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3937065000,5421349000,4009389000,3821247000,24644629000,45243227000,50390519000,7494832000,10828593000,3184965000,9338612000,6762267000,8828599000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,499999997,466633468,29455000,4316000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,41188761087,43517835833,39103889202,44805355417,50025026328,48480079864,42977939000,46576576000,52208106000,71563770000,94157415000,147901096000,175934517000,122184608000,126573359000,117081222000,138010570000,138901502000,122387806000,120644000000
53,Total Current Liabilities,- -,- -,- -,- -,87620317599,91529726355,105982223070,124826467874,126334930030,138665339167,133402931000,127283547000,167552311000,196643904000,345370820000,402144139000,410212427000,380574210000,419534854000,428287322000,419862101000,411658352000,378056186000,529567000000
54,Long-Term Debt,- -,- -,- -,- -,196268733323,171489892683,156734445698,102309989959,76484025106,77758466428,77453417000,73684830000,70449459000,74641403000,173880195000,604413578000,726616440000,765299344000,721570587000,675767201000,716563778000,743327057000,938260715000,1024662000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1929394826,1335909629,377777781,- -,4129925428,12375498055,11502194000,18487127000,42492348000,35245490000,111414626000,105537484000,126126147000,130201701000,125608802000,125204566000,145245948000,169449747000,153669547000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,15635446792,18087990456,24612777975,29491246212,30872736771,29192729193,32963545000,29208050000,19846990000,13449626000,15565769000,89433521000,87220544000,81751469000,90225477000,72367029000,69118119000,97609319000,146517361000,290464000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,213833574941,190913792767,181725001454,131801236171,111486687306,119326693676,121919156000,121380007000,132788797000,123336519000,300860590000,799384583000,939963131000,977252514000,937404866000,873338796000,930927845000,1010386123000,1238447623000,1315126000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1517093000,9267061000,26669648000,19692875000,20935130000,16541430000,15331935000,29468235000,21057857000,- -
61,Total Liabilities,- -,- -,- -,- -,301453892540,282443519122,287707224524,256627704045,237821617335,257992032843,255322087000,248663554000,300341108000,319980423000,646231410000,1201528722000,1350175558000,1357826724000,1356939720000,1301626118000,1350789946000,1422044475000,1616503809000,1844693000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270759299000,270737574000,270737574000,270737574000,270737574000,270737574000,270737574000,270737574000,270737574000,- -
64,Retained Earnings,- -,- -,- -,- -,125035303444,116565992660,96453334105,82416066119,84404685336,92773406723,100865732000,123197178000,180110975000,208102068000,239844662000,243192801000,247817939000,274755431000,295708512000,335523254000,462221463000,600918265000,654171126000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,59566282826,-336211057672,2978888913,-11848094778,-11693823147,-28637948315,-502897614000,-461601328000,-16146887000,-17024341000,363581513000,346738667000,378738982000,284980830000,254159496000,185049228000,110854089000,76993851000,-113727586000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21725000,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,369124642280,302934601132,289717780096,268574665970,274879657585,281148905440,346248602000,336578506000,394856266000,421969905000,874163749000,860669042000,897294495000,830473835000,820605582000,791310056000,843813126000,948649690000,811181114000,1076144000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,670578534819,585378120254,577425004619,525202370016,512701274920,539140938282,601570689000,585242060000,695197374000,741950328000,1520395159000,2062197764000,2247470053000,2188300559000,2177545302000,2092936174000,2194603072000,2370694165000,2427684923000,2920837000000
69,Minority Interest,- -,- -,- -,- -,49711816,48156956,51666667,1117919673,1171458992,1287350602,1385866000,10432000,8330000,9015000,19441172000,20763546000,21703238000,21060465000,21564445000,21923293000,19901617000,20254258000,20379477000,25270000000
70,Total Liabilities & Equity,- -,- -,- -,- -,670628246635,585426277210,577476671286,526320289689,513872733912,540428288885,602956555000,585252492000,695205704000,741959343000,1539836331000,2082961310000,2269173291000,2209361024000,2199109747000,2114859467000,2214504689000,2390948423000,2448064400000,2946107000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925261/000110465920053223/0001104659-20-053223-index.htm,https://www.sec.gov/Archives/edgar/data/925261/000110465921056483/0001104659-21-056483-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,45710130471,27158285080,31500286455,33066754656,33021614057,15754458950,40002778098,56067971305,74394568250,81602091940,94835957000,86918333000,103597372000,97024405000,87636961000,88982678000,51875084000,87863484000,90525991000,117835790000,96603371000,173721928000,121999805000,154698000000
74,Depreciation and Amortization,38487639018,43939651051,48893532157,55850627662,48932997451,40093935720,39627778095,35608650965,36271565280,35887450334,46021089000,36960663000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-2666020335,-9660137736,8017744769,-54196959,11627521693,-17228894143,-24714444642,-3461894962,15633652730,3634960173,26075293000,-5836771000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16600742000,2062623000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-96946194,-2682901033,635374934,7524124226,-2628242093,-3401902491,-2102222239,2422245114,-4702875372,-5406872530,1113953000,-10035573000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1703237000,-2548066000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-28574665366,-15171458909,-27189741138,29152755000,1261173000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-1308773619,3890418250,4106468264,684732317,4723342972,28070749059,15099444565,8658599404,689563361,16014442291,-7601489000,4009415000,22250337000,41926091000,-87636961000,-88982678000,-51875084000,-87863484000,-90525991000,-117835790000,-96603371000,-173721928000,-121999805000,-154698000000
83,Cash Provided by Operating Activities,80222975535,65328216645,92518031646,89547917676,98305476173,66690249585,70015556116,96873326712,126989349621,137138944739,159330850000,122051640000,125847709000,138950496000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
84,CAPEX,-48618516291,-33123875400,-26659988764,-22615994620,-23840778260,-25343043951,-32977222486,-27409371851,-37023961442,-56024402601,-67074398000,-49762563000,-95461555000,-126930944000,-143763670000,-183697386000,-114216855000,-112399528000,-128217485000,-180781129000,-121063273000,-111131565000,-86082847000,-144027296000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1139982000,- -,- -,4077930000,-35877240000,-257539987000,4616752000,-915069000,-17586575000,-15570161000,-15615466000,- -,- -,- -
86,Purchases of Investments,- -,- -,-414424731400,-961403168554,-52827810158,-142805588334,-27668889110,-25298661238,-1294994668,-21558267013,-9069083000,-22809451000,-15229291000,-44463129000,-2816228000,-52950290000,-186717244000,-98396200000,-78006986000,-53837967000,-1953309000,-70373000,-139922435000,-54943577000
87,Sales/Maturities of Investments,- -,- -,445580427126,772813612158,37806196223,149410225659,22348333512,60229145363,42256123286,108329681682,1060242000,239381000,- -,81958070000,16896686000,30639778000,127268370000,106609849000,109824298000,81258426000,20286284000,1135034000,2122954000,678274000
88,Other Investing Activites,-2956858917,24981471930,7827704699,28526106955,636167151,932818072,852222229,3392378999,2048455792,698705182,757650000,196183000,30186668000,-4263125000,9390249000,15998364000,2273241000,1969878000,70431000,-11824028000,260116000,-429403000,-204319000,-5131220000
89,Cash Used for Investing Activites,-51575375208,-8142403470,12323411661,-182679444061,-38226225044,-17805588554,-37445555855,10913491274,5985622968,31445717250,-75465571000,-72136450000,-80504178000,-89621198000,-156170203000,-447549521000,-166775736000,-103131070000,-113916317000,-168831410000,-118085648000,-110048000000,-223878758000,-198252680000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89663567000,-23461666000,-26083393000,-111722342000,-188709976000,-273136666000,-174384106000,-133663764000,-52821316000,-75179336000,-46630825000,-77322346000,-29171823000,-11972349000
91,Common Stock Issued,- -,- -,14882656,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21725000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-16674745368,-19687136249,-70447625059,- -,-58780259766,-51009512395,-45578333698,-72589083602,-73723109255,-78347609856,-73505825000,-62146430000,-66524747000,-70905803000,-69766002000,-73041053000,-52268909000,-54319681000,-67591930000,-74968175000,-87535698000,-86265896000,-99985500000,-106347165000
94,Other Financing Activites,-775569552,8547379652,-31396680273,59970257520,-4973342973,-2802615928,1950000016,-41591143256,-38651756960,-12389940286,83876548000,18076402000,30060401000,115468760000,254946719000,649283575000,179732774000,89423068000,22188721000,71801741000,19531245000,36475605000,242198284000,3000000000
95,Cash Used/Provided by Financing Activities,-17450314920,-11139756597,-101829422676,59970257520,-63753602739,-53812128324,-43628333682,-114180226858,-112374866214,-90737550142,-79292844000,-67531694000,-62547739000,-67159385000,-3550984000,303105856000,-46920241000,-98560377000,-98224525000,-78345770000,-114635278000,-127112637000,113040961000,-115319514000
96,Effect of Forex Changes on Cash,- -,- -,-762449920,-9622604058,-6157781022,-4152199755,-3811666697,-576725027,-609691157,-1124501996,- -,3814675000,2676067000,864929000,-4911280000,-3187189000,-2280146000,-13571278000,797223000,-5804932000,3574340000,2041536000,-15968488000,3298532000
97,Net Change In Cash,11197285407,46046056578,2249570711,-42784533862,-9832132632,-9079667047,-14870555675,-6970648833,19990415217,76722609850,-2921100000,-13801829000,-14528141000,-16965158000,24224333000,24453871000,-461692000,49646505000,12102941000,-5021764000,1296497000,20029373000,151962713000,-5218679000
98,Cash at the End of Period,43334948718,89331393171,95900401449,57725049333,49624640107,41041617050,27033333550,21159629302,41594781436,121371514401,129252690000,112445009000,48263080000,31297922000,55522255000,79976126000,79514434000,129160939000,141263880000,136242116000,137538613000,157567986000,309530699000,304312020000
99,Cash at the Beginning of Period,32137663311,43285336593,93650830739,100509583196,59456772739,50121284097,41903889224,28130278135,21604366219,44648904550,132173790000,126246838000,62791221000,48263080000,31297922000,55522255000,79976126000,79514434000,129160939000,141263880000,136242116000,137538613000,157567986000,309530699000
100,Free Cash Flow,31604459244,32204341245,65858042882,66931923056,74464697913,41347205635,37038333630,69463954861,89965388179,81114542138,92256452000,72289077000,30386154000,12019552000,45093130000,-11612661000,101297576000,152509702000,95229075000,67179219000,114216089000,144016909000,192686151000,161027687000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925261/000110465920053223/0001104659-20-053223-index.htm,https://www.sec.gov/Archives/edgar/data/925261/000110465921056483/0001104659-21-056483-index.htm,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0016,0.002,0.002136,0.001924,0.002087,0.001903,0.001646,0.00141,0.001492,0.001623,0.001439,0.001329,0.001406,0.001172
