,https://roic.ai/company/BILI,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),2425000,3141000,8881000,25988000,35867000,53369000,95289000
23,Net Income,-371576000,-910066000,-183750000,-551720000,-1288973000,-3011704000,-6789228000
24,Net Income ratio,-2.8365,-1.7391,-0.0744,-0.1336,-0.1902,-0.2510,-0.3503
25,EPS,-2.40,-3.43,-1.32,-2.64,-3.99,-8.71,-19.63
26,EPS Diluted,-2.40,-3.43,-1.32,-2.64,-3.99,-8.71,-19.63
27,Weighted Average Shares Outstanding,237084428,345816023,237084428,233047703,323161680,345816023,345816023
28,Weighted Average Shares Outstanding Diluted,237084428,345816023,237084428,233047703,323161680,345816023,345816023
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1723690/000110465919018702/0001104659-19-018702-index.html,https://www.sec.gov/Archives/edgar/data/1723690/000119312520088657/0001193125-20-088657-index.html,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,689663000,387198000,762882000,3540031000,4962660000,4678109000,7523108000
32,Short-Term Investments,50000000,712564000,490351000,1694723000,3105368000,8077278000,22693056000
33,Cash and Short-Term Investments,739663000,1099762000,1253233000,5234754000,8068028000,12755387000,30216164000
34,Net Receivables,28701000,128666000,455032000,435279000,1098286000,1412441000,1382328000
35,Inventory,1124000,6694000,9981000,55032000,69914000,160006000,- -
36,Other Current Assets,83066000,165684000,434854000,824932000,1087836000,1411713000,4848364000
37,Total Current Assets,852554000,1400806000,2153100000,6549997000,10324064000,15739547000,36446856000
38,PP&E,34230000,51024000,186418000,394898000,516087000,761941000,1350256000
39,Goodwill,- -,50967000,50967000,941488000,1012026000,1295786000,2338303000
40,Intangible Assets,109515000,282472000,426292000,1419435000,1657333000,2356959000,3835600000
41,Intangible Assets,109515000,333439000,477259000,2360923000,2669359000,3652745000,6173903000
42,Investments,160644000,377031000,635952000,979987000,1251129000,2232938000,5502524000
43,Tax Assets,- -,- -,- -,- -,10479000,20918000,- -
44,Other Non-Current Assets,- -,4410000,20796000,204231000,745449000,1457519000,2579612000
45,Total Non-Current Assets,304389000,765904000,1320425000,3940039000,5192503000,8126061000,15606295000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1156943000,2166710000,3473525000,10490036000,15516567000,23865608000,52053151000
48,Accounts Payable,122762000,316859000,609456000,1316955000,1929940000,3137605000,4360906000
49,Short-Term Debt,10000000,- -,- -,- -,95901000,250402000,1232106000
50,Tax Payable,6771000,10982000,24992000,38505000,67856000,127192000,203770000
51,Deferred Revenue,16564000,218396000,572848000,985143000,1369000000,2118006000,2645389000
52,Other Current Liabilities,158876000,92845000,215690000,996736000,877756000,1885535000,3832610000
53,Total Current Liabilities,308202000,628100000,1397994000,3298834000,4272597000,7391548000,12071011000
54,Long-Term Debt,- -,- -,- -,- -,3414628000,8340922000,17784092000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,192882000,350934000,481982000
58,Total Non-Current Liabilities,- -,- -,- -,- -,3607510000,8691856000,18266074000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,95901000,150402000,- -
61,Total Liabilities,308202000,628100000,1397994000,3298834000,7880107000,16083404000,30337085000
62,Preferred Stock,1394477000,2861613000,- -,- -,- -,- -,- -
63,Common Stock,40247000,40257000,154000,197000,208000,224000,- -
64,Retained Earnings,-655885000,-1777990000,-2222774000,-2842690000,-4145606000,-7175339000,- -
65,Other Comprehensive Income/Loss,48311000,107337000,34122000,333743000,479692000,159013000,- -
66,Other Total Stockholders Equity,23173000,307036000,4264029000,9459546000,10718190000,14616302000,- -
67,Total Stockholders Equity,850323000,1538253000,2075531000,6950796000,7052484000,7600200000,21703667000
68,Total Liabilities And Stockholders Equity,1158525000,2166353000,3473525000,10249630000,14932591000,23683604000,52040752000
69,Minority Interest,-1582000,357000,- -,240406000,583976000,182004000,12399000
70,Total Liabilities & Equity,1156943000,2166710000,3473525000,10490036000,15516567000,23865608000,52053151000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1723690/000110465919018702/0001104659-19-018702-index.html,https://www.sec.gov/Archives/edgar/data/1723690/000119312520088657/0001193125-20-088657-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-371576000,-910066000,-183750000,-551720000,-1288973000,-3011704000,- -
74,Depreciation and Amortization,42226000,161518000,304398000,642445000,1168109000,1817876000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-10479000,-13466000,- -
76,Stock Based Compensation,100917000,365488000,79954000,181193000,172550000,385898000,- -
77,Change in Working Capital,34678000,163588000,257881000,565054000,223125000,1487266000,- -
78,Accounts Receivable,-11103000,-92568000,-283218000,65612000,-398968000,-417237000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,54715000,149647000,271893000,345917000,586864000,816103000,- -
81,Other Working Capital,4089000,194624000,356413000,398623000,183916000,601503000,- -
82,Other Non-Cash Items,1820000,20505000,6067000,-99686000,-69781000,87233000,- -
83,Cash Provided by Operating Activities,-191935000,-198967000,464550000,737286000,194551000,753103000,- -
84,CAPEX,-144805000,-288408000,-630818000,-1333691000,-1564874000,-2238999000,- -
85,Acquisitions Net,- -,-27252000,- -,-135822000,-720868000,-498854000,- -
86,Purchases of Investments,-210644000,-3286200000,-5030562000,-7982341000,-16120772000,-38899633000,- -
87,Sales/Maturities of Investments,- -,2414560000,4945126000,6255460000,14437237000,32727165000,- -
88,Other Investing Activites,-129212000,-246204000,-485912000,-1040125000,-1257830000,-1633377000,- -
89,Cash Used for Investing Activites,-365558000,-1187300000,-716254000,-3196394000,-3958277000,-8906821000,- -
90,Debt Repayment,-7637000,-14150000,- -,- -,-100000000,-100000000,- -
91,Common Stock Issued,- -,- -,- -,4952606000,1647711000,2817458000,- -
92,Common Stock Repurchased,-264648000,-125993000,-49086000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1371469000,1164230000,724619000,22204000,3531131000,5617961000,- -
95,Cash Used/Provided by Financing Activities,1099184000,1024087000,675533000,4974810000,5078842000,8335419000,- -
96,Effect of Forex Changes on Cash,42953000,49606000,-48145000,261447000,107513000,-466252000,- -
97,Net Change In Cash,584644000,-312574000,375684000,2777149000,1422629000,-284551000,- -
98,Cash at the End of Period,689663000,387198000,762882000,3540031000,4962660000,4678109000,- -
99,Cash at the Beginning of Period,105019000,699772000,387198000,762882000,3540031000,4962660000,- -
100,Free Cash Flow,-336740000,-487375000,-166268000,-596405000,-1370323000,-1485896000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1723690/000110465919018702/0001104659-19-018702-index.html,https://www.sec.gov/Archives/edgar/data/1723690/000119312520088657/0001193125-20-088657-index.html,- -,undefined
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
