,https://roic.ai/company/TREC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/7039/000095013496001086/0000950134-96-001086-index.html,https://www.sec.gov/Archives/edgar/data/7039/000095013497002486/0000950134-97-002486-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7039/000095013405011889/0000950134-05-011889-index.htm,- -,https://www.sec.gov/Archives/edgar/data/7039/000095013407007709/0000950134-07-007709-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703908000008/0000007039-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703909000002/0000007039-09-000002-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703910000008/0000007039-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703911000009/0000007039-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703912000003/0000007039-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703913000007/0000007039-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703914000002/0000007039-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703915000003/0000007039-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703916000034/0000007039-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703917000009/0000007039-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703918000003/0000007039-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703919000030/0000007039-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703920000050/0000007039-20-000050-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703921000036/0000007039-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703922000026/0000007039-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1326119,302039,209251,534086,1907242,434313,158977,199529,319171,177716,623202,1738558,2939022,4789924,2759236,2451614,7609943,6673987,9508000,7608000,8506000,18623000,8389000,3028000,6735000,6145000,55664000,30535000
32,Short-Term Investments,- -,294610,298726,407542,30636,20597,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177446,392864,- -,- -,- -,- -,- -,- -,- -,32872000,- -,- -
33,Cash and Short-Term Investments,1326119,596649,507977,941628,1937878,454910,158977,199529,319171,177716,623202,1738558,2939022,4789924,2759236,2451614,7787389,7066851,9508000,7608000,8506000,18623000,8389000,3028000,6735000,39017000,55664000,30535000
34,Net Receivables,1402982,1791821,2643691,3047311,2779964,4308085,5239769,4437562,4549369,2810858,3198081,12972657,10118735,13990745,12862201,17402050,11463178,23198132,16984000,22640000,28705000,27146000,26176000,31363000,27294000,27650000,28089000,32811000
35,Inventory,471074,430732,565346,548320,178714,745396,960494,723313,900061,656481,1243693,1164674,3576317,2887636,2446200,5065169,5917283,9456365,9840000,12063000,12815000,15804000,17871000,19404000,18136000,15481000,15321000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1904228,855145,13534385,1380046,1407302,2100714,5027000,4039000,4909000,4780000,5126000,3470000,3067000,1942000,6822000,25447000
37,Total Current Assets,3200175,2819202,3717014,4537259,4896556,5508391,6359240,5360404,5768601,3645055,5064976,15875889,18538302,22523450,31602022,26298879,26575152,41822062,41359000,46350000,54935000,66353000,57562000,57265000,55232000,84090000,105896000,88793000
38,PP&E,3252952,3006322,2847029,2687565,3499508,5027100,11677961,10758429,9955549,8746828,5491734,48520443,48848133,19766495,33123385,32995814,34452579,37540682,41008000,42513000,74399000,97495000,140597000,182330000,195245000,202993000,198044000,193691000
39,Goodwill,678206,397902,117598,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21750000,21798000,21798000,21798000,21798000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354764,104000,- -,26235000,24549000,22669000,20808000,18947000,14736000,12893000,11056000
41,Intangible Assets,678206,397902,117598,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354764,104000,- -,47985000,46347000,44467000,42606000,40745000,14736000,12893000,11056000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33002407,31146157,30883657,30883657,38971000,54095000,53023000,47697000,49386000,45125000,38746000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,33925443,34581991,37414306,37828095,38287259,42312718,39561494,39628850,39896659,40280614,40491173,2551617,4203731,41930820,418326,45939,616123,10938,11000,709000,1732000,919000,87000,- -,- -,- -,- -,- -
45,Total Non-Current Assets,37856601,37986215,40378933,40515660,41786767,47339818,51239455,50387279,49852208,49027442,45982907,51072060,53051864,61697315,66544118,64187910,65952359,68790041,80094000,97317000,177139000,192458000,234537000,270061000,274736000,217729000,210937000,204747000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,41056776,40805417,44095947,45052919,46683323,52848209,57598695,55747683,55620809,52672497,51047883,66947949,71590166,84220765,98146140,90486789,92527511,110612103,121453000,143667000,232074000,258811000,292099000,327326000,329968000,301819000,316833000,293540000
48,Accounts Payable,944007,674641,1408677,790759,668683,1129926,5306121,5197981,4217014,7587963,2649899,1787353,2989203,4524042,6069851,3617043,2778161,5857498,6306000,7362000,9535000,8090000,13306000,18347000,19106000,14603000,14447000,12075000
49,Short-Term Debt,- -,15164281,12368509,11973780,11873780,12551219,19984761,19342548,18870553,14913601,14814994,12451765,11501328,11042573,4932442,1412000,1876770,1512000,1512000,1412000,7000000,8333000,10145000,8061000,4194000,7368000,7389000,7421000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197000,224000,317000,325000,81000,272000,1012000,215000,1179000,192000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26517,- -
52,Other Current Liabilities,17434368,1650260,1845578,1994827,2471965,2331933,2321647,5221919,5808074,6971733,8028491,3749024,4265189,4054906,11823958,3003240,2925839,4739543,4373000,5514000,8346000,6524000,3261000,5136000,6191000,6664000,7721483,6499000
53,Total Current Liabilities,18378375,17489182,15622764,14759366,15014428,16013078,27612529,29762448,28895641,29473297,25493384,17988142,18755720,19621521,22826251,8032283,7580770,12109041,12191000,14288000,24881000,22947000,26712000,31544000,29491000,28635000,29584000,25995000
54,Long-Term Debt,401399,894409,3579121,3456978,1250000,3572561,- -,- -,- -,- -,4915534,9838662,5108309,9077737,23557294,23439488,20836098,22739488,14239000,11839000,73450000,73917000,73107000,91021000,98288000,79095000,48024000,42630000
55,Deferred Revenue,160693,145189,129685,114181,98677,165835,131401,120872,177806,166543,175141,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297000,540000,677131,3356968,4332911,5480683,7015898,10094000,11984000,10471000,16503000,24698000,17242000,15676000,11375000,26517000,24525000
57,Other Non-Current Liabilities,585918,636047,714143,779149,703214,741218,841489,- -,- -,- -,- -,1732556,1621105,1431875,1269535,2215878,1790121,2509264,1620000,2337000,1884000,3059000,3206000,2508000,1352000,11271000,8301000,417000
58,Total Non-Current Liabilities,1148010,1675645,4422949,4350308,2051891,4479614,972890,120872,177806,166543,5090675,11868218,7269414,11186743,28183797,29988277,28106902,32264650,25953000,26160000,85805000,93479000,101011000,110771000,115316000,101741000,82842000,67572000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13512000,10528000,8150000
61,Total Liabilities,19526385,19164827,20045713,19109674,17066319,20492692,28585419,29883320,29073447,29639840,30584059,29856360,26025134,30808264,51010048,38020560,35687672,44373691,38144000,40448000,110686000,116426000,127723000,142315000,144807000,130376000,112426000,93567000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2002849,2020649,2095649,2186149,2201949,2201999,2248899,2243199,2243199,2243199,2243199,2243199,2257199,2260199,2342199,2343399,2368291,2373142,2381000,2383000,2397000,2416000,2451000,2451000,2463000,2475000,2483000,2499000
64,Retained Earnings,-13095577,-13464809,-13855705,-13037341,-9595695,-6855342,-10758240,-13238514,-13052341,-16557704,-19108460,-2472259,5403069,13174450,4299535,9070736,11756390,20186704,36428000,54849000,70420000,89018000,108446000,126455000,124123000,109149000,140324000,145700000
65,Other Comprehensive Income/Loss,-2187256,-2557454,-2911823,-3238623,-3651626,-4330856,-5570930,-6945934,-8294753,-9659837,-9044884,-9678443,-11017503,-12463214,-1120072,-841297,-736706,-748430,-580000,-366000,- -,-46564000,-54477000,-63240000,-73762000,-85887000,- -,- -
66,Other Total Stockholders Equity,34810375,35642204,37718523,38988573,39752776,40432362,42094536,42952250,44806959,46172043,45557090,46190649,48104709,49646420,41325207,41604168,43162641,44137773,44791000,46064000,48282000,97226000,107667000,119056000,132048000,145417000,61311000,- -
67,Total Stockholders Equity,21530391,21640590,23046644,24898758,28707404,31448163,28014265,25011001,25703064,22197701,19646945,36283146,44747474,52617855,46846869,52177006,56550616,65949189,83020000,102930000,121099000,142096000,164087000,184722000,184872000,171154000,204118000,199973000
68,Total Liabilities And Stockholders Equity,41056776,40805417,43092357,44008432,45773723,51940855,56599684,54894321,54776511,51837541,50231004,66139506,70772608,83426119,97856917,90197566,92238288,110322880,121164000,143378000,231785000,258522000,291810000,327037000,329679000,301530000,316544000,293540000
69,Minority Interest,- -,- -,1003590,1044487,909600,907354,999011,853362,844298,834956,816879,808443,817558,794646,289223,289223,289223,289223,289000,289000,289000,289000,289000,289000,289000,289000,289000,- -
70,Total Liabilities & Equity,41056776,40805417,44095947,45052919,46683323,52848209,57598695,55747683,55620809,52672497,51047883,66947949,71590166,84220765,98146140,90486789,92527511,110612103,121453000,143667000,232074000,258811000,292099000,327326000,329968000,301819000,316833000,293540000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/7039/000095013496001086/0000950134-96-001086-index.html,https://www.sec.gov/Archives/edgar/data/7039/000095013497002486/0000950134-97-002486-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7039/000095013405011889/0000950134-05-011889-index.htm,- -,https://www.sec.gov/Archives/edgar/data/7039/000095013407007709/0000950134-07-007709-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703908000008/0000007039-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703909000002/0000007039-09-000002-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703910000008/0000007039-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703911000009/0000007039-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703912000003/0000007039-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703913000007/0000007039-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703914000002/0000007039-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703915000003/0000007039-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703916000034/0000007039-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703917000009/0000007039-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703918000003/0000007039-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703919000030/0000007039-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703920000050/0000007039-20-000050-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703921000036/0000007039-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/7039/000000703922000026/0000007039-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2852306,-369232,-390896,818364,3441646,2740353,-3902898,-2095128,692063,-3505363,-2550756,16636201,7875328,7771381,-8874915,6627451,2685654,8430314,11398000,19498000,15571000,18598000,19428000,18009000,-2332000,-14974000,31175000,- -
74,Depreciation and Amortization,647137,677157,693251,538240,428743,719793,1258953,1381469,1414202,1367218,1123474,756596,859059,1074762,1631283,2689847,2613164,3470203,3823000,4289000,5676000,9060000,9776000,10961000,14358000,16201000,16148000,17296000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297000,243000,137131,-5528129,8977317,684582,859644,889000,1495000,-1903000,5567000,8697000,-5841000,-1566000,-2993000,14553000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282000,280161,807917,872077,515000,1215000,2141000,2353000,2552000,2707000,1753000,1250000,1912000,2247000
77,Change in Working Capital,-529687,508220,2764230,1683643,104235,-386815,-10748602,-3148755,1275004,-2701202,5399834,18316155,1894835,3119347,5873842,9490825,727786,10718639,-545021,2894000,-2008000,13352000,-12556000,-5129000,20000,29714000,20857000,-11918000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58465,-510083,1062165,-12040842,7396000,-6267000,-3380000,8797000,-2809000,-3586000,-1485000,816000,1018000,-7510000
79,Inventory,175965,40342,-134614,17026,369606,-566682,30900,237181,-176748,243580,-587212,79019,-2411643,688681,441436,-2618969,-852114,-3539082,-384000,-2223000,2587000,-2989000,-2067000,-579000,1911000,2914000,680000,-8189000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000,1415000,1836000,-2399000,3168000,6983000,- -,-4944000,- -,- -
81,Other Working Capital,-15178200,-14669980,-11905750,-10222107,-10117872,-10504687,-21253289,-24402044,-23127040,-25828242,-20428408,-2112253,-217418,2901929,8775771,18266596,18994382,29713021,29168000,32062000,30054000,43406000,30850000,25721000,25741000,55455000,76312000,- -
82,Other Non-Cash Items,-411768,-889682,-3240350,-2341202,608185,-1252368,13820042,5121563,-2041636,5908834,-1038828,-35619201,80812,-2632223,636977,-21550835,3810790,-20295284,5293021,-16149000,3728000,-9365000,617000,10121000,7662000,-4077000,-59080000,-3250000
83,Cash Provided by Operating Activities,2557988,-73537,-173765,699045,4582809,1820963,427495,1259149,1339633,1069487,2933724,386751,10953034,9470398,-5978942,6514766,11329893,4055593,21373000,13242000,23205000,39565000,28514000,30828000,19895000,25121000,25565000,4375000
84,CAPEX,-279122,-153235,-195076,-167336,-1224946,-2206822,-2743405,-455472,-545980,-157027,-1949760,-3491857,-4071780,-11130263,-15030593,-3184140,-2898752,-6518052,-8143000,-6828000,-14766000,-31247000,-40495000,-51584000,-25285000,-10079000,-13351000,-14152000
85,Acquisitions Net,-743709,-785751,-451110,-639589,-599074,-499834,-2962570,-544568,-202016,-346963,-255445,-383533,- -,- -,-390579,- -,-250000,- -,-2042000,-5874000,-74176000,-47000,-14000,-107000,5414000,27000,150000,535000
86,Purchases of Investments,- -,-291915,-4116,-108816,-14387,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,255787,- -,- -,391293,10039,20597,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1151766,310533,274220,181603,341354,-97681,16866,71173,- -,- -,153572,- -,- -,94,- -,- -,- -,-120023,- -,- -,- -,- -,- -,- -,- -,4021000,68530000,319000
89,Cash Used for Investing Activites,128935,-664581,-376082,-734138,-1105760,-2794298,-5668512,-928867,-747996,-503990,-2051633,-3875390,-4071780,-11130169,-15421172,-3184140,-3148752,-6638075,-10185000,-12702000,-88942000,-31294000,-40509000,-51691000,-19871000,-6031000,55329000,-13298000
90,Debt Repayment,-1429632,-809192,-438714,-529861,-4329893,-1250000,-1872963,-575670,-771231,-706952,-436605,- -,- -,- -,-6530574,-6169009,-4419563,-4461380,-10500000,-8500000,-20656000,-13200000,-6250000,-10417000,-15354000,-21375000,-57375000,-4375000
91,Common Stock Issued,- -,- -,450000,513750,241000,406,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107906,146000,60000,91000,46000,11000,25000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11486000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-50000,771000,445773,200000,1985000,4250000,3338644,285940,299236,- -,- -,4603995,-5680790,3510673,25900000,2530761,1396751,6000000,2000000,6000000,87200000,15000000,8000000,25894000,19037000,1695000,26000000,-345000
95,Cash Used/Provided by Financing Activities,-1479632,-38192,457059,183889,-2103893,3000406,1465681,-289730,-471995,-706952,-436605,4603995,-5680790,3510673,19369426,-3638248,-3022812,1646526,-8354000,-2440000,66635000,1846000,1761000,15502000,3683000,-19680000,-31375000,-16206000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1207291,-776310,-92788,148796,1373156,2027071,-3775336,40552,119642,-141455,445486,1115356,1200464,1850902,-2030688,-307622,5158329,-935956,2834000,-1900000,898000,10117000,-10234000,-5361000,3707000,-590000,49519000,-16206000
98,Cash at the End of Period,1326119,302039,209251,534086,1907242,3934313,158977,199529,319171,177716,623202,1738558,2939022,4789924,2759236,2451614,7609943,6673987,9508000,7608000,8506000,18623000,8389000,3028000,6735000,6145000,55664000,30535000
99,Cash at the Beginning of Period,118828,1078349,302039,385290,534086,1907242,3934313,158977,199529,319171,177716,623202,1738558,2939022,4789924,2759236,2451614,7609943,6674000,9508000,7608000,8506000,18623000,8389000,3028000,6735000,6145000,- -
100,Free Cash Flow,2278866,-226772,-368841,531709,3357863,-385859,-2315910,803677,793653,912460,983964,-3105106,6881254,-1659865,-21009535,3330626,8431141,-2462459,13230000,6414000,8439000,8318000,-11981000,-20756000,-5390000,15042000,12214000,-9777000
