,https://roic.ai/company/AACG,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,18987661,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3449650,- -,25547017,23773187,17351427
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5875080,15079550,16045539,8054634,6896275,2407530,- -,679961,108488,- -
51,Deferred Revenue,- -,- -,- -,- -,22325716,26341019,36715038,40238256,25837229,19100619,27333088,7376527,8383327,21742735,16612164,10221897,1633976,171880131,199448112,202453092
52,Other Current Liabilities,- -,74185000,58999000,66176000,8315126,13732392,- -,44950280,52385674,48346969,54732170,48304277,66143399,53005905,57207442,88624276,18111939,67389136,51662264,48174095
53,Total Current Liabilities,- -,74185000,113575000,112453000,53902226,45619551,66543131,85188536,78222903,67447588,91065509,79567787,77149470,76158160,74351791,103030394,19745915,264816284,274883563,267978614
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24005765,23365840
55,Deferred Revenue,- -,- -,- -,- -,- -,7897234,- -,5626153,4673805,3823601,3100116,2644294,2195382,1763732,1878751,1731622,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,189583,131524,112847,139931,58681,- -,- -,- -,22620872,- -,48241809,28985472,24931322
57,Other Non-Current Liabilities,- -,29761000,- -,- -,8549837,- -,7027331,- -,- -,- -,- -,- -,- -,- -,- -,- -,39208619,57396548,48498368,- -
58,Total Non-Current Liabilities,- -,29761000,- -,- -,8549837,7897234,7027331,5815736,4805329,3936448,3240047,2702975,2195382,1763732,1878751,24352494,39208619,105638357,101489605,48297162
59,Other Liabilities,- -,- -,- -,- -,17099674,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20556017,40977952,40717267
61,Total Liabilities,- -,103946000,- -,- -,62452063,53516785,73570462,91004272,83028232,71384036,94305556,82270762,79344852,77921892,76230542,127382888,58954534,370454641,376373168,316275776
62,Preferred Stock,- -,- -,- -,- -,533105,604299,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1654238,2093877,3656920,3503619,3418709,3428840,3442803,3461060,3474894,3513718,3530704,3533912,3534871,4692312,4716675,4720147
64,Retained Earnings,- -,-72602000,-84800000,-93483000,-118215344,-135082017,-114934523,-92102023,-127452014,-107697998,-51856528,-28648538,-1372103,21683617,47734804,38018802,-71888585,-200151065,-298533669,-310156018
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-4872941,- -,-7935049,-16157846,-16399334,-22217189,-26004399,-26379146,-27145929,-27176682,-25174129,-25069771,-38288364,-37478167,-37424722,-37559847
66,Other Total Stockholders Equity,- -,- -,- -,- -,146775876,187032506,482360617,484997034,485907507,490549347,440832695,427114343,436935010,379301755,368139209,- -,- -,533076993,529646579,530764810
67,Total Stockholders Equity,- -,-50022000,-60031000,-94444000,25874935,54648665,363147966,380240784,345474868,364063000,366414571,375547719,411891872,377322408,394230588,391377300,275816839,300140073,198404863,187769092
68,Total Liabilities And Stockholders Equity,- -,53924000,- -,- -,88326998,108165450,436718428,471245056,428503100,435447036,460720127,457818481,491236724,455244300,470461130,518760188,334771373,670594714,574778031,504044868
69,Minority Interest,- -,- -,63986000,139260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1079928,367398,5495119,843001,3130442
70,Total Liabilities & Equity,- -,53924000,63986000,139260000,88326998,108165450,436718428,471245056,428503100,435447036,460720127,457818481,491236724,455244300,470461130,519840116,335138771,676089833,575621032,507175310
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420529/000095012309043178/h03645e20vf.htm,https://www.sec.gov/Archives/edgar/data/1420529/000095012310063996/h04325e20vf.htm,https://www.sec.gov/Archives/edgar/data/1420529/000095012311059233/0000950123-11-059233-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465912042065/a12-11360_120f.htm,https://www.sec.gov/Archives/edgar/data/1420529/000110465913051435/0001104659-13-051435-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465914048508/0001104659-14-048508-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465915047151/0001104659-15-047151-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465916129147/0001104659-16-129147-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1420529/000156459020019206/aacg-20f_20191231.htm,https://www.sec.gov/Archives/edgar/data/1420529/000156459021016200/0001564590-21-016200-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-24792989,-16789852,20173692,22810215,-35349991,19754016,55841470,23207990,27276435,23055720,26051187,-9716002,854925914,-122253989,-92198032,- -
74,Depreciation and Amortization,- -,- -,- -,- -,24244678,1836675,2699975,5206412,12750481,13635561,11278264,10617534,10754370,7583790,8611508,10293833,13331272,17545060,29913815,- -
75,Deferred Income Tax,- -,- -,- -,- -,-485142,-1819345,1523645,-2248715,-287906,-3891524,1149668,-3221555,-717083,-849689,7053724,22919916,-25969955,-8054197,-10283238,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,2497318,- -,5597529,7495718,4651971,12264397,12874056,10534910,7111316,9164822,6958403,20591899,4809454,1776783,- -
77,Change in Working Capital,- -,- -,- -,- -,-21459481,-1587840,-28391330,-9010561,-39715678,25332538,-22678050,15224264,-19205739,4600347,2954088,-15249418,-51923507,8806629,37647073,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,-4493002,- -,-13408126,-38876128,33330718,-37143965,21589791,-12790125,19357064,-2274136,-6133681,41133635,225192,-2030603,- -
79,Inventory,- -,- -,- -,- -,-877600,-89159,-546158,664706,172040,-262900,-29473,60809,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,1269639,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-246678,3342639,-136326,- -,- -,- -,- -,- -,-2700000,2700000,-4986038,-6782558,3320001,6846155,32257157,- -
82,Other Non-Cash Items,- -,- -,- -,- -,5955841,-661436,4298537,9183272,27142156,2615917,1497117,9075454,8700867,4350751,10669442,46337994,-1123581928,41270484,5270239,- -
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-16537094,-16524480,304520,31538152,-27965220,62098479,59352866,67777743,37343760,45852235,64504771,61544726,-312626305,-57876559,-27873360,- -
84,CAPEX,- -,- -,- -,- -,-2697589,-4720600,-5723877,-34687939,-59357111,-3875495,-5367648,-7966826,-4150169,-14836069,-3086987,-9931920,-9355581,-1284816,-4910407,- -
85,Acquisitions Net,- -,- -,- -,- -,-3997402,2279141,- -,-365434,-2305553,- -,- -,- -,-9826706,-37953864,- -,5911583,1715000,-34554702,-14217462,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23782307,-89945800,- -,-6000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,4989101,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,18845201,-1227067,-4373517,-34687939,- -,- -,20640,- -,17690,30490,-9932170,-6707162,1207131012,4894197,37441,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,12150210,1052074,-5108293,-35053373,-61662664,-3875495,-5347008,-7966826,-13959185,-52759443,-36801464,-93951601,1201735714,-36945321,-19090428,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-19000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17988587,-9000000,-17808000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,19000000,317622857,1031575,- -,- -,- -,- -,- -,- -,- -,- -,- -,61693192,8530931,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-10126861,- -,- -,- -,-329357,-132528,-8362136,-19536028,- -,- -,- -,-4003530,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63634726,-25331341,- -,-58349122,- -,- -,-946611803,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-43913942,16029768,-18278562,-1544180,-6670155,- -,1667640,-913453,-567881,3050548,-774354,7249603,14706401,4873277,19584193,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-43913942,16029768,299344295,-10639466,-6670155,- -,-61967086,-26574151,-700409,-63660710,-20310382,7249603,-949893989,57566469,6303594,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-73291,-162562,-7307269,-7538914,-330780,-4039042,-2929270,-374747,-766783,-1083809,-20559,-62052,-4720020,866827,-814131,- -
97,Net Change In Cash,- -,- -,- -,- -,-48374125,394800,287233253,-21693601,-96628819,54183942,-10890498,32862019,21917383,-71651727,7372366,-25219324,-65504600,-36388584,-41474325,- -
98,Cash at the End of Period,- -,- -,- -,- -,44595337,45019114,332261100,310503071,213874252,268058194,257167696,290029715,311947098,240295371,247667737,222448413,190586342,154197758,112723433,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,92969462,44624314,45027847,332196672,310503071,213874252,268058194,257167696,290029715,311947098,240295371,247667737,256090942,190586342,154197758,- -
100,Free Cash Flow,- -,- -,- -,- -,-19234683,-21245080,-5419357,-3149787,-87322331,58222984,53985218,59810917,33193591,31016166,61417784,51612806,-321981886,-59161375,-32783767,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420529/000095012309043178/h03645e20vf.htm,https://www.sec.gov/Archives/edgar/data/1420529/000095012310063996/h04325e20vf.htm,https://www.sec.gov/Archives/edgar/data/1420529/000095012311059233/0000950123-11-059233-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465912042065/a12-11360_120f.htm,https://www.sec.gov/Archives/edgar/data/1420529/000110465913051435/0001104659-13-051435-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465914048508/0001104659-14-048508-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465915047151/0001104659-15-047151-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465916129147/0001104659-16-129147-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1420529/000156459020019206/aacg-20f_20191231.htm,https://www.sec.gov/Archives/edgar/data/1420529/000156459021016200/0001564590-21-016200-index.htm,undefined
102,Forex Rate,undefined,0.1208,0.1208,undefined,0.1247,0.1294,0.1426,0.1464,0.1465,0.1527,0.1588,0.161,0.1608,0.1613,0.155,0.1451,0.1453,0.1436,0.1532,0.1572
