,https://roic.ai/company/TSLA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,7466000,12005000,19854000,643928000,893336000,1190191000,1946759000,2637856000,3414692000,7773727000,9178024000,10249120000,12737000000,27260000000,29803000000
67,Total Stockholders Equity,-117846000,-199714000,-253523000,207048000,224045000,124700000,667120000,911710000,1088944000,4752911000,4237242000,4923243000,6618000000,22225000000,30189000000
68,Total Liabilities And Stockholders Equity,34837000,51699000,130424000,386082000,713448000,1114190000,2416930000,5849251000,8092460000,21878901000,27658026000,28905217000,33460000000,51298000000,61305000000
69,Minority Interest,- -,- -,- -,- -,- -,-1000,- -,- -,- -,785175000,997346000,834397000,849000000,850000000,826000000
70,Total Liabilities & Equity,34837000,51699000,130424000,386082000,713448000,1114189000,2416930000,5849251000,8092460000,22664076000,28655372000,29739614000,34309000000,52148000000,62131000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318605/000119312511054847/0001193125-11-054847-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312512081990/0001193125-12-081990-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312513096241/0001193125-13-096241-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312514069681/0001193125-14-069681-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459015001031/0001564590-15-001031-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459016013195/0001564590-16-013195-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/0001564590-17-003118-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/0001564590-18-002956-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-78157000,-82782000,-55740000,-154328000,-254411000,-396213000,-74014000,-294040000,-888663000,-674914000,-1961400000,-976091000,-862000000,690000000,5519000000
74,Depreciation and Amortization,2895000,4157000,6940000,10623000,16919000,28825000,106083000,231931000,422590000,947099000,1636003000,1901050000,2154000000,2322000000,2911000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,198000,437000,1434000,21156000,29419000,50145000,80737000,156496000,197999000,334225000,466760000,749024000,898000000,1734000000,2121000000
77,Change in Working Capital,19210000,-27520000,99578000,107251000,31178000,-195839000,605119000,500712000,-1116197000,457497000,-1536941000,-581678000,3121828000,11033000000,518000000
78,Accounts Receivable,-59000,-3261000,-168000,-3222000,-2829000,-17303000,-21917000,-183658000,46267000,-216565000,-24635000,-496732000,-367000000,-652000000,-130000000
79,Inventory,-2108000,-14542000,-7925000,-20115000,-13638000,-194726000,-463270000,-1050264000,-1573860000,-2465703000,-178850000,-1023264000,-429000000,-422000000,-1709000000
80,Accounts Payable,523000,8815000,902000,-212000,31859000,187821000,-243000,252781000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-28988000,-56508000,43070000,150321000,181499000,-14340000,590779000,1091491000,-24706000,432791000,-1104150000,-1685828000,1436000000,12469000000,979000000
82,Other Non-Cash Items,2385000,53296000,-133037000,-112519000,62531000,247001000,-459931000,-652436000,859772000,-1187736000,1334924000,1005497000,-2906828000,-9836000000,428000000
83,Cash Provided by Operating Activities,-53469000,-52412000,-80825000,-127817000,-114364000,-266081000,257994000,-57337000,-524499000,-123829000,-60654000,2097802000,2405000000,5943000000,11497000000
84,CAPEX,-9802000,-9630000,-11884000,-40203000,-197896000,-239228000,-264224000,-969885000,-1634850000,-1440471000,-4081354000,-2319516000,-1437000000,-3242000000,-8014000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-12260000,213523000,-114523000,-17912000,-45000000,-13000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-64952000,-14992000,- -,-205841000,- -,- -,- -,- -,- -,- -,-132000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,40000000,40000000,- -,189131000,- -,16667000,- -,- -,- -,- -,- -
88,Other Investing Activites,40000,-960000,-2360000,-140094000,46920000,7290000,14807000,-3849000,-26441000,-206149000,-223090000,- -,46000000,113000000,-1222000000
89,Cash Used for Investing Activites,-9762000,-10590000,-14244000,-180297000,-175928000,-206930000,-249417000,-990444000,-1673551000,-1416430000,-4418967000,-2337428000,-1436000000,-3132000000,-7868000000
90,Debt Repayment,- -,-191000,-322000,-315000,-416000,-15542000,-460762000,-11179000,-203780000,-1904483000,-4263788000,-6087029000,-9871000000,-12201000000,-14615000000
91,Common Stock Issued,- -,21000,- -,268842000,231468000,221496000,415000000,- -,750000000,1701734000,400175000,- -,848000000,12269000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,45041000,55238000,155741000,69518000,214948000,213681000,681184000,2154309000,977303000,3946725000,8278477000,6660784000,10552000000,9905000000,9412000000
95,Cash Used/Provided by Financing Activities,45041000,55068000,155419000,338045000,446000000,419635000,635422000,2143130000,1523523000,3743976000,4414864000,573755000,1529000000,9973000000,-5203000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-35525000,-34278000,-7409000,39455000,-22700000,8000000,334000000,-183000000
97,Net Change In Cash,-18190000,-7934000,60350000,29931000,155708000,-53376000,643999000,1059824000,-708805000,2196308000,-25302000,311429000,2506000000,13118000000,-1757000000
98,Cash at the End of Period,17211000,9277000,69627000,99558000,255266000,201890000,845889000,1905713000,1196908000,3393216000,3367914000,4276388000,6783000000,19901000000,18144000000
99,Cash at the Beginning of Period,35401000,17211000,9277000,69627000,99558000,255266000,201890000,845889000,1905713000,1196908000,3393216000,3964959000,4277000000,6783000000,19901000000
100,Free Cash Flow,-63271000,-62042000,-92709000,-168020000,-312260000,-505309000,-6230000,-1027222000,-2159349000,-1564300000,-4142008000,-221714000,968000000,2701000000,3483000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318605/000119312511054847/0001193125-11-054847-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312512081990/0001193125-12-081990-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312513096241/0001193125-13-096241-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312514069681/0001193125-14-069681-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459015001031/0001564590-15-001031-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459016013195/0001564590-16-013195-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/0001564590-17-003118-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/0001564590-18-002956-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm
102,false,,,,,,,,,,,,,,,
