,https://roic.ai/company/IQ,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-4.43,-13.67,-6.23,-17.01,-14.14,-9.52,-8.34
27,Weighted Average Shares Outstanding,581624534,581624534,581624534,552561684,729268914,739454294,739454294
28,Weighted Average Shares Outstanding Diluted,581624534,581624534,581624534,552561684,729268914,739454294,739454294
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722608/000156459019008023/0001564590-19-008023-index.html,https://www.sec.gov/Archives/edgar/data/1722608/000156459020010259/0001564590-20-010259-index.html,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,964207000,733010000,4586405000,5934742000,10915282000,2997212000
32,Short-Term Investments,- -,902978000,779916000,6061832000,4579313000,3358174000,1348255000
33,Cash and Short-Term Investments,- -,1867185000,1512926000,10648237000,10514055000,14273456000,4345467000
34,Net Receivables,- -,2432314000,2831605000,5021836000,6222581000,5254483000,2903286000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,854806000,1355997000,4183370000,3536202000,2762485000,4275364000
37,Total Current Assets,- -,5154305000,5700528000,19853443000,20272838000,22290424000,11524117000
38,PP&E,- -,539211000,1248968000,1618147000,2477109000,2395324000,2252081000
39,Goodwill,- -,3276107000,3276107000,3888346000,3888346000,3888346000,3888346000
40,Intangible Assets,- -,3243206000,6550367000,12055166000,11456511000,13618337000,18754425000
41,Intangible Assets,- -,6519313000,9826474000,15943512000,15344857000,17506683000,22642771000
42,Investments,- -,183764000,567887000,2572040000,2982154000,3202828000,3035155000
43,Tax Assets,- -,3853000,11380000,23873000,34916000,51347000,31351000
44,Other Non-Current Assets,- -,1231190000,2845662000,4748683000,3680676000,2738823000,2986690000
45,Total Non-Current Assets,- -,8477331000,14500371000,24906255000,24519712000,25895005000,30948048000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,13631636000,20200899000,44759698000,44792550000,48185429000,42472165000
48,Accounts Payable,- -,4184558000,7041304000,10162366000,8212449000,7561532000,8896460000
49,Short-Term Debt,- -,100000000,309374000,3130169000,3480396000,8828359000,4289315000
50,Tax Payable,- -,127166000,116181000,- -,- -,- -,- -
51,Deferred Revenue,- -,796703000,1633649000,2195283000,3081407000,3444917000,3484509000
52,Other Current Liabilities,- -,6808592000,2641285000,4324538000,5398914000,5019770000,5806186000
53,Total Current Liabilities,- -,11889853000,11625612000,19812356000,20173166000,24854578000,22476470000
54,Long-Term Debt,- -,- -,284000000,5356453000,13579878000,12694391000,13277909000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,6942000,2255000,96405000,30136000,4588000,3127000
57,Other Non-Current Liabilities,- -,17039514000,6432000,1338921000,1395980000,1296203000,1041546000
58,Total Non-Current Liabilities,- -,17046456000,292687000,6791779000,15005994000,13995182000,14322582000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,528144000,968983000,797278000
61,Total Liabilities,- -,28936309000,11918299000,26604135000,35179160000,38849760000,36799052000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,23000,265000,321000,325000,348000,356000
64,Retained Earnings,- -,-15989796000,-15016867000,-23509486000,-33834357000,-40973853000,-47163773000
65,Other Comprehensive Income/Loss,- -,359370000,93126000,1879946000,2106718000,2542680000,2709002000
66,Other Total Stockholders Equity,- -,325730000,23202256000,39666150000,41298328000,47687483000,49642014000
67,Total Stockholders Equity,- -,-15304673000,8278780000,18036931000,9571014000,9256658000,5187599000
68,Total Liabilities And Stockholders Equity,- -,13631636000,20197079000,44641066000,44750174000,48106418000,41986651000
69,Minority Interest,- -,- -,3820000,118632000,42376000,79011000,485514000
70,Total Liabilities & Equity,- -,13631636000,20200899000,44759698000,44792550000,48185429000,42472165000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1722608/000156459019008023/0001564590-19-008023-index.html,https://www.sec.gov/Archives/edgar/data/1722608/000156459020010259/0001564590-20-010259-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-2575112000,-3074022000,-3736932000,-9109776000,-10323329000,-7038361000,-6169584000
74,Depreciation and Amortization,2920315000,5019388000,8765184000,14979977000,17169332000,17195612000,- -
75,Deferred Income Tax,5201000,478000,-12214000,-45086000,-77312000,-41979000,- -
76,Stock Based Compensation,44194000,62392000,233424000,556211000,1084520000,1370095000,- -
77,Change in Working Capital,919994000,556043000,-735339000,-3574247000,-4206490000,-16613351000,- -
78,Accounts Receivable,-295007000,-322756000,-512060000,-543988000,-810774000,8841000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1040691000,1076988000,1050178000,583099000,-654987000,-605394000,- -
81,Other Working Capital,-114017000,-417916000,-1119190000,-3976247000,-2525055000,-6296060000,- -
82,Other Non-Cash Items,-243822000,47842000,-502339000,77107000,259506000,-283087000,217737000
83,Cash Provided by Operating Activities,1070770000,2612121000,4011784000,2884186000,3906227000,-5411071000,-5951847000
84,CAPEX,-2912143000,-5732843000,-10220043000,-14041505000,-12825217000,-385728000,- -
85,Acquisitions Net,- -,- -,- -,-1018002000,-2798000,-5798000,- -
86,Purchases of Investments,-221232000,-4694741000,-16084121000,-26990217000,-23668658000,-16231512000,- -
87,Sales/Maturities of Investments,- -,3764484000,15529074000,21226000000,24766602000,16675833000,- -
88,Other Investing Activites,-2616695000,-5332958000,-9083312000,-13554965000,-12104554000,-38477000,1262350000
89,Cash Used for Investing Activites,-3133375000,-6663100000,-10660674000,-20949094000,-11749571000,159296000,1262350000
90,Debt Repayment,-131708000,-688234000,-6831000000,-739052000,-3334737000,-3937295000,- -
91,Common Stock Issued,- -,- -,- -,14896761000,106750000,4457007000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-62425000,- -
94,Other Financing Activites,- -,4100000000,13392110000,9317250000,11108293000,8916619000,-2959455000
95,Cash Used/Provided by Financing Activities,-131708000,3411766000,6561110000,23474959000,7880306000,9373906000,-2959455000
96,Effect of Forex Changes on Cash,71951000,14681000,-143417000,617386000,112265000,-91293000,-216696000
97,Net Change In Cash,-2122362000,-624532000,-231197000,6027437000,149227000,4030838000,-2959455000
98,Cash at the End of Period,1588739000,964207000,733010000,6760447000,6909674000,10940512000,- -
99,Cash at the Beginning of Period,3711101000,1588739000,964207000,733010000,6760447000,6909674000,- -
100,Free Cash Flow,-1841373000,-3120722000,-6208259000,-11157319000,-8918990000,-5796799000,-5951847000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722608/000156459019008023/0001564590-19-008023-index.html,https://www.sec.gov/Archives/edgar/data/1722608/000156459020010259/0001564590-20-010259-index.html,- -,- -
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
