,https://roic.ai/company/PRLB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6097000,5708000,5508000,6508000,7004000,10738000,12619000,12105000,22879000,35323000,30777000,28182000,25684000
53,Total Current Liabilities,7630000,8463000,9939000,11539000,13663000,18759000,26262000,23427000,43755000,52734000,47581000,50254000,54896000
54,Long-Term Debt,4691000,1290000,613000,356000,159000,10000,- -,- -,- -,- -,- -,9505000,3596000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,759000,1311000,4252000,3346000,3682000,1846000,4240000,7003000,6966000,20162000,26283000,33854000,35892000
57,Other Non-Current Liabilities,58753000,63381000,871000,782000,1028000,1360000,2889000,3978000,6802000,4592000,14013000,6235000,5705000
58,Total Non-Current Liabilities,64203000,65982000,5736000,4484000,4869000,3216000,7129000,10981000,13768000,24754000,40296000,49594000,45193000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,4605000,3742000,- -,629000,363000,149000,- -,- -,- -,- -,11905000,13329000,7444000
61,Total Liabilities,71833000,74445000,15675000,16023000,18532000,21975000,33391000,34408000,57523000,77488000,87877000,99848000,100089000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,19000,25000,26000,26000,26000,26000,27000,27000,27000,27000,28000
64,Retained Earnings,-48309000,-41537000,-27744000,10570000,45847000,87482000,133996000,176703000,224697000,291460000,324722000,362901000,376734000
65,Other Comprehensive Income/Loss,- -,- -,-15480000,-1000000,-1000000,-3000000,-5000000,-11000000,-5000000,-8000000,-7000000,-3420000,-16817000
66,Other Total Stockholders Equity,5272000,5445000,89856000,147104000,166770000,181031000,198623000,214104000,241491000,258010000,268041000,284848000,468548000
67,Total Stockholders Equity,-43036000,-36091000,46651000,156699000,211643000,265539000,327645000,379833000,461215000,541497000,585790000,644356000,828493000
68,Total Liabilities And Stockholders Equity,28797000,38354000,62326000,172722000,230175000,287514000,361036000,414241000,518738000,618985000,673667000,744204000,928582000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,28797000,38354000,62326000,172722000,230175000,287514000,361036000,414241000,518738000,618985000,673667000,744204000,928582000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1443669/000119312513121462/0001193125-13-121462-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774914003075/prlb20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1443669/000143774915003620/prlb20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1443669/000143774916026114/0001437749-16-026114-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774917002947/0001437749-17-002947-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774918003222/0001437749-18-003222-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774919003141/0001437749-19-003141-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774920003547/0001437749-20-003547-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774921003413/0001437749-21-003413-index.htm,https://www.sec.gov/Archives/edgar/data/1443669/000143774922003779/0001437749-22-003779-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,4223000,10951000,17972000,24025000,35277000,41635000,46514000,42707000,51778000,76588000,63655000,50867000,33372000
74,Depreciation and Amortization,2907000,3483000,4264000,6080000,7569000,11138000,14126000,17485000,18474000,26754000,30864000,32594000,40488000
75,Deferred Income Tax,679000,561000,2230000,-583000,467000,-1875000,2837000,2780000,1174000,11936000,6106000,7577000,339000
76,Stock Based Compensation,245000,331000,1130000,3039000,3461000,4809000,6082000,6775000,8558000,10928000,10781000,14673000,19095000
77,Change in Working Capital,257000,7714000,60479000,17515000,-6547000,22155000,22617000,-13108000,41379000,26210000,2910000,-75688000,-25641000
78,Accounts Receivable,920000,-2993000,-3457000,-4372000,-2470000,-5304000,-11371000,900000,-9933000,-6098000,1848000,-91000,-20112000
79,Inventory,-44000,-537000,-2195000,-829000,-579000,-896000,-2097000,136000,-985000,-189000,60000,-662000,-2390000
80,Accounts Payable,-462000,1148000,1545000,306000,1651000,1435000,5781000,-1116000,3176000,1942000,-719000,1492000,4654000
81,Other Working Capital,10424000,18138000,78617000,96132000,89585000,111740000,134357000,121249000,162628000,188838000,191748000,116060000,-774000
82,Other Non-Cash Items,84000,-9028000,-62540000,-24770000,8214000,-20652000,-33619000,18328000,-39615000,-29487000,1736000,76946000,-12411000
83,Cash Provided by Operating Activities,8395000,14012000,23535000,25306000,48441000,57210000,58557000,74967000,81748000,122929000,116052000,106969000,55242000
84,CAPEX,-5086000,-7069000,-19003000,-17397000,-18753000,-43507000,-44362000,-33616000,-32635000,-87104000,-62230000,-47010000,-34209000
85,Acquisitions Net,- -,- -,- -,- -,- -,-34000000,-5000000,- -,-111000000,- -,- -,- -,-127413000
86,Purchases of Investments,-5750000,-1504000,- -,-84219000,-106298000,-60186000,-66393000,-89315000,-20037000,-41384000,-46403000,-113200000,-16159000
87,Sales/Maturities of Investments,6002000,2502000,500000,22368000,66570000,74058000,52193000,62176000,47972000,65139000,68330000,67737000,83117000
88,Other Investing Activites,61000,30000,- -,- -,- -,136000,-32000,- -,-8275000,68000,-4000000,-3000000,- -
89,Cash Used for Investing Activites,-4773000,-6041000,-18503000,-79248000,-58481000,-63499000,-63594000,-60755000,-123975000,-63281000,-44303000,-95473000,-94664000
90,Debt Repayment,- -,- -,- -,-388000,-258000,-1054000,-152000,- -,- -,-5000000,- -,-154000,-552000
91,Common Stock Issued,- -,- -,- -,73981000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-4410000,-12229000,-36008000,-18129000,-27504000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3407000,-4229000,-2845000,9193000,16369000,8090000,10390000,7847000,13602000,6791000,4391000,7557000,5858000
95,Cash Used/Provided by Financing Activities,-3407000,-4229000,-2845000,82786000,16111000,7036000,10238000,7847000,9192000,-10438000,-31617000,-10726000,-22198000
96,Effect of Forex Changes on Cash,-170000,-344000,-153000,-220000,209000,-457000,-877000,-917000,947000,-871000,47000,1608000,-54000
97,Net Change In Cash,45000,3398000,2034000,28624000,6280000,290000,4324000,21142000,-32088000,48339000,40179000,2378000,-61674000
98,Cash at the End of Period,2703000,6101000,8135000,36759000,43039000,43329000,47653000,68795000,36707000,85046000,125225000,127603000,65929000
99,Cash at the Beginning of Period,2658000,2703000,6101000,8135000,36759000,43039000,43329000,47653000,68795000,36707000,85046000,125225000,127603000
100,Free Cash Flow,3309000,6943000,4532000,7909000,29688000,13703000,14195000,41351000,49113000,35825000,53822000,59959000,21033000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1443669/000119312513121462/0001193125-13-121462-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774914003075/prlb20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1443669/000143774915003620/prlb20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1443669/000143774916026114/0001437749-16-026114-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774917002947/0001437749-17-002947-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774918003222/0001437749-18-003222-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774919003141/0001437749-19-003141-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774920003547/0001437749-20-003547-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774921003413/0001437749-21-003413-index.htm,https://www.sec.gov/Archives/edgar/data/1443669/000143774922003779/0001437749-22-003779-index.htm
102,false,,,,,,,,,,,,,
