,https://roic.ai/company/CRMD,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-4564.2669,-108.0625,-86.5537,-109.9646,-100.2345,-62.4240,-75.8787,-113.6854,-Infinity
22,Income Tax expense (Gain),- -,-280920,-493855,- -,- -,- -,- -,- -,- -,- -,-5060778,-5169395,-1250186
23,Net Income,-8121455,-10905236,-6711273,-3425682,-9133098,-20453427,-18187529,-24643627,-33009914,-26829630,-16433074,-22027683,-28210226
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-4564.2669,-108.0625,-86.5537,-109.9646,-100.2345,-62.4240,-58.0129,-92.0770,-Infinity
25,EPS,-47.40,-5.75,-2.95,-1.50,-3.45,-4.80,-2.90,-3.25,-3.00,-1.50,-1.80,-0.77,-0.99
26,EPS Diluted,-47.40,-5.75,-2.95,-1.50,-3.45,-4.80,-2.90,-3.25,-3.00,-1.50,-1.80,-0.77,-0.99
27,Weighted Average Shares Outstanding,171329,1894651,2281654,2281654,2764626,4288381,6268709,7593474,11028226,17816623,24152088,28561963,28561963
28,Weighted Average Shares Outstanding Diluted,171329,1894651,2281654,2281654,2764626,4288381,6268709,7593474,11028226,17816623,24152088,28561963,28561963
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1410098/000114420411014327/0001144204-11-014327-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000114420412015866/0001144204-12-015866-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000114420413017913/0001144204-13-017913-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1410098/000135448815001120/0001354488-15-001120-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000135448816006585/0001354488-16-006585-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000165495417002094/0001654954-17-002094-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000165495418002777/0001654954-18-002777-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000165495419002741/0001654954-19-002741-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000121390020006521/0001213900-20-006521-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000121390021018684/0001213900-21-018684-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000121390022015852/0001213900-22-015852-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1505179,8283684,1985334,835471,2373893,4339540,11817418,8064490,10379729,17623770,16350237,41905469,53551277
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,23568386,12100920,1604198,- -,11984157,4444072,12149003
33,Cash and Short-Term Investments,1505179,8283684,1985334,835471,2373893,4339540,35385804,20165410,11983927,17623770,28334394,46349541,65700280
34,Net Receivables,- -,- -,493855,- -,2339,80183,315771,12014,64148,10904,35,3357,45368
35,Inventory,- -,- -,- -,- -,80021,463029,376569,166733,594194,428515,338465,143564,3008
36,Other Current Assets,178114,528464,51785,299784,459778,155210,980719,1487534,625382,601865,676196,1685707,-48376
37,Total Current Assets,1683293,8812148,2530974,1135255,2916031,5037962,37058863,21831691,13267651,18665054,29349090,48182169,65700280
38,PP&E,24116,22310,11689,4668,36061,41458,37866,69695,186282,160860,126820,1126134,2374442
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,11733,13342,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,506510,- -,13342,13342,15708,18342,5000,5000,- -,- -,- -,- -,102305
45,Total Non-Current Assets,542359,35652,25031,18010,51769,59800,42866,74695,186282,160860,126820,1126134,2476747
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5722043
47,Total Assets,2225652,8847800,2556005,1153265,2967800,5097762,37101729,21906386,13453933,18825914,29475910,49308303,68945576
48,Accounts Payable,549638,1139276,1008493,1023553,939785,893385,1709397,1645298,1808311,2588977,1024280,1128104,2209552
49,Short-Term Debt,13765325,- -,- -,269745,- -,- -,- -,- -,- -,- -,- -,109128,121368
50,Tax Payable,- -,- -,- -,- -,- -,- -,67236,1833,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,8823,130409,104210,88404,11029,2206,- -,- -
52,Other Current Liabilities,2619588,436367,296512,323158,734296,523179,1221557,2342352,4363867,5166224,4800486,2924351,3014156
53,Total Current Liabilities,16934551,1575643,1305005,1616456,1674081,1425387,3061363,4091860,6260582,7766230,5826972,4161583,5345076
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6125428,- -,- -,802433
55,Deferred Revenue,- -,16759,- -,- -,- -,37500,28878,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,14472,12185,5316062,403,- -,- -,- -,- -,2678,923708,- -
58,Total Non-Current Liabilities,- -,16759,14472,12185,5316062,37903,28878,- -,- -,6125428,2678,923708,802433
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2678,1032836,- -
61,Total Liabilities,16934551,1592402,1319477,1628641,6990143,1463290,3090241,4091860,6260582,13891658,5829650,5085291,6147509
62,Preferred Stock,- -,- -,- -,- -,857,950,450,450,420,420,242,242,- -
63,Common Stock,981,11408,11408,11408,16606,22461,35964,40433,71414,108876,25665,33558,38086
64,Retained Earnings,-25331043,-36236279,-42947552,-46373234,-55750639,-76204066,-94391595,-119164952,-152174866,-178988098,-195421172,-217448855,-245659081
65,Other Comprehensive Income/Loss,-25608,-37775,- -,-57042,-9323,98972,62130,81186,98433,96522,97257,102006,87130
66,Other Total Stockholders Equity,10646771,43518044,44172672,45943492,51720156,79716155,128304539,136857409,159197950,183716536,218944268,261536061,308457148
67,Total Stockholders Equity,-14708899,7255398,1236528,-475376,-4022343,3634472,34011488,17814526,7193351,4934256,23646260,44223012,62798067
68,Total Liabilities And Stockholders Equity,2225652,8847800,2556005,1153265,2967800,5097762,37101729,21906386,13453933,18825914,29475910,49308303,68945576
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2225652,8847800,2556005,1153265,2967800,5097762,37101729,21906386,13453933,18825914,29475910,49308303,68945576
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1410098/000114420411014327/0001144204-11-014327-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000114420412015866/0001144204-12-015866-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000114420413017913/0001144204-13-017913-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1410098/000135448815001120/0001354488-15-001120-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000135448816006585/0001354488-16-006585-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000165495417002094/0001654954-17-002094-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000165495418002777/0001654954-18-002777-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000165495419002741/0001654954-19-002741-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000121390020006521/0001213900-20-006521-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000121390021018684/0001213900-21-018684-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000121390022015852/0001213900-22-015852-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-8121455,-10905236,-6711273,-3425682,-9133098,-20453427,-18187529,-24643627,-33009914,-26829630,-16433074,-22027683,-28210226
74,Depreciation and Amortization,9945,12167,12246,7022,5161,15074,15076,25596,36886,74218,73286,127964,61890
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,114143,1167081,692403,274358,1345136,2168303,3225659,1335157,1659137,1110632,2439618,2499820,5042606
77,Change in Working Capital,-302103,22487763,-6010536,-1707170,1723151,2370625,30384925,-16257669,-10732762,3891755,12623294,20498468,16334618
78,Accounts Receivable,- -,- -,- -,- -,-2279,-85412,-248186,307774,-47599,51986,10631,-3089,-44080
79,Inventory,- -,- -,- -,- -,-80021,-558008,-38540,79836,-100461,165679,59285,149597,145456
80,Accounts Payable,-63665,589638,-130783,-15743,10560,8055,825105,-63586,157525,782062,-1564381,103333,1082129
81,Other Working Capital,-15251258,7236505,1225969,-481201,1241950,3612575,33997500,17739831,7007069,10898824,23522118,44020586,60355204
82,Other Non-Cash Items,6153016,-16430179,5720435,2575212,2441118,9578606,-27965029,17275148,13459473,-1947540,-13755148,-23066207,-14384111
83,Cash Provided by Operating Activities,-2146454,-3668404,-6296725,-2276260,-3618532,-6320819,-12526898,-22265395,-28587180,-23700565,-15052024,-21967638,-21155223
84,CAPEX,- -,-10361,-1625,- -,-35683,-25402,-15446,-58723,-151988,-48893,-36571,-112638,501821
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-23592625,- -,-13074169,- -,-14106369,-8549758,-15289586
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,11478493,23583995,1604307,2122481,16088572,7580000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1927150
89,Cash Used for Investing Activites,- -,-10361,-1625,- -,-35683,-25402,-23608071,11419770,10357838,1555414,-12020459,7426176,-9134915
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1033000,- -,28451848,6229351,18641021,21968007,15234529,39688115,41455630
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2271621,10457270,- -,1126397,4171082,8357916,15177646,863101,1883976,7429063,10569833,411751,301921
95,Cash Used/Provided by Financing Activities,2271621,10457270,- -,1126397,5204082,8357916,43629494,7092452,20524997,29397070,25804362,40099866,41757551
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-11445,-46048,-16647,245,19584,-7878,-2015,13192,-12919
97,Net Change In Cash,125167,6778505,-6298350,-1149863,1538422,1965647,7477878,-3752928,2315239,7244041,-1270136,25571596,11454494
98,Cash at the End of Period,1505179,8283684,1985334,835471,2373893,4339540,11817418,8064490,10379729,17795323,16525187,42096783,53551277
99,Cash at the Beginning of Period,1380012,1505179,8283684,1985334,835471,2373893,4339540,11817418,8064490,10551282,17795323,16525187,42096783
100,Free Cash Flow,-2146454,-3678765,-6298350,-2276260,-3654215,-6346221,-12542344,-22324118,-28739168,-23749458,-15088595,-22080276,-21155223
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1410098/000114420411014327/0001144204-11-014327-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000114420412015866/0001144204-12-015866-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000114420413017913/0001144204-13-017913-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1410098/000135448815001120/0001354488-15-001120-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000135448816006585/0001354488-16-006585-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000165495417002094/0001654954-17-002094-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000165495418002777/0001654954-18-002777-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000165495419002741/0001654954-19-002741-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000121390020006521/0001213900-20-006521-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000121390021018684/0001213900-21-018684-index.htm,https://www.sec.gov/Archives/edgar/data/1410098/000121390022015852/0001213900-22-015852-index.htm
102,false,,,,,,,,,,,,,
