,https://roic.ai/company/MAXR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,9804395,14733578,19485169,12176763,16951348,21645565,22296366,27605525,30924972,38256368,40894852,11152216,11041136,23936753,72230623,70898300,71667303,76341790,167100000,449000000,376000000,348000000,290000000
15,EBITDA,4596738,27825150,31437813,42541364,51610547,71511525,86821834,101159807,128194063,161754014,90561216,193110496,103191489,222514202,168775570,239947594,173641094,239708436,240924038,213700000,-675000000,687000000,797000000,433000000
16,EBITDA ratio,0.0496,0.1352,0.1175,0.1407,0.1424,0.1480,0.1389,0.1411,0.1420,0.1330,0.0943,0.2020,0.1498,0.2985,0.1908,0.1405,0.0960,0.1571,0.1569,0.1310,-0.3153,0.4124,0.4626,0.2446
17,Operating Income,92712030,19677836,23923308,37203985,43413940,59674422,76711531,93674014,118840940,153477734,126483155,120283641,133541633,166445642,148527889,184617335,190580259,179757006,171333234,151700000,-1125000000,295000000,2000000,176000000
18,Operating Income ratio,1.0000,0.0956,0.0894,0.1231,0.1198,0.1235,0.1227,0.1306,0.1316,0.1262,0.1317,0.1258,0.1938,0.2233,0.1679,0.1081,0.1054,0.1178,0.1116,0.0930,-0.5255,0.1771,0.0012,0.0994
19,Total Other Income Expenses (Gains),- -,-1657081,-7219073,-14147791,-3980156,-5114245,-11535262,-14810573,-18252402,-22648692,-74178307,18149174,-23423252,9479922,-14657781,-63861679,-117695502,-45322082,-43790641,-187100000,-203000000,-218000000,-71000000,-143000000
20,Income Before Tax,- -,18020755,16704235,23056194,39433784,54560176,65176269,78863441,100588538,130829042,52304848,138432814,110118381,175925563,133870108,120755656,72884758,134434924,127542594,-35400000,-1328000000,77000000,-69000000,33000000
21,Income Before Tax Ratio,- -,0.0876,0.0624,0.0763,0.1088,0.1129,0.1043,0.1100,0.1114,0.1076,0.0545,0.1448,0.1598,0.2360,0.1514,0.0707,0.0403,0.0881,0.0831,-0.0217,-0.6203,0.0462,-0.0400,0.0186
22,Income Tax expense (Gain),- -,9113945,7900634,11339338,15929518,20896535,21508310,20185982,28869252,34931839,12460970,34922166,47155455,48959843,47141723,22100548,32295884,31499831,23661930,-136300000,-62000000,5000000,-22000000,-13000000
23,Net Income,4596738,8906810,8803601,11716856,23504265,33663641,43667959,58677458,71719286,95897203,39843878,103510648,40693489,156477963,86728386,98655109,40588874,102935094,103880664,100400000,-1264000000,109000000,303000000,46000000
24,Net Income ratio,0.0496,0.0433,0.0329,0.0388,0.0649,0.0697,0.0699,0.0818,0.0794,0.0789,0.0415,0.1083,0.0591,0.2099,0.0981,0.0577,0.0224,0.0675,0.0677,0.0615,-0.5904,0.0654,0.1759,0.0260
25,EPS,0.11,0.30,0.27,0.33,0.65,0.89,1.12,1.48,1.75,2.32,0.99,2.56,1.00,4.00,2.72,2.82,1.13,2.84,2.86,2.44,-21.76,1.83,4.99,0.65
26,EPS Diluted,0.11,0.30,0.27,0.31,0.62,0.87,1.11,1.45,1.67,2.20,0.98,2.55,0.99,4.00,2.72,2.82,1.13,2.77,2.78,2.43,-21.76,1.81,4.99,0.63
27,Weighted Average Shares Outstanding,40435277,30000000,32087445,35194340,36277451,37632759,38885185,39620930,40978431,41290000,40283925,40474695,40799265,39118977,31835394,35063159,36088071,36225359,36377356,41208328,58100000,59600000,60700000,70600000
28,Weighted Average Shares Outstanding Diluted,40559735,30000000,36081366,37306000,38147423,38631858,39469925,40564286,42869744,43562844,40655249,40655812,40932546,39142986,31835394,35063159,36088071,36348918,36517492,41309881,58100000,60200000,60700000,73200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121142/000155837019001372/0001558370-19-001372-index.htm,https://www.sec.gov/Archives/edgar/data/1121142/000155837020001895/0001558370-20-001895-index.htm,https://www.sec.gov/Archives/edgar/data/1121142/000155837021001635/0001558370-21-001635-index.htm,https://www.sec.gov/Archives/edgar/data/1121142/000155837022001597/0001558370-22-001597-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20556314,33348753,28985662,10723125,15233976,26389414,26827158,11490443,24658545,39290114,19202958,14101805,189496681,249589618,24965069,47246823,14756301,29946890,14129157,19100000,35000000,59000000,27000000,47000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,3282480,5684519,2804564,8284358,8455218,15113170,27134658,- -,51128333,5855725,5863756,5800287,5793468,800000,- -,- -,- -,- -
33,Cash and Short-Term Investments,20556314,33348753,28985662,10723125,15233976,26389414,30109638,17174961,27463109,47574472,27658176,29214975,216631339,249589618,76093403,53102548,20620058,35747177,19922625,19900000,35000000,59000000,27000000,47000000
34,Net Receivables,- -,54131310,52686229,61224387,82908703,81849518,125968689,145991045,150755834,187394729,186252260,219457549,151307791,96390793,394499563,388632287,472713333,466334700,403746745,548400000,478000000,357000000,327000000,355000000
35,Inventory,- -,621405,2851617,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2567091,82718655,108288175,86767569,103974951,102784019,96500000,31000000,20000000,31000000,39000000
36,Other Current Assets,- -,10287711,14756919,9498863,13755868,6494598,18152628,31449974,42860329,36454610,25028759,24136186,754681251,156792360,95261502,130140782,159015730,161438794,144473625,140500000,93000000,825000000,83000000,88000000
37,Total Current Assets,- -,98389179,99280427,81446375,111898546,114733530,174230955,194615981,221079272,271423811,238939195,272808710,1122620381,505339863,648573123,680163791,739116689,767495622,670927014,805300000,637000000,1261000000,468000000,529000000
38,PP&E,- -,17261260,34666222,40421362,36859322,35925415,46623521,60291028,66660947,78377259,77907970,37276287,23820189,41386876,337903963,343029011,365693538,350546592,359595268,1054900000,747000000,934000000,1046000000,1085000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,524165662,590628003,655457942,670577650,695315634,178928371,174801175,647782033,697432309,707221370,695180480,698738189,2374400000,1751000000,1455000000,1627000000,1627000000
40,Intangible Assets,- -,102393791,135319773,140894986,191474995,236417406,546521204,133499225,159936513,165585176,168286771,197450100,17228243,13114594,331395314,313228209,317990111,312574855,331253627,1753400000,1232000000,991000000,895000000,787000000
41,Intangible Assets,- -,102393791,135319773,140894986,191474995,236417406,546521204,657664887,750564516,821043118,838864421,892765734,196156615,187915769,979177347,1010660518,1025211481,1007755334,1029991816,4127800000,2983000000,2446000000,2522000000,2414000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6482515,- -,- -,23573709,24338219,27400000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,4255079,2339438,9034756,42424,6246771,11004633,5217611,14343468,- -,2951528,10261508,13149985,25520065,19992075,9365925,14936389,108300000,103000000,- -,- -,- -
44,Other Non-Current Assets,- -,1588036,6364121,2202917,2261308,1816822,9880713,15018943,17784832,34934868,26705012,25475122,26065829,4548482,341500558,367636203,418245094,443451347,458738933,533600000,531000000,516000000,447000000,470000000
45,Total Non-Current Assets,- -,121243087,176350117,187774344,232935064,283194398,603067862,739221629,846014928,939572857,957820871,955517143,248994161,244112635,1678214368,1746845798,1829142188,1834692907,1887600625,5852000000,4364000000,3896000000,4015000000,3969000000
46,Other Assets,66699812,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,66699812,219632266,275630544,269220719,344833610,397927929,777298817,933837610,1067094200,1210996668,1196760066,1228325852,1371614542,749452498,2326787491,2427009589,2568258877,2602188529,2558527639,6657300000,5001000000,5157000000,4483000000,4498000000
48,Accounts Payable,- -,44326914,42402801,59995100,61358945,89326558,147714908,152535733,199635381,214138140,178714873,- -,- -,85306562,215450881,193273665,217413814,166920566,185842571,236900000,248000000,153000000,115000000,75000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,49000000,66000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,24955716,39007565,15980475,39208412,77183572,57569492,45375139,51282662,92725623,160135378,- -,- -,- -,- -,- -,- -,- -,361000000,271000000,278000000,289000000
52,Other Current Liabilities,- -,108607845,48343448,1304036,1071581,479653,214617,90484760,64345,273654,108463,175992742,314554671,260465230,653790095,769210252,718638768,619194489,592653076,702400000,240000000,542000000,221000000,192000000
53,Total Current Liabilities,- -,152934759,90746249,86254852,101438090,105786685,187137937,320204064,257269218,259786933,230105998,268718365,474690050,345771792,869240976,962483917,936052582,786115055,778495648,939300000,849000000,996000000,663000000,622000000
54,Long-Term Debt,- -,4073657,57451817,41040717,68612281,88885462,317032126,229903565,317773679,420492780,396709942,326378569,200442929,101713026,803607652,488554336,611217546,705605719,495529350,2930900000,3030000000,2915000000,2572000000,2200000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12425747,101877700,- -,- -,- -,- -,- -,- -,- -,60000000,4000000,1000000,- -
56,Deferred Tax Liabilities,- -,- -,1159053,- -,3092148,3363742,9814165,17726020,27937543,38199535,41464256,51409607,5922052,3476004,7361057,10828630,9779818,9492034,11303474,103600000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,25477619,42805602,39120466,34572606,24870255,30049745,72822456,62152539,65620519,93221035,59869162,50079987,65975514,379135129,217422542,318640491,302738364,411099621,669900000,418000000,480000000,311000000,213000000
58,Total Non-Current Liabilities,- -,29551276,101416472,80161183,106277036,117119458,356896035,320452041,407863761,524312834,531395234,450083087,358322668,171164545,1190103837,716805507,939637855,1017836116,917932446,3704400000,3508000000,3399000000,2884000000,2413000000
59,Other Liabilities,40050692,- -,- -,- -,- -,- -,- -,640904081,815727522,- -,- -,- -,716645337,- -,2380207674,- -,- -,2035672232,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4428186,4993712,5163257,4748159,18700000,- -,213000000,199000000,180000000
61,Total Liabilities,40050692,182486036,192162721,166416035,207715126,222906144,544033973,640656105,665132979,784099768,761501233,718801452,833012718,516936337,2059344813,1679289424,1875690436,1803951171,1696428093,4643700000,4357000000,4395000000,3547000000,3035000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,165738764,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1713000000,- -,- -,- -
64,Retained Earnings,- -,-45500680,8803601,20009045,43737892,86762495,135792836,199233683,270235072,381475311,289869351,439709674,492674172,33660137,77236312,126854626,116531709,161822886,230959006,261800000,-1211000000,-1082000000,-763000000,-720000000
65,Other Comprehensive Income/Loss,- -,-56202661,-56491497,-62271511,-66925193,-92374130,-109798360,-114051145,-93204358,-121012824,-130778143,-77521727,-65643497,-73501469,-73746268,-103066390,-131995245,-154456687,-187594673,-251400000,-363000000,41000000,-120000000,-53000000
66,Other Total Stockholders Equity,26649119,138849572,131155719,145067149,160305785,180633420,207270368,42260203,224930508,166434414,276167625,147336453,111571149,272357493,263952635,723931929,708031976,790871160,818735213,2003200000,504000000,1802000000,- -,- -
67,Total Stockholders Equity,26649119,37146230,83467823,102804683,137118484,175021785,233264844,293181505,401961222,426896900,435258833,509524401,538601824,232516161,267442679,747720165,692568441,798237358,862099546,2013600000,643000000,761000000,935000000,1462000000
68,Total Liabilities And Stockholders Equity,66699812,219632266,275630544,269220719,344833610,397927929,777298817,933837610,1067094200,1210996668,1196760066,1228325852,1371614542,749452498,2326787491,2427009589,2568258877,2602188529,2558527639,6657300000,5000000000,5156000000,4482000000,4497000000
69,Minority Interest,-0,-0,- -,- -,-0,0,- -,0,- -,0,- -,- -,- -,- -,- -,- -,-0,-0,- -,- -,1000000,1000000,1000000,1000000
70,Total Liabilities & Equity,66699812,219632266,275630544,269220719,344833610,397927929,777298817,933837610,1067094200,1210996668,1196760066,1228325852,1371614542,749452498,2326787491,2427009589,2568258877,2602188529,2558527639,6657300000,5001000000,5157000000,4483000000,4498000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121142/000155837019001372/0001558370-19-001372-index.htm,https://www.sec.gov/Archives/edgar/data/1121142/000155837020001895/0001558370-20-001895-index.htm,https://www.sec.gov/Archives/edgar/data/1121142/000155837021001635/0001558370-21-001635-index.htm,https://www.sec.gov/Archives/edgar/data/1121142/000155837022001597/0001558370-22-001597-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,8906810,8803601,11716856,23504265,33663641,43667959,58677458,71719286,95897203,39843878,103510648,40693489,156477963,86728386,98655109,40588874,102935094,103880664,100400000,-1264000000,109000000,303000000,46000000
74,Depreciation and Amortization,- -,9804395,14733578,19485169,12176763,16951348,21645565,22296366,27605525,30924972,38256368,40894852,11152216,11041136,23936753,72230623,70898300,71667303,76341790,167100000,449000000,376000000,348000000,290000000
75,Deferred Income Tax,- -,-8837765,5659887,4802196,1720119,2550954,7428419,-2811262,-318291,16577805,1072309,28373603,574908,- -,- -,22100548,32295884,31499831,23661930,-136300000,-64000000,- -,-17000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23270939,28139498,-3861900,29454279,75357119,42559826,10186713,14330035,33400000,20000000,20000000,43000000,45000000
77,Change in Working Capital,- -,52612319,63079758,-13342656,15268933,-1513611,-21853827,-112681101,89398138,47826823,-2803681,-4742852,643839986,-488362261,-380235923,-61652273,85384233,178316460,-88949201,-26431367,-78000000,477000000,-72000000,-139000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7584758,-2355623,-9800196,70501493,-35519408,-23339593,9536712,47340972,64400000,8000000,- -,33000000,-20000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447600,-1979233,-24934962,20045484,-16121036,1655383,1100000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11953967,23887498,-14538351,32394087,-30309363,20930734,-17600000,-9000000,- -,- -,-95000000
81,Other Working Capital,- -,-54545580,8534178,-4808477,10460456,8946845,-12906983,-125588083,-36189945,11636878,8833196,4090345,647930331,159568071,-220667853,-282320125,-196935892,-18619432,-107568633,-134000000,-212000000,265000000,-21000000,-6000000
82,Other Non-Cash Items,- -,1380901,-69060418,-1763690,-22283435,-21552160,-1715807,128288127,-102922503,-138236800,46880099,-33687098,-332335827,278545414,388269457,-63531570,-204370157,-297185948,-734602,67731367,1076000000,-665000000,-416000000,39000000
83,Cash Provided by Operating Activities,- -,63866660,23216405,20897876,30386646,30100172,49172309,93769588,85482155,52990003,123248973,157620094,392064270,-46159647,148152951,143159556,67356959,97419452,128530615,205900000,139000000,317000000,189000000,281000000
84,CAPEX,- -,-64902336,-11014338,-15750826,-11573959,-9616971,-16619529,-16234717,-22007550,-26509139,-28980279,-25865724,-7755759,-27745348,-25152036,-59480451,-79883879,-57945939,-99228480,-126600000,-218000000,-314000000,-308000000,-234000000
85,Acquisitions Net,- -,- -,-91032344,- -,-27057568,-19596382,-286964913,-7914586,-145034317,-38402504,-70298274,-14285169,-2038674,- -,-998216781,- -,-35747635,87195,- -,-2273000000,-2000000,- -,-120000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-3282480,-2230067,- -,-5483187,-3641742,-4683411,-11928092,- -,- -,- -,- -,-23573709,- -,- -,-3000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,897585,- -,- -,- -,- -,- -,- -,2811428,1764112,- -,699074,- -,5430950,19577214,71377,47379,46120,121271,4200000,- -,- -,- -,- -
88,Other Investing Activites,- -,-69045,-0,- -,-4678240,-8942989,1057281,2111245,- -,1327880,910435,-16455926,-16950288,731690500,62142276,9932662,-31261306,-29706202,-59728443,-69200000,11000000,301000000,745000000,- -
89,Cash Used for Investing Activites,- -,-64073795,-102046682,-15750826,-43309767,-38156342,-305809639,-24268125,-164230439,-67302838,-102009860,-44135231,-36181211,711066601,-929796046,-28951792,-116957256,-76020581,-98459936,-2387700000,-150000000,-13000000,317000000,-234000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136994556,-242499200,-106847209,-217541691,-283017929,-64110229,-30769841,-113346477,-782200000,-27000000,-1115000000,-694000000,-394000000
91,Common Stock Issued,- -,74844821,37495832,7343685,7898698,11091404,16450663,13180644,14190975,9548622,12677896,3531659,10315350,5275220,2322005,273274980,3534449,3398454,3488580,3800000,- -,- -,- -,380000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-15630577,-36885792,-75404273,- -,- -,-490597453,-4190666,-92039,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-74844821,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40311459,-41598062,-41454023,-40411419,-38595796,-39992560,-47400000,-65000000,-2000000,- -,- -
94,Other Financing Activites,- -,11737656,38098033,-29069461,9414918,4859767,240127606,-97433270,91966369,57332122,33665571,12650177,92435210,-12058766,847286471,-37639115,119563083,57562568,87234581,3030900000,105000000,879000000,115000000,-17000000
95,Cash Used/Provided by Financing Activities,- -,11737656,75593865,-21725775,17313617,15951171,256578269,-84252626,90526767,29994951,-29060805,-120812721,-139748640,-644539667,586278058,-88928125,18575883,-8404615,-62615877,2205100000,13000000,-238000000,-579000000,-31000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-1580515,-1526606,1431023,-5415531,-4946590,-889122,-1476764,4483839,-585025,1226556,2444739,4608378,-2171713,-400000,-1000000,- -,-5000000,- -
97,Net Change In Cash,- -,11530521,-3236412,-16578726,4390495,7895001,-1639576,-16277768,13209506,10266586,-12768283,-8216980,214657655,24851126,-231190254,23921598,-28579674,17602635,-34716911,22900000,1000000,66000000,-78000000,16000000
98,Cash at the End of Period,- -,33348753,28985662,10723125,15233976,26389414,26827158,11490443,24658545,39290114,19202958,14101805,229421293,249589618,24965069,47246823,14756301,29946890,-3798824,19100000,43000000,109000000,31000000,47000000
99,Cash at the Beginning of Period,- -,21818232,32222074,27301851,10843481,18494413,28466734,27768211,11449039,29023528,31971241,22318785,14763638,224738492,256155323,23325225,43335975,12344256,30918086,-3800000,42000000,43000000,109000000,31000000
100,Free Cash Flow,- -,-1035676,12202067,5147050,18812686,20483201,32552781,77534872,63474605,26480864,94268694,131754369,384308511,-73904995,123000915,83679104,-12526920,39473514,29302135,79300000,-79000000,3000000,-119000000,47000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121142/000155837019001372/0001558370-19-001372-index.htm,https://www.sec.gov/Archives/edgar/data/1121142/000155837020001895/0001558370-20-001895-index.htm,https://www.sec.gov/Archives/edgar/data/1121142/000155837021001635/0001558370-21-001635-index.htm,https://www.sec.gov/Archives/edgar/data/1121142/000155837022001597/0001558370-22-001597-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
