,https://roic.ai/company/ANIX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,1494297,1582197,1538247,1904497,1611497,1611497,1904497,1977746,2050996,2134710,2307371,2490495,2534494,2636995,2691933,2736376,2837461,2992495,3302968,3645800,3888705,4188066,4548246,5691085,6097896,6525328,7333468,7984704,8642574,9571047,9625170,9602456,12197340,17624335,19789795,22229042,22229042
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715446/000090951801000099/0000909518-01-000099-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715446/000115752309000289/0001157523-09-000289-index.html,https://www.sec.gov/Archives/edgar/data/715446/000115752310000472/0001157523-10-000472-index.html,https://www.sec.gov/Archives/edgar/data/715446/000115752311000826/a6608783.htm,https://www.sec.gov/Archives/edgar/data/715446/000119312512029810/0001193125-12-029810-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316213000088/0001513162-13-000088-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316214000025/copytele10k_2013.htm,https://www.sec.gov/Archives/edgar/data/715446/000151316215000036/form10k.htm,https://www.sec.gov/Archives/edgar/data/715446/000151316215000658/0001513162-15-000658-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316216001096/0001513162-16-001096-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316218000006/0001513162-18-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/715446/000151316220000009/0001513162-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/715446/000149315221000456/0001493152-21-000456-index.htm,https://www.sec.gov/Archives/edgar/data/715446/000149315222000302/0001493152-22-000302-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2800000,1000000,700000,1700000,2200000,2100000,4100000,4100000,8300000,6200000,8900000,22200000,12300000,5400000,1600000,1134045,1316860,854822,1023531,1002777,506517,1281660,669141,478599,1451241,1094116,774040,339693,898172,3361246,4369219,2488323,3339374,3055890,3491625,6417061,29128298
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,96873,- -,- -,- -,- -,- -,38000,400000,1442484,749942,- -,2249159,500000,- -,2500000,2400000,750000,3500000,2000000,2350000,2640000,6599595
33,Cash and Short-Term Investments,2800000,1000000,700000,1700000,2200000,2100000,4100000,4100000,8300000,6200000,8900000,22200000,12300000,5400000,2100000,1230918,1316860,854822,1023531,1002777,506517,1319660,1069141,1921083,2201183,1094116,3023199,839693,898172,5861246,6769219,3238323,6839374,5055890,5841625,9057061,35727893
34,Net Receivables,- -,- -,- -,- -,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594851,536391,400732,168624,147768,62117,10165,120000,103000,750,- -,- -,- -,175000,400000,- -,- -,- -,- -,66527,- -,- -
35,Inventory,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,1769285,1589350,1296199,1044875,999429,384996,260823,191923,178144,132688,51972,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,100000,- -,200000,- -,1900000,100000,100000,100000,100000,100000,400000,5900000,3600000,900000,60433,136902,102519,47972,122482,480605,32011,34555,54348,61869,88805,97158,82326,160646,60577,126528,162069,174566,482482,184972,311563,275556
37,Total Current Assets,3000000,1100000,700000,1900000,4000000,4000000,4200000,4200000,8400000,6300000,9000000,22600000,18200000,9000000,7500000,3655487,3579503,2654272,2285002,2272456,1434235,1622659,1415619,2256575,2396490,1234893,3120357,922019,1233818,6321823,6895747,3400392,7013940,5538372,6093124,9368624,36003449
38,PP&E,300000,300000,300000,200000,100000,100000,-500000,100000,200000,200000,200000,800000,900000,800000,500000,270018,119487,71583,39480,38085,27131,23083,26653,29838,21162,14873,15924,10290,8379,11875,43456,156644,52701,72670,200569,- -,253955
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2721658,2396367,2071071,1745775,837500,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2721658,2396367,2071071,1745775,837500,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7430794,8796310,5509551,4728367,4197341,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,100000,200000,- -,100000,100000,600000,100000,100000,100000,500000,1300000,900000,3500000,100000,2968996,2863413,5654,6009,5509,4887,217887,427887,5211456,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,300000,400000,500000,200000,200000,200000,100000,200000,300000,300000,700000,2100000,1800000,4300000,600000,3239014,2982900,77237,45489,43594,32018,240970,454540,5241294,7451956,8811183,5525475,4738657,4205720,2733533,2439823,2227715,1798476,910170,200569,- -,253955
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84340,- -
47,Total Assets,3300000,1500000,1200000,2100000,4200000,4200000,4300000,4400000,8700000,6600000,9700000,24700000,20000000,13300000,8100000,6894501,6562403,2731509,2330491,2316050,1466253,1863629,1870159,7497869,9848446,10046076,8645832,5660676,5439538,9055356,9335570,5628107,8812416,6448542,6293693,9452964,36257404
48,Accounts Payable,- -,- -,- -,- -,- -,100000,100000,300000,400000,200000,200000,2000000,1200000,1400000,1500000,1035749,816011,379169,316865,402640,270806,532707,347141,384896,326243,355679,374691,304523,527208,540179,374703,468756,480324,582012,585817,232368,136196
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55198,39397
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1541667,- -,- -,- -,- -,- -,- -,313332,- -,- -,1644679,1187320,1187320,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,200000,200000,100000,100000,100000,- -,100000,- -,- -,- -,- -,- -,- -,100000,300000,301153,38199,34850,25420,40480,77424,49081,331668,69364,69931,94442,85778,330616,1497005,1269323,219079,- -,409169,683099,895498,901025,1094935
53,Total Current Liabilities,200000,200000,100000,100000,100000,100000,200000,300000,400000,200000,200000,2000000,1200000,1500000,1800000,1336902,2395877,414019,342285,443120,348230,581788,678809,767592,396174,450121,2105148,1822459,3211533,1809502,593782,468756,889493,1265111,1481315,1188591,1270528
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,32273,5548598,- -,- -,- -,- -,- -,- -,- -,220082
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,482651,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-100000,- -,100000,- -,100000,-100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,5000000,5000000,- -,3236281,3688187,4171876,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-100000,- -,100000,- -,100000,-100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,5000000,5482651,5032273,5548598,3236281,3688187,4171876,- -,- -,- -,- -,220082
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55198,259479
61,Total Liabilities,200000,200000,100000,100000,100000,100000,100000,300000,500000,200000,300000,1900000,1200000,1400000,1800000,1336902,2395877,414019,342285,443120,348230,581788,678809,5767592,5396174,5450121,7587799,6854732,8760131,5045783,4281969,4640632,889493,1265111,1481315,691608,1490610
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000,14000,14000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,630845,665211,702572,801515,855233,919755,992604,1069113,1324979,1445625,1537444,1761310,1849790,2092767,2196922,87249,87524,166028,189086,203317,242486,300509
64,Retained Earnings,-4300000,-6100000,-7500000,-8800000,-9900000,-11000000,-12300000,-14100000,-16900000,-20300000,-23300000,-28800000,-34500000,-41700000,-50200000,-55124098,-58696055,-61981295,-65095706,-68456361,-72907618,-80508519,-85966737,-91788341,-108277356,-113452487,-120830523,-125083322,-135163408,-144769722,-146148765,-151165193,-156174184,-170170209,-181817263,- -,-204790018
65,Other Comprehensive Income/Loss,-100000,-100000,-200000,-300000,-400000,-500000,-500000,-500000,-600000,-600000,-700000,-800000,-1100000,-1400000,-1600000,-1837946,-2004449,-2050927,-2084010,-2101008,-2115714,-2130786,-2140675,-17155255,- -,1412358,- -,-653684,- -,- -,-13617,- -,-35725,- -,-95015,- -,- -
66,Other Total Stockholders Equity,7500000,7500000,8800000,11100000,14400000,15600000,17000000,18700000,25700000,27300000,33400000,52400000,54400000,55000000,57500000,61888798,64201819,65647140,68366407,71575066,75221600,82928542,88229649,109348894,111284003,115098640,120127246,122693160,129750048,146232373,151114734,152051144,163966804,175415931,186944314,8518870,239926809
67,Total Stockholders Equity,3100000,1300000,1100000,2000000,4100000,4100000,4200000,4100000,8200000,6400000,9400000,22800000,18800000,11900000,6300000,5557599,4166526,2317490,1988206,1872930,1118023,1281841,1191350,1730277,4452272,4595955,1058033,-1194056,-3320593,4009573,5053601,987475,7922923,5434808,5235353,8761356,35437300
68,Total Liabilities And Stockholders Equity,3300000,1500000,1200000,2100000,4200000,4200000,4300000,4400000,8700000,6600000,9700000,24700000,20000000,13300000,8100000,6894501,6562403,2731509,2330491,2316050,1466253,1863629,1870159,7497869,9848446,10046076,8645832,5660676,5439538,9055356,9335570,5628107,8812416,6699919,6716668,9452964,36927910
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-251377,-422975,- -,-670506
70,Total Liabilities & Equity,3300000,1500000,1200000,2100000,4200000,4200000,4300000,4400000,8700000,6600000,9700000,24700000,20000000,13300000,8100000,6894501,6562403,2731509,2330491,2316050,1466253,1863629,1870159,7497869,9848446,10046076,8645832,5660676,5439538,9055356,9335570,5628107,8812416,6448542,6293693,9452964,36257404
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715446/000090951801000099/0000909518-01-000099-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715446/000115752309000289/0001157523-09-000289-index.html,https://www.sec.gov/Archives/edgar/data/715446/000115752310000472/0001157523-10-000472-index.html,https://www.sec.gov/Archives/edgar/data/715446/000115752311000826/a6608783.htm,https://www.sec.gov/Archives/edgar/data/715446/000119312512029810/0001193125-12-029810-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316213000088/0001513162-13-000088-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316214000025/copytele10k_2013.htm,https://www.sec.gov/Archives/edgar/data/715446/000151316215000036/form10k.htm,https://www.sec.gov/Archives/edgar/data/715446/000151316215000658/0001513162-15-000658-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316216001096/0001513162-16-001096-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316218000006/0001513162-18-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/715446/000151316220000009/0001513162-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/715446/000149315221000456/0001493152-21-000456-index.htm,https://www.sec.gov/Archives/edgar/data/715446/000149315222000302/0001493152-22-000302-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-1100000,-1100000,-1300000,-1800000,-2800000,-3400000,-3000000,-5400000,-5800000,-7100000,-8500000,-4964173,-3571957,-3285240,-3114411,-3360655,-4451257,-7600901,-5458218,-5821604,-16489015,-5175131,-7378036,-4252799,-10080086,-9606314,-1379043,-5016428,-5008991,-13996025,-11647054,-10092363,-12954400
74,Depreciation and Amortization,- -,- -,- -,- -,100000,100000,- -,- -,- -,100000,100000,100000,300000,300000,300000,261804,166503,86471,33083,- -,14706,15072,9889,- -,10612,8358,7977,7234,- -,314453,325291,358629,368512,343731,466308,38276,59864
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4956055,2657456,2718372,725265,4102824,3234497,2722409,904921,1709196,8910616,5713745,3922719,8058078
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,100000,-100000,4100000,-1900000,2700000,11800000,-3600000,-9500000,-1800000,-3381415,-1134959,1056627,-297536,-113381,-743331,-45134,-304061,752173,511333,-1215544,230437,-1915649,-1077275,6490036,1789644,-3370329,3192811,-1851186,338548,3568224,78547
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750,- -,- -,- -,-175000,-225000,400000,- -,- -,- -,- -,64296,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2600000,-1800000,-230677,179935,193151,251324,- -,27771,124173,68900,- -,35983,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,641331,-27044,-868661,87991,107100,101688,3805,-353449,-96172
81,Other Working Capital,- -,- -,- -,- -,3900000,3900000,4000000,3900000,8000000,6100000,8800000,20600000,17000000,7500000,5700000,2318585,1183626,2240253,1942717,1829336,1086005,1040871,736810,1488983,2000316,784772,1015209,-900440,-1977715,4512321,6301965,2931636,6124447,4273261,4611809,8180033,-259479
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-100000,- -,200000,-3900000,1600000,-2700000,-10700000,-1100000,8600000,3900000,3243206,3822568,1710671,2420363,2268914,3459550,5783855,3355531,4167563,8509449,1319044,3705250,2295201,3867739,-2811933,-2094934,3741508,-4058238,2319464,387027,2603034,-178970
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-1000000,-1100000,-1200000,-1700000,-2600000,-3600000,-2900000,-4200000,-10200000,-7700000,-6100000,-4840578,-717845,-431471,-958501,-1205122,-1720332,-1847108,-2396859,-901868,-2501566,-2405817,-716000,-3140748,-3186798,-2379261,1363367,-3381699,-3796710,-4273400,-4741426,39890,-4936881
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,-100000,-400000,-400000,-200000,- -,-30717,-15972,-38567,-980,-15602,-3752,-11024,-13459,-13853,-1936,-2069,-9028,-1600,- -,- -,-54776,-146521,-30188,-38404,-175457,-15791,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110000,- -,-19080166,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6473
86,Purchases of Investments,- -,- -,- -,- -,-2700000,-3400000,- -,- -,- -,- -,- -,- -,-1000000,- -,-500000,-96873,- -,- -,- -,- -,- -,-398000,-825000,-999525,-2899423,-749870,-3947543,-1200000,-250000,-5200000,-2900000,-1900000,-5501000,-4250000,-3850000,- -,-16498895
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,3300000,1900000,- -,- -,- -,- -,- -,- -,1000000,- -,488038,96873,- -,- -,- -,- -,760776,463000,2092565,4403367,1551631,1818395,2949551,750000,2700000,3000000,3550000,2751000,5750000,3500000,- -,12539300
88,Other Investing Activites,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,-400000,-900000,- -,- -,- -,- -,- -,- -,- -,- -,-400776,- -,- -,- -,- -,- -,- -,- -,-676,-6684,- -,- -,45000,- -,- -,-290000,35447
