,https://roic.ai/company/DCBO,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2000000,3960000,6040000,-10954000,1775000
95,Cash Used/Provided by Financing Activities,-40261,5652620,3938939,47367000,172270000,422000
96,Effect of Forex Changes on Cash,262516,73700,-184757,103000,-150000,-358000
97,Net Change In Cash,-1072547,2054547,395129,42522000,173380000,-4335000
98,Cash at the End of Period,1306355,3360902,3756031,46278000,219658000,215323000
99,Cash at the Beginning of Period,2378902,1306355,3360902,3756000,46278000,219658000
100,Free Cash Flow,-1294802,-3671773,-3359053,-4948000,3710000,-4399000
101,SEC Link,- -,- -,- -,- -,- -,- -
102,false,,,,,,
