,https://roic.ai/company/CRTD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-5.0901,-11.3320,-9.4522,-8.2584,-1.9666,-0.5816,-0.9397,-5.6319,-30.0182,-4.3309,-16.2514,-66.9934,-110.7324,-15.3544,-15.1501,-7.7607
17,Operating Income,- -,- -,- -,- -,-13493,-11825,-18361,-78493,-306353,-281039,-3691756,-5562328,-5686255,-7216978,-16283335,-33368720
18,Operating Income ratio,- -,- -,- -,- -,-1.9666,-0.5988,-0.9574,-5.6949,-26.8448,-4.8245,-16.4864,-58.1511,-70.2892,-15.9313,-13.4255,-7.7607
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-1902,-1735,-28362,-75520,-3700151,-3189258,-6327287,-818394,-7929448,-4010433
20,Income Before Tax,- -,- -,- -,- -,-13493,-11825,-20263,-80228,-334715,-356559,-7391907,-8751586,-12013542,-8035372,-24212783,-37379153
21,Income Before Tax Ratio,- -,- -,- -,- -,-1.9666,-0.5988,-1.0566,-5.8208,-29.3301,-6.1209,-33.0103,-91.4931,-148.5023,-17.7379,-19.9632,-8.6934
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324499
23,Net Income,-15821,-19881,-14674,-16971,-13493,-11825,-20263,-80228,-378040,-342939,-7391907,-8751586,-12013542,-8035372,-24212783,-37703652
24,Net Income ratio,-5.3019,-11.7431,-9.6730,-8.2584,-1.9666,-0.5988,-1.0566,-5.8208,-33.1265,-5.8871,-33.0103,-91.4931,-148.5023,-17.7379,-19.9632,-8.7689
25,EPS,-2.02,-3.30,-1.87,-2.17,-3.30,-1.48,-2.54,-6.60,-16.50,-13.80,-13.09,-13.29,-12.60,-2.94,-5.68,-7.84
26,EPS Diluted,-2.02,-3.30,-1.87,-2.17,-3.30,-1.48,-2.54,-6.60,-16.50,-13.80,-13.09,-13.29,-12.60,-2.94,-5.68,-7.84
27,Weighted Average Shares Outstanding,7830,7830,7830,7830,7951,7981,7981,12237,24335,25098,564909,658677,1139495,2741133,4812153,4812153
28,Weighted Average Shares Outstanding Diluted,7830,7830,7830,7830,7951,7981,7981,12237,24335,25098,564909,658677,1139495,2741133,4812153,4812153
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357671/000121390020008060/0001213900-20-008060-index.htm,https://www.sec.gov/Archives/edgar/data/1357671/000121390021018972/0001213900-21-018972-index.htm,https://www.sec.gov/Archives/edgar/data/1357671/000121390022018351/0001213900-22-018351-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10897,226,82,257,2990,- -,447,1479152,970294,573572,174494,111051,- -,11637,7906782,3794734
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62733,- -
33,Cash and Short-Term Investments,10897,226,82,257,2990,- -,447,1479152,970294,573572,174494,111051,- -,11637,7969515,3794734
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,285,537,125,- -,1325,6500,62299,90355,337440
35,Inventory,- -,- -,- -,- -,- -,2454,1168,15712,- -,- -,- -,- -,- -,- -,- -,106403
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,2875,- -,214,10000,- -,- -,109890,23856,236665
37,Total Current Assets,10897,226,82,257,2990,2454,1615,1498024,970831,573911,184494,112376,6500,183826,8083726,4475242
38,PP&E,1031,335,- -,- -,1700,1360,1020,60063,375229,463817,71829,48056,42443,248311,295416,121390
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035795,1035795,1374835
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1087278,960611,2432841
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2123073,1996406,3807676
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83333,- -,- -,- -,217096,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,11500,- -,38445,17000,159982,16836,191836,768951
45,Total Non-Current Assets,1031,335,- -,- -,1700,1360,1020,60063,386729,463817,193607,65056,202425,2388220,2700754,4698017
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11928,561,82,257,4690,3814,2635,1558087,1357560,1037728,378101,177432,208925,2572046,10784480,9173259
48,Accounts Payable,10797,19311,11566,20055,31304,20874,33355,7504,9,1330,1387068,1462106,1246207,1763222,2638688,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,66190,- -,1898758,2225094,1306572,9036917,2198871,1437865
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9005,50691,88637,234159
52,Other Current Liabilities,- -,- -,21940,25597,24774,46153,52756,- -,22726,2,259170,472444,7800,78000,42231,3748991
53,Total Current Liabilities,10797,19311,33506,45652,56078,67027,86111,7504,88925,1332,3544996,4159644,2569584,10928830,4968427,5421015
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3857539,123795,- -,213037,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1450,1350,1158,- -,6150,201944,157820,63992
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1450,1350,1158,3857539,129945,201944,370857,63992
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4732,4732,- -,307707,237636,- -
61,Total Liabilities,10797,19311,33506,45652,56078,67027,86111,7504,90375,2682,3546154,8017183,2699529,11130774,5339284,5485007
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,20,20,42,39,- -,- -,8,- -
63,Common Stock,2584,2584,2584,2604,2634,2634,2634,7993,8041,1514,33895,39521,129507,9179,8737,16691
64,Retained Earnings,-136564,-156445,-171119,-188090,-201583,-213408,-233671,-313899,-691939,-1034878,-13277981,-22247551,-36545065,-44580437,-71928922,-109632574
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-3645,-6814,-20553,-209627,-248062,-268380,-5995,-37234,-78272
66,Other Total Stockholders Equity,- -,135111,135111,140091,147561,147561,147561,1860134,1957877,2088943,10285618,14616302,34193334,36018525,77402607,111501212
67,Total Stockholders Equity,1131,-18750,-33424,-45395,-51388,-63213,-83476,1550583,1267185,1035046,-3168053,-7839751,-2490604,-8558728,5445196,1807057
68,Total Liabilities And Stockholders Equity,11928,561,82,257,4690,3814,2635,1558087,1357560,1037728,378101,177432,208925,2572046,10784480,9173259
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11928,561,82,257,4690,3814,2635,1558087,1357560,1037728,378101,177432,208925,2572046,10784480,9173259
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357671/000121390020008060/0001213900-20-008060-index.htm,https://www.sec.gov/Archives/edgar/data/1357671/000121390021018972/0001213900-21-018972-index.htm,https://www.sec.gov/Archives/edgar/data/1357671/000121390022018351/0001213900-22-018351-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-15821,-19881,-14674,-16971,-13493,-11825,-20263,-80228,-378040,-342939,-7391907,-8751586,-12013542,-8035372,-24212783,-37379153
74,Depreciation and Amortization,632,696,335,- -,- -,340,340,869,6814,13739,42634,38435,42218,118256,157760,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000,-68000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,463503,1262377,346954,437106,6861163,- -
77,Change in Working Capital,4750,-19185,-14339,-11971,-7693,-11485,-19923,1575016,-608614,-309327,-3933081,-686766,1484184,-8181920,13860303,-4061072
78,Accounts Receivable,- -,-486,- -,- -,- -,- -,- -,-285,- -,-125,- -,-1325,-5175,-54174,-93198,- -
79,Inventory,- -,- -,- -,- -,- -,536,1286,-14544,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4750,- -,7052,8489,11249,-10430,- -,-25851,- -,-21397,834487,855849,1039690,- -,2880392,- -
81,Other Working Capital,100,-19085,-33424,-45395,-53088,-64573,-84496,1490520,881906,572579,-3360502,-4047268,-2563084,-10745004,3115299,-945773
82,Other Non-Cash Items,- -,18699,21391,20460,15952,1591,38980,-1610547,713259,351730,8301738,4284988,5167372,9636903,-3938930,- -
83,Cash Provided by Operating Activities,-10439,-19671,-7287,-8482,-5234,-21379,-866,-114890,-266581,-286797,-2517113,-3852552,-4972814,-5957027,-7340487,- -
84,CAPEX,-194,- -,- -,- -,-1700,- -,- -,-59912,-327155,-103516,-43957,-14662,-27605,-27887,-44988,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-323951,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-30000,- -,- -,- -,- -,- -,-538272,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36048,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-11500,-6200,- -,- -,- -,-11450,- -,- -
89,Cash Used for Investing Activites,-194,- -,- -,- -,-1700,- -,- -,-59912,-368655,-109716,-43957,-14662,-27605,-363288,-547212,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-183394,-267351,-407760,-610073,-3174418,- -
91,Common Stock Issued,- -,- -,- -,5000,7500,- -,- -,1714287,12000,- -,- -,- -,2787462,684829,6662015,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19007,-33334,-575834,-89416,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87111,- -,- -,- -
94,Other Financing Activites,- -,9000,7143,3657,-823,21379,1313,-60780,117000,991,2480330,4090129,2630111,6839025,12415902,- -
95,Cash Used/Provided by Financing Activities,- -,9000,7143,8657,6677,21379,1313,1653507,129000,991,2296936,3803771,4889368,6337947,15814083,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5995,-31239,- -
97,Net Change In Cash,-10633,-10671,-144,175,- -,- -,- -,1478705,-506236,-395522,-264135,-63443,- -,- -,7895145,- -
98,Cash at the End of Period,10897,226,82,257,- -,- -,447,1479152,969094,573572,174494,111051,- -,11637,7906782,- -
99,Cash at the Beginning of Period,21530,10897,226,82,257,- -,- -,447,1475330,969094,438629,174494,111051,- -,11637,7906782
100,Free Cash Flow,-10633,-19671,-7287,-8482,-6934,-21379,-866,-174802,-593736,-390313,-2561070,-3867214,-5000419,-5984914,-7385475,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357671/000121390020008060/0001213900-20-008060-index.htm,https://www.sec.gov/Archives/edgar/data/1357671/000121390021018972/0001213900-21-018972-index.htm,https://www.sec.gov/Archives/edgar/data/1357671/000121390022018351/0001213900-22-018351-index.htm
102,false,,,,,,,,,,,,,,,,
