,https://roic.ai/company/AERI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.6177,-2.8570,-2.1393,-0.3823
22,Income Tax expense (Gain),- -,- -,- -,- -,139000,193000,-1758000,3000,-90000,5245000,593000
23,Net Income,-12967000,-14978000,-31148000,-48133000,-74363000,-99059000,-145105000,-232569000,-199581000,-183101000,-74810000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.6178,-2.8557,-2.2024,-0.3854
25,EPS,-0.85,-0.91,-6.38,-2.00,-2.88,-3.40,-4.11,-5.58,-4.39,-3.99,-1.61
26,EPS Diluted,-0.85,-0.91,-6.38,-2.00,-2.88,-3.40,-4.11,-5.58,-4.39,-3.99,-1.61
27,Weighted Average Shares Outstanding,15846264,15827499,4955760,24086651,25781230,29135583,35324472,41663958,45427154,45897255,46336346
28,Weighted Average Shares Outstanding Diluted,15846264,15827499,4955760,24086651,25781230,29135583,35324472,41663958,45427154,45897255,46336346
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1337553/000119312514116752/0001193125-14-116752-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828015001188/0001628280-15-001188-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828016012101/0001628280-16-012101-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828017002421/0001628280-17-002421-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828018002651/0001628280-18-002651-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828019002369/0001628280-19-002369-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828020002027/0001628280-20-002027-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828021003345/0001628280-21-003345-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000133755322000013/0001337553-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,15068000,2925000,69649000,85586000,91060000,197945000,197569000,202818000,143940000,151570000,37187000
32,Short-Term Investments,- -,- -,- -,54339000,45502000,35717000,52086000,- -,165250000,88794000,102614000
33,Cash and Short-Term Investments,15068000,2925000,69649000,139925000,136562000,233662000,249655000,202818000,309190000,240364000,139801000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,2715000,38354000,56022000,158828000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,10112000,21054000,27059000,40410000
36,Other Current Assets,133000,113000,618000,1122000,1865000,4028000,4487000,4530000,7744000,8310000,16611000
37,Total Current Assets,15201000,3038000,70267000,141047000,138427000,237690000,254142000,220175000,376342000,331755000,355650000
38,PP&E,220000,133000,132000,240000,3816000,7857000,31932000,60525000,58147000,68344000,74141000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,18275000,13808000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,37000,48000,59000,1523000,3076000,2707000,4202000,4344000,18119000,1946000,1600000
45,Total Non-Current Assets,257000,181000,191000,20038000,20700000,10564000,36134000,64869000,76266000,70290000,75741000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15458000,3219000,70458000,161085000,159127000,248254000,290276000,285044000,452608000,402045000,431391000
48,Accounts Payable,226000,174000,1442000,2068000,1629000,5610000,6245000,12403000,12770000,8826000,8285000
49,Short-Term Debt,- -,2331000,- -,- -,- -,- -,- -,- -,5502000,4923000,4365000
50,Tax Payable,- -,- -,- -,- -,1721000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,50858000,- -
52,Other Current Liabilities,2483000,1279000,2040000,6819000,15487000,13761000,18939000,38381000,65376000,39865000,112341000
53,Total Current Liabilities,2709000,3784000,3482000,8887000,17116000,19371000,25184000,50784000,83648000,104472000,124991000
54,Long-Term Debt,- -,- -,- -,124156000,123236000,123539000,123845000,- -,188651000,210373000,256278000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,50858000,64315000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1098000,2456000,- -,- -,- -,- -,5648000,6454000,13359000,12374000,3140000
58,Total Non-Current Liabilities,1098000,2456000,- -,124156000,123236000,123539000,129493000,6454000,202010000,273605000,323733000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,17604000,15129000,26116000
61,Total Liabilities,3807000,6240000,3482000,133043000,140352000,142910000,154677000,57238000,285658000,378077000,448724000
62,Preferred Stock,60348000,60898000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5000,5000,23000,24000,26000,33000,37000,45000,46000,47000,48000
64,Retained Earnings,-48810000,-63924000,-95068000,-143201000,-217564000,-316623000,-461728000,-696419000,-896000000,-1079101000,-1153911000
65,Other Comprehensive Income/Loss,-748000,-886000,-950000,-107000,-179000,-68000,-28000,- -,-92000,-52000,-126000
66,Other Total Stockholders Equity,856000,886000,162971000,171326000,236492000,422002000,597318000,924180000,1062996000,1103074000,- -
67,Total Stockholders Equity,11651000,-3021000,66976000,28042000,18775000,105344000,135599000,227806000,166950000,23968000,-17333000
68,Total Liabilities And Stockholders Equity,15458000,3219000,70458000,161085000,159127000,248254000,290276000,285044000,452608000,402045000,431391000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,15458000,3219000,70458000,161085000,159127000,248254000,290276000,285044000,452608000,402045000,431391000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1337553/000119312514116752/0001193125-14-116752-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828015001188/0001628280-15-001188-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828016012101/0001628280-16-012101-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828017002421/0001628280-17-002421-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828018002651/0001628280-18-002651-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828019002369/0001628280-19-002369-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828020002027/0001628280-20-002027-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828021003345/0001628280-21-003345-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000133755322000013/0001337553-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-12967000,-14978000,-31148000,-48133000,-74363000,-99059000,-145105000,-232569000,-199581000,-183101000,-74810000
74,Depreciation and Amortization,120000,138000,64000,73000,252000,970000,1410000,2442000,18114000,34158000,37500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,295000,430000,2858000,9178000,12945000,16794000,26078000,38728000,45093000,40095000,29524000
77,Change in Working Capital,1813000,-13238000,67531000,65375000,-10849000,97008000,10639000,-59567000,123303000,-65411000,-92562000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-2715000,-35639000,-17668000,-12806000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-9689000,-10257000,-5166000,-12101000
80,Accounts Payable,1726000,-1272000,2045000,4829000,5385000,2479000,925000,26583000,- -,- -,- -
81,Other Working Capital,12492000,-746000,66785000,132160000,121311000,218319000,228958000,169391000,292694000,227283000,13457000
82,Other Non-Cash Items,-1259000,12680000,-55753000,-60219000,16269000,-95553000,13765000,98390000,-137359000,109569000,1194000
83,Cash Provided by Operating Activities,-11998000,-14968000,-16448000,-33726000,-55746000,-79840000,-93213000,-152576000,-150430000,-64690000,-99154000
84,CAPEX,-49000,-51000,-63000,-181000,-3280000,-5077000,-15970000,-31313000,-9958000,-3100000,-3291000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-10500000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-95376000,-46872000,-35169000,-104490000,-56195000,-165454000,-116591000,-132361000
87,Sales/Maturities of Investments,- -,- -,- -,22239000,59534000,58346000,88153000,108297000,- -,192870000,117451000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-7835000,- -,- -
89,Cash Used for Investing Activites,-49000,-51000,-63000,-73318000,9382000,18100000,-42807000,20789000,-183247000,73179000,-18201000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8274000,- -
91,Common Stock Issued,- -,- -,71870000,- -,50451000,168479000,134215000,135972000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-130000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23846000,3006000,11365000,122981000,1387000,146000,1429000,1064000,274799000,7415000,2972000
95,Cash Used/Provided by Financing Activities,23846000,2876000,83235000,122981000,51838000,168625000,135644000,137036000,274799000,-859000,2972000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,11799000,-12143000,66724000,15937000,5474000,106885000,-376000,5249000,-58878000,7630000,-114383000
98,Cash at the End of Period,15068000,2925000,69649000,85586000,91060000,197945000,197569000,202818000,143940000,151570000,37187000
99,Cash at the Beginning of Period,3269000,15068000,2925000,69649000,85586000,91060000,197945000,197569000,202818000,143940000,151570000
100,Free Cash Flow,-12047000,-15019000,-16511000,-33907000,-59026000,-84917000,-109183000,-183889000,-160388000,-67790000,-102445000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1337553/000119312514116752/0001193125-14-116752-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828015001188/0001628280-15-001188-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828016012101/0001628280-16-012101-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828017002421/0001628280-17-002421-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828018002651/0001628280-18-002651-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828019002369/0001628280-19-002369-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828020002027/0001628280-20-002027-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828021003345/0001628280-21-003345-index.htm,https://www.sec.gov/Archives/edgar/data/1337553/000133755322000013/0001337553-22-000013-index.htm
102,false,,,,,,,,,,,
