,https://roic.ai/company/BCOV,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,- -,-0.0141,-0.3488,-0.2233,-0.1338,-0.0381,-0.0636,0.0118,-0.0114,-0.0761,-0.0402,-0.0700,0.0177,0.0688
17,Operating Income,- -,- -,-3103000,-17407000,-16130000,-15447000,-9494000,-15193000,-6931000,-8978000,-19696000,-13101000,-21063000,-5323000,7574000
18,Operating Income ratio,- -,- -,-0.0857,-0.3982,-0.2538,-0.1756,-0.0864,-0.1215,-0.0515,-0.0597,-0.1263,-0.0795,-0.1142,-0.0270,0.0359
19,Total Other Income Expenses (Gains),- -,- -,335000,-318000,-1054000,-494000,-536000,-1440000,-258000,-598000,547000,-326000,-280000,128000,-1375000
20,Income Before Tax,- -,- -,-2768000,-17725000,-17184000,-15941000,-10030000,-16633000,-7189000,-9576000,-19149000,-13427000,-21343000,-5195000,6199000
21,Income Before Tax Ratio,- -,- -,-0.0765,-0.4055,-0.2703,-0.1812,-0.0913,-0.1330,-0.0534,-0.0637,-0.1228,-0.0815,-0.1157,-0.0263,0.0294
22,Income Tax expense (Gain),- -,- -,55000,56000,90000,-3489000,212000,260000,391000,410000,370000,601000,560000,618000,802000
23,Net Income,- -,- -,-2345000,-17501000,-17635000,-13186000,-10262000,-16893000,-7580000,-9986000,-19519000,-14028000,-21903000,-5813000,5397000
24,Net Income ratio,- -,- -,-0.0648,-0.4003,-0.2774,-0.1499,-0.0934,-0.1351,-0.0563,-0.0665,-0.1252,-0.0851,-0.1187,-0.0295,0.0256
25,EPS,- -,- -,-0.35,-1.09,-0.84,-0.57,-0.36,-0.53,-0.23,-0.30,-0.57,-0.39,-0.58,-0.15,0.14
26,EPS Diluted,- -,- -,-0.35,-1.09,-0.84,-0.57,-0.36,-0.53,-0.23,-0.30,-0.57,-0.39,-0.58,-0.15,0.14
27,Weighted Average Shares Outstanding,- -,- -,21051000,21051000,21051000,24626000,28351000,31949000,32598000,33189000,34376000,35808000,38028000,39473000,39473000
28,Weighted Average Shares Outstanding Diluted,- -,- -,21051000,21051000,21051000,24626000,28351000,31949000,32598000,33189000,34376000,35808000,38028000,39473000,39473000
29,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1313275/000119312513091351/0001193125-13-091351-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000114420414014655/0001144204-14-014655-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000114420415014313/0001144204-15-014313-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312516482110/0001193125-16-482110-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312517049421/0001193125-17-049421-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312518063938/0001193125-18-063938-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312519047023/0001193125-19-047023-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312520050382/0001193125-20-050382-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312521054722/0001193125-21-054722-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312522046734/0001193125-22-046734-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10900000,24200000,22554000,20341000,17227000,21708000,33047000,22916000,27637000,36813000,26132000,29306000,22759000,37472000,45739000
32,Short-Term Investments,- -,- -,- -,- -,- -,8264000,3061000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10900000,24200000,22554000,20341000,17227000,29972000,36108000,22916000,27637000,36813000,26132000,29306000,22759000,37472000,45739000
34,Net Receivables,- -,- -,7315000,9272000,14693000,18956000,21560000,21463000,21213000,21575000,25236000,23264000,31181000,29305000,29866000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,962000,1448000,3334000,3276000,4257000,4451000,4579000,5897000,7036000,11936000,11884000,18738000,18625000
37,Total Current Assets,- -,- -,30831000,31061000,35254000,52204000,61925000,48830000,53429000,64285000,58404000,64506000,65824000,85515000,94230000
38,PP&E,1600000,2000000,3355000,4706000,6079000,8400000,8795000,10372000,8689000,9264000,9143000,9703000,28998000,24667000,45405000
39,Goodwill,- -,- -,2372000,2372000,2372000,22018000,22018000,50776000,50776000,50776000,50776000,50776000,60902000,60902000,60902000
40,Intangible Assets,- -,- -,- -,- -,- -,10387000,8668000,16898000,13786000,10970000,8236000,5919000,13875000,10465000,9276000
41,Intangible Assets,- -,- -,2372000,2372000,2372000,32405000,30686000,67674000,64562000,61746000,59012000,56695000,74777000,71367000,70178000
42,Investments,- -,- -,2974000,2878000,- -,3069000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,63000,121000,87000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,723000,967000,3633000,915000,1720000,708000,925000,1008000,969000,2452000,3268000,5254000,6655000
45,Total Non-Current Assets,- -,- -,9424000,10923000,12084000,44789000,41201000,78754000,74239000,72139000,69211000,68850000,107043000,101288000,122238000
46,Other Assets,43400000,40400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,43400000,40400000,40255000,41984000,47338000,96993000,103126000,127584000,127668000,136424000,127615000,133356000,172867000,186803000,216468000
48,Accounts Payable,- -,- -,1053000,1061000,2026000,619000,3067000,1618000,3302000,5327000,6142000,7712000,9917000,10456000,11039000
49,Short-Term Debt,- -,- -,- -,- -,833000,- -,- -,1159000,850000,796000,254000,236000,6174000,4346000,2600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2323000,3722000,2950000
51,Deferred Revenue,- -,- -,3688000,5410000,13418000,18961000,23571000,29640000,29836000,34665000,39370000,39846000,49260000,58741000,62057000
52,Other Current Liabilities,- -,- -,5036000,7327000,8773000,11639000,14528000,11722000,12849000,15705000,13621000,13746000,20925000,25397000,20925000
53,Total Current Liabilities,- -,- -,9777000,13798000,25050000,31219000,41166000,44139000,46837000,56493000,59387000,61540000,86276000,98940000,96621000
54,Long-Term Debt,- -,- -,- -,- -,6167000,- -,- -,- -,- -,- -,- -,- -,- -,5498000,22801000
55,Deferred Revenue,- -,- -,509000,332000,354000,255000,247000,64000,95000,91000,244000,146000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,- -,- -,- -
57,Other Non-Current Liabilities,100000,100000,96824000,114791000,77000,1027000,1333000,2618000,2601000,1644000,1228000,1028000,12468000,2763000,786000
58,Total Non-Current Liabilities,- -,- -,97333000,115123000,6598000,1282000,1580000,2682000,2696000,1735000,1472000,1202000,12468000,8261000,23587000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1159000,850000,796000,254000,236000,17875000,9844000,25401000
61,Total Liabilities,- -,- -,107110000,128921000,31648000,32501000,42746000,46821000,49533000,58228000,60859000,62742000,98744000,107201000,120208000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,12000,13000,21000,28000,29000,32000,33000,34000,35000,37000,39000,40000,41000
64,Retained Earnings,- -,- -,-68578000,-88511000,-92636000,-105862000,-116124000,-133017000,-140597000,-150583000,-170299000,-178722000,-200625000,-206438000,-201041000
65,Other Comprehensive Income/Loss,- -,- -,684000,814000,1056000,572000,-453000,-776000,-888000,-1172000,-809000,-952000,-785000,-188000,-662000
66,Other Total Stockholders Equity,- -,- -,- -,- -,106141000,167912000,176928000,214524000,219587000,229917000,237829000,250251000,275494000,286188000,297922000
67,Total Stockholders Equity,-49000000,-60500000,-67882000,-87684000,14582000,62650000,60380000,80763000,78135000,78196000,66756000,70614000,74123000,79602000,96260000
68,Total Liabilities And Stockholders Equity,- -,- -,39228000,41237000,46230000,95151000,103126000,127584000,127668000,136424000,127615000,133356000,172867000,186803000,216468000
69,Minority Interest,43400000,40400000,1027000,747000,1108000,1842000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,43400000,40400000,40255000,41984000,47338000,96993000,103126000,127584000,127668000,136424000,127615000,133356000,172867000,186803000,216468000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1313275/000119312513091351/0001193125-13-091351-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000114420414014655/0001144204-14-014655-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000114420415014313/0001144204-15-014313-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312516482110/0001193125-16-482110-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312517049421/0001193125-17-049421-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312518063938/0001193125-18-063938-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312519047023/0001193125-19-047023-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312520050382/0001193125-20-050382-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312521054722/0001193125-21-054722-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312522046734/0001193125-22-046734-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-2345000,-17501000,-17635000,-13186000,-10262000,-16893000,-7580000,-9986000,-19519000,-14028000,-21903000,-5813000,5397000
74,Depreciation and Amortization,- -,- -,1778000,2199000,2992000,4666000,5867000,8587000,8687000,7796000,7257000,6796000,8422000,8695000,8322000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-3600000,62000,- -,-27000,-47000,38000,118000,- -,- -,- -
76,Stock Based Compensation,- -,- -,508000,3315000,4197000,5843000,6401000,6387000,6014000,6012000,7243000,6649000,9259000,8785000,9968000
77,Change in Working Capital,- -,- -,555000,-3791000,-7059000,10781000,-226000,-16068000,1901000,1200000,-8775000,3949000,-23418000,7027000,-4283000
78,Accounts Receivable,- -,- -,-1043000,-2037000,-5438000,-4437000,-3247000,409000,-157000,-559000,-3811000,2791000,-5537000,1358000,-846000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,505000,2000,800000,-1321000,2117000,-2324000,1751000,733000,1758000,1197000,1682000,1014000,-683000
81,Other Working Capital,- -,- -,21054000,17263000,10204000,20985000,20759000,4691000,6592000,7792000,-983000,2966000,-20452000,-13425000,2611000
82,Other Non-Cash Items,- -,- -,-345000,5016000,10306000,-5713000,5476000,19472000,86000,6102000,7315000,-934000,30348000,2618000,159000
83,Cash Provided by Operating Activities,- -,- -,151000,-10762000,-7199000,-1209000,7318000,1485000,9081000,11077000,-6441000,2550000,2708000,21312000,19563000
84,CAPEX,- -,- -,-1769000,-3549000,-4418000,-6323000,-3915000,-4552000,-2846000,-5494000,-4112000,-4531000,-7279000,-8724000,-8842000
85,Acquisitions Net,- -,- -,- -,- -,- -,-27210000,- -,-9100000,- -,- -,- -,- -,-5339000,- -,-2000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-14063000,- -,- -,-1456000,-3887000,-3010000,-2993000,-6232000,- -,- -
87,Sales/Maturities of Investments,- -,- -,75000,50000,2732000,2596000,8200000,3060000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-209000,67000,321000,-24000,-519000,-913000,- -,-99000,- -,- -,- -,-6362000,-6637000
89,Cash Used for Investing Activites,- -,- -,-1903000,-3432000,-1365000,-45000000,4266000,-10471000,-2846000,-5293000,-4112000,-4531000,-12618000,-8724000,-10842000
90,Debt Repayment,- -,- -,- -,- -,- -,-7000000,- -,-1399000,-3036000,-1121000,-796000,-337000,- -,-10000000,- -
91,Common Stock Issued,- -,- -,240000,154000,475000,56763000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,11778000,4713000,1346000,746000,597000,1624000,4754000,252000,5587000,3177000,11585000,702000
95,Cash Used/Provided by Financing Activities,- -,- -,240000,11932000,5188000,51109000,746000,-802000,-1412000,3633000,-544000,5250000,3177000,1585000,702000
96,Effect of Forex Changes on Cash,- -,- -,-110000,49000,262000,-419000,-991000,-343000,-102000,-241000,416000,-95000,186000,540000,-1156000
97,Net Change In Cash,- -,- -,-1622000,-2213000,-3114000,4481000,11339000,-10131000,4721000,9176000,-10681000,3174000,-6547000,14713000,8267000
98,Cash at the End of Period,- -,- -,22554000,20341000,17227000,21708000,33047000,22916000,27637000,36813000,26132000,29306000,22759000,37472000,45739000
99,Cash at the Beginning of Period,- -,- -,24176000,22554000,20341000,17227000,21708000,33047000,22916000,27637000,36813000,26132000,29306000,22759000,37472000
100,Free Cash Flow,- -,- -,-1618000,-14311000,-11617000,-7532000,3403000,-3067000,6235000,5583000,-10553000,-1981000,-4571000,12588000,10721000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1313275/000119312513091351/0001193125-13-091351-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000114420414014655/0001144204-14-014655-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000114420415014313/0001144204-15-014313-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312516482110/0001193125-16-482110-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312517049421/0001193125-17-049421-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312518063938/0001193125-18-063938-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312519047023/0001193125-19-047023-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312520050382/0001193125-20-050382-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312521054722/0001193125-21-054722-index.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312522046734/0001193125-22-046734-index.htm
102,false,,,,,,,,,,,,,,,
