,https://roic.ai/company/MXL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1288469/000119312511027241/0001193125-11-027241-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000119312512115090/0001193125-12-115090-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000119312513040818/0001193125-13-040818-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846914000003/mxl-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1288469/000128846915000002/mxl-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1288469/000128846916000053/0001288469-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846917000004/0001288469-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846918000006/0001288469-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846919000006/0001288469-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846920000013/0001288469-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846921000013/0001288469-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1288469/000128846922000029/0001288469-22-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6201000,7919000,17921000,21563000,28026000,21810000,26450000,20696000,67956000,82896000,71872000,73142000,92708000,148901000,130572000
32,Short-Term Investments,2772000,1801000,- -,72923000,47156000,50265000,35494000,48399000,43300000,47918000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8973000,9720000,17921000,94486000,75182000,72075000,61944000,69095000,111256000,130814000,71872000,73142000,92708000,148901000,130572000
34,Net Receivables,2204000,1351000,9707000,3047000,10421000,14558000,20058000,18523000,42399000,50487000,66099000,59491000,50411000,100204000,119724000
35,Inventory,1928000,3675000,2850000,7425000,8082000,9891000,10032000,10858000,32443000,26583000,53434000,41738000,31510000,97839000,131703000
36,Other Current Assets,52000,157000,262000,4232000,1394000,1494000,1682000,2438000,3904000,6159000,9899000,6240000,7141000,14774000,22105000
37,Total Current Assets,13157000,14903000,30740000,109190000,95079000,98018000,93716000,100914000,190002000,214043000,201304000,180611000,181770000,361718000,404104000
38,PP&E,1383000,1733000,2627000,4535000,5494000,6866000,5511000,12441000,21858000,20549000,22658000,18404000,27591000,61356000,88193000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,1201000,49779000,76015000,237992000,238330000,238330000,302828000,306668000
40,Intangible Assets,- -,- -,- -,980000,1021000,275000,749000,10386000,51355000,104261000,315045000,244900000,187971000,207266000,152540000
41,Intangible Assets,- -,- -,- -,980000,1021000,275000,749000,11587000,101134000,180276000,553037000,483230000,426301000,510094000,459208000
42,Investments,- -,- -,- -,- -,10554000,5181000,24410000,10256000,19242000,5991000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,228000,- -,- -,- -,- -,- -,39878000,51518000,67284000,86065000,89168000
44,Other Non-Current Assets,63000,87000,2406000,4213000,- -,257000,543000,513000,2269000,1793000,7985000,5068000,2845000,3209000,9711000
45,Total Non-Current Assets,1446000,1820000,5033000,9728000,17297000,12579000,31213000,34797000,144503000,208609000,623558000,558220000,524021000,660724000,646280000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14603000,16723000,35773000,118918000,112376000,110597000,124929000,135711000,334505000,422652000,824862000,738831000,705791000,1022442000,1050384000
48,Accounts Payable,1275000,1543000,4162000,2877000,4936000,7372000,7507000,7509000,6389000,6757000,16939000,15588000,13442000,32751000,52976000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8144000,8888000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1193000,7105000
51,Deferred Revenue,- -,3300000,9850000,5322000,4029000,2289000,2651000,3612000,4066000,5991000,4362000,71000,107000,1164000,6180000
52,Other Current Liabilities,1590000,1654000,5699000,5547000,9529000,19907000,27000000,22125000,45377000,41795000,55085000,54908000,53013000,191602000,139351000
53,Total Current Liabilities,2865000,6497000,19711000,13746000,18494000,29568000,37158000,33246000,55832000,54543000,76386000,70567000,66562000,233661000,207395000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347609000,255757000,206909000,384454000,330793000
55,Deferred Revenue,- -,- -,71000,257000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,35652000,35589000,115000,18000,857000,796000,1097000,3363000,15749000,15685000,13443000,12571000,17400000,13210000,22998000
58,Total Non-Current Liabilities,35652000,35589000,186000,275000,857000,796000,1097000,3363000,15749000,15685000,361052000,268328000,224309000,397664000,353791000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,384000,347000,239000,116000,34000,2000,- -,- -,- -,1560000,1105000,1214000,14145000,29006000,33528000
61,Total Liabilities,38517000,42086000,19897000,14021000,19351000,30364000,38255000,36609000,71581000,70228000,437438000,338895000,290871000,631325000,561186000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,2000,3000,3000,3000,3000,4000,4000,6000,7000,7000,7000,7000,7000,8000
64,Retained Earnings,-24192000,-26106000,-21777000,-11663000,-33687000,-59015000,-71748000,-78789000,-121221000,-59932000,-69119000,-93630000,-113796000,-212389000,-170420000
65,Other Comprehensive Income/Loss,-836000,-1440000,-2265000,-3826000,-5988000,-8299000,-10836000,-15293000,-1000000,-2000000,1000000,-53787000,-1000000,1435000,2125000
66,Other Total Stockholders Equity,1112000,2181000,39915000,120383000,132697000,147544000,169254000,193180000,385139000,414349000,455536000,547346000,529709000,602064000,657485000
67,Total Stockholders Equity,-23914000,-25363000,15876000,104897000,93025000,80233000,86674000,99102000,262924000,352424000,387424000,399936000,414920000,391117000,489198000
68,Total Liabilities And Stockholders Equity,14603000,16723000,35773000,118918000,112376000,110597000,124929000,135711000,334505000,422652000,824862000,738831000,705791000,1022442000,1050384000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14603000,16723000,35773000,118918000,112376000,110597000,124929000,135711000,334505000,422652000,824862000,738831000,705791000,1022442000,1050384000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1288469/000119312511027241/0001193125-11-027241-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000119312512115090/0001193125-12-115090-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000119312513040818/0001193125-13-040818-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846914000003/mxl-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1288469/000128846915000002/mxl-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1288469/000128846916000053/0001288469-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846917000004/0001288469-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846918000006/0001288469-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846919000006/0001288469-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846920000013/0001288469-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846921000013/0001288469-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1288469/000128846922000029/0001288469-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-8709000,-1914000,4329000,10114000,-22024000,-13252000,-12733000,-7041000,-42331000,61292000,-9187000,-26199000,-19898000,-98593000,41969000
74,Depreciation and Amortization,467000,606000,841000,1873000,3159000,3531000,3715000,5107000,40641000,26703000,66738000,79027000,66401000,76513000,91792000
75,Deferred Income Tax,- -,- -,- -,- -,6668000,- -,-166000,-2281000,-1906000,101000,-31767000,-12144000,-15693000,-18488000,-3235000
76,Stock Based Compensation,201000,411000,959000,4215000,7368000,9984000,12986000,15008000,19268000,21765000,32668000,31721000,32060000,47597000,59358000
77,Change in Working Capital,-2080000,-1886000,2623000,84415000,-18859000,-8135000,-11892000,11110000,66502000,25330000,-34582000,-14874000,5164000,12849000,-24279000
78,Accounts Receivable,-1604000,853000,-8356000,6660000,-7374000,-4137000,-5500000,1982000,5160000,-8175000,-4377000,6595000,9090000,-16856000,-51690000
79,Inventory,-1024000,-1747000,825000,-4575000,-657000,-1809000,-141000,-757000,-6402000,9846000,-1788000,11696000,10195000,-31837000,-33689000
80,Accounts Payable,- -,- -,- -,- -,- -,3981000,-627000,83000,-21903000,3249000,-1918000,1161000,1261000,57094000,12771000
81,Other Working Capital,10292000,8406000,11029000,95444000,76585000,68450000,56558000,67668000,134170000,159500000,124918000,110044000,115208000,128057000,33595000
82,Other Non-Cash Items,-281000,4385000,1108000,-95779000,16579000,15416000,20980000,-9669000,-27133000,-17874000,51194000,45158000,10314000,53715000,2628000
83,Cash Provided by Operating Activities,-10402000,1602000,9860000,4838000,-7109000,7544000,12890000,12234000,55041000,117317000,75064000,102689000,78348000,73593000,168233000
84,CAPEX,-337000,-906000,-1409000,-4235000,-3163000,-5445000,-4117000,-8800000,-3096000,-8902000,-12846000,-7825000,-6973000,-15286000,-46757000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-9000000,-4000000,-101000000,-473000000,- -,- -,-160000000,-40000000
86,Purchases of Investments,-11031000,-4737000,- -,-111807000,-111369000,-87897000,-70620000,-56702000,-73377000,-90307000,-30577000,- -,- -,- -,-5000000
87,Sales/Maturities of Investments,19200000,5800000,1800000,- -,125350000,89151000,65200000,57172000,69029000,98896000,84546000,- -,- -,- -,- -
88,Other Investing Activites,50000,- -,- -,36392000,-201000,-390000,-955000,-136000,285000,-390000,-5652000,- -,-86000,-2799000,-7581000
89,Cash Used for Investing Activites,7882000,157000,391000,-78375000,10818000,-4191000,-9537000,-17466000,-11059000,-101313000,-432151000,-7825000,-6973000,-175286000,-91757000
90,Debt Repayment,-121000,-89000,-108000,-123000,-82000,-32000,-2000,- -,- -,- -,-70000000,-93000000,-50000000,-17188000,-409813000
91,Common Stock Issued,- -,- -,- -,77293000,2815000,2531000,2647000,3304000,9950000,6649000,12052000,6839000,8603000,8068000,8780000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-12076000,- -,- -,-101000,-3000,-334000,- -,- -,- -,-23548000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,35000,48000,-142000,- -,- -,- -,-1375000,-3810000,-5846000,-7316000,405303000,-7623000,-11986000,168769000,332678000
95,Cash Used/Provided by Financing Activities,-86000,-41000,-250000,77170000,2733000,-9577000,1270000,-506000,4003000,-670000,347021000,-93784000,-53383000,159649000,-91903000
96,Effect of Forex Changes on Cash,- -,- -,1000,9000,21000,8000,17000,-16000,-725000,-394000,1582000,-1301000,934000,-1039000,-2869000
97,Net Change In Cash,-2606000,1718000,10002000,3642000,6463000,-6216000,4640000,-5754000,47260000,14940000,-8484000,-221000,18926000,56917000,-18296000
98,Cash at the End of Period,6201000,7919000,17921000,21563000,28026000,21810000,26450000,20696000,67956000,82896000,74412000,74191000,93117000,150034000,131738000
99,Cash at the Beginning of Period,8807000,6201000,7919000,17921000,21563000,28026000,21810000,26450000,20696000,67956000,82896000,74412000,74191000,93117000,150034000
100,Free Cash Flow,-10739000,696000,8451000,603000,-10272000,2099000,8773000,3434000,51945000,108415000,62218000,94864000,71375000,58307000,121476000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1288469/000119312511027241/0001193125-11-027241-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000119312512115090/0001193125-12-115090-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000119312513040818/0001193125-13-040818-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846914000003/mxl-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1288469/000128846915000002/mxl-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1288469/000128846916000053/0001288469-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846917000004/0001288469-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846918000006/0001288469-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846919000006/0001288469-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846920000013/0001288469-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1288469/000128846921000013/0001288469-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1288469/000128846922000029/0001288469-22-000029-index.htm
102,false,,,,,,,,,,,,,,,
