,https://roic.ai/company/QTWO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,-18078000,-26857000,-44732000,-64366000,-89429000,-125783000,-152114000,-172422000,-243299000,-381187000,-493933000
65,Other Comprehensive Income/Loss,-1562000,-2619000,-4621000,-7788000,-13670000,-15214000,-23835000,-31506000,14000,-32000,-135000
66,Other Total Stockholders Equity,6649000,8754000,55086000,151091000,221069000,241228000,282567000,362824000,622692000,1024577000,1064358000
67,Total Stockholders Equity,-11250000,-18981000,5736000,78940000,117974000,100235000,106622000,158900000,379412000,643364000,570296000
68,Total Liabilities And Stockholders Equity,31734000,31676000,61108000,136806000,204468000,200980000,212815000,463720000,1009434000,1416702000,1385045000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,31734000,31676000,61108000,136806000,204468000,200980000,212815000,463720000,1009434000,1416702000,1385045000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1410384/000141038415000021/0001410384-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038416000173/0001410384-16-000173-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038417000017/0001410384-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038418000012/0001410384-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038419000015/0001410384-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038420000025/0001410384-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038421000022/0001410384-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038422000013/0001410384-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-3027000,-8779000,-17875000,-19634000,-25063000,-36354000,-26164000,-35397000,-70877000,-137620000,-112746000
74,Depreciation and Amortization,1013000,1697000,2971000,4083000,6847000,12199000,14946000,16802000,28457000,51840000,54833000
75,Deferred Income Tax,- -,- -,- -,- -,85000,281000,-350000,-2050000,-12774000,946000,180000
76,Stock Based Compensation,397000,1031000,1605000,4570000,7362000,12640000,20939000,29545000,40510000,50682000,55903000
77,Change in Working Capital,-609000,-10110000,4628000,66955000,15890000,-21067000,-3444000,81617000,-16115000,-26892000,-24644000
78,Accounts Receivable,-2151000,-2013000,-3267000,3991000,-3322000,-3247000,-961000,-4677000,372000,-14560000,-10072000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,23000,1949000,1326000,-842000,1343000,426000,3367000,-263000,1126000,-2297000,1757000
81,Other Working Capital,10162000,52000,4680000,71635000,87525000,66458000,63014000,144631000,-32459000,-6900000,-20651000
82,Other Non-Cash Items,1106000,13152000,7164000,-61260000,278000,35695000,3545000,-85922000,31366000,58154000,57399000
83,Cash Provided by Operating Activities,-1120000,-3009000,-1507000,-5286000,5399000,3394000,9472000,4595000,567000,-2890000,30925000
84,CAPEX,-1373000,-2229000,-11263000,-5036000,-7441000,-17364000,-13285000,-13331000,-14325000,-24667000,-25619000
85,Acquisitions Net,- -,- -,- -,- -,-27000000,- -,-4000000,-131000000,-505577000,- -,-64652000
86,Purchases of Investments,- -,- -,- -,-23216000,-43928000,-40160000,-27749000,-75674000,-27330000,-131337000,-124034000
87,Sales/Maturities of Investments,- -,- -,- -,2230000,20908000,41105000,27907000,48407000,63980000,31841000,149176000
88,Other Investing Activites,-300000,-541000,-171000,-713000,-1268000,-3110000,-1786000,260000,-465000,-952000,-5865000
89,Cash Used for Investing Activites,-1373000,-2345000,-11309000,-26735000,-58416000,-16514000,-17943000,-171292000,-483252000,-124163000,-65129000
90,Debt Repayment,-456000,-654000,-3400000,-19458000,-4659000,-5051000,- -,- -,- -,- -,-63692000
91,Common Stock Issued,- -,- -,- -,86286000,52575000,6003000,- -,- -,195289000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-8000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,13422000,17000,25780000,14497000,4171000,- -,11559000,216577000,280802000,434676000,12532000
95,Cash Used/Provided by Financing Activities,12966000,-637000,22380000,81325000,52087000,944000,11559000,216577000,476091000,434676000,-51160000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10457000,-6252000,9564000,49304000,-930000,-12176000,3088000,49880000,-6594000,307623000,-85364000
98,Cash at the End of Period,15363000,9111000,18675000,67979000,67049000,54873000,57961000,110156000,103562000,411185000,325821000
99,Cash at the Beginning of Period,4906000,15363000,9111000,18675000,67979000,67049000,54873000,60276000,110156000,103562000,411185000
100,Free Cash Flow,-2493000,-5238000,-12770000,-10322000,-2042000,-13970000,-3813000,-8736000,-13758000,-27557000,5306000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1410384/000141038415000021/0001410384-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038416000173/0001410384-16-000173-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038417000017/0001410384-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038418000012/0001410384-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038419000015/0001410384-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038420000025/0001410384-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038421000022/0001410384-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038422000013/0001410384-22-000013-index.htm
102,false,,,,,,,,,,,
