,https://roic.ai/company/BIDU,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1329099/000119312507125387/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000114554908001006/h02175e20vf.htm,https://www.sec.gov/Archives/edgar/data/1329099/000095014409003054/h03242e20vf.htm,https://www.sec.gov/Archives/edgar/data/1329099/000095012310028511/0000950123-10-028511-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000095012311030187/h04360de20vf.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312512139789/0001193125-12-139789-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312513129489/0001193125-13-129489-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312514120068/d641077d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312515108009/d814906d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312516534644/d45315d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312517105041/0001193125-17-105041-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312518084050/0001193125-18-084050-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312519076779/0001193125-19-076779-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312520073092/0001193125-20-073092-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,62822880,200198780,904171000,1141242000,1359280000,2372948000,4213625000,7781976000,4127482000,11880632000,9691797000,13852725000,9959932000,10898463000,11084000000,27638000000,33443000000,35782000000,36850000000
32,Short-Term Investments,- -,- -,- -,85339000,242037000,301244000,381149000,376492000,10051578000,20604223000,28734761000,43818037000,57969242000,78943065000,107731000000,111626000000,112924000000,126402000000,143243000000
33,Cash and Short-Term Investments,62822880,200198780,904171000,1226581000,1601317000,2674192000,4594774000,8158468000,14179060000,32484855000,38426558000,57670762000,67929174000,89841528000,118815000000,139264000000,146367000000,162184000000,180093000000
34,Net Receivables,2094372,9834442,24549000,33700000,102689000,114075000,221811000,427250000,749286000,1253483000,3032059000,4353522000,6413181000,6665227000,28989000000,9107000000,11471000000,11589000000,11349000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,736755,2226822,6632000,18456000,21488000,64209000,26287000,196729000,919810000,935751000,1570533000,3816364000,3891308000,3252125000,3365000000,6723000000,7724000000,9569000000,21873000000
37,Total Current Assets,65654008,212260044,935352000,1278737000,1725494000,2852476000,4842872000,8782447000,15848156000,34674089000,43029150000,65840648000,78233663000,99758880000,151169000000,155094000000,165562000000,183342000000,213315000000
38,PP&E,11051330,35935449,96420000,191734000,678886000,789714000,997557000,1622412000,2744241000,3887877000,5370268000,8705364000,10627127000,11294348000,12475000000,17903000000,25643000000,27312000000,35092000000
39,Goodwill,- -,- -,9287000,47316000,51093000,51082000,63691000,63686000,2419542000,3877564000,16864350000,17418895000,15395573000,15342096000,15806000000,18536000000,18250000000,22248000000,22605000000
40,Intangible Assets,- -,12955305,13303000,44386000,136932000,125783000,122595000,115798000,928511000,1587665000,3630315000,3574359000,3334619000,3872227000,5467000000,9181000000,7887000000,15013000000,19898000000
41,Intangible Assets,- -,12955305,22590000,91702000,188025000,176865000,186286000,179484000,3348053000,5465229000,20494665000,20993254000,18730192000,19214323000,21273000000,27717000000,26137000000,37261000000,42503000000
42,Investments,- -,- -,2018000,- -,15439000,12281000,14308000,287968000,734360000,803499000,634777000,2878922000,37958591000,45690363000,56283000000,80454000000,69410000000,76233000000,67332000000
43,Tax Assets,- -,- -,2843000,5802000,15716000,26537000,33799000,30843000,52125000,53303000,97940000,259127000,1008174000,1100230000,1532000000,2324000000,2193000000,1674000000,2372000000
44,Other Non-Current Assets,- -,1051325,77200000,100102000,32348000,80118000,82153000,145285000,613606000,784893000,1358988000,984193000,1295561000,4939247000,8996000000,14074000000,12371000000,6886000000,19420000000
45,Total Non-Current Assets,11051330,49942079,201071000,389340000,930414000,1085515000,1314103000,2265992000,7492385000,10994801000,27956638000,33820860000,69619645000,82238511000,100559000000,142472000000,135754000000,149366000000,166719000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,76705338,262202123,1136423000,1668077000,2655908000,3937991000,6156975000,11048439000,23340541000,45668890000,70985788000,99661508000,147853308000,181997391000,251728000000,297566000000,301316000000,332708000000,380034000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,452441000,3806836000,7362138000,12964893000,17636216000,28654086000,27523000000,35381000000,32701000000,- -,41384000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,189651000,2203480000,388532000,2317751000,1120908000,16553973000,7754000000,10001000000,10857000000,17561000000,17537000000
50,Tax Payable,- -,- -,6942000,38012000,56446000,84524000,147656000,295432000,- -,425320000,428801000,624781000,334058000,793476000,2271000000,2342000000,3115000000,3779000000,- -
51,Deferred Revenue,7458613,6299672,78109000,147858000,271894000,426299000,649863000,1138376000,1671451000,2436664000,3729231000,6715147000,8884315000,9460431000,9233000000,10758000000,12730000000,13575000000,13803000000
52,Other Current Liabilities,12177159,47889098,53137000,153141000,359310000,423029000,749861000,1413471000,2093004000,-210451000,-447075000,-1726970000,-1538637000,-8566445000,37547000000,713000000,1092000000,37249000000,1764000000
53,Total Current Liabilities,19635772,54188770,131246000,300999000,631204000,849328000,1399724000,2551847000,4406547000,8236529000,11032826000,20270821000,26102802000,46102045000,82057000000,56853000000,57380000000,68385000000,74488000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,4150000,86000000,2308037000,9737754000,17270348000,23557102000,33950227000,34470934000,35812000000,54903000000,62677000000,65028000000,73970000000
55,Deferred Revenue,- -,- -,124000,2817000,332000,- -,- -,5000000,19942000,190000000,376491000,39626000,17413000,27828000,73000000,1363000000,1026000000,783000000,352000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,131629000,289482000,1200270000,1143821000,3441290000,3589235000,3375000000,4099000000,3273000000,3067000000,3286000000
57,Other Non-Current Liabilities,91630842,211349448,- -,7000000,3000000,- -,- -,- -,148873000,1033283000,440603000,2039052000,4073739000,5556930000,11061000000,5312000000,5254000000,6704000000,11134000000
58,Total Non-Current Liabilities,91630842,211349448,124000,9817000,3332000,- -,4150000,91000000,2608481000,11250519000,19287712000,26779601000,41482669000,43644927000,50321000000,65677000000,72230000000,75582000000,88742000000
59,Other Liabilities,183261685,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,47885000,76981000,85906000,107425000,54523000,8764000,- -,- -,6769000000,7059000000,8431000000
61,Total Liabilities,111266614,265538218,131370000,310816000,634536000,849328000,1403874000,2642847000,7015028000,19487048000,30320538000,47050422000,67585471000,89746972000,132378000000,122530000000,129610000000,143967000000,163230000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,- -,- -,- -,- -,- -
64,Retained Earnings,-58609302,-47127508,1002000,302768000,931736000,1979844000,3440529000,6965697000,13604334000,24038219000,34525386000,47659772000,74659355000,85733706000,102328000000,129246000000,126268000000,135284000000,- -
65,Other Comprehensive Income/Loss,-10248350,521523,-5451000,-33697000,-81953000,-109552000,-113513000,-117378000,-84403000,-78278000,843096000,231923000,-806056000,-1782966000,930000000,210000000,-1383000000,199000000,- -
66,Other Total Stockholders Equity,- -,- -,1009488000,1088176000,1171575000,1218356000,1426070000,1557258000,1771770000,2095273000,3056418000,3633919000,6402349000,8322787000,- -,- -,- -,- -,- -
67,Total Stockholders Equity,-34561276,-3336094,1005053000,1357261000,2021372000,3088663000,4753101000,8405592000,15291716000,26055229000,38424915000,51525629000,80255663000,92273542000,115346000000,162897000000,163599000000,182696000000,211459000000
68,Total Liabilities And Stockholders Equity,76705338,262202123,1136423000,1668077000,2655908000,3937991000,6156975000,11048439000,22306744000,45542277000,68745453000,98576051000,147841134000,182020514000,247724000000,285427000000,293209000000,326663000000,374689000000
69,Minority Interest,- -,-0,- -,- -,- -,- -,- -,- -,1033797000,126613000,2240335000,1085457000,12174000,-23123000,4004000000,12139000000,8107000000,6045000000,5345000000
70,Total Liabilities & Equity,76705338,262202123,1136423000,1668077000,2655908000,3937991000,6156975000,11048439000,23340541000,45668890000,70985788000,99661508000,147853308000,181997391000,251728000000,297566000000,301316000000,332708000000,380034000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1329099/000119312507125387/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000114554908001006/h02175e20vf.htm,https://www.sec.gov/Archives/edgar/data/1329099/000095014409003054/h03242e20vf.htm,https://www.sec.gov/Archives/edgar/data/1329099/000095012310028511/0000950123-10-028511-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000095012311030187/h04360de20vf.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312512139789/0001193125-12-139789-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312513129489/0001193125-13-129489-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312514120068/d641077d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312515108009/d814906d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312516534644/d45315d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312517105041/0001193125-17-105041-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312518084050/0001193125-18-084050-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312519076779/0001193125-19-076779-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312520073092/0001193125-20-073092-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-8882455,12003318,-8885000,301766000,628968000,301766000,1048108000,3525168000,6638637000,10456028000,10518966000,13187069000,33664173000,11632269000,18301000000,27573000000,2057000000,22472000000,10226000000
74,Depreciation and Amortization,4884109,9942058,4888000,70442000,180935000,70442000,280714000,441351000,884912000,1515337000,2651990000,3972294000,5860912000,8327557000,11748000000,16187000000,22138000000,22714000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-10767000,-3244000,-13814000,-74374000,-64701000,-59030000,330636000,-693448000,2260739000,-13561000,-756000000,-761000000,-696000000,115000000,- -
76,Stock Based Compensation,- -,- -,5109000,48280000,39848000,48280000,83977000,93736000,152028000,212309000,514727000,962740000,1387118000,1759988000,3244000000,4676000000,5626000000,6728000000,- -
77,Change in Working Capital,11589410,17284777,11590000,107627000,99850000,25532000,337155000,746089000,592459000,780968000,967311000,3249126000,4237484000,5637652000,6575000000,3281000000,-6687000000,-18207000000,- -
78,Accounts Receivable,- -,- -,-1518000,-388000,-40685000,-388000,-33282000,-128307000,-282467000,-338602000,-773787000,-1462086000,-868564000,-238198000,-721000000,-1611000000,-1779000000,-1660000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,778003000,2005559000,5028890000,7179338000,3711093000,5100000000,4094000000,-1653000000,208000000,- -
81,Other Working Capital,- -,- -,5013000,69198000,69810000,-12897000,250904000,120372000,-311371000,806399000,1036804000,1305330000,143279000,662372000,1065000000,848000000,1478000000,-17549000000,- -
82,Other Non-Cash Items,5107619,17276499,- -,-1971000,-3682000,-1971000,10059000,-31489000,-24516000,-909618000,-1190659000,-2740606000,-27987988000,-5085608000,-6232000000,-14989000000,6020000000,-9622000000,9896000000
83,Cash Provided by Operating Activities,12698682,56506652,12702000,526144000,935152000,440805000,1746199000,4700481000,8178819000,11995994000,13792971000,17937175000,19422438000,22258297000,32880000000,35967000000,28458000000,24200000000,20122000000
84,CAPEX,-6399010,-25413921,-7958000,-150413000,-582343000,-165613000,-476812000,-976119000,-2342456000,-2566379000,-3680988000,-6395211000,-7774456000,-10509768000,-13951000000,-22362000000,-19121000000,-5331000000,- -
85,Acquisitions Net,- -,-11903980,- -,-43320000,-14080000,-43320000,- -,- -,-1945870000,-821546000,-13461005000,-328891000,-3873907000,274715000,892000000,3603000000,-1445000000,-2882000000,- -
86,Purchases of Investments,- -,- -,- -,-85339000,-116793000,- -,-764720000,-2903197000,-11461679000,-33201183000,-84713301000,-135167635000,-182303497000,-242949537000,-316444000000,-338042000000,-344682000000,-296672000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,580430000,2661794000,1497015000,22829412000,78509856000,119403361000,162637912000,221578425000,276033000000,316374000000,345243000000,276428000000,- -
88,Other Investing Activites,-1556292,-2160597,-1556000,-38079000,-13252000,-38079000,-17668000,-12631000,-473817000,-217022000,-889546000,-1543144000,-2482702000,-10599281000,-32587000000,-7534000000,-12662000000,658000000,-31444000000
89,Cash Used for Investing Activites,-7955302,-39478497,-7958000,-294272000,-713216000,-208933000,-661102000,-1217522000,-14250529000,-13750100000,-23322819000,-22467774000,-31272444000,-35910759000,-76935000000,-34460000000,-19974000000,-27552000000,-31444000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-291726000,-2228279000,-420476000,-2316697000,-3034870000,-11851000000,-21425000000,-10246000000,-9666000000,- -
91,Common Stock Issued,74503,120339467,- -,- -,- -,- -,- -,- -,- -,100460000,1397283000,1846819000,3527945000,660773000,4046000000,15689000000,401000000,4662000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-68539000,- -,- -,- -,- -,- -,-6376964000,- -,-1723000000,-3312000000,-4958000000,-13054000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-337964000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,72000,32179000,40698000,32179000,32902000,124751000,2425810000,9710151000,8372557000,7523581000,12943748000,16820777000,54085000000,24130000000,10930000000,23723000000,23396000000
95,Cash Used/Provided by Financing Activities,74503,120339467,72000,32179000,40698000,32179000,-35637000,124751000,2425810000,9518885000,7541561000,8611960000,7778032000,14446680000,44557000000,15082000000,-3873000000,5665000000,23396000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-28370000,-48308000,-28370000,-37889000,-6110000,-8594000,-11629000,-200548000,79567000,179181000,144313000,-316000000,1902000000,1000000,-212000000,-943000000
97,Net Change In Cash,4817883,137375899,4816000,235681000,214326000,235681000,1011571000,3601600000,-3654494000,7753150000,-2188835000,4160928000,-3892793000,938531000,186000000,18491000000,4612000000,2101000000,11131000000
98,Cash at the End of Period,62822880,200198780,62825000,1136274000,1350600000,1136274000,2362171000,7781976000,4127482000,11880632000,9691797000,13852725000,9959932000,10898463000,11084000000,29827000000,34439000000,36540000000,47671000000
99,Cash at the Beginning of Period,58004997,62822880,58009000,900593000,1136274000,900593000,1350600000,4180376000,7781976000,4127482000,11880632000,9691797000,13852725000,9959932000,10898000000,11336000000,29827000000,34439000000,36540000000
100,Free Cash Flow,6299672,31092731,4744000,375731000,352809000,275192000,1269387000,3724362000,5836363000,9429615000,10111983000,11541964000,11647982000,11748529000,18929000000,13605000000,9337000000,18869000000,20122000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1329099/000119312507125387/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000114554908001006/h02175e20vf.htm,https://www.sec.gov/Archives/edgar/data/1329099/000095014409003054/h03242e20vf.htm,https://www.sec.gov/Archives/edgar/data/1329099/000095012310028511/0000950123-10-028511-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000095012311030187/h04360de20vf.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312512139789/0001193125-12-139789-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312513129489/0001193125-13-129489-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312514120068/d641077d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312515108009/d814906d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312516534644/d45315d20f.htm,https://www.sec.gov/Archives/edgar/data/1329099/000119312517105041/0001193125-17-105041-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312518084050/0001193125-18-084050-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312519076779/0001193125-19-076779-index.html,https://www.sec.gov/Archives/edgar/data/1329099/000119312520073092/0001193125-20-073092-index.html,- -,- -
102,Forex Rate,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
