,https://roic.ai/company/CVCO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,1.79,1.11,-4.41,-0.23,-0.72,0.97,1.54,2.23,1.74,0.95,0.07,-0.52,0.41,2.19,0.71,1.94,2.64,3.15,4.17,6.68,7.40,8.10,8.25
27,Weighted Average Shares Outstanding,6200000,6200000,6183100,6183100,6292990,6261182,6288730,6318070,6363368,6427264,6487665,6516572,6637270,6877437,6956706,8262688,8854359,8889731,8976064,9024437,9080878,9129639,9189052
28,Weighted Average Shares Outstanding Diluted,6200000,6200000,6292990,6292990,6292990,6311812,6557819,6746356,6629580,6664111,6692932,6516572,6859457,6949077,7027204,8379024,9015779,9046347,9105743,9201706,9268737,9268784,9293134
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/278166/000095015304001296/p69164e10vk.htm,https://www.sec.gov/Archives/edgar/data/278166/000095015305001194/p70639e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/278166/000095015307001202/0000950153-07-001202-index.html,https://www.sec.gov/Archives/edgar/data/278166/000095015308001062/0000950153-08-001062-index.html,https://www.sec.gov/Archives/edgar/data/278166/000136231009008044/0001362310-09-008044-index.html,https://www.sec.gov/Archives/edgar/data/278166/000095012310052053/0000950123-10-052053-index.html,https://www.sec.gov/Archives/edgar/data/278166/000095012311056537/0000950123-11-056537-index.html,https://www.sec.gov/Archives/edgar/data/278166/000119312512266959/0001193125-12-266959-index.html,https://www.sec.gov/Archives/edgar/data/278166/000144530513001462/0001445305-13-001462-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816614000019/0000278166-14-000019-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816615000026/0000278166-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816616000106/0000278166-16-000106-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816617000024/0000278166-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816618000019/0000278166-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816619000053/0000278166-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816620000028/cvco-2020328x10k.htm,https://www.sec.gov/Archives/edgar/data/278166/000027816621000029/0000278166-21-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,30775000,46457000,15122000,12976000,73610000,70557000,74988000,76513000,41094000,47800000,72900000,96597000,97766000,132542000,186766000,187370000,241826000,322279000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,42900000,50900000,- -,4464000,- -,- -,5377000,6900000,8300000,7106000,10140000,11289000,11866000,12620000,14582000,19496000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,30775000,46457000,58022000,63876000,73610000,75021000,74988000,76513000,46471000,54700000,81200000,103703000,107906000,143831000,198632000,199990000,256408000,341775000
34,Net Receivables,20900000,8200000,8836000,3834000,5264000,6479000,7545000,11568000,8107000,10093000,6234000,9428000,46631000,35576000,42900000,43600000,53397000,54588000,70268000,71620000,85993000,90599000,104318000
35,Inventory,10700000,10700000,10214000,24735000,13995000,7995000,9703000,12733000,13464000,11293000,9333000,15751000,16036000,62246000,68800000,69700000,75334000,94813000,93855000,109152000,116203000,113535000,131234000
36,Other Current Assets,32800000,38700000,28710000,10192000,15139000,9039000,6954000,6709000,6542000,6202000,7838000,12745000,7651000,24739000,28000000,33300000,33030000,41412000,48810000,39189000,59863000,55643000,74472000
37,Total Current Assets,64400000,57600000,47760000,38761000,34398000,54288000,70659000,89032000,91989000,101198000,98426000,112912000,146831000,169032000,194400000,227800000,265464000,298719000,356764000,418593000,462049000,516185000,651799000
38,PP&E,4200000,4300000,4415000,9957000,9161000,8220000,7472000,12344000,12802000,12706000,12859000,37589000,35993000,50064000,46200000,48200000,44712000,55072000,56964000,63355000,63484000,91084000,113046000
39,Goodwill,83600000,80300000,67346000,67346000,67346000,- -,- -,67346000,67346000,67346000,67346000,- -,- -,67346000,67300000,67300000,67346000,69753000,69753000,72920000,72920000,75090000,75090000
40,Intangible Assets,- -,- -,- -,- -,- -,67346000,67346000,- -,- -,- -,- -,- -,- -,13569000,12100000,10700000,9330000,10636000,10268000,10100000,9776000,15110000,14363000
41,Intangible Assets,83600000,80300000,67346000,67346000,67346000,67346000,67346000,67346000,67346000,67346000,67346000,68912000,68859000,80915000,79400000,78000000,76676000,80389000,80021000,83020000,82696000,90200000,89453000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8825000,10769000,17165000,24813000,28948000,30256000,33573000,32137000,31557000,35010000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4770000,16500000,19900000,20587000,20611000,21118000,- -,7002000,7295000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12929000,17759000,123728000,97231000,78135000,70330000,70096000,62193000,76239000,77848000,74110000,62525000
45,Total Non-Current Assets,87800000,84600000,71761000,77303000,76507000,75566000,74818000,79690000,80148000,80052000,80205000,119430000,122611000,268302000,250100000,241400000,237118000,255116000,250552000,256187000,263167000,294246000,300034000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,152200000,142200000,119521000,116064000,110905000,129854000,145477000,168722000,172137000,181250000,178631000,232342000,269442000,437334000,444500000,469200000,502582000,553835000,607316000,674780000,725216000,810431000,951833000
48,Accounts Payable,- -,- -,- -,- -,- -,6105000,5978000,6269000,2868000,2147000,739000,5375000,3495000,11732000,14100000,15300000,17805000,18513000,24010000,23785000,29305000,29924000,32120000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,15278000,10169000,10187000,6590000,8649000,6417000,27199000,20597000,6418000,1851000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3701000,- -,- -,1089000,1282000,1682000,1986000,1767000,1908000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20285000,6724000,4074000,8573000,8998000,9204000,21894000,7002000,7295000,41835000
52,Other Current Liabilities,43600000,43100000,26597000,23085000,18559000,18986000,22099000,26384000,18417000,18005000,13753000,26919000,26245000,38210000,56007000,69439000,68503000,88929000,100585000,103451000,117104000,128465000,161298000
53,Total Current Liabilities,43600000,43100000,26597000,23085000,18559000,25091000,28077000,32653000,21285000,20152000,14492000,32294000,65740000,85505000,87000000,99000000,101471000,125089000,140216000,176329000,174008000,172102000,237104000
54,Long-Term Debt,4200000,13300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80747000,72100000,59900000,60370000,54909000,51574000,33768000,14618000,12705000,23696000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,6830000,9090000,11040000,12760000,14747000,16099000,19694000,17214000,16198000,16492000,19948000,20587000,20611000,21118000,7577000,7002000,- -,7393000
57,Other Non-Current Liabilities,- -,100000,34515000,36006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92008000,-48000,- -,- -,- -,- -,- -,18038000,- -
58,Total Non-Current Liabilities,4200000,13400000,34515000,36006000,- -,6830000,9090000,11040000,12760000,14747000,16099000,19694000,17214000,96945000,180600000,79800000,80957000,75520000,72692000,41345000,21620000,30743000,31089000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2387000,- -,1155000,1075000,14913000,13665000
61,Total Liabilities,47800000,56500000,61112000,59091000,18559000,31921000,37167000,43693000,34045000,34899000,30591000,51988000,82954000,182450000,267600000,178800000,182428000,200609000,212908000,217674000,195628000,202845000,268193000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,31000,63000,64000,64000,65000,65000,65000,68000,69000,100000,100000,89000,89000,90000,90000,91000,92000,92000
64,Retained Earnings,- -,- -,- -,- -,- -,-21565000,-11438000,3611000,15160000,21472000,21930000,18559000,21390000,36627000,41600000,57800000,81645000,110186000,148141000,209381000,280078000,355144000,431057000
65,Other Comprehensive Income/Loss,208800000,171400000,- -,- -,- -,-563000,-313000,-63000,-7894000,-8613000,-9279000,-9933000,-11178000,58000,177000,436000,504000,1289000,1386000,1438000,-28000,90000,97000
66,Other Total Stockholders Equity,- -,- -,58409000,56973000,92346000,120030000,119998000,- -,130762000,133427000,135324000,137085000,140389000,131589000,135013000,232097000,237916000,241662000,244791000,246197000,249447000,252260000,252394000
67,Total Stockholders Equity,104400000,85700000,58409000,56973000,92346000,97933000,108310000,125029000,138092000,146351000,148040000,145776000,150669000,168343000,176890000,290433000,320154000,353226000,394408000,457106000,529588000,607586000,683640000
68,Total Liabilities And Stockholders Equity,152200000,142200000,119521000,116064000,110905000,129854000,145477000,168722000,172137000,181250000,178631000,197764000,233623000,350793000,444490000,469233000,502582000,553835000,607316000,674780000,725216000,810431000,951833000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34578000,35819000,86541000,10000,-33000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,152200000,142200000,119521000,116064000,110905000,129854000,145477000,168722000,172137000,181250000,178631000,232342000,269442000,437334000,444500000,469200000,502582000,553835000,607316000,674780000,725216000,810431000,951833000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/278166/000095015304001296/p69164e10vk.htm,https://www.sec.gov/Archives/edgar/data/278166/000095015305001194/p70639e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/278166/000095015307001202/0000950153-07-001202-index.html,https://www.sec.gov/Archives/edgar/data/278166/000095015308001062/0000950153-08-001062-index.html,https://www.sec.gov/Archives/edgar/data/278166/000136231009008044/0001362310-09-008044-index.html,https://www.sec.gov/Archives/edgar/data/278166/000095012310052053/0000950123-10-052053-index.html,https://www.sec.gov/Archives/edgar/data/278166/000095012311056537/0000950123-11-056537-index.html,https://www.sec.gov/Archives/edgar/data/278166/000119312512266959/0001193125-12-266959-index.html,https://www.sec.gov/Archives/edgar/data/278166/000144530513001462/0001445305-13-001462-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816614000019/0000278166-14-000019-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816615000026/0000278166-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816616000106/0000278166-16-000106-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816617000024/0000278166-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816618000019/0000278166-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816619000053/0000278166-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816620000028/cvco-2020328x10k.htm,https://www.sec.gov/Archives/edgar/data/278166/000027816621000029/0000278166-21-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-27269000,-1436000,-4545000,6150000,10127000,15049000,11549000,6312000,458000,-3371000,2831000,15237000,5000000,16200000,23817000,28541000,37955000,61502000,68622000,75066000,76646000
74,Depreciation and Amortization,- -,- -,5600000,1202000,1167000,1600000,1303000,1173000,692000,785000,817000,1204000,1357000,5556000,4010000,4000000,3757000,3922000,3687000,4026000,4698000,5783000,6324000
75,Deferred Income Tax,- -,- -,- -,- -,- -,2260000,2220000,1520000,1830000,1884000,1951000,1442000,-960000,-2488000,2131000,512000,662000,-2219000,-2120000,-4258000,-762000,261000,326000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000,372000,671000,916000,1266000,2353000,1657000,1762000,2125000,2321000,3365000,3881000,4392000
77,Change in Working Capital,- -,- -,4570000,-5487000,163000,13358000,13385000,13797000,14325000,10342000,2888000,-3316000,473000,2436000,23873000,21400000,35193000,9637000,42918000,25716000,45777000,56042000,70612000
78,Accounts Receivable,- -,- -,-600000,- -,- -,- -,- -,- -,- -,- -,3859000,-1097000,2857000,-5217000,-3878000,-2148000,-6205000,3332000,-2145000,-4118000,-5684000,-1442000,-4597000
79,Inventory,- -,- -,500000,- -,- -,3766000,119000,-2471000,-731000,2171000,1960000,1388000,-285000,1019000,-6559000,-924000,-5605000,-3980000,958000,-13425000,-7051000,8250000,-17699000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,21163000,15676000,15839000,29197000,42582000,56379000,70704000,81046000,83934000,80618000,81091000,83527000,107400000,128800000,163993000,173630000,216548000,242264000,288041000,344083000,414695000
82,Other Non-Cash Items,- -,- -,17989000,5721000,3215000,-4595000,-10778000,-14953000,-22020000,-10327000,-4925000,-5882000,-1231000,-5227000,-15560000,2292000,-39388000,1900000,-39771000,-30536000,-88864000,-39296000,-44269000
83,Cash Provided by Operating Activities,- -,- -,890000,- -,- -,18773000,16257000,16586000,6376000,8996000,1326000,-9551000,3141000,16430000,20720000,46757000,25698000,43543000,44794000,58771000,32836000,101737000,114031000
84,CAPEX,- -,- -,-2630000,- -,- -,-222000,-575000,-5795000,-1150000,-689000,-986000,-391000,-959000,-2427000,-755000,-2265000,-2210000,-3519000,-5295000,-8386000,-7636000,-14340000,-25537000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25799000,- -,-67639000,- -,- -,- -,-28121000,- -,-1638000,- -,-15937000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-98900000,-446000000,-314700000,-4464000,-1488000,-39064000,-9722000,-8243000,-17121000,-16707000,-17114000,-10930000,-12537000,-7337000,-11699000,-17518000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,56000000,438000000,365600000,- -,5952000,- -,51402000,5062000,9661000,10783000,10434000,9018000,17416000,9033000,10192000,19466000
88,Other Investing Activites,- -,- -,180000,- -,- -,- -,- -,- -,- -,- -,28000,13000,1016000,5312000,1796000,61000,6035000,93000,145000,474000,125000,6541000,240000
89,Cash Used for Investing Activites,- -,- -,-2450000,- -,- -,-222000,-575000,-48695000,-9150000,50211000,-5422000,-21713000,-39007000,-23074000,-2140000,-9664000,-2099000,-38227000,-7062000,-4671000,-5815000,-25243000,-23349000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30814000,-14050000,-12375000,-7703000,-7514000,-8231000,-8040000,-26688000,-19916000,-2788000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,774000,372000,957000,- -,35000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1441000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1560000,- -,- -,12224000,- -,- -,256000,470000,1043000,695000,37391000,2039000,2199000,408000,7752000,3367000,5275000,8164000,278000,-840000,-2753000
95,Cash Used/Provided by Financing Activities,- -,- -,1560000,- -,- -,12224000,- -,774000,628000,1427000,1043000,35695000,37391000,-28775000,-11851000,-11967000,49000,-4147000,-2956000,124000,-26410000,-20756000,-6982000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,12224000,15682000,-31335000,-2146000,60634000,-3053000,4431000,1525000,-35419000,6729000,25126000,23648000,1169000,34776000,54224000,611000,55738000,83700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,30775000,46457000,15122000,12976000,73610000,70557000,74988000,76513000,41094000,47823000,72949000,96597000,97766000,132542000,186766000,199869000,255607000,339307000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,30775000,46457000,15122000,12976000,73610000,70557000,74988000,76513000,41094000,47823000,72949000,96597000,97766000,132542000,199258000,199869000,255607000
100,Free Cash Flow,- -,- -,-1740000,- -,- -,18551000,15682000,10791000,5226000,8307000,340000,-9942000,2182000,14003000,19965000,44492000,23488000,40024000,39499000,50385000,25200000,87397000,88494000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/278166/000095015304001296/p69164e10vk.htm,https://www.sec.gov/Archives/edgar/data/278166/000095015305001194/p70639e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/278166/000095015307001202/0000950153-07-001202-index.html,https://www.sec.gov/Archives/edgar/data/278166/000095015308001062/0000950153-08-001062-index.html,https://www.sec.gov/Archives/edgar/data/278166/000136231009008044/0001362310-09-008044-index.html,https://www.sec.gov/Archives/edgar/data/278166/000095012310052053/0000950123-10-052053-index.html,https://www.sec.gov/Archives/edgar/data/278166/000095012311056537/0000950123-11-056537-index.html,https://www.sec.gov/Archives/edgar/data/278166/000119312512266959/0001193125-12-266959-index.html,https://www.sec.gov/Archives/edgar/data/278166/000144530513001462/0001445305-13-001462-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816614000019/0000278166-14-000019-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816615000026/0000278166-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816616000106/0000278166-16-000106-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816617000024/0000278166-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816618000019/0000278166-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816619000053/0000278166-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/278166/000027816620000028/cvco-2020328x10k.htm,https://www.sec.gov/Archives/edgar/data/278166/000027816621000029/0000278166-21-000029-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
