,https://roic.ai/company/STAG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,3371000,2772000,997000,16498000,19006000,6690000,23878000,12011000,12192000,24562000,7968000,9041000,15666000,18981000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3371000,2772000,997000,16498000,19006000,6690000,23878000,12011000,12192000,24562000,7968000,9041000,15666000,18981000
34,Net Receivables,- -,3585000,3608000,4618000,5992000,10157000,13975000,16963000,21478000,25223000,33602000,42236000,57592000,77796000,93600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1659000,2568000,6097000,11554000,13431000,18409000,29437000,33391000,30434000,48847000,51476000,84073000,48588000,65168000
37,Total Current Assets,- -,8615000,8948000,11712000,34044000,42594000,39074000,70278000,66880000,67849000,107011000,101680000,150706000,142050000,177749000
38,PP&E,- -,190762000,185943000,413249000,- -,- -,- -,- -,- -,- -,- -,- -,15129000,25403000,29582000
39,Goodwill,- -,- -,- -,4024000,4923000,4923000,4923000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,276272000,294533000,313253000,342015000,475149000,499802000,567658000
41,Intangible Assets,- -,- -,- -,4024000,4923000,4923000,4923000,- -,276272000,294533000,313253000,342015000,475149000,499802000,567658000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,30354000,25225000,80056000,585547000,957607000,1226284000,1559039000,1563084000,1823774000,2260403000,2658837000,3523661000,4025391000,5058260000
45,Total Non-Current Assets,- -,221116000,211168000,497329000,590470000,962530000,1231207000,1559039000,1839356000,2118307000,2573656000,3000852000,4013939000,4550596000,5655500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,229731000,220116000,509041000,624514000,1005124000,1270281000,1629317000,1906236000,2186156000,2680667000,3102532000,4164645000,4692646000,5833249000
48,Accounts Payable,- -,- -,- -,4383000,6044000,12111000,18574000,21558000,25662000,35389000,43216000,45507000,53737000,69765000,76475000
49,Short-Term Debt,- -,216178000,212132000,239947000,- -,99300000,80500000,131000000,56000000,28000000,271000000,100500000,146000000,107000000,296000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2186000,2949000,14615000,6160000,11301000,5166000,7355000,8234000,9728000,11880000,13754000,17465000,19379000,21906000
53,Total Current Liabilities,- -,218364000,215081000,258945000,12204000,122712000,104240000,159913000,89896000,73117000,326096000,159761000,217202000,196144000,394381000
54,Long-Term Debt,- -,- -,- -,- -,296779000,379915000,475591000,555347000,931180000,1008139000,902781000,1225408000,1499013000,1624188000,1955370000
55,Deferred Revenue,- -,- -,- -,- -,3478000,5686000,8972000,11480000,14628000,15195000,19045000,22153000,21993000,27844000,37138000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4807000,6556000,6713000,2144000,7351000,6914000,11053000,15153000,22779000,22438000,25578000,62546000,73418000,52773000
58,Total Non-Current Liabilities,- -,4807000,6556000,6713000,302401000,392952000,491477000,577880000,960961000,1046113000,944264000,1273139000,1583552000,1725450000,2045281000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16989000,27898000,33108000
61,Total Liabilities,- -,223171000,221637000,265658000,314605000,515664000,595717000,737793000,1050857000,1119230000,1270360000,1432900000,1800754000,1921594000,2439662000
62,Preferred Stock,- -,- -,- -,- -,69000000,69000000,139000000,139000000,139000000,145000000,145000000,75000000,75000000,75000000,- -
63,Common Stock,- -,- -,- -,- -,159000,357000,447000,644000,681000,804000,970000,1122000,1428000,1582000,1777000
64,Retained Earnings,- -,- -,- -,- -,-18385000,-61024000,-116877000,-203241000,-334623000,-410978000,-516691000,-584979000,-723027000,-742071000,-792332000
65,Other Comprehensive Income/Loss,- -,-8680000,-14626000,-19261000,- -,- -,3000000,- -,-2000000,-1000000,4000000,4000000,-18000000,-40025000,-11783000
66,Other Total Stockholders Equity,- -,15240000,13105000,174950000,179919000,419272000,577479000,927753000,1017044000,1293210000,1725761000,2118660000,2970127000,3421721000,4130038000
67,Total Stockholders Equity,- -,6560000,-1521000,155689000,230693000,427605000,603049000,864156000,820102000,1027036000,1359040000,1613803000,2305528000,2716207000,3327700000
68,Total Liabilities And Stockholders Equity,- -,229731000,220116000,421347000,545298000,943269000,1198766000,1601949000,1870959000,2146266000,2629400000,3046703000,4106282000,4637801000,5767362000
69,Minority Interest,- -,- -,- -,87694000,79216000,61855000,71515000,27368000,35277000,39890000,51267000,55829000,58363000,54845000,65887000
70,Total Liabilities & Equity,- -,229731000,220116000,509041000,624514000,1005124000,1270281000,1629317000,1906236000,2186156000,2680667000,3102532000,4164645000,4692646000,5833249000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1479094/000104746912002371/a2207750z10-k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000104746913002284/a2213224z10-k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000104746914001398/a2218367z10-k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000155837015000135/stag-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909416000006/stag-123115x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909417000005/stag-123116x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909418000009/stag-123117x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909419000006/stag-123118x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909420000006/stag-123119x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909421000007/0001479094-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909422000006/0001479094-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,-7684000,-5560000,638000,-4545000,-6479000,5522000,-4025000,-29403000,34519000,31259000,92926000,49281000,202147000,192334000
74,Depreciation and Amortization,- -,12056000,10992000,9599000,21408000,43473000,70597000,88057000,112545000,125444000,150881000,167617000,185450000,214738000,240750000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,376000,1936000,2970000,7314000,7578000,9729000,9547000,8922000,9888000,11681000,14955000
77,Change in Working Capital,- -,-944000,3616000,-41100000,269073000,-101958000,14952000,-24469000,66619000,17748000,-213817000,161004000,-8415000,12402000,-3667000
78,Accounts Receivable,- -,-1600000,-6000,496000,50000,-1497000,-1515000,435000,-1334000,-1435000,-2125000,-903000,-2509000,-4482000,-36000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,328000,- -,6174000,6043000,1018000,3469000,6161000,514000,2385000,- -,- -,6763000
81,Other Working Capital,- -,-209749000,-206133000,-247233000,21840000,-80118000,-65166000,-89635000,-23016000,-5268000,-219085000,-58081000,-66496000,-54094000,- -
82,Other Non-Cash Items,- -,5003000,-683000,40197000,-271037000,111039000,-11354000,29799000,-35632000,-52017000,184692000,-232700000,-2847000,-147046000,-108218000
83,Cash Provided by Operating Activities,- -,8431000,8365000,9334000,15275000,48011000,82687000,96676000,121707000,135423000,162562000,197769000,233357000,293922000,336154000
84,CAPEX,- -,-384000,-1295000,- -,- -,-100405000,-76946000,-87419000,-85329000,-89576000,-95707000,-110287000,-205621000,-110840000,-160382000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-25000,-747000,-2088000,-73186000,-417203000,-325231000,-421713000,-372038000,-347112000,-566053000,-507201000,-1222574000,-554650000,-1214793000
89,Cash Used for Investing Activites,- -,-409000,-2042000,-2088000,-73186000,-417203000,-325231000,-421713000,-372038000,-347112000,-566053000,-507201000,-1222574000,-554623000,-1220420000
90,Debt Repayment,- -,-1182000,-8430000,-4582000,-177845000,-385053000,-181519000,-680463000,-396321000,-611444000,-539970000,-1066843000,-1524426000,-1255983000,-3603225000
91,Common Stock Issued,- -,- -,- -,- -,205563000,242947000,169747000,316692000,74892000,282669000,427542000,390447000,852375000,438499000,706991000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1701000,-64000,-69000000,- -,-70000000,- -,- -,-75000000
93,Dividends Paid,- -,- -,- -,-3869000,-10229000,-38606000,-75838000,-84640000,-105892000,-117441000,-141006000,-158869000,-189581000,-224283000,-245722000
94,Other Financing Activites,- -,-7342000,1509000,- -,49549000,552412000,317838000,792337000,665849000,727086000,669295000,1209110000,1840171000,1310943000,4104079000
95,Cash Used/Provided by Financing Activities,- -,-8524000,-6921000,-8451000,67038000,371700000,230228000,342225000,238464000,211870000,415861000,303845000,978539000,269176000,887123000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-500000,-599000,-1205000,-1292000,2508000,-12316000,17188000,-11867000,181000,12370000,-5587000,-10678000,8475000,2857000
98,Cash at the End of Period,- -,3371000,2772000,1567000,275000,19006000,6690000,23878000,12011000,12192000,24562000,22542000,11864000,20339000,23196000
99,Cash at the Beginning of Period,- -,3871000,3371000,2772000,1567000,16498000,19006000,6690000,23878000,12011000,12192000,28129000,22542000,11864000,20339000
100,Free Cash Flow,- -,8047000,7070000,9334000,-52795000,-52394000,5741000,9257000,36378000,45847000,66855000,87482000,27736000,183082000,175772000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1479094/000104746912002371/a2207750z10-k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000104746913002284/a2213224z10-k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000104746914001398/a2218367z10-k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000155837015000135/stag-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909416000006/stag-123115x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909417000005/stag-123116x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909418000009/stag-123117x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909419000006/stag-123118x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909420000006/stag-123119x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909421000007/0001479094-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909422000006/0001479094-22-000006-index.htm
102,false,,,,,,,,,,,,,,,
