,https://roic.ai/company/CRTO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576427/000157642716000149/0001576427-16-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1576427/000157642717000021/0001576427-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642718000008/0001576427-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642719000014/0001576427-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642720000011/0001576427-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642721000008/0001576427-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1576427/000157642722000009/0001576427-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,20683602,21232584,57214272,323597724,352380952,353537000,270317000,414111000,364426000,418763000,488011000,515527000
32,Short-Term Investments,- -,- -,- -,811953,- -,- -,- -,- -,- -,- -,- -,50299000
33,Cash and Short-Term Investments,20683602,21232584,57214272,324409677,352380952,353537000,270317000,414111000,364426000,418763000,488011000,565826000
34,Net Receivables,24849049,49282613,91438093,147009031,217274673,297628000,456190000,557023000,551371000,568698000,561125000,664160000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1306025,1642149,1971857,2863929,4693808,12249000,16077000,20633000,18054000,13000000,15414000,34182000
37,Total Current Assets,46838675,72157346,150624223,474282637,574349433,663414000,742584000,991767000,933851000,1000461000,1064550000,1264168000
38,PP&E,2666578,7578252,19263628,34129636,52321368,82482000,108581000,161738000,184013000,336205000,303517000,260218000
39,Goodwill,- -,- -,- -,5787235,27900190,41973000,209418000,236826000,312881000,317100000,325805000,329699000
40,Intangible Assets,30589,388828,953527,9146897,12841091,16470000,102944000,96223000,112036000,86886000,79744000,82627000
41,Intangible Assets,30589,388828,953527,14934132,40741281,58443000,312362000,333049000,424917000,403986000,405549000,412326000
42,Investments,1029392,1187221,9157034,10531912,11544822,17184000,17029000,19525000,20460000,21747000,59918000,11436000
43,Tax Assets,1427051,1604562,1356892,6194593,8649497,20196000,30630000,25221000,33894000,27985000,19876000,35443000
44,Other Non-Current Assets,0,- -,-0,- -,-1216,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,5153611,10758862,30731082,65790273,113255752,178305000,468602000,539533000,663284000,789923000,788860000,719423000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,51992286,82916208,181355305,540072910,687605185,841719000,1211186000,1531300000,1597135000,1790384000,1853410000,1983591000
48,Accounts Payable,14809150,28851014,66574973,104793007,164839000,246382000,365788000,417032000,425376000,390277000,367025000,430245000
49,Short-Term Debt,- -,- -,2740233,6789748,8301717,5996000,5524000,982000,13183000,62273000,62821000,34066000
50,Tax Payable,8350845,9350010,11243950,20185589,38535435,45828000,59285000,68780000,63317000,53521000,61117000,66877000
51,Deferred Revenue,138316,347353,1165128,3333425,4524782,6403000,12297000,34201000,10951000,13845000,12318000,- -
52,Other Current Liabilities,12577470,20057028,24622424,48978155,85257065,99059000,136182000,168790000,155834000,143944000,158167000,208237000
53,Total Current Liabilities,27524937,49255395,95102759,163894336,262922564,357840000,519791000,621005000,605344000,610339000,600331000,672548000
54,Long-Term Debt,- -,- -,5124712,8162335,5052532,3272000,77397000,1798000,- -,- -,83007000,93893000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,19838,418404,1150348,139000,686000,2497000,10770000,9272000,5297000,3053000
57,Other Non-Current Liabilities,420269,213855,1174386,1564528,1462863,1445000,3435000,8302000,13130000,132785000,12088000,15777000
58,Total Non-Current Liabilities,420269,213855,6318936,10145268,7665742,4856000,81518000,12597000,23900000,142057000,100392000,112723000
59,Other Liabilities,- -,- -,- -,20290536,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,272436,579966,307651,23000,- -,- -,- -,163841000,131395000,127959000
61,Total Liabilities,27945205,49469250,101421694,174039603,270588307,362696000,601309000,633602000,629244000,752396000,700723000,785271000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,478787,476962,1557913,1962219,1851987,2052000,2093000,2152000,2201000,2158000,2161000,2149000
64,Retained Earnings,6269451,7937269,1297379,1470629,41774892,116076000,198355000,300210000,387869000,451725000,491359000,601588000
65,Other Comprehensive Income/Loss,-5043224,2659581,15850239,28869894,48769395,-69023000,-88593000,-12241000,-30522000,-40105000,16028000,-40294000
66,Other Total Stockholders Equity,22342067,22373145,61552094,333436438,322878058,425220000,488277000,591404000,584122000,593489000,607594000,- -
67,Total Stockholders Equity,24047081,33446957,80257624,365739181,415274332,474325000,600132000,881525000,943670000,1007267000,1117142000,1163131000
68,Total Liabilities And Stockholders Equity,51992286,82916208,181679319,539778784,685862639,837021000,1201441000,1515127000,1572914000,1759663000,1817865000,1948402000
69,Minority Interest,0,- -,-324014,294126,1742546,4698000,9745000,16173000,24221000,30721000,35545000,35189000
70,Total Liabilities & Equity,51992286,82916208,181355305,540072910,687605185,841719000,1211186000,1531300000,1597135000,1790384000,1853410000,1983591000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576427/000157642716000149/0001576427-16-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1576427/000157642717000021/0001576427-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642718000008/0001576427-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642719000014/0001576427-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642720000011/0001576427-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642721000008/0001576427-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1576427/000157642722000009/0001576427-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,6269451,7937269,1297379,1470629,41774892,59553000,82272000,91214000,88644000,90745000,71679000,134456000
74,Depreciation and Amortization,958904,4354870,7605734,16839736,30577849,47085000,62733000,104025000,111825000,97110000,106591000,90934000
75,Deferred Income Tax,3548344,5691141,8669030,3332045,16115813,9473000,33172000,31652000,46144000,-12597000,14587000,-12599000
76,Stock Based Compensation,1153079,1808049,4702833,9494877,17970232,23989000,43259000,71612000,66600000,40999000,28770000,44528000
77,Change in Working Capital,-2299508,3588212,32619514,254866837,1038568,-5852869,-82781000,147969000,-42255000,61615000,74097000,-41613000
78,Accounts Receivable,-11699694,-23150800,-38406909,-43404955,-76686609,-83420000,-117970000,-76907000,1358000,876000,-3957000,-134950000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,8308286,13502689,40077234,46540915,64685782,100047000,81862000,32915000,9047000,-14145000,-33314000,82691000
81,Other Working Capital,19313739,22901951,55521464,310388301,311426869,305574000,222793000,370762000,328507000,390122000,464219000,-2645000
82,Other Non-Cash Items,-301902,-14349666,-39273043,-251889677,-869542,2902869,14814000,-201014000,-10232000,-55040000,-110368000,5207000
83,Cash Provided by Operating Activities,9328368,9029875,15621446,34114447,106607812,137150000,153469000,245458000,260726000,222832000,185356000,220913000
84,CAPEX,-2283548,-8294991,-17964927,-30383330,-43033465,-75607000,-85133000,-122203000,-116984000,-82716000,-67287000,-54983000
85,Acquisitions Net,- -,- -,- -,- -,- -,-20542000,-235541000,1110000,-101180000,-4582000,-1176000,-10419000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3025668,-8457002,-25934351,-38848076,-67917943,-81091000,-77222000,-107363000,-125537000,-99306000,-99917000,-65948000
89,Cash Used for Investing Activites,-3025668,-8457002,-25934351,-38848076,-67917943,-101633000,-312763000,-106253000,-226717000,-103888000,-101093000,-76367000
90,Debt Repayment,-152946,-298101,-576613,-4764009,-5960893,-8980000,-13305000,-89731000,-964000,-1022000,-167344000,-1249000
91,Common Stock Issued,6684400,610459,39782315,265369107,29006761,13768000,20075000,31961000,1473000,1691000,1727000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-80000000,-58588000,-43655000,-100027000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-0,- -,8276245,11034549,5388151,3023000,83800000,28302000,16815000,-1192000,151525000,21159000
95,Cash Used/Provided by Financing Activities,6531454,312358,47481948,271639648,28434019,7811000,90570000,-29468000,-62676000,-59111000,-57747000,-80117000
96,Effect of Forex Changes on Cash,-37239,-239777,-698283,-3048966,294275,-41618000,-14496000,34057000,-21018000,-5496000,42732000,-36913000
97,Net Change In Cash,12796914,645454,36470759,263857052,67418162,1710000,-83220000,143794000,-49685000,54337000,69248000,27516000
98,Cash at the End of Period,20198165,20329207,57214272,323596343,352380952,353537000,270317000,414111000,364426000,418763000,488011000,515527000
99,Cash at the Beginning of Period,7401250,19683753,20743513,59739291,284962790,351827000,353537000,270317000,414111000,364426000,418763000,488011000
100,Free Cash Flow,7044820,734884,-2343481,3731117,63574347,61543000,68336000,123255000,143742000,140116000,118069000,165930000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576427/000157642716000149/0001576427-16-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1576427/000157642717000021/0001576427-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642718000008/0001576427-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642719000014/0001576427-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642720000011/0001576427-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1576427/000157642721000008/0001576427-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1576427/000157642722000009/0001576427-22-000009-index.htm
102,false,,,,,,,,,,,,
