,https://roic.ai/company/VYGR,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,3982000,10348000,60383000,53644000,50426000,130583000,255248000,107264000,98800000
62,Preferred Stock,- -,21979000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,25000,26000,32000,32000,37000,37000,38000
64,Retained Earnings,-3833000,-20831000,-49822000,-90015000,-160713000,-269051000,-312648000,- -,-347104000
65,Other Comprehensive Income/Loss,- -,- -,-251000,-52000,-287000,-133000,-104000,-134000,-138000
66,Other Total Stockholders Equity,- -,- -,219122000,225963000,295019000,315598000,412227000,154417000,442259000
67,Total Stockholders Equity,-3833000,1149000,169074000,135922000,134051000,46446000,99512000,154320000,95055000
68,Total Liabilities And Stockholders Equity,149000,11497000,229457000,189566000,184477000,177029000,354760000,261584000,193855000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,149000,11497000,229457000,189566000,184477000,177029000,354760000,261584000,193855000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640266/000155837016004222/0001558370-16-004222-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837017001797/0001558370-17-001797-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837018002038/0001558370-18-002038-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837019001105/0001558370-19-001105-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837020001974/0001558370-20-001974-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837021001865/0001558370-21-001865-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837022003015/0001558370-22-003015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-16317000,-29672000,-40193000,-70698000,-88288000,-43597000,36741000,-71197000
74,Depreciation and Amortization,- -,184000,600000,612000,1595000,2117000,2765000,3817000,5165000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,425000,4027000,6310000,9238000,15710000,15640000,14934000,11324000
77,Change in Working Capital,- -,477000,166079000,-6979000,-9091000,-25085000,97839000,-57644000,3294000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-18496000,10484000,7280000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,604000,-942000,-62000,470000,-282000,2598000,-3436000,-60000
81,Other Working Capital,- -,5884000,171963000,164984000,155893000,130808000,228647000,171003000,-1721000
82,Other Non-Cash Items,- -,3313000,-99735000,-2232000,7606000,79659000,-23981000,-94564000,-2111000
83,Cash Provided by Operating Activities,- -,-11918000,41299000,-42482000,-61350000,-15887000,48666000,-96716000,-53525000
84,CAPEX,- -,-2988000,-1030000,-5029000,-3985000,-4305000,-7718000,-12097000,-1609000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-220399000,-112350000,-147296000,-333228000,-494231000,-7698000,-15117000
87,Sales/Maturities of Investments,- -,- -,26660000,165100000,147600000,364000000,411300000,195495000,82632000
88,Other Investing Activites,- -,-314000,- -,-421000,- -,- -,172000,-62705000,- -
89,Cash Used for Investing Activites,- -,-3302000,-194769000,47300000,-3681000,26467000,-90477000,112995000,65906000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,80000,72955000,- -,58557000,860000,78280000,844000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,22040000,104789000,514000,1363000,3889000,2714000,2319000,612000
95,Cash Used/Provided by Financing Activities,- -,22120000,177744000,514000,59920000,4749000,80994000,3163000,612000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,6900000,24274000,5332000,-5111000,15329000,39183000,19442000,12993000
98,Cash at the End of Period,- -,7035000,31309000,36641000,31530000,47594000,86777000,106219000,119212000
99,Cash at the Beginning of Period,- -,135000,7035000,31309000,36641000,32265000,47594000,86777000,106219000
100,Free Cash Flow,- -,-14906000,40269000,-47511000,-65335000,-20192000,40948000,-108813000,-55134000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1640266/000155837016004222/0001558370-16-004222-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837017001797/0001558370-17-001797-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837018002038/0001558370-18-002038-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837019001105/0001558370-19-001105-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837020001974/0001558370-20-001974-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837021001865/0001558370-21-001865-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837022003015/0001558370-22-003015-index.htm
102,false,,,,,,,,,
