,https://roic.ai/company/SPLP,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),1300000,-25157000,-48734000,-26588000,-5289000,-3706000,-74422000,-43237000,-29756000,-101918000,-65314000,-911000,14141000
20,Income Before Tax,-66900000,12650000,16572000,46135000,26903000,25273000,23369000,22438000,40423000,-9422000,27761000,125399000,- -
21,Income Before Tax Ratio,1.5000,0.0311,0.0231,0.0606,0.0334,0.0297,0.0234,0.0193,0.0295,-0.0059,0.0178,0.0957,- -
22,Income Tax expense (Gain),-800000,2522000,-63965000,17647000,10244000,24288000,-78719000,23952000,51299000,12559000,15865000,38136000,- -
23,Net Income,-61000000,31747000,35469000,41018000,19460000,-7555000,136735000,6630000,-16000,-32604000,3950000,72675000,131408000
24,Net Income ratio,1.3677,0.0781,0.0495,0.0539,0.0242,-0.0089,0.1370,0.0057,-0.0000,-0.0206,0.0025,0.0555,Infinity
25,EPS,-2.42,1.26,1.41,1.38,0.65,-0.27,5.00,0.25,-0.00,-1.25,0.16,2.93,0.01
26,EPS Diluted,-2.42,1.26,0.99,1.38,0.63,-0.27,4.98,0.25,-0.00,-1.25,0.16,1.65,0.00
27,Weighted Average Shares Outstanding,25200000,25183039,25232985,29748746,29912993,28710220,27317974,26353714,26053098,25984185,24964643,24809751,21018615
28,Weighted Average Shares Outstanding Diluted,25200000,25210214,29669582,29774527,30798113,28710220,27442308,26486209,26053098,25984185,24965209,51390972,27672551
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1452857/000092189512000606/0000921895-12-000606-index.html,https://www.sec.gov/Archives/edgar/data/1452857/000145285713000007/0001452857-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285714000009/0001452857-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285715000003/0001452857-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285716000034/0001452857-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285717000005/0001452857-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285718000009/0001452857-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285719000006/0001452857-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285720000010/0001452857-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285721000010/0001452857-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285722000012/0001452857-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,180700000,127027000,198027000,203980000,188983000,185852000,450128000,418755000,334884000,148348000,135788000,325363
32,Short-Term Investments,- -,13800000,- -,199128000,178485000,138457000,80842000,53650000,58313000,1439000,220000,106000,- -
33,Cash and Short-Term Investments,- -,194500000,127027000,397155000,382465000,327440000,266694000,503778000,477068000,336323000,148568000,135894000,325363
34,Net Receivables,- -,85600000,125175000,88196000,104698000,88939000,121332000,173779000,234311000,363715000,512526000,384099000,527817000
35,Inventory,- -,50800000,53776000,53155000,66639000,64084000,102267000,119205000,142635000,158850000,167833000,137086000,- -
36,Other Current Assets,- -,191800000,95284000,142246000,94148000,183959000,229181000,118749000,174548000,233403000,261274000,146224000,755959637
37,Total Current Assets,- -,522700000,401262000,680752000,647950000,664422000,719474000,915511000,1028562000,1092291000,1090201000,803303000,1284102000
38,PP&E,- -,91600000,127842000,186158000,211150000,184314000,255402000,261412000,271991000,297467000,302642000,258707000,- -
39,Goodwill,- -,16200000,42797000,63622000,106768000,45951000,101853000,167423000,170115000,183945000,149626000,150852000,- -
40,Intangible Assets,- -,124500000,135341000,130345000,134217000,118550000,138963000,227212000,199317000,183541000,158593000,138581000,- -
41,Intangible Assets,- -,140700000,178138000,193967000,240985000,164501000,240816000,394635000,369432000,367486000,308219000,289433000,267848000
42,Investments,- -,305400000,320891000,199865000,295440000,311951000,167214000,120066000,236144000,258044000,275836000,291297000,- -
43,Tax Assets,- -,3300000,70625000,77101000,33096000,45669000,212894000,182605000,109011000,96040000,88645000,66553000,- -
44,Other Non-Current Assets,- -,28200000,31085000,40516000,92969000,122048000,88973000,92886000,148900000,244731000,266811000,2225085000,1123279000
45,Total Non-Current Assets,- -,569200000,728581000,697607000,873640000,828483000,965299000,1051604000,1135478000,1263768000,1242153000,3131075000,1391127000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4066356000
47,Total Assets,- -,1091900000,1129843000,1378359000,1521590000,1492905000,1684773000,1967115000,2164040000,2356059000,2332354000,3934378000,2675229000
48,Accounts Payable,- -,67800000,37843000,39024000,39273000,34686000,59992000,89308000,105221000,106261000,99844000,100759000,123282000
49,Short-Term Debt,- -,42900000,32699000,14149000,26683000,20194000,3445000,64313000,2083000,3893000,17405000,10758000,1171000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,237100000,128295000,126378000,169099000,175374000,257812000,312145000,407569000,559763000,818572000,405484000,590559000
53,Total Current Liabilities,- -,347800000,198837000,179551000,235055000,230254000,321249000,465766000,514873000,669917000,935821000,517001000,715012000
54,Long-Term Debt,- -,92000000,130955000,140065000,223355000,296282000,235913000,330126000,412584000,478096000,391136000,2413615000,631324000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,6231000,5736000,3218000,5301000,4759000,3729000,3007000,2225000,3614000,2169000,13674000
57,Other Non-Current Liabilities,- -,246300000,313400000,276260000,187302000,296962000,382490000,463236000,666540000,686449000,525364000,462371000,646171000
58,Total Non-Current Liabilities,- -,338300000,450586000,422061000,413875000,598545000,623162000,797091000,1082131000,1166770000,920114000,2878155000,1291169000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31262000,21845000,- -
61,Total Liabilities,- -,686100000,649423000,601612000,648930000,828799000,944411000,1262857000,1597004000,1836687000,1855935000,3395156000,2675229
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,398000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,8000000,-12000000,-18000000,42000000,3000000,-54000000,-69000000,-104000000,-177000000,-191000000,-172649,-131803000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,539394649,- -
67,Total Stockholders Equity,- -,405700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,1091800000,649423000,601612000,648930000,828799000,944411000,1262857000,1597004000,1836687000,1855935000,3934378000,2675229
69,Minority Interest,- -,100000,480420000,776747000,872660000,664106000,740362000,704258000,567036000,519372000,476419000,- -,2672553771
70,Total Liabilities & Equity,- -,1091900000,1129843000,1378359000,1521590000,1492905000,1684773000,1967115000,2164040000,2356059000,2332354000,3934378000,2675229000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1452857/000092189512000606/0000921895-12-000606-index.html,https://www.sec.gov/Archives/edgar/data/1452857/000145285713000007/0001452857-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285714000009/0001452857-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285715000003/0001452857-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285716000034/0001452857-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285717000005/0001452857-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285718000009/0001452857-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285719000006/0001452857-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285720000010/0001452857-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285721000010/0001452857-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285722000012/0001452857-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-61000000,31747000,35469000,41018000,19460000,-7555000,136735000,6630000,-16000,-32604000,3950000,72675000,131408000
74,Depreciation and Amortization,200000,13427000,23983000,28962000,35351000,38438000,48560000,70546000,71936000,80323000,72266000,65333000,60521000
75,Deferred Income Tax,-700000,46000,-66886000,10466000,-1516000,12244000,-103622000,11732000,38330000,4417000,13038000,22058000,- -
76,Stock Based Compensation,- -,528000,4509000,7452000,34282000,8470000,9203000,3844000,11477000,644000,779000,887000,- -
77,Change in Working Capital,80500000,174900000,27525000,298776000,-88306000,21273000,-35943000,51520000,63944000,-91315000,-267994000,131922000,- -
78,Accounts Receivable,- -,27400000,- -,18684000,4889000,-3268000,17167000,-11747000,-22842000,-19625000,20694000,8725000,- -
79,Inventory,- -,8194000,-23000,932000,2324000,-4697000,12534000,7676000,-21683000,-7415000,-9491000,12220000,-48344000
80,Accounts Payable,- -,-6779000,- -,-12895000,-20255000,-21172000,- -,- -,- -,-2582000,- -,- -,8511000
81,Other Working Capital,- -,174900000,202425000,501201000,412895000,434168000,398225000,449745000,513689000,422374000,154380000,286302000,- -
82,Other Non-Cash Items,108700000,-173987000,-19112000,-321176000,95681000,5163000,-70686000,50648000,-201441000,91286000,289704000,31215000,-191929000
83,Cash Provided by Operating Activities,127700000,46661000,5488000,65498000,94952000,78033000,-15753000,194920000,-15770000,52751000,111743000,324090000,- -
84,CAPEX,- -,-7296000,-22137000,-36256000,-25367000,-28769000,-23252000,-34183000,-54737000,-47085000,-43024000,-23226000,- -
85,Acquisitions Net,-4000000,67000000,-9000000,63000000,-85000000,3000000,39000000,-200000000,-2000000,-63000000,-46000000,- -,- -
86,Purchases of Investments,- -,-364699000,-210531000,-216476000,-239892000,-134984000,-43679000,-27503000,-56160000,-149505000,-105426000,-14365000,-50074000
87,Sales/Maturities of Investments,- -,501067000,47071000,263334000,251036000,124589000,86927000,89144000,29470000,90136000,123625000,43893000,36583000
88,Other Investing Activites,34300000,-144060000,113576000,-52876000,-116938000,-27724000,-149999000,12040000,-89190000,-196975000,-204140000,-1905343000,1583041000
89,Cash Used for Investing Activites,30300000,52012000,-81021000,20726000,-216161000,-63888000,-91003000,-160502000,-172617000,-366429000,-274965000,-1899041000,1517224000
90,Debt Repayment,- -,-116323000,-46366000,-108045000,-41998000,-182426000,-104887000,-8614000,-48972000,-604000,-72016000,-55099000,-1936310000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-204400000,- -,- -,-2776000,-50250000,-137874000,-36271000,-28253000,-5188000,-21202000,-6721000,-60464000,- -
93,Dividends Paid,- -,-49102000,-29868000,- -,- -,- -,- -,- -,-3923000,- -,- -,- -,- -
94,Other Financing Activites,14700000,66986000,98426000,61824000,174305000,290633000,89966000,267995000,213972000,248427000,42591000,1689691000,466516000
95,Cash Used/Provided by Financing Activities,-189700000,-98439000,22192000,-48997000,82057000,-29667000,-51192000,231128000,155889000,226621000,-36146000,1574128000,- -
96,Effect of Forex Changes on Cash,- -,-10000,-275000,268000,-127000,-305000,-725000,-1270000,1125000,-9000,398000,-1337000,- -
97,Net Change In Cash,-31700000,66437000,-53657000,71000000,5953000,-14997000,-3131000,264276000,-31373000,-87066000,-198970000,-2160000,- -
98,Cash at the End of Period,303184000,180684000,127027000,198027000,203980000,188983000,185852000,450128000,418755000,347318000,148348000,135788000,325363000
99,Cash at the Beginning of Period,334884000,114247000,180684000,127027000,198027000,203980000,188983000,185852000,450128000,434384000,347318000,137948000,- -
100,Free Cash Flow,127700000,39365000,-16649000,29242000,69585000,49264000,-39005000,160737000,-70507000,5666000,68719000,300864000,25445000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1452857/000092189512000606/0000921895-12-000606-index.html,https://www.sec.gov/Archives/edgar/data/1452857/000145285713000007/0001452857-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285714000009/0001452857-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285715000003/0001452857-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285716000034/0001452857-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285717000005/0001452857-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285718000009/0001452857-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285719000006/0001452857-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285720000010/0001452857-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285721000010/0001452857-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1452857/000145285722000012/0001452857-22-000012-index.htm
102,false,,,,,,,,,,,,,
