,https://roic.ai/company/DRIO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1533998/000114420414013289/0001144204-14-013289-index.htm,https://www.sec.gov/Archives/edgar/data/1533998/000114420415018075/0001144204-15-018075-index.htm,https://www.sec.gov/Archives/edgar/data/1533998/000114420416079581/0001144204-16-079581-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000114420417016011/0001144204-17-016011-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000114420418015415/0001144204-18-015415-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000114420419015691/0001144204-19-015691-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000110465920034195/0001104659-20-034195-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000110465921033389/0001104659-21-033389-index.htm,https://www.sec.gov/Archives/edgar/data/1533998/000155837022004018/0001558370-22-004018-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1230034,2263395,1453000,2671000,1093000,3718000,10997000,20395000,28590000,35808000
32,Short-Term Investments,21566,153600,83000,80000,225000,258000,- -,- -,- -,- -
33,Cash and Short-Term Investments,1251600,2416995,1536000,2751000,1318000,3976000,10997000,20395000,28590000,35808000
34,Net Receivables,71430,51482,33000,22000,290000,435000,234000,712000,1704000,1310000
35,Inventory,- -,- -,234000,601000,888000,1184000,1377000,1414000,2293000,6228000
36,Other Current Assets,343514,461370,253000,913000,440000,451000,705000,418000,1541000,2259000
37,Total Current Assets,1666544,2929847,2056000,4287000,2936000,6046000,13313000,22939000,34128000,45605000
38,PP&E,617364,1144800,978000,749000,901000,869000,733000,1413000,1074000,989000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,41640000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12460000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,54100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,31545,41167,47000,41000,35000,42000,43000,217000,205000,77000
45,Total Non-Current Assets,648909,1185967,1025000,790000,936000,911000,776000,1630000,1279000,55166000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2315453,4115814,3081000,5077000,3872000,6957000,14089000,24569000,35407000,100771000
48,Accounts Payable,250352,586330,708000,978000,1812000,1852000,2574000,1656000,2480000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,317000,310000,266000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,24000,31000,- -,- -,736000,1223000,1224000,1195000
52,Other Current Liabilities,316403,919814,884000,681000,1113000,1163000,1854000,2024000,3020000,12915000
53,Total Current Liabilities,566755,1506144,1616000,1690000,2925000,3015000,5164000,5220000,7034000,14376000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2817741,2696051,4003000,2610000,7488000,1000,- -,455000,222000,825000
58,Total Non-Current Liabilities,2817741,2696051,4003000,2610000,7488000,1000,- -,455000,222000,846000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,772000,532000,- -
61,Total Liabilities,3384496,4202195,5619000,4300000,10413000,3016000,5164000,5675000,7256000,15222000
62,Preferred Stock,- -,- -,2757000,2357000,- -,- -,- -,- -,- -,- -
63,Common Stock,1454,2006,2000,5000,6000,7000,8000,- -,- -,2000
64,Retained Earnings,-6071922,-20003700,-36058000,-43354000,-54960000,-70958000,-89254000,-110145000,-143248000,-222014000
65,Other Comprehensive Income/Loss,-24821,-824901,-97000,-432000,-286000,-477000,-440000,-611000,- -,- -
66,Other Total Stockholders Equity,5026246,20740214,30858000,42201000,48699000,75369000,98611000,129650000,171399000,307561000
67,Total Stockholders Equity,-1069043,-86381,-2538000,777000,-6541000,3941000,8925000,18894000,28151000,85549000
68,Total Liabilities And Stockholders Equity,2315453,4115814,3081000,5077000,3872000,6957000,14089000,24569000,35407000,100771000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2315453,4115814,3081000,5077000,3872000,6957000,14089000,24569000,35407000,100771000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1533998/000114420414013289/0001144204-14-013289-index.htm,https://www.sec.gov/Archives/edgar/data/1533998/000114420415018075/0001144204-15-018075-index.htm,https://www.sec.gov/Archives/edgar/data/1533998/000114420416079581/0001144204-16-079581-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000114420417016011/0001144204-17-016011-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000114420418015415/0001144204-18-015415-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000114420419015691/0001144204-19-015691-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000110465920034195/0001104659-20-034195-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000110465921033389/0001104659-21-033389-index.htm,https://www.sec.gov/Archives/edgar/data/1533998/000155837022004018/0001558370-22-004018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-5686573,-13931778,-12877000,-7142000,-10887000,-15743000,-17803000,-17736000,-29445000,- -
74,Depreciation and Amortization,24317,839249,549000,335000,387000,195000,207000,183000,190000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1001642,4224640,1692000,1723000,1038000,3824000,3758000,2257000,11102000,- -
77,Change in Working Capital,-29707,323914,-983703,2157000,-2586000,3020000,5118000,9570000,9375000,4135000
78,Accounts Receivable,- -,1547,- -,- -,-226000,-56000,114000,-504000,548000,- -
79,Inventory,- -,- -,-234000,-366000,-287000,-295000,-193000,-37000,-879000,- -
80,Accounts Payable,133950,271458,-186000,292000,834000,39000,722000,-918000,824000,- -
81,Other Working Capital,1099789,1423703,440000,2597000,11000,3031000,8149000,17719000,27094000,31229000
82,Other Non-Cash Items,1707641,944252,3038703,-3350000,3669000,-1915000,-2750000,-9999000,-8958000,-4135000
83,Cash Provided by Operating Activities,-2982680,-7599723,-8581000,-6277000,-8379000,-10619000,-11470000,-15725000,-17736000,- -
84,CAPEX,-534634,-1400373,-563000,-110000,-808000,-195000,-71000,-98000,-118000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-19851,-162622,-91000,-282000,-145000,-17000,- -,-15000,-4000,- -
87,Sales/Maturities of Investments,12762,13843,231000,285000,- -,- -,78000,- -,- -,- -
88,Other Investing Activites,-22808,-92302,-6000,-6000,6000,-7000,-1000,- -,-1500000,- -
89,Cash Used for Investing Activites,-564531,-1641454,-429000,-113000,-947000,-219000,6000,-113000,-1622000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,3868480,9981932,3754000,7075000,7538000,13463000,18743000,25247000,27548000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,292606,4446000,533000,210000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,3868480,10274538,8200000,7608000,7748000,13463000,18743000,25247000,27548000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,321269,1033361,-810000,1218000,-1578000,2625000,7279000,9409000,8190000,- -
98,Cash at the End of Period,1230034,2263395,1453000,2671000,1093000,3718000,10997000,20535000,28725000,- -
99,Cash at the Beginning of Period,908765,1230034,2263000,1453000,2671000,1093000,3718000,11126000,20535000,28725000
100,Free Cash Flow,-3517314,-9000096,-9144000,-6387000,-9187000,-10814000,-11541000,-15823000,-17854000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1533998/000114420414013289/0001144204-14-013289-index.htm,https://www.sec.gov/Archives/edgar/data/1533998/000114420415018075/0001144204-15-018075-index.htm,https://www.sec.gov/Archives/edgar/data/1533998/000114420416079581/0001144204-16-079581-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000114420417016011/0001144204-17-016011-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000114420418015415/0001144204-18-015415-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000114420419015691/0001144204-19-015691-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000110465920034195/0001104659-20-034195-index.html,https://www.sec.gov/Archives/edgar/data/1533998/000110465921033389/0001104659-21-033389-index.htm,https://www.sec.gov/Archives/edgar/data/1533998/000155837022004018/0001558370-22-004018-index.htm
102,false,,,,,,,,,,
