,https://roic.ai/company/TSP,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,348000,2402000,5004000
58,Total Non-Current Liabilities,- -,4927000,6169000,13419000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,5285000,4572000,3638000
61,Total Liabilities,- -,22222000,87267000,69345000
62,Preferred Stock,- -,293736000,664791000,- -
63,Common Stock,- -,6000,6000,22000
64,Retained Earnings,- -,-218718000,-405178000,-1137851000
65,Other Comprehensive Income/Loss,- -,-658000,-301000,77000
66,Other Total Stockholders Equity,- -,- -,- -,2464730000
67,Total Stockholders Equity,- -,74366000,259318000,1326978000
68,Total Liabilities And Stockholders Equity,- -,96588000,346585000,1396323000
69,Minority Interest,- -,-44000,- -,- -
70,Total Liabilities & Equity,- -,96544000,346585000,1396323000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1823593/000162828022003549/0001628280-22-003549-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-45018000,-84840000,-177870000,-732673000
74,Depreciation and Amortization,2525000,5565000,7683000,9450000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,12763000,122596000
77,Change in Working Capital,-376000,53179000,185206000,18854000
78,Accounts Receivable,- -,-116000,-1004000,-497000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,108000,139000,4196000,-181000
81,Other Working Capital,- -,53179000,238385000,- -
82,Other Non-Cash Items,22000,-50237000,-131630000,322740000
83,Cash Provided by Operating Activities,-42847000,-76333000,-103848000,-259033000
84,CAPEX,-10009000,-10489000,-4609000,-13737000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-699000,- -,- -,- -
87,Sales/Maturities of Investments,821000,- -,- -,- -
88,Other Investing Activites,51809000,-107000,-109000,-316000
89,Cash Used for Investing Activites,41922000,-10435000,-4412000,-13637000
90,Debt Repayment,-2500000,-469000,-8728000,-5801000
91,Common Stock Issued,- -,- -,- -,1065965000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,94162000,52299000,365223000,238987000
95,Cash Used/Provided by Financing Activities,91662000,51830000,356495000,1299151000
96,Effect of Forex Changes on Cash,598000,234000,6000,260000
97,Net Change In Cash,91335000,-34704000,248241000,1026741000
98,Cash at the End of Period,98814000,64110000,312351000,1339092000
99,Cash at the Beginning of Period,7479000,98814000,64110000,312351000
100,Free Cash Flow,-52856000,-86822000,-108457000,-272770000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1823593/000162828022003549/0001628280-22-003549-index.htm
102,false,,,,
