,https://roic.ai/company/ZWS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-3.32,-0.64,-0.08,-0.20,-0.30,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.32,-0.77,0.45,0.52,0.31,0.82,0.67,0.65,0.51,0.10,1.48,1.08
26,EPS Diluted,-3.32,-0.64,-0.08,-0.20,-0.30,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.22,-0.77,0.42,0.50,0.30,0.80,0.66,0.64,0.50,0.10,1.45,0.97
27,Weighted Average Shares Outstanding,2078313,2031250,2500000,2500000,2468000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66724000,66757000,66751000,95972000,98105000,101530000,100841000,102753000,103889000,104640000,111689000,111689000
28,Weighted Average Shares Outstanding Diluted,2078313,2031250,2500000,2500000,2468000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71990000,66757000,72065000,99866000,101318000,104727000,103310000,104784000,105999000,123329000,124263000,124263000
29,SEC Link,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1439288/000143928822000032/0001439288-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263900000,391000000,298000000,524100000,339000000,370300000,484600000,490100000,217600000,292500000,573400000,96600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263900000,391000000,298000000,524100000,339000000,370300000,484600000,490100000,217600000,292500000,573400000,96600000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234100000,270100000,342000000,350400000,368300000,336000000,317600000,322900000,392300000,337600000,334700000,177200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273800000,283800000,322800000,326200000,359700000,367700000,327200000,314900000,344800000,316500000,317500000,184500000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29400000,36500000,55500000,46400000,53800000,52300000,46700000,50200000,43000000,36300000,38700000,16500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,801200000,981400000,1018300000,1247100000,1120800000,1126300000,1176100000,1178100000,997700000,982900000,1264300000,474800000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376200000,358400000,419200000,410700000,440900000,417600000,397200000,400900000,456400000,383000000,378800000,64400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1012200000,1016200000,1114700000,1118400000,1150700000,1202300000,1193800000,1318200000,1276100000,1299700000,1321900000,254100000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,688500000,644700000,647100000,613500000,592600000,587700000,520900000,558600000,577500000,511500000,514200000,179100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700700000,1660900000,1761800000,1731900000,1743300000,1790000000,1714700000,1876800000,1853600000,1811200000,1836100000,433200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138400000,99000000,91600000,84100000,78500000,78600000,66800000,83500000,116000000,82600000,147900000,105300000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2215300000,2118300000,2272600000,2226700000,2262700000,2286200000,2178700000,2361200000,2426000000,2276800000,2362800000,602900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3016500000,3099700000,3290900000,3473800000,3383500000,3412500000,3354800000,3539300000,3423700000,3259700000,3627100000,1077700000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135300000,181700000,220600000,208300000,241100000,234100000,200800000,197800000,226000000,191700000,185600000,105100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,104200000,10300000,169300000,29000000,24300000,20200000,16500000,3900000,1200000,89200000,11700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,6300000,8200000,16500000,20700000,25900000,21600000,28300000,25100000,28100000,18200000,25800000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12400000,11400000,16200000,19000000,8100000,7000000,8300000,10900000,11500000,5100000,7300000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166300000,200500000,220200000,211600000,171300000,179200000,175100000,175100000,212800000,199000000,173400000,123600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319300000,497800000,467300000,608200000,449500000,444600000,404400000,400300000,454200000,397000000,455500000,240400000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2210200000,2209900000,2413400000,1962300000,1943000000,1926200000,1899900000,1606200000,1352100000,1236800000,1397000000,542800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273200000,254900000,245700000,225300000,207100000,184400000,186000000,208800000,156600000,125900000,121000000,3100000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271300000,225300000,245300000,249500000,221800000,304600000,276500000,253400000,248000000,269000000,339900000,165000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2754700000,2690100000,2904400000,2437100000,2371900000,2415200000,2362400000,2068400000,1756700000,1631700000,1857900000,710900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12800000,15000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3074000000,3187900000,3371700000,3045300000,2821400000,2859800000,2766800000,2468700000,2210900000,2028700000,2313400000,951300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,700000,700000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1200000,1300000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-340200000,-391500000,-361600000,-311500000,-281300000,-197500000,-129600000,-55500000,8000000,30700000,85900000,-1236900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,16100000,-11300000,-38700000,-23800000,-130200000,-139000000,-137000000,-74100000,-96600000,-124400000,-74900000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,286500000,292300000,777700000,866400000,879600000,856200000,1262100000,1277800000,1293500000,1348300000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57500000,-88200000,-79900000,428500000,562300000,552900000,588600000,1070600000,1212700000,1228600000,1311000000,126400000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3016500000,3099700000,3291800000,3473800000,3383700000,3412700000,3355400000,3539300000,3423600000,3257300000,3624400000,1077700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,- -,-200000,-200000,-600000,- -,100000,2400000,2700000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3016500000,3099700000,3290900000,3473800000,3383500000,3412500000,3354800000,3539300000,3423700000,3259700000,3627100000,1077700000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1439288/000143928822000032/0001439288-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6900000,-1300000,-200000,-500000,-736000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88100000,-51300000,29900000,50100000,30200000,83800000,67900000,74100000,75900000,34300000,180100000,120900000
74,Depreciation and Amortization,-300000,- -,-200000,-400000,-485000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109300000,106100000,114400000,112400000,108500000,112200000,115400000,105400000,89700000,92300000,86600000,77500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33300000,-22900000,-21800000,-15400000,-24900000,-36900000,-13900000,-18400000,-77500000,-27500000,-2800000,-12100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,5600000,3700000,7100000,7000000,6400000,7500000,13400000,20500000,22600000,26900000,51400000
77,Change in Working Capital,- -,- -,- -,- -,481900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,67400000,87900000,32400000,10400000,90000000,6100000,-234300000,42400000,222900000,-24400000
78,Accounts Receivable,9100000,400000,-700000,-2000000,1512000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57700000,-2900000,-2100000,-12800000,-11300000,-15200000,37700000,22500000,11500000,-24700000,100000,-79500000
80,Accounts Payable,-4700000,-400000,-500000,300000,31000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,43000000,22500000,-4300000,26000000,3700000,-32400000,-5300000,13000000,-1300000,-3700000,99100000
81,Other Working Capital,- -,- -,- -,- -,481900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481900000,483600000,551000000,638900000,671300000,681700000,771700000,777800000,543500000,585900000,808800000,- -
82,Other Non-Cash Items,5500000,400000,-1000000,-1100000,-479690000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80700000,125300000,-54300000,-97600000,37600000,70000000,-47900000,14500000,354200000,94000000,-215100000,10300000
83,Cash Provided by Operating Activities,-1700000,-900000,-1400000,-2000000,989000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155500000,164500000,139300000,144500000,190800000,245900000,219000000,195100000,228500000,258100000,298600000,223600000
84,CAPEX,- -,- -,-100000,-1000000,-178000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22000000,-37600000,-58500000,-60100000,-52200000,-48800000,-52100000,-54500000,-40700000,-44900000,-41400000,-23300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,-253400000,-18700000,-112000000,-129000000,1100000,-213700000,-173600000,-23400000,-84500000,-17100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,15200000,900000,-3100000,500000,18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12300000,-3000000,400000,500000,5800000,4200000,5500000,15000000,2800000,-4800000
89,Cash Used for Investing Activites,15200000,900000,-3200000,-500000,-160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22000000,-35500000,-324200000,-81800000,-163800000,-177300000,-45200000,-264000000,-208800000,-53300000,-123100000,-21900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155400000,-1073900000,-867000000,-339000000,-2223900000,-35900000,-25400000,-1905300000,-1816200000,-369000000,-835600000,-1126700000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,2100000,458300000,73800000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-1000000,- -,- -,- -,- -,-40000000,- -,- -,- -,-100700000,-900000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,-23200000,-23200000,-27200000,-36400000
94,Other Financing Activites,-7900000,-500000,- -,1900000,-812000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5900000,1069400000,958100000,46400000,1939800000,18500000,9100000,1989600000,1530600000,275500000,1078400000,807800000
95,Cash Used/Provided by Financing Activities,-7900000,-500000,- -,1900000,-812000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-161500000,-6900000,93200000,165700000,-210300000,-17400000,-56300000,79900000,-308800000,-116700000,114900000,-356200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,5000000,-1300000,-2300000,-1800000,-19900000,-3200000,-5500000,16600000,-13200000,-9500000,-4500000
97,Net Change In Cash,-7900000,-500000,- -,1900000,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000000,127100000,-93000000,226100000,-185100000,31300000,114300000,5500000,-272500000,74900000,280900000,-159000000
98,Cash at the End of Period,- -,- -,- -,- -,85000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263900000,391000000,298000000,524100000,339000000,370300000,484600000,490100000,217600000,292500000,573400000,96600000
99,Cash at the Beginning of Period,300000,5800000,5300000,700000,68000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287900000,263900000,391000000,298000000,524100000,339000000,370300000,484600000,490100000,217600000,292500000,255600000
100,Free Cash Flow,-1700000,-900000,-1500000,-3000000,811000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133500000,126900000,80800000,84400000,138600000,197100000,166900000,140600000,187800000,213200000,257200000,200300000
101,SEC Link,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1439288/000143928822000032/0001439288-22-000032-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
