,https://roic.ai/company/RCAT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,- -,-15859775,-15345248,-15754213,-15369155,-15270088,-14872715,-14956753,-15027128,-15111864,-14259936,-14029261,-21389496,-24937090,-3869385,-2740558,-5383871,-971822,-2573753,-15809928
65,Other Comprehensive Income/Loss,- -,- -,-56228,-3900,-3900,-3900,-3900,-3900,-3900,-3900,-3900,-3900,-24500,-7105,-24299,-36906,-100629,- -,- -,- -
66,Other Total Stockholders Equity,- -,13738300,13904960,13868805,13868805,13868805,13868805,13868805,13917859,13925859,14145407,14145407,22674644,24734689,-1494185,-629195,2740634,784371,4043837,21025518
67,Total Stockholders Equity,- -,-2040548,-1380054,-1748834,-1363776,-1264709,-867336,-951374,-970749,-1045485,48669,279344,1265165,-183709,-5343139,-3359235,-2507182,-187272,1528998,5266295
68,Total Liabilities And Stockholders Equity,- -,749471,785612,163755,143133,121896,149523,114004,86464,36924,151205,307045,1573741,129040,583390,750153,262387,603438,2808264,11693365
69,Minority Interest,- -,200000,- -,- -,- -,- -,- -,-4004,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,949471,785612,163755,143133,121896,149523,110000,86464,36924,151205,307045,1573741,129040,583390,750153,262387,603438,2808264,11693365
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/748268/000155479521000309/0001554795-21-000309-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,417144,514527,-408965,385058,99067,397373,-84038,-70375,-84736,832948,158394,-7360235,-3547594,-3376775,1128827,-2643313,-751332,-1601931,-13236175
74,Depreciation and Amortization,- -,9984,10038,- -,- -,- -,- -,- -,- -,- -,- -,- -,20600,5105,12298,12607,154712,- -,- -,36831
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119535,- -,- -,- -,- -,- -,269895,3388216
77,Change in Working Capital,- -,182421,-829652,268143,399378,118763,398104,-50000,20000,-50000,1118669,114344,-421373,1551,770807,-2185194,-799905,2332498,-323656,-2523132
78,Accounts Receivable,- -,- -,12753,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38,-938,- -,- -,-72534
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37900,- -,- -,- -,- -,- -,- -,- -,48761,-60042
80,Accounts Payable,- -,70690,-95051,-92886,-547,- -,10371,11942,- -,-5003,-60566,-36870,43171,- -,-13211,314115,-5475,20894,68068,13818
81,Other Working Capital,- -,-1344736,-2174388,-1906245,-1506867,-1388104,-990000,-1040000,-1020000,-1070000,48669,114344,-307029,-305478,465329,-1719865,-2519770,-187272,-510928,-3034060
82,Other Non-Cash Items,- -,-830911,-86109,-93,-784501,-219254,-767210,137002,9513,75213,-2220802,-167702,7424807,3428395,1001696,-307915,2344866,-2334554,844108,10935259
83,Cash Provided by Operating Activities,- -,-221362,-391196,-140915,-65,-1424,28267,2964,-40862,-59523,-269185,105036,-216666,-112543,-1591974,-1351675,-943640,-753388,-811584,-1399001
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8736,- -,-974305,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420,- -,99495,- -,46327,-48368
86,Purchases of Investments,- -,-122735,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,90953,- -,- -,- -,- -,- -,- -,- -,952285,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,334176,29175,439125,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000,- -,- -,- -
89,Cash Used for Investing Activites,- -,211441,120128,439125,- -,- -,- -,- -,- -,- -,952285,- -,- -,- -,-8316,- -,-849810,- -,46327,-48368
90,Debt Repayment,- -,-38036,- -,-220000,- -,- -,- -,- -,- -,- -,-587430,-30383,- -,- -,-27500,- -,-76000,- -,-91027,-510645
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,51000,10000,- -,- -,- -,- -,- -,- -,- -,684700,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,50283,271950,-80567,- -,- -,- -,- -,- -,20000,- -,-162250,210544,118267,1850004,1685533,1316000,1800,589514,1998693
95,Cash Used/Provided by Financing Activities,- -,12247,271950,-300567,- -,- -,- -,- -,51000,30000,-587430,-192633,210544,118267,1822504,1685533,1240000,686500,498487,1488048
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2326,882,-2357,-65,-1424,28267,2964,10138,-29523,95670,-87597,-6122,5724,222214,333858,-553450,-66888,-266770,40679
98,Cash at the End of Period,- -,3075,3957,1600,1535,111,28378,31342,41480,11957,107627,7045,923,6647,225379,559237,5787,503438,236668,277347
99,Cash at the Beginning of Period,- -,749,3075,3957,1600,1535,111,28378,31342,41480,11957,94642,7045,923,3165,225379,559237,570326,503438,236668
100,Free Cash Flow,- -,-221362,-391196,-140915,-65,-1424,28267,2964,-40862,-59523,-269185,105036,-216666,-112543,-1600710,-1351675,-1917945,-753388,-811584,-1399001
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/748268/000155479521000309/0001554795-21-000309-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
