,https://roic.ai/company/STRR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2650000,184000,184000,184000,184000,184000,184000,1337000,2897000,6237000,3491000,1745000,9978000,9542000,6046000
40,Intangible Assets,- -,- -,894528,511832,542000,402000,428000,2631000,1833000,1243000,808000,477000,584000,353000,2577000,3079000,11628000,8467000,5228000,22903000,16900000,15072000
41,Intangible Assets,- -,- -,894528,511832,542000,402000,428000,5281000,2017000,1427000,992000,661000,768000,537000,3914000,5976000,17865000,11958000,6973000,32881000,26442000,21118000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18578000,27019000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,120000,120000,60000,60000,60000,60000,- -,- -,- -,- -,92000,269000,1560000,2893000,804000,782000,1165000,1384000,1659000
45,Total Non-Current Assets,- -,- -,12008412,10718862,11844000,10044000,10058000,21576000,15505000,11690000,8177000,6028000,5461000,4782000,8949000,32366000,79184000,41127000,29400000,61011000,39357000,36189000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,33119240,35158791,86024000,74504000,69277000,69015000,61195000,58689000,52421000,50027000,44909000,41451000,41901000,64113000,106263000,66703000,50594000,90560000,88293000,68052000
48,Accounts Payable,- -,- -,2150724,3036209,4313000,2152000,2643000,2650000,2197000,1797000,1871000,1330000,1546000,611000,1423000,1369000,6514000,5207000,5206000,8932000,4952000,4277000
49,Short-Term Debt,- -,- -,8166421,11718619,2228000,766000,269000,213000,- -,- -,- -,- -,- -,174000,348000,724000,5998000,796000,786000,6836000,22274000,14122000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211000,275000,197000,268000,440000,404000,324000,1183000,453000,- -
51,Deferred Revenue,- -,- -,1331462,1514488,2344000,2858000,2775000,2909000,2723000,2594000,2379000,2099000,1849000,1631000,1644000,1673000,3123000,3137000,1687000,1786000,2184000,2457000
52,Other Current Liabilities,- -,- -,5681046,5592319,6280000,8024000,7744000,7762000,7174000,4782000,4074000,4985000,4889000,5209000,4878000,4940000,7038000,7830000,5538000,10624000,13316000,6965000
53,Total Current Liabilities,- -,- -,17329653,21861635,15165000,13800000,13431000,13534000,12094000,9173000,8324000,8414000,8284000,7625000,8293000,8706000,22673000,16970000,13217000,28178000,42726000,27821000
54,Long-Term Debt,- -,- -,5765327,4722071,1754000,368000,99000,- -,- -,- -,- -,- -,- -,- -,- -,- -,16070000,19500000,9500000,20111000,4528000,3299000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000,138000,126000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000,121000,23000,51000,72000
57,Other Non-Current Liabilities,- -,- -,83952228,84277992,371000,348000,302000,234000,142000,- -,- -,- -,176000,440000,963000,1252000,1039000,2180000,1956000,1551000,1059000,1118000
58,Total Non-Current Liabilities,- -,- -,89717555,89000063,2125000,716000,401000,234000,142000,127000,138000,126000,176000,440000,963000,1252000,17109000,21934000,11577000,21685000,5638000,4489000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000,348000,724000,640000,796000,786000,5873000,2433000,- -
61,Total Liabilities,- -,- -,107047208,110861698,17290000,14516000,13832000,13768000,12236000,9300000,8462000,8540000,8460000,8065000,9256000,9958000,39782000,38904000,24794000,49863000,48364000,32310000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19602000,21500000,- -
63,Common Stock,- -,- -,14,24,- -,- -,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,- -,- -,- -
64,Retained Earnings,- -,- -,-78174357,-80180425,-80096000,-89715000,-96005000,-97381000,-104246000,-103638000,-109852000,-113194000,-118118000,-117854000,-115379000,-93739000,-79437000,-114633000,-113880000,-118529000,-124986000,-127969000
65,Other Comprehensive Income/Loss,- -,- -,-7032321,-554375,-1017000,-500000,-91000,123000,-22000,149000,63000,33000,17000,-2000,-19000,-240000,-52000,-5000,-22000,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,11278696,5031869,- -,- -,151539000,152503000,153225000,152876000,153746000,154646000,154548000,151240000,148041000,148132000,145968000,142435000,139700000,- -,- -,144723000
67,Total Stockholders Equity,- -,- -,-73927968,-75702907,68734000,59988000,55445000,55247000,48959000,49389000,43959000,41487000,36449000,33386000,32645000,54155000,66481000,27799000,25800000,40697000,39929000,16754000
68,Total Liabilities And Stockholders Equity,- -,- -,33119240,35158791,86024000,74504000,69277000,69015000,61195000,58689000,52421000,50027000,44909000,41451000,41901000,64113000,106263000,66703000,50594000,90560000,88293000,49064000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18988000
70,Total Liabilities & Equity,- -,- -,33119240,35158791,86024000,74504000,69277000,69015000,61195000,58689000,52421000,50027000,44909000,41451000,41901000,64113000,106263000,66703000,50594000,90560000,88293000,68052000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/707388/000070738820000013/0000707388-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/707388/000070738821000009/0000707388-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/707388/000070738822000008/0000707388-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-12771727,-1680304,245000,-9619000,-6290000,-1376000,-6865000,608000,-6214000,-3342000,-4924000,264000,2475000,21640000,14302000,-35730000,736000,-4627000,-6457000,-2983000
74,Depreciation and Amortization,- -,- -,3950652,3254988,3284000,5264000,4723000,5165000,6407000,5178000,4250000,3096000,2131000,1913000,1935000,2441000,9889000,11064000,8721000,8075000,9417000,3479000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18599000,-12479000,27530000,-133000,-363000,43000,22000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,606000,891000,800000,630000,340000,326000,616000,1024000,852000,634000,540000,524000,527000
77,Change in Working Capital,- -,- -,-1619470,-1202881,56436706,-8355000,-4872000,-11883000,-309000,4230000,-1906000,-335000,-4421000,-2120000,-4385000,-1618000,-18635000,4200000,-629000,-6606000,4839000,-2168000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1713000,-806000,970000,21000,1049000,-614000,-1246000,-1144000,-1567000,3026000,-3325000,1225000,-3701000
79,Inventory,- -,- -,2873441,2042802,-3271000,1844000,-724000,398000,477000,-1565000,1280000,-1046000,1057000,1136000,300000,-811000,-1349000,409000,-12000,-30000,-2572000,1262000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-364000,216000,-935000,776000,-203000,439000,-1244000,25000,-463000,-2458000,-1001000
81,Other Working Capital,- -,- -,3781175,2578294,59015000,50660000,45788000,33905000,33596000,37826000,35920000,35585000,31164000,29044000,24659000,23041000,4406000,8606000,7977000,1371000,6210000,4042000
82,Other Non-Cash Items,- -,- -,606169,-213467,-53954706,12821000,6672000,12812000,3133000,-5816000,3208000,746000,5502000,1804000,3929000,-760000,16733000,-1731000,-4265000,3381000,-13319000,-5327000
83,Cash Provided by Operating Activities,- -,- -,-9834376,158336,6011000,111000,233000,4718000,2366000,4806000,229000,965000,-1082000,2201000,4280000,3720000,10834000,6185000,5064000,400000,-4953000,-6450000
84,CAPEX,- -,- -,-1653667,-1797351,-4210000,-3079000,-4592000,-8606000,-5058000,-1014000,-1437000,-709000,-936000,-726000,-1258000,-1424000,-6185000,-2531000,-2163000,-6692000,-1493000,-788000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-8804000,- -,- -,- -,- -,-475000,- -,-3447000,3000,-25482000,- -,8766000,-1000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-77969000,-30032000,-19507000,-2800000,-16946000,-20360000,-5477000,-13086000,-4887000,-4679000,-2617000,-1000000,- -,-18000,-13000,- -,- -,-34000
87,Sales/Maturities of Investments,- -,- -,- -,- -,33523000,40475000,18450000,20501000,18467000,16586000,13569000,16145000,3465000,4474000,2140000,4602000,2290000,917000,- -,140000,- -,- -
88,Other Investing Activites,- -,- -,-112776,-181088,-94000,-17000,-94000,45000,- -,1024000,55000,165000,118000,1697000,103000,18000,266000,167000,2095000,1734000,161000,18624000
89,Cash Used for Investing Activites,- -,- -,-1766443,-1978439,-48750000,7347000,-5743000,336000,-3537000,-3764000,6710000,2515000,-2715000,766000,-5079000,2199000,-29111000,-1465000,8685000,-5818000,-1332000,17802000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52000,-36000,- -,- -,-89000,-369000,-593000,-25533000,-40949000,-44158000,-95066000,-117273000,-125845000
91,Common Stock Issued,- -,- -,15596314,4902,58865000,345000,43000,66000,6000,36000,44000,119000,300000,919000,188000,624000,822000,5000,26000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-991000,-48000,-19000,-1028000,-3642000,- -,- -,- -,- -,- -,-150000,-18000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-925000,-3713000,-3833000,-3913000,-4195000,-3321000,- -,- -,-4418000
94,Other Financing Activites,- -,- -,1025204,2508942,-12459000,-2848000,-766000,-268000,-232000,- -,- -,- -,- -,- -,- -,-300000,33236000,40093000,33297000,100882000,125351000,120288000
95,Cash Used/Provided by Financing Activities,- -,- -,16621518,2513844,46406000,-2503000,-723000,-202000,-226000,-1007000,-40000,100000,-728000,-3737000,-3894000,-4102000,4612000,-5046000,-14156000,5666000,8060000,-9975000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,5020699,693741,3667000,4955000,-6233000,4852000,-1397000,35000,6899000,3580000,-4525000,-770000,-4693000,1817000,-13665000,-326000,-407000,248000,1406000,1423000
98,Cash at the End of Period,- -,- -,6987666,7681407,11348000,16303000,10070000,14922000,13525000,13560000,20459000,24039000,19514000,18744000,14051000,15868000,2203000,1877000,1813000,2061000,3393000,4816000
99,Cash at the Beginning of Period,- -,- -,1966967,6987666,7681000,11348000,16303000,10070000,14922000,13525000,13560000,20459000,24039000,19514000,18744000,14051000,15868000,2203000,2220000,1813000,1987000,3393000
100,Free Cash Flow,- -,- -,-11488043,-1639015,1801000,-2968000,-4359000,-3888000,-2692000,3792000,-1208000,256000,-2018000,1475000,3022000,2296000,4649000,3654000,2901000,-6292000,-6446000,-7238000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/707388/000070738820000013/0000707388-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/707388/000070738821000009/0000707388-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/707388/000070738822000008/0000707388-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
