,https://roic.ai/company/CPNG,2018,2019,2020,2021
61,Total Liabilities,- -,6762766000,9136194000,6465877000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,- -,54950000,175000
64,Retained Earnings,- -,-3565590000,-4117755000,-5650517000
65,Other Comprehensive Income/Loss,- -,7642000,-31093000,-47739000
66,Other Total Stockholders Equity,- -,- -,25036000,7874038000
67,Total Stockholders Equity,- -,-3532912000,-4068862000,2175957000
68,Total Liabilities And Stockholders Equity,- -,3229854000,5067332000,8641834000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3229854000,5067332000,8641834000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1834584/000183458422000015/0001834584-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-1097532000,-698799000,-474895000,-1542590000
74,Depreciation and Amortization,53616000,70908000,127519000,- -
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,27327000,22737000,43069000,249345000
77,Change in Working Capital,225733000,264715000,-1165246000,1784514000
78,Accounts Receivable,19974000,-39976000,-4312000,-120206000
79,Inventory,-159671000,-279015000,-504294000,-527959000
80,Accounts Payable,400384000,416507000,1065850000,728488000
81,Other Working Capital,8535000,273250000,-891996000,892518000
82,Other Non-Cash Items,96391000,28596000,1771107000,-901847000
83,Cash Provided by Operating Activities,-694465000,-311843000,301554000,-410578000
84,CAPEX,-93401000,-217823000,-484630000,-673663000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,1567000,-401000,-36024000,-1862000
89,Cash Used for Investing Activites,-91834000,-218224000,-520654000,-675525000
90,Debt Repayment,-888150000,-350063000,-39978000,-166023000
91,Common Stock Issued,548197000,1516378000,28613000,3431277000
92,Common Stock Repurchased,- -,-114610000,-97043000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,1582905000,132399000,286910000,311596000
95,Cash Used/Provided by Financing Activities,1242952000,1184104000,178502000,3576850000
96,Effect of Forex Changes on Cash,-17122000,-22412000,70365000,-81702000
97,Net Change In Cash,439531000,631625000,29767000,2409045000
98,Cash at the End of Period,739910000,1371535000,1401302000,3810347000
99,Cash at the Beginning of Period,300379000,739910000,1371535000,1401302000
100,Free Cash Flow,-787866000,-529666000,-183076000,-1084241000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1834584/000183458422000015/0001834584-22-000015-index.htm
102,false,,,,
