,https://roic.ai/company/CCS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1576940/000156276215000061/ccs-20141231x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1576940/000157694017000023/0001576940-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000157694018000052/0001576940-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000157694019000023/0001576940-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000156276220000031/0001562762-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000157694021000009/0001576940-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1576940/000157694022000006/0001576940-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,6138000,12379000,20022000,39890000,49540000,50295000,96455000,112994000,206157000,498504000
74,Depreciation and Amortization,196000,937000,2941000,4713000,5580000,6973000,12031000,13382000,13141000,10912000
75,Deferred Income Tax,- -,- -,-2054000,1634000,1507000,674000,-4155000,3174000,-1861000,-8701000
76,Stock Based Compensation,- -,735000,2152000,5245000,6656000,9542000,13743000,15316000,18334000,14377000
77,Change in Working Capital,-23536000,214306000,279968000,220255000,106998000,611881000,438407000,207310000,72249000,-732232000
78,Accounts Receivable,-829000,-3400000,-8771000,-3259000,-488000,-166000,1227000,-13974000,5657000,-5763000
79,Inventory,-28758000,-92250000,-160886000,-208524000,-91858000,-83380000,-284977000,-129024000,94498000,-580365000
80,Accounts Payable,1152000,-2749000,3444000,-6102000,4657000,-3670000,52560000,-5113000,22918000,-23033000
81,Other Working Capital,61445000,275751000,555719000,775974000,882972000,1494853000,1933260000,2140570000,2212819000,-29148000
82,Other Non-Cash Items,1301000,-295855000,-432700000,-434471000,-216117000,-794013000,-752059000,-420983000,32558000,15987000
83,Cash Provided by Operating Activities,-15901000,-67498000,-129671000,-162734000,-45836000,-114648000,-195578000,-68807000,340578000,-201153000
84,CAPEX,-839000,-550000,-1127000,-5750000,-7762000,-17627000,-15803000,-16117000,-8522000,-11576000
85,Acquisitions Net,- -,-15708000,-232585000,- -,-17000000,-116973000,-28036000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1518000,1561000,154000,303000,1834000,117000,5100000
89,Cash Used for Investing Activites,-839000,-16258000,-233712000,-4232000,-23201000,-134446000,-43536000,-14283000,-8405000,-6476000
90,Debt Repayment,-19445000,-64140000,-102083000,-73656000,-169217000,-528917000,-618102000,-2094479000,-755469000,-457284000
91,Common Stock Issued,- -,225260000,81564000,- -,11369000,98063000,30947000,79052000,- -,- -
92,Common Stock Repurchased,- -,- -,-9746000,- -,-2393000,- -,-10952000,-1439000,-5100000,-13726000
93,Dividends Paid,-6309000,-3830000,- -,- -,- -,- -,- -,- -,- -,-15192000
94,Other Financing Activites,41608000,31484000,317112000,236447000,229441000,739330000,779949000,2122036000,767956000,617991000
95,Cash Used/Provided by Financing Activities,15854000,188774000,286847000,162791000,69200000,308476000,181842000,105170000,7387000,131789000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-886000,105018000,-76536000,-4175000,163000,59382000,-57272000,22080000,339560000,-75840000
98,Cash at the End of Period,4980000,109998000,33462000,29287000,29450000,88832000,36441000,58521000,398081000,322241000
99,Cash at the Beginning of Period,5866000,4980000,109998000,33462000,29287000,29450000,93713000,36441000,58521000,398081000
100,Free Cash Flow,-16740000,-68048000,-130798000,-168484000,-53598000,-132275000,-211381000,-84924000,332056000,-212729000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1576940/000156276215000061/ccs-20141231x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1576940/000157694017000023/0001576940-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000157694018000052/0001576940-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000157694019000023/0001576940-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000156276220000031/0001562762-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000157694021000009/0001576940-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1576940/000157694022000006/0001576940-22-000006-index.htm
102,false,,,,,,,,,,
