,https://roic.ai/company/TLYS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,21138000,24698000,34700000,31300000,29700000,23175000,18148000,19748000,25209000,33793000,31356000,-2459000
21,Income Before Tax Ratio,0.0748,0.0743,0.0866,0.0670,0.0599,0.0447,0.0329,0.0347,0.0437,0.0565,0.0506,-0.0046
22,Income Tax expense (Gain),275000,282000,400000,7406000,11591000,9100000,10607000,8338000,10509000,8850000,8734000,-1314000
23,Net Income,20863000,24416000,34300000,23900000,18100000,14075000,7541000,11410000,14700000,24943000,22622000,-1145000
24,Net Income ratio,0.0738,0.0734,0.0856,0.0511,0.0365,0.0272,0.0137,0.0201,0.0255,0.0417,0.0365,-0.0022
25,EPS,1.04,1.22,0.87,0.93,0.65,0.50,0.27,0.40,0.51,0.85,0.77,-0.04
26,EPS Diluted,1.02,1.19,0.85,0.92,0.65,0.50,0.27,0.40,0.51,0.84,0.76,-0.04
27,Weighted Average Shares Outstanding,20000000,20000000,4075000,25656000,27822000,28013000,28332000,28496000,28804000,29278000,29533000,29697000
28,Weighted Average Shares Outstanding Diluted,20512000,20512000,4094400,26076000,28116000,28078000,28402000,28529000,29074000,29768000,29788000,29697000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524025/000119312513139904/0001193125-13-139904-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000119312514126179/0001193125-14-126179-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000119312515116304/0001193125-15-116304-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828016013945/0001628280-16-013945-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828017002724/0001628280-17-002724-index.html,- -,https://www.sec.gov/Archives/edgar/data/1524025/000162828019003678/0001628280-19-003678-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828020004436/0001628280-20-004436-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828021006293/0001628280-21-006293-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,25705000,29338000,25100000,17300000,25400000,49789000,51020000,78994000,53202000,68160000,70137000,76184000
32,Short-Term Investments,- -,- -,- -,39900000,34900000,34957000,49932000,54923000,82750000,75919000,69780000,64955000
33,Cash and Short-Term Investments,25705000,29338000,25100000,57200000,60300000,84746000,100952000,133917000,135952000,144079000,139917000,141139000
34,Net Receivables,2648000,4301000,6600000,5900000,8500000,4682000,5397000,3989000,4352000,6082000,7485000,8724000
35,Inventory,24031000,33503000,36500000,46600000,46300000,51507000,51357000,47768000,53216000,55809000,56901000,55698000
36,Other Current Assets,3750000,4257000,5600000,11400000,11800000,12349000,9071000,9541000,9534000,11171000,4561000,6595000
37,Total Current Assets,56134000,71399000,73800000,121100000,126900000,153284000,166777000,195215000,203054000,217141000,208864000,212156000
38,PP&E,58779000,58185000,64100000,80900000,100900000,101335000,99026000,89219000,83321000,73842000,329825000,280520000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,541000,1390000,2900000,3400000,4600000,2932000,4948000,6072000,3736000,2185000,7951000,12797000
45,Total Non-Current Assets,59320000,59575000,67000000,84300000,105500000,104267000,103974000,95291000,87057000,76027000,337776000,293317000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,115454000,130974000,140800000,205400000,232400000,257551000,270751000,290506000,290111000,293168000,546640000,505473000
48,Accounts Payable,10658000,14717000,16800000,18300000,19600000,23109000,16022000,17584000,21615000,24207000,20562000,24983000
49,Short-Term Debt,590000,628000,84669000,712000,758000,806000,858000,835000,- -,- -,55321000,54503000
50,Tax Payable,1132000,4886000,4969000,2356000,1566000,2211000,8523000,10104000,2535000,3381000,5829000,12427000
51,Deferred Revenue,6190000,6805000,- -,5453000,6214000,7075000,8174000,10203000,10879000,10373000,11761000,13492000
52,Other Current Liabilities,9057000,15342000,-55269000,22735000,19628000,24306000,30758000,36774000,63137000,62679000,57622000,40581000
53,Total Current Liabilities,26495000,37492000,46200000,47200000,46200000,55296000,55812000,65396000,95631000,97259000,145266000,133559000
54,Long-Term Debt,- -,- -,4000000,3300000,2500000,- -,835000,- -,- -,- -,- -,211292000
55,Deferred Revenue,23796000,26752000,- -,37620000,42756000,- -,40891000,35890000,- -,30825000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,3258000,2500000,- -,835000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5267000,4638000,30200000,-3278000,-2456000,43569000,-835000,- -,34055000,1757000,241473000,- -
58,Total Non-Current Liabilities,29063000,31390000,34200000,40900000,45300000,43569000,41726000,35890000,34055000,32582000,241473000,211292000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,5857000,5266000,4638000,3970000,3258000,2500000,1693000,835000,- -,- -,296076000,265795000
61,Total Liabilities,55558000,68882000,80400000,88100000,91500000,98865000,97538000,101286000,129686000,129841000,386739000,344851000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20000,20000,- -,- -,- -,28000,28000,29000,29000,29000,30000,30000
64,Retained Earnings,59726000,61922000,60300000,-100000,18000000,32072000,39613000,51023000,16398000,13335000,6280000,5135000
65,Other Comprehensive Income/Loss,-49499000,-62131000,-74700000,17000,12000,21000,22000,66000,14000,226000,214000,20000
66,Other Total Stockholders Equity,49649000,62281000,74800000,117383000,122888000,126565000,133550000,138102000,143984000,149737000,153377000,155437000
67,Total Stockholders Equity,59896000,62092000,-19650000,117296000,140923000,158686000,173213000,189220000,160425000,163327000,159901000,160622000
68,Total Liabilities And Stockholders Equity,115454000,130974000,60750000,205396000,232423000,257551000,270751000,290506000,290111000,293168000,546640000,505473000
69,Minority Interest,- -,- -,80050000,4000,-23000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,115454000,130974000,140800000,205400000,232400000,257551000,270751000,290506000,290111000,293168000,546640000,505473000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524025/000119312513139904/0001193125-13-139904-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000119312514126179/0001193125-14-126179-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000119312515116304/0001193125-15-116304-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828016013945/0001628280-16-013945-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828017002724/0001628280-17-002724-index.html,- -,https://www.sec.gov/Archives/edgar/data/1524025/000162828019003678/0001628280-19-003678-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828020004436/0001628280-20-004436-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828021006293/0001628280-21-006293-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,20863000,24416000,34300000,23900000,18100000,14075000,7541000,11410000,14700000,24943000,22622000,-1145000
74,Depreciation and Amortization,13915000,14292000,15129000,16679000,19367000,21237000,22808000,23266000,23389000,22485000,20948000,19055000
75,Deferred Income Tax,- -,- -,- -,6689000,304000,-1156000,1554000,-1203000,2933000,953000,-5720000,-4949000
76,Stock Based Compensation,- -,- -,- -,9570000,3106000,3499000,3926000,2572000,2411000,2212000,2136000,2036000
77,Change in Working Capital,-306000,4268000,-6307000,46300000,6800000,17288000,12977000,18854000,-10983000,12459000,-56284000,14999000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1730000,- -,- -
79,Inventory,-3938000,-9621000,-3028000,-9927000,329000,-5241000,150000,3589000,-5448000,-2783000,-1092000,1203000
80,Accounts Payable,2168000,4059000,2113000,1431000,1554000,3720000,-6993000,1623000,3559000,3195000,-4227000,5020000
81,Other Working Capital,29639000,33907000,27600000,73900000,80700000,97988000,110965000,129819000,-5437000,119882000,63598000,78597000
82,Other Non-Cash Items,784000,-1274000,9462000,-61408000,-3883000,-6655000,-11956000,-6435000,258000,-16309000,52732000,8901000
83,Cash Provided by Operating Activities,35256000,41702000,52584000,41730000,43794000,48288000,36850000,48464000,32708000,46743000,36434000,38897000
84,CAPEX,-17514000,-15674000,-20223000,-33298000,-42701000,-23636000,-23100000,-17047000,-13753000,-14923000,-14299000,-8471000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-75377000,-44908000,-59884000,-74873000,-99675000,-152389000,-136198000,-126526000,-80896000
87,Sales/Maturities of Investments,- -,- -,- -,35510000,50000000,60000000,60000000,95021000,125264000,144859000,134316000,86170000
88,Other Investing Activites,3000,416000,28000,839000,79000,41000,7000,43000,- -,3000,- -,- -
89,Cash Used for Investing Activites,-17511000,-15258000,-20195000,-72326000,-37530000,-23479000,-37966000,-21658000,-40878000,-6259000,-6509000,-3197000
90,Debt Repayment,-555000,-591000,-628000,-668000,-712000,-758000,-807000,-858000,-835000,- -,- -,-23675000
91,Common Stock Issued,- -,- -,- -,106789000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-16020000,-22220000,-36008000,-84287000,- -,- -,- -,- -,-20080000,-29067000,-29453000,-29677000
94,Other Financing Activites,- -,- -,- -,985000,2546000,326000,3154000,2026000,3293000,3541000,1505000,23699000
95,Cash Used/Provided by Financing Activities,-16575000,-22811000,-36636000,22819000,1834000,-432000,2347000,1168000,-17622000,-25526000,-27948000,-29653000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1170000,3633000,-4247000,-7777000,8098000,24377000,1231000,27974000,-25792000,14958000,1977000,6047000
98,Cash at the End of Period,25705000,29338000,25091000,17314000,25412000,49789000,51020000,78994000,53202000,68160000,70137000,76184000
99,Cash at the Beginning of Period,24535000,25705000,29338000,25091000,17314000,25412000,49789000,51020000,78994000,53202000,68160000,70137000
100,Free Cash Flow,17742000,26028000,32361000,8432000,1093000,24652000,13750000,31417000,18955000,31820000,22135000,30426000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524025/000119312513139904/0001193125-13-139904-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000119312514126179/0001193125-14-126179-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000119312515116304/0001193125-15-116304-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828016013945/0001628280-16-013945-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828017002724/0001628280-17-002724-index.html,- -,https://www.sec.gov/Archives/edgar/data/1524025/000162828019003678/0001628280-19-003678-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828020004436/0001628280-20-004436-index.html,https://www.sec.gov/Archives/edgar/data/1524025/000162828021006293/0001628280-21-006293-index.htm
102,false,,,,,,,,,,,,
