,https://roic.ai/company/TGS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,8698260,18269000,43021056,26023400,64553185,182469126,206964811,201458125,208782964,137770736,22818000,19936000,73856000,126105000,98865000,280119000,103337000,149091000,83587000,15161000,8233000,9004000,9557000,8855000
45,Total Non-Current Assets,1883223280,2006298000,2012354074,2118905300,5061384278,4663124001,4569860790,4475029826,4421506312,4320407466,4203940000,4151150000,4139590000,4145301000,4105251000,4269847000,4215457000,4416358000,5584261000,6513588000,38779711000,74661395000,112795061000,172687225000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1993501220,2135335000,2108906342,2262034000,5413825416,5477214544,5185237985,5194978343,5132398916,5003882405,5033324000,5619190000,5611345000,5024166000,5565439000,6072910000,6174420000,6646577000,8931332000,13666900000,61943027000,95601325000,128594366000,208179728000
48,Accounts Payable,47990400,46819000,49326950,47042300,85451698,78914921,109345958,128035407,181549338,163662421,185469000,271241000,293750000,291539000,362349000,384939000,543912000,442524000,961248000,1453303000,3092037000,4113571000,2803596000,6068325000
49,Short-Term Debt,234953000,398202000,199526246,252226800,3516166399,3259514662,149536186,119242249,98929440,16467074,13932000,14983000,14661000,15846000,4477000,620987000,277790000,414599000,114127000,1291603000,442836000,1722087000,936766000,1180605000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28375000,166005000,97278000,49136000,127069000,143264000,155591000,213705000,533461000,1512468000,3030068000,1019963000,1915548000,10852431000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29208000,24639000,25344000,27202000,25779000,37594000,81004000,129578000,219801000,317985000,502366000
52,Other Current Liabilities,23295340,33148000,28799846,17015300,31404980,59944255,98819804,92032832,97765348,132748058,158784000,321540000,265734000,238708000,437078000,316464000,402850000,437679000,789979000,1780031000,3481910000,1896740000,4051326000,12508820000
53,Total Current Liabilities,306238740,478169000,277653043,316284400,3633023076,3398373837,357701947,339310489,378244125,312877552,358185000,607764000,574145000,575301000,828543000,1347734000,1251754000,1320581000,1902948000,4605941000,7146361000,7952199000,8109673000,20260116000
54,Long-Term Debt,616576660,599702000,744394061,842757800,2429747,7580642,2592682904,2415395380,1915969833,1575192505,1398465000,1502330000,1487119000,1609799000,1853510000,1862231000,2160405000,2888100000,3771604000,3169760000,20154216000,31860717000,42932658000,51398757000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281126000,279562000,311905000,380349000,332308000,313686000,298169000,1469051000,2926826000,4052127000,5628101000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,527958000,513997000,410134000,416716000,273390000,2228094000,4778114000,7473264000,10299983000
57,Other Non-Current Liabilities,- -,- -,- -,- -,10742038,3533723,11200945,17216779,59757744,184978868,203944000,287987000,257062000,604448000,561114000,- -,372000,20000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,616576660,599702000,744394061,842757800,13171784,11114365,2603883850,2432612159,1975727576,1760171373,1602409000,1790317000,1744181000,2495373000,2694186000,2702094000,3055123000,3630562000,4502006000,3741319000,23851361000,39565657000,54458049000,67326841000
59,Other Liabilities,- -,- -,- -,- -,26343568,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848181000,891365000,1655409000,2377438000,2892682000,3022513000
61,Total Liabilities,922815400,1077871000,1022047104,1159042200,3646194860,3409488202,2961585797,2771922648,2353971701,2073048925,1960594000,2398081000,2318326000,3070674000,3522729000,4049828000,4306877000,4951143000,6404954000,8347260000,30997722000,47517856000,62567722000,87586957000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,794495000,793223808,- -,1928172192,1948037247,1954496566,794149685,793435917,- -,- -,1939507000,1939507000,- -,- -,1345300000,1345300000,1345300000,1345300000,1345300000,18347477000,28349861000,37040489000,55909519000
64,Retained Earnings,188362320,175167000,205973914,- -,-160541637,119689096,119491612,330011489,676398720,- -,- -,1281601000,1145239000,- -,- -,98661000,104983000,-172109000,930675000,2793263000,11987488000,13616403000,3286190000,20931074000
65,Other Comprehensive Income/Loss,-217656460,-262139000,-33703987,-407366300,-1058497905,-1235034635,149664010,154378533,1308589515,2930833480,-2187222000,-2427749000,-2641152000,-2874665000,-3073370000,579118000,417254000,522237000,250394000,1181069000,2031256000,7639653000,30493298000,50987310000
66,Other Total Stockholders Equity,1099979960,349941000,121365504,1510358100,1058497905,1235034635,- -,1144515987,- -,- -,- -,2427749000,2849424000,- -,- -,- -,- -,- -,- -,- -,-1420926000,-1522476000,-4793364000,-7235182000
67,Total Stockholders Equity,1070685820,1057464000,1086859238,1102991800,1767630556,2067726342,2223652188,2423055695,2778424152,2930833480,3072728000,3221108000,3293018000,1953491000,2042709000,2023079000,1867537000,1695428000,2526369000,5319632000,30945295000,48083441000,66026613000,120592721000
68,Total Liabilities And Stockholders Equity,1993501220,2135335000,2108906342,2262034000,5413825416,5477214544,5185237985,5194978343,5132395853,5003882405,5033322000,5619189000,5611344000,5024165000,5565438000,6072907000,6174414000,6646571000,8931323000,13666892000,61943017000,95601297000,128594335000,208179678000
69,Minority Interest,- -,- -,-0,- -,- -,- -,- -,0,3063,- -,2000,1000,1000,1000,1000,3000,6000,6000,9000,8000,10000,28000,31000,50000
70,Total Liabilities & Equity,1993501220,2135335000,2108906342,2262034000,5413825416,5477214544,5185237985,5194978343,5132398916,5003882405,5033324000,5619190000,5611345000,5024166000,5565439000,6072910000,6174420000,6646577000,8931332000,13666900000,61943027000,95601325000,128594366000,208179728000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,156468700,145724000,126060979,108097200,-642455962,287433888,149072452,217411815,357544731,147573466,175091000,178380000,102236000,230679000,239218000,107504000,104983000,-172109000,930675000,2793263000,11415832000,12805105000,3286190000,20931074000
74,Depreciation and Amortization,38592280,52434000,75756595,88079200,227817349,201334220,199429143,197490148,192629655,199010226,204768000,209444000,215296000,221430000,234600000,242917000,254311000,261393000,286798000,358420000,2223083000,3695615000,6161233000,9610783000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143389000,143332000,99189000,128794000,130343000,65881000,64766000,-113553000,489305000,1355030000,13171000,4024211000,4404423000,12737021000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1499700,-4611000,-32508902,-8007200,-46518542,56293230,-546444414,-98078696,-37011999,-29178167,-136930000,-177742000,-342304000,-423876000,-173568000,19706000,-67723000,-648488000,-247539000,-812771000,-302563000,-4347968000,665424000,-6966542000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16351000,-219589000,61322000,-69831000,-104640000,-870000,-39689000,-462028000,-524014000,-933043000,-1486325000,-3733961000,-303769000,-5585043000
79,Inventory,399920,-759000,918528,-2001800,-3829711,1272727,-47562,-424059,-3703651,-6891215,4225000,-159000,-452000,5323000,-46694000,46926000,-21775000,20679000,-108411000,10867000,-235824000,52634000,-263862000,-598102000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17080000,77032000,32129000,7038000,77974000,1504000,141771000,-86502000,487238000,329675000,1611499000,140873000,143775000,2700914000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-180633819,-31871614,1392738,-34470000,-2360000,-168888000,-156754000,-32725000,25644000,29291000,-64248000,182978000,3256000,606847000,689966000,403791000,19120000
82,Other Non-Cash Items,799840,280000,665933,26023400,700975163,-15146621,315112791,267644585,92275735,201225372,195763000,158223000,246093000,283409000,104520000,434953000,662614000,1162052000,678275000,-171371000,-552913000,-2677999000,13996637000,-6011702000
83,Cash Provided by Operating Activities,194361120,193827000,169974605,214192600,239818009,529914718,117169972,584467852,605438122,518630897,582081000,511637000,320510000,440436000,535113000,870961000,1018951000,489295000,2137514000,3522571000,12796610000,13498964000,28513907000,30300634000
84,CAPEX,-169366120,-151323000,-65861453,-202181800,-94733195,-61155398,-98721707,-167996872,-127213812,-203654786,-220792000,-149147000,-143770000,-168299000,-215438000,-235374000,-350559000,-401980000,-596109000,-1308560000,-8123664000,-15932000000,-7769600000,-9648588000
85,Acquisitions Net,- -,- -,- -,-10009000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28399873,- -,- -,- -,- -,- -,-249260000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151438000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2299540,- -,- -,-1000900,-1399965,-580645,- -,1941583,- -,3151,28386000,- -,926000,-109073000,- -,- -,156143000,- -,61436000,-1221342000,3392406000,-711899000,-22318287000,-20635113000
89,Cash Used for Investing Activites,-167066580,-151323000,-65861453,-213191700,-96133160,-61736043,-98721707,-166055290,-127213812,-232051508,-192406000,-149147000,-142844000,-277372000,-215438000,-484634000,-194416000,-250542000,-534673000,-2529902000,-4731258000,-16643899000,-30087887000,-30283701000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191486000,-25497000,-83003000,- -,- -,-4444000,-769932000,-294556000,-916490000,-40433000,-6022304000,-18751000,-1354111000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1420926000,-2590658000,- -,- -
93,Dividends Paid,-158868220,-19201000,-94973798,-94084600,- -,- -,- -,- -,- -,- -,-32000000,-30000000,-30325000,-976000000,- -,-263659000,-212459000,- -,-99734000,- -,-4329188000,-9760922000,-16000,- -
94,Other Financing Activites,106378720,-14345000,-51268838,129116100,-62281607,1964809,-357473053,-241340836,-512868301,-373553015,47183000,113459000,- -,70108000,26717000,30000000,-2000,- -,- -,-4000,13821521000,1051809000,-3720468000,-959594000
95,Cash Used/Provided by Financing Activities,-52489500,-33546000,-146242637,35031500,-62281607,1964809,-357473053,-241340836,-512868301,-373553015,-176303000,57962000,-113328000,-905892000,26717000,-238103000,-982393000,-294556000,-1016224000,-40437000,2049103000,-11318522000,-5074595000,-959594000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52544000,53466000,138920000,95935000,145482000,6687668000,3721043000,760625000,323179000
97,Net Change In Cash,-25194960,8958000,-42129485,36032400,81403242,470146416,-339024787,177071726,-34643991,-86976777,213372000,420452000,64338000,-742828000,346392000,200768000,-104392000,83117000,682552000,1097714000,12728080000,-15839936000,-8640997000,-2595125000
98,Cash at the End of Period,53189360,62124000,19898112,56050400,202941051,675178582,338391613,512723195,477617757,391488451,604690000,1025142000,1089480000,346652000,693044000,893812000,789420000,872537000,1555089000,2652803000,16644827000,9765201000,4653405000,4428802000
99,Cash at the Beginning of Period,78384320,53166000,62027597,20018000,121537810,205032166,677416400,335651469,512261748,478465228,391318000,604690000,1025142000,1089480000,346652000,693044000,893812000,789420000,872537000,1555089000,3916747000,25605137000,13294402000,7023927000
100,Free Cash Flow,24995000,42504000,104113152,12010800,145084814,468759320,18448266,416470980,478224311,314976111,361289000,362490000,176740000,272137000,319675000,635587000,668392000,87315000,1541405000,2214011000,4672946000,-2433036000,20744307000,20652046000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,0.3364,0.3298,0.3269,0.3175,0.2895,0.2631,0.2519,0.23234,0.20338,0.1534,0.11681,0.07726,0.06296,0.05366,0.02653,0.0167,0.01189,0.00974
