,https://roic.ai/company/KOP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,30400000,28700000,33700000,32900000,32300000,33400000,34700000,32700000,26600000,28100000,48800000,28200000,29700000,44000000,59000000,52900000,49800000,50800000,55100000,54100000,57700000
15,EBITDA,56100000,68100000,33000000,94300000,105100000,116500000,163000000,253100000,95500000,128400000,127800000,155000000,133700000,84800000,33500000,144400000,150400000,156500000,185600000,246000000,217900000
16,EBITDA ratio,0.0744,0.0877,0.0392,0.0990,0.1020,0.1005,0.1228,0.1854,0.0849,0.1031,0.0830,0.0997,0.0904,0.0545,0.0206,0.1020,0.1019,0.0915,0.1047,0.1474,0.1298
17,Operating Income,42300000,44300000,19100000,64400000,74000000,84700000,130900000,129600000,94900000,99000000,79000000,126600000,100300000,33200000,-29600000,86400000,112100000,110400000,130800000,156700000,156500000
18,Operating Income ratio,0.0561,0.0571,0.0227,0.0676,0.0718,0.0730,0.0986,0.0950,0.0844,0.0795,0.0513,0.0814,0.0678,0.0214,-0.0182,0.0610,0.0760,0.0646,0.0738,0.0939,0.0932
19,Total Other Income Expenses (Gains),-16000000,- -,-37700000,-38100000,-51400000,-61000000,-45600000,-39600000,-59400000,-25200000,-26500000,-26000000,-23300000,-39100000,-50500000,-47900000,-51800000,-55600000,-61900000,-46600000,-36900000
20,Income Before Tax,26300000,- -,-18600000,26300000,22600000,23700000,85300000,90000000,35500000,73800000,52500000,100600000,77000000,-5900000,-80100000,38500000,60300000,54800000,68900000,110100000,119600000
21,Income Before Tax Ratio,0.0349,- -,-0.0221,0.0276,0.0219,0.0204,0.0642,0.0659,0.0316,0.0593,0.0341,0.0647,0.0521,-0.0038,-0.0492,0.0272,0.0409,0.0320,0.0389,0.0660,0.0712
22,Income Tax expense (Gain),-12100000,- -,-1300000,13300000,10600000,6000000,25800000,41600000,13800000,29100000,14900000,33300000,36800000,34100000,-4200000,11400000,29000000,26000000,1400000,21000000,34500000
23,Net Income,13300000,16500000,-37100000,9600000,9900000,15200000,56600000,138000000,18800000,44100000,36900000,65600000,40400000,-32400000,-72000000,29300000,29100000,23400000,66600000,122000000,85200000
24,Net Income ratio,0.0176,0.0212,-0.0440,0.0101,0.0096,0.0131,0.0426,0.1011,0.0167,0.0354,0.0240,0.0422,0.0273,-0.0208,-0.0443,0.0207,0.0197,0.0137,0.0376,0.0731,0.0508
25,EPS,0.79,1.20,-25.94,-23.15,-6.58,0.79,3.05,6.68,0.92,2.14,1.79,3.17,1.96,-1.58,-3.51,1.42,1.40,1.12,3.23,5.81,3.94
26,EPS Diluted,0.79,1.19,-25.94,-23.15,-6.58,0.75,3.03,6.65,0.91,2.13,1.77,3.13,1.94,-1.58,-3.51,1.39,1.32,1.10,3.16,5.71,3.83
27,Weighted Average Shares Outstanding,5300000,4595000,3500000,2900000,2900000,19190000,20768000,20651000,20446000,20543000,20599000,20681000,20575000,20463000,20541000,20636000,20754000,20871000,20665000,20992000,21322000
28,Weighted Average Shares Outstanding Diluted,5300000,13876000,3500000,2900000,2900000,20104000,20874000,20767000,20561000,20676000,20833000,20927000,20815000,20463000,20541000,21055000,22000000,21326000,21068000,21374000,21947000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1315257/000119312506060058/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312507036604/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312508036303/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312509034166/0001193125-09-034166-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312510035299/0001193125-10-035299-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312511041968/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312512082020/0001193125-12-082020-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312513074188/0001193125-13-074188-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312514079638/d634340d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312515073376/d836465d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000156459016013752/0001564590-16-013752-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459017002413/0001564590-17-002413-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459018003507/0001564590-18-003507-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459019005736/0001564590-19-005736-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459020006973/0001564590-20-006973-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459021007979/0001564590-21-007979-index.htm,https://www.sec.gov/Archives/edgar/data/1315257/000156459022006039/0001564590-22-006039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,9600000,41800000,26100000,24400000,17500000,63100000,58400000,35300000,54100000,66700000,82200000,51100000,21800000,20800000,60300000,40600000,33000000,38500000,43200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,2100000,1700000,4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,9600000,41800000,26100000,24400000,19600000,64800000,62800000,35300000,54100000,66700000,82200000,51100000,21800000,20800000,60300000,40600000,33000000,38500000,43200000
34,Net Receivables,- -,- -,99600000,113000000,118700000,142100000,148000000,112100000,139600000,140800000,171500000,173800000,176400000,208200000,169100000,149500000,160900000,192500000,165800000,176300000,182800000
35,Inventory,- -,- -,117500000,134500000,120000000,156400000,179700000,171800000,152700000,165400000,159000000,195800000,168800000,241200000,226400000,228700000,236900000,284700000,299100000,295800000,313800000
36,Other Current Assets,- -,- -,17000000,17900000,26100000,26600000,40900000,23700000,25900000,28900000,42800000,44900000,45700000,40800000,27000000,39100000,48600000,22500000,21600000,53900000,88300000
37,Total Current Assets,- -,- -,243700000,307200000,290900000,349500000,388200000,372400000,381000000,370400000,427400000,481200000,473100000,541300000,444300000,438100000,506700000,540300000,519500000,564500000,628100000
38,PP&E,- -,- -,151000000,156700000,152400000,159300000,155700000,144800000,149300000,168200000,155600000,161100000,197000000,299700000,277800000,280800000,328000000,417900000,528900000,511600000,580300000
39,Goodwill,- -,- -,- -,- -,- -,62600000,62500000,58400000,61600000,72100000,72100000,75600000,72700000,247200000,186600000,186400000,188200000,296500000,296100000,297800000,296000000
40,Intangible Assets,- -,- -,36500000,38400000,35700000,- -,- -,- -,- -,- -,- -,15300000,- -,167700000,156100000,141900000,129600000,188000000,168400000,149800000,131500000
41,Intangible Assets,- -,- -,36500000,38400000,35700000,62600000,62500000,58400000,61600000,72100000,72100000,75600000,72700000,414900000,342700000,328300000,317800000,484500000,464500000,447600000,427500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,6000000,4700000,4700000,4900000,5800000,6600000,5000000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,54900000,50000000,38700000,45600000,33400000,56000000,25900000,26100000,44300000,27200000,9300000,7800000,36600000,27100000,18400000,15500000,23700000,18400000,15000000
44,Other Non-Current Assets,- -,- -,27900000,31300000,34100000,32400000,29500000,23500000,21900000,27700000,26400000,29100000,26200000,25200000,24000000,13200000,29300000,21700000,28000000,56500000,11000000
45,Total Non-Current Assets,- -,- -,270300000,276400000,260900000,299900000,281100000,288700000,263400000,298800000,303300000,298800000,311800000,752600000,681100000,649400000,693500000,939600000,1045100000,1034100000,1033800000
46,Other Assets,455200000,463800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,455200000,463800000,514000000,583600000,551800000,649400000,669300000,661100000,644400000,669200000,730700000,780000000,784900000,1293900000,1125400000,1087500000,1200200000,1479900000,1564600000,1598600000,1661900000
48,Accounts Payable,- -,- -,63800000,77400000,77500000,100500000,109300000,82100000,67300000,87900000,102100000,103500000,107600000,120600000,140800000,144200000,141900000,177200000,169900000,154100000,171900000
49,Short-Term Debt,- -,- -,8000000,23100000,10500000,19600000,21300000,200000,200000,1000000,- -,- -,- -,43900000,39900000,42600000,11400000,11600000,32300000,31300000,23300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,85600000,64700000,71200000,67100000,68300000,66300000,64300000,60500000,68300000,77700000,87500000,127600000,99800000,106300000,127900000,109900000,94000000,106700000,90500000
53,Total Current Liabilities,- -,- -,157400000,165200000,159200000,187200000,198900000,148600000,131800000,149400000,170400000,181200000,195100000,292100000,280500000,293100000,281200000,298700000,296200000,292100000,285700000
54,Long-Term Debt,- -,- -,332700000,489700000,508900000,456300000,418900000,374700000,335100000,295400000,302100000,296100000,303100000,806600000,694900000,619800000,665600000,978800000,891000000,765800000,851800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,10200000,5700000,6300000,7300000,6800000,7400000,21300000,33400000
57,Other Non-Current Liabilities,- -,- -,106900000,86200000,78400000,86100000,65400000,111800000,122700000,124500000,151000000,134600000,82200000,101100000,156700000,133700000,140300000,128600000,211300000,173400000,80200000
58,Total Non-Current Liabilities,- -,- -,439600000,575900000,587300000,542400000,484300000,486500000,457800000,419900000,453100000,430700000,400000000,917900000,857300000,759800000,813200000,1114200000,1109700000,960500000,965400000
59,Other Liabilities,457100000,464600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114700000,102500000,91600000
61,Total Liabilities,457100000,464600000,597000000,741100000,746500000,729600000,683200000,635100000,589600000,569300000,623500000,611900000,595100000,1210000000,1137800000,1052900000,1094400000,1412900000,1405900000,1252600000,1251100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
64,Retained Earnings,- -,- -,-53700000,-172900000,-200700000,-206500000,-157600000,-37800000,-37300000,-11700000,6700000,52000000,71300000,18000000,-54000000,-24700000,7400000,27200000,93800000,215800000,300900000
65,Other Comprehensive Income/Loss,- -,- -,-7100000,-4600000,-15400000,-7100000,12000000,-47400000,-22700000,-12300000,-30200000,-22000000,-10200000,-60300000,-79800000,-68600000,-40100000,-87200000,-77700000,-15900000,-40000000
66,Other Total Stockholders Equity,- -,- -,295200000,370500000,21000000,121000000,122100000,103000000,103600000,112500000,118100000,120400000,108500000,112100000,115100000,123500000,132400000,116000000,131000000,141600000,145500000
67,Total Stockholders Equity,-1900000,-800000,-89100000,-168100000,-206700000,-92400000,-23300000,18000000,43800000,88700000,94800000,150600000,169800000,70000000,-18500000,30400000,99900000,56200000,147300000,341700000,406600000
68,Total Liabilities And Stockholders Equity,455200000,463800000,507900000,573000000,539800000,637200000,659900000,653100000,633400000,658000000,718300000,762500000,764900000,1280000000,1119300000,1083300000,1194300000,1469100000,1553200000,1594300000,1657700000
69,Minority Interest,- -,- -,6100000,10600000,12000000,12200000,9400000,8000000,11000000,11200000,12400000,17500000,20000000,13900000,6100000,4200000,5900000,10800000,11400000,4300000,4200000
70,Total Liabilities & Equity,455200000,463800000,514000000,583600000,551800000,649400000,669300000,661100000,644400000,669200000,730700000,780000000,784900000,1293900000,1125400000,1087500000,1200200000,1479900000,1564600000,1598600000,1661900000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1315257/000119312506060058/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312507036604/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312508036303/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312509034166/0001193125-09-034166-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312510035299/0001193125-10-035299-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312511041968/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312512082020/0001193125-12-082020-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312513074188/0001193125-13-074188-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312514079638/d634340d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312515073376/d836465d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000156459016013752/0001564590-16-013752-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459017002413/0001564590-17-002413-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459018003507/0001564590-18-003507-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459019005736/0001564590-19-005736-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459020006973/0001564590-20-006973-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459021007979/0001564590-21-007979-index.htm,https://www.sec.gov/Archives/edgar/data/1315257/000156459022006039/0001564590-22-006039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13300000,16500000,-37100000,9600000,9900000,15200000,56600000,138000000,18800000,44100000,36900000,65600000,40400000,-32400000,-72000000,29300000,29100000,23400000,66600000,122000000,85200000
74,Depreciation and Amortization,30400000,28700000,33700000,32900000,32300000,33400000,34700000,32700000,26600000,28100000,48800000,28200000,29700000,44000000,59000000,52900000,49800000,50800000,55100000,54100000,57700000
75,Deferred Income Tax,- -,- -,-8900000,5100000,4200000,-2900000,3000000,13000000,22900000,5000000,-11300000,8000000,19500000,2500000,-16000000,-100000,1600000,9100000,-10900000,9400000,16900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,3700000,2500000,3300000,5300000,6900000,4300000,4700000,3800000,8900000,10600000,12500000,12100000,11300000,13000000
77,Change in Working Capital,- -,- -,86300000,55700000,-10300000,30600000,27000000,34500000,25400000,-28200000,36000000,43000000,-22000000,-28800000,-85400000,-18800000,80500000,16100000,-18300000,49100000,-44800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,18900000,16100000,-19100000,-33200000,-200000,2900000,13400000,34100000,12700000,-16000000,-7700000,25400000,-11500000,-12700000
79,Inventory,- -,- -,-4200000,-12200000,9800000,-21700000,-28600000,-15100000,31500000,8200000,5100000,-26500000,21600000,-14000000,-4300000,-3300000,700000,-18300000,-14800000,8700000,-24300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-16800000,-16800000,9700000,15300000,-100000,4900000,-10600000,25000000,5000000,-13600000,30800000,-3100000,-25300000,20900000
81,Other Working Capital,- -,- -,86300000,142000000,131700000,162300000,189300000,223800000,249200000,221000000,257000000,300000000,278000000,249200000,163800000,145000000,225500000,241600000,223300000,272400000,-7700000
82,Other Non-Cash Items,-43700000,-45200000,-61600000,-84800000,22100000,-44700000,-56100000,-170000000,16100000,53000000,-38800000,-73900000,45700000,45500000,238300000,47300000,-69800000,-33600000,10700000,-118800000,-25000000
83,Cash Provided by Operating Activities,- -,- -,12400000,18500000,58200000,31600000,65200000,51900000,112300000,105300000,76900000,77800000,117600000,35500000,127700000,119500000,101800000,78300000,115300000,127100000,103000000
84,CAPEX,-14600000,-19700000,-19300000,-21200000,-23000000,-28500000,-24300000,-37100000,-18000000,-29900000,-33200000,-28900000,-72900000,-83800000,-40700000,-49900000,-67500000,-109700000,-37200000,-69800000,-125000000
85,Acquisitions Net,-6400000,- -,- -,- -,-5800000,-42700000,-4100000,-2900000,-2200000,-35500000,-600000,-13200000,600000,-496200000,-400000,-3800000,1500000,-268200000,400000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-600000,- -,-11700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-11900000,- -,800000,800000,500000,- -,11900000,123600000,-18000000,-27900000,-32400000,-26700000,-72900000,-83800000,-40700000,-49900000,-58000000,-108200000,-34200000,5600000,-89500000
89,Cash Used for Investing Activites,-18300000,- -,-18500000,-20400000,-28300000,-71200000,-16500000,120700000,-20800000,-63400000,-44700000,-39900000,-72300000,-580000000,-41100000,-53700000,-56500000,-376400000,-33800000,5600000,-89500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-287000000,-555700000,-192300000,-212600000,-265800000,-97900000,-368000000,-726600000,-657100000,-1197800000,-20300000,-90800000,-128000000,-10100000
91,Common Stock Issued,- -,- -,- -,- -,300000,121800000,- -,600000,- -,100000,300000,1500000,200000,700000,- -,400000,2700000,2900000,4000000,1100000,2400000
92,Common Stock Repurchased,- -,- -,-9000000,-300000,-300000,- -,- -,-21300000,- -,-900000,-300000,-8100000,-17500000,-2000000,-300000,-300000,-5200000,-31800000,-900000,-1600000,-11500000
93,Dividends Paid,- -,- -,-48100000,-127900000,-37700000,-17300000,-14100000,-17200000,-18000000,-23100000,-18200000,-19500000,-21100000,-20400000,-8700000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-41600000,- -,62100000,161800000,-7100000,-66500000,-43600000,201800000,476800000,151900000,217500000,264600000,106000000,905800000,612200000,594300000,1194400000,332000000,-1000000,-200000,15200000
95,Cash Used/Provided by Financing Activities,-41600000,- -,5000000,33600000,-44800000,38000000,-57700000,-123100000,-96900000,-64300000,-13300000,-27300000,-30300000,516100000,-123400000,-62700000,-5900000,282800000,-88700000,-128700000,-4000000
96,Effect of Forex Changes on Cash,- -,- -,1200000,500000,-800000,-100000,2100000,-800000,700000,-700000,-100000,2000000,500000,-2700000,7500000,-4100000,100000,-4400000,-400000,1500000,-2500000
97,Net Change In Cash,-41600000,- -,100000,32200000,-15700000,-1700000,-6900000,48700000,-4700000,-23100000,18800000,12600000,15500000,-31100000,-29300000,-1000000,39500000,-19700000,-7600000,6200000,7000000
98,Cash at the End of Period,- -,- -,9600000,41800000,26100000,24400000,17500000,63100000,58400000,35300000,54100000,66700000,82200000,51100000,21800000,20800000,60300000,40600000,33000000,38500000,45500000
99,Cash at the Beginning of Period,- -,- -,9500000,9600000,41800000,26100000,24400000,14400000,63100000,58400000,35300000,54100000,66700000,82200000,51100000,21800000,20800000,60300000,40600000,32300000,38500000
100,Free Cash Flow,- -,- -,-6900000,-2700000,35200000,3100000,40900000,14800000,94300000,75400000,43700000,48900000,44700000,-48300000,87000000,69600000,34300000,-31400000,78100000,57300000,-22000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1315257/000119312506060058/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312507036604/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312508036303/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312509034166/0001193125-09-034166-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312510035299/0001193125-10-035299-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312511041968/d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312512082020/0001193125-12-082020-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312513074188/0001193125-13-074188-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000119312514079638/d634340d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000119312515073376/d836465d10k.htm,https://www.sec.gov/Archives/edgar/data/1315257/000156459016013752/0001564590-16-013752-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459017002413/0001564590-17-002413-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459018003507/0001564590-18-003507-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459019005736/0001564590-19-005736-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459020006973/0001564590-20-006973-index.html,https://www.sec.gov/Archives/edgar/data/1315257/000156459021007979/0001564590-21-007979-index.htm,https://www.sec.gov/Archives/edgar/data/1315257/000156459022006039/0001564590-22-006039-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
