,https://roic.ai/company/NKTX,2018,2019,2020,2021
57,Other Non-Current Liabilities,12924653,65684503,7599000,18000
58,Total Non-Current Liabilities,12924653,65684503,7599000,9993000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,7296207,8919000,- -
61,Total Liabilities,15001292,73894263,16430000,22936000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,123,160,3000,3000
64,Retained Earnings,-5583907,-26659742,-118021000,-204096000
65,Other Comprehensive Income/Loss,-244752,-645393,3000,-150000
66,Other Total Stockholders Equity,432542,1822464,439235000,455210000
67,Total Stockholders Equity,-5395994,-25482511,321220000,250967000
68,Total Liabilities And Stockholders Equity,9605298,48411752,337650000,273903000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,9605298,48411752,337650000,273903000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1787400/000156459021015517/0001564590-21-015517-index.htm,https://www.sec.gov/Archives/edgar/data/1787400/000095017022004095/0000950170-22-004095-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-274503,-21075835,-91361000,-86075000
74,Depreciation and Amortization,183214,400641,786000,- -
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,182513,946978,6748000,- -
77,Change in Working Capital,-5275116,23103543,280748716,-77167000
78,Accounts Receivable,-14824,-463265,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,689708,2641957,2817000,- -
81,Other Working Capital,6151741,29255284,310004000,232837000
82,Other Non-Cash Items,- -,-21742283,-240427716,95315000
83,Cash Provided by Operating Activities,-5183892,-18366956,-43506000,-67927000
84,CAPEX,-757880,-1928301,-7511000,- -
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,-16367270,-222570000,- -
87,Sales/Maturities of Investments,- -,- -,20000000,- -
88,Other Investing Activites,- -,- -,- -,32534000
89,Cash Used for Investing Activites,-757880,-18295571,-210081000,32534000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,265096000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,87489,49581424,64721000,1202000
95,Cash Used/Provided by Financing Activities,87489,49581424,329817000,1202000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-5854283,12918897,76230000,-34191000
98,Cash at the End of Period,7956487,20875384,97105000,- -
99,Cash at the Beginning of Period,13810770,7956487,20875000,97105000
100,Free Cash Flow,-5941772,-20295257,-51017000,-67927000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1787400/000156459021015517/0001564590-21-015517-index.htm,https://www.sec.gov/Archives/edgar/data/1787400/000095017022004095/0000950170-22-004095-index.htm
102,false,,,,
