,https://roic.ai/company/PIAC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,-46455,-1645357,-220418,-779206,1325589,-88234,-298027,-101890,-1130570,-52140,707991,-563471,-8848036,-4199721,-2549715,165273,-8293646,-673379,-879786
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7833,0.8665,1.8673,1.7054,1.9256,1.5639,0.0854,1.2908,-0.7441,-1.0060
22,Income Tax expense (Gain),- -,- -,- -,- -,800,800,1642,800,800,800,- -,62,942,- -,- -,- -,- -,41123,28065,17861,-19024,1816,- -
23,Net Income,-67327,-54802,-24849,-74550,-47255,-1646157,-222060,1698630,1324789,-134579,514737,-133711,-1131512,-52140,707991,-563471,-8848036,-4240844,-2577780,147412,-8274622,-675195,-879786
24,Net Income ratio,-67327.0000,-54802.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-0.7833,0.8665,1.8673,1.7054,1.9445,1.5811,0.0762,1.2879,-0.7461,-1.0060
25,EPS,-0.12,-0.08,-0.04,-0.12,-0.06,-1.00,-1.12,0.76,0.67,-0.72,0.28,-0.07,-0.62,-0.03,0.39,-0.31,-0.09,-0.04,-0.02,0.00,-0.07,-0.09,-0.01
26,EPS Diluted,-0.12,-0.08,-0.04,-0.12,-0.06,-1.00,-1.12,0.23,0.67,-0.72,0.08,-0.07,-0.62,-0.03,0.10,-0.31,-0.09,-0.04,-0.02,0.00,-0.07,-0.09,-0.01
27,Weighted Average Shares Outstanding,606305,625399,625399,691156,687630,1649057,1994284,2248999,6982287,1816533,1816533,1816533,1816533,1816533,1816533,1816533,97402398,120486061,120486061,120486061,120486061,120486061,120486061
28,Weighted Average Shares Outstanding Diluted,606305,625399,625399,691156,687630,1649057,1994284,7248999,6982287,6816533,6816533,6816533,6816533,6816533,6816533,6816533,98375001,120486061,120486061,120486061,120486061,120486061,120486061
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845385/000121390020007952/0001213900-20-007952-index.htm,https://www.sec.gov/Archives/edgar/data/845385/000121390021019194/0001213900-21-019194-index.htm,https://www.sec.gov/Archives/edgar/data/845385/000121390022016716/0001213900-22-016716-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,17442,14003,2572,1283,42,64262,122478,83715,23009,3106,19121,22771,22999,1022510,9942,2084262,2575620,357692,1725700,523815
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1200000,3611008,967628,716015,785615,279135,- -,- -,- -,- -,- -,- -,- -,- -,- -,22615962
33,Cash and Short-Term Investments,- -,- -,- -,17442,14003,2572,1283,1200042,3675270,1090106,799730,808624,282241,19121,22771,22999,1022510,9942,2084262,2575620,357692,1725700,23139777
34,Net Receivables,- -,- -,- -,- -,- -,5296,5296,- -,- -,- -,- -,- -,- -,- -,- -,- -,248133,950805,546547,771899,308509,114740,104145
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,3000,3000,3000,- -,41150,20974,23195,22708,22708,- -,- -,48311,533609,366811,39225,-308509,-114740,- -
37,Total Current Assets,- -,- -,- -,17442,14003,10868,9579,1203042,3675270,1131256,820704,831819,304949,41829,22771,22999,1318954,1494356,2997620,3386744,357692,1725700,23243922
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,855900,689400,155713,425572,1139915,470273,48699520,98005892,38950760,38583935,33352502,21567023,11691130
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319516,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,50000,- -,229087,1541430,62500,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,50000,- -,229087,1541430,62500,50000,855900,689400,155713,425572,1139915,470273,48699520,98325408,38950760,38583935,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33756776,21941018,11988335
47,Total Assets,- -,- -,- -,17442,64003,10868,238666,2744472,3737770,1181256,1676604,1521219,460662,467401,1162686,493272,50018474,99819764,41948380,41970679,34114468,23666718,35232257
48,Accounts Payable,- -,- -,- -,199064,216630,316647,320105,417155,466112,60528,- -,- -,18800,102533,124193,19100,1396197,54486595,239021,209367,251704,89461,203645
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114740,104145
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1593,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24107,- -,- -,- -,42056,17996
52,Other Current Liabilities,- -,- -,- -,112377,109858,143858,200258,1323822,846758,- -,41138,19465,72220,47366,13000,12150,396714,1299636,252012,178232,69208,- -,- -
53,Total Current Liabilities,- -,- -,- -,311441,326488,460505,520363,1740977,1312870,60528,41138,19465,91020,149899,137193,31250,1792911,55810338,491033,387599,320912,246257,325786
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26806,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24107,23002,28129,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433479
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24107,49808,28129,- -,- -,433479
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513227,940921,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,311441,326488,460505,520363,1740977,1312870,60528,41138,19465,91020,149899,137193,31250,1792911,55834445,540841,415728,834139,1187178,759265
62,Preferred Stock,- -,- -,- -,500,500,500,500,500,500,500,500,500,500,500,500,500,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,6111793,6190562,7649567,8039567,- -,- -,- -,- -,- -,3633,3633,3633,8184567,120486,120486,120486,120486,120486,120486,120486
64,Retained Earnings,- -,- -,- -,-6406292,-6453547,-8099704,-8321764,-6623134,192126,-7256465,-6741727,-6875439,-8007551,-8421673,-8416787,-8329095,-9555537,-10053632,-9038078,-7998515,-9070468,- -,-879786
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,7626629,2232774,8377193,8377193,8377193,8373060,8735042,9438147,606050,57660614,53918465,50325131,49432980,42230311,22359054,759300
67,Total Stockholders Equity,- -,- -,- -,-293999,-262485,-449637,-281697,1003495,2424900,1120728,1635466,1501754,369642,317502,1025493,462022,48225563,43985319,41407539,41554951,33280329,22479540,34472992
68,Total Liabilities And Stockholders Equity,- -,- -,- -,17442,64003,10868,238666,2744472,3737770,1181256,1676604,1521219,460662,467401,1162686,493272,50018474,99819764,41948380,41970679,34114468,23666718,35232257
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,17442,64003,10868,238666,2744472,3737770,1181256,1676604,1521219,460662,467401,1162686,493272,50018474,99819764,41948380,41970679,34114468,23666718,35232257
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845385/000121390020007952/0001213900-20-007952-index.htm,https://www.sec.gov/Archives/edgar/data/845385/000121390021019194/0001213900-21-019194-index.htm,https://www.sec.gov/Archives/edgar/data/845385/000121390022016716/0001213900-22-016716-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-67327,-54802,-24849,-74550,-47255,-1646157,-222060,1698630,1324789,-134579,514737,-133711,-1131512,-52140,707991,-563471,-8848036,-4240844,-2577780,147412,-8274622,-675195,- -
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,26171,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,20517,-2771,-17746,-293999,-18486,-137152,-61147,-27151,2900335,-1291672,-291162,32788,-598425,-321999,-6352,106171,-465706,-53842025,56822569,492558,-2962365,1442663,21438693
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47570,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88350,1383447,692745,-881065,-29654,- -,-162243,114184
81,Other Working Capital,20517,17746,- -,-293999,-312485,-449637,-510784,-537935,2362400,1070728,779566,812354,213929,-108070,-114422,-8251,-473957,-54315982,2506587,2999145,36780,1479443,22918136
82,Other Non-Cash Items,42000,44901,42003,326371,-13948,1058573,306005,-1812974,-4687563,621406,-521802,-24135,1628200,387375,-663623,470528,-2791129,4831055,41971,-121806,9044353,600776,-22625522
83,Cash Provided by Operating Activities,-4810,-12672,-592,-42178,-79689,-724736,22798,-115324,-462439,-804845,-298227,-125058,-101737,13236,38016,13228,-12104871,-53251814,54286760,518164,-2192634,1368244,-1186829
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-229087,-30917,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,113159,1513856,259461,65553,35815,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-229087,-30917,113159,1513856,259461,64353,35815,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34366,-13000,- -,- -,-365000,-26806,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,54876,76250,661421,205000,145000,- -,- -,- -,- -,- -,- -,- -,- -,13104382,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,15000,3000,- -,- -,51884,- -,- -,413500,-650794,- -,- -,45419,2779,- -,- -,- -,52763253,-52371447,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,15000,3000,54876,76250,713305,205000,145000,413500,-650794,- -,- -,46019,2779,-34366,-13000,13104382,52763253,-52736447,-26806,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4810,2328,2408,12698,-3439,-11431,-1289,-1241,64220,58216,-38764,-60705,-19903,16015,3650,228,999511,-488561,1550313,491358,-2192634,1368244,-1186829
98,Cash at the End of Period,8,2336,4744,17442,14003,2572,1283,42,64262,122478,83714,23009,3106,19121,22771,22999,1022510,533949,2084262,2575620,382986,1751230,564401
99,Cash at the Beginning of Period,4818,8,2336,4744,17442,14003,2572,1283,42,64262,122478,83714,23009,3106,19121,22771,22999,1022510,533949,2084262,2575620,382986,1751230
100,Free Cash Flow,-4810,-12672,-592,-42178,-79689,-724736,22798,-115324,-462439,-804845,-298227,-125058,-101737,13236,38016,13228,-12104871,-53251814,54286760,518164,-2192634,1368244,-1186829
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845385/000121390020007952/0001213900-20-007952-index.htm,https://www.sec.gov/Archives/edgar/data/845385/000121390021019194/0001213900-21-019194-index.htm,https://www.sec.gov/Archives/edgar/data/845385/000121390022016716/0001213900-22-016716-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
