,https://roic.ai/company/BAND,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,32921000,14649000,15633000,21393000,27328000,62882000,65744000
53,Total Current Liabilities,59113000,30470000,24518000,32723000,45738000,92189000,93498000
54,Long-Term Debt,- -,37674000,- -,- -,- -,282196000,497398000
55,Deferred Revenue,589000,1712000,2549000,6424000,5720000,6386000,7634000
56,Deferred Tax Liabilities,617000,- -,- -,- -,- -,61005000,48396000
57,Other Non-Current Liabilities,83000,673000,716000,2503000,19868000,18909000,6018000
58,Total Non-Current Liabilities,1289000,40059000,3265000,8927000,25588000,368496000,559446000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,135000,165000,- -,- -,24744000,22900000,16942000
61,Total Liabilities,60402000,70529000,27783000,41650000,71326000,460685000,652944000
62,Preferred Stock,21818000,21818000,- -,- -,- -,- -,- -
63,Common Stock,12000,12000,17000,19000,24000,24000,25000
64,Retained Earnings,-54520000,-31742000,-25771000,-7848000,-5528000,-49505000,-76867000
65,Other Comprehensive Income/Loss,-24646000,-24896000,-29427000,-1000,41000,27941000,-13040000
66,Other Total Stockholders Equity,60080000,34252000,131892000,116600000,275553000,451463000,502477000
67,Total Stockholders Equity,2744000,-556000,76711000,108770000,270090000,429923000,412595000
68,Total Liabilities And Stockholders Equity,63146000,69973000,104494000,150420000,341416000,890608000,1065539000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,63146000,69973000,104494000,150420000,341416000,890608000,1065539000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1514416/000151441618000003/0001514416-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514416/000151441619000011/0001514416-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1514416/000151441620000027/0001514416-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/1514416/000151441622000040/0001514416-22-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1514416/000151441622000054/0001514416-22-000054-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-6700000,22358000,5971000,17923000,2494000,-43977000,-27362000
74,Depreciation and Amortization,7075000,6142000,5712000,5824000,13807000,21615000,42364000
75,Deferred Income Tax,304000,-11086000,6168000,-10833000,-17502000,14266000,-8318000
76,Stock Based Compensation,3493000,1370000,1803000,3339000,6626000,9881000,14537000
77,Change in Working Capital,383000,24545000,43161000,17957000,122520000,-79801000,-8004000
78,Accounts Receivable,-533000,-4043000,-4387000,-2784000,-6178000,-18832000,-6711000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1041000,243000,-2429000,-169000,1145000,315000,1992000
81,Other Working Capital,-26972000,-2427000,40734000,58691000,181211000,101410000,- -
82,Other Non-Cash Items,-8364000,-38175000,-48192000,-9577000,-129198000,82534000,27586000
83,Cash Provided by Operating Activities,-3809000,5154000,14623000,24633000,-1253000,4518000,40803000
84,CAPEX,-5102000,-6061000,-7963000,-14447000,-25759000,-14592000,-54629000
85,Acquisitions Net,- -,- -,- -,- -,- -,-400493000,- -
86,Purchases of Investments,- -,- -,- -,-35236000,-68361000,-230780000,- -
87,Sales/Maturities of Investments,- -,- -,- -,18000000,86467000,190780000,40000000
88,Other Investing Activites,-3011000,-2230000,-2942000,-2028000,-3544000,-2319000,13536000
89,Cash Used for Investing Activites,-5102000,-6061000,-7963000,-31683000,-7653000,-455085000,2833000
90,Debt Repayment,-32655000,-69052000,-49073000,-92000,- -,-28000,-212000
91,Common Stock Issued,129000,974000,74574000,11046000,147391000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-30000000,- -,- -,- -,- -,- -
94,Other Financing Activites,43564000,97025000,-1322000,-273000,5027000,346919000,207239000
95,Cash Used/Provided by Financing Activities,11038000,-1053000,24179000,10681000,152418000,346891000,207027000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-9000,109000,189000
97,Net Change In Cash,1267000,-3271000,30839000,3631000,143503000,-103567000,250852000
98,Cash at the End of Period,10059000,6788000,37627000,41501000,185004000,81437000,332289000
99,Cash at the Beginning of Period,8792000,10059000,6788000,37870000,41501000,185004000,81437000
100,Free Cash Flow,-8911000,-907000,6660000,10186000,-27012000,-10074000,-13826000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1514416/000151441618000003/0001514416-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514416/000151441619000011/0001514416-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1514416/000151441620000027/0001514416-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/1514416/000151441622000040/0001514416-22-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1514416/000151441622000054/0001514416-22-000054-index.htm
102,false,,,,,,,
