,https://roic.ai/company/GENH,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,215267,226349,6029328,23,1
64,Retained Earnings,-80256,-144305,-190115,-194905,-334387,-344863,-363870,-400356,-425661,-16722036,- -,-28118
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-8378,-34403,-58246,- -,- -,-32322,- -,- -
66,Other Total Stockholders Equity,92198,123778,153778,153778,320121,346146,369989,115476,96476,3459268,-7701230,28909
67,Total Stockholders Equity,11942,-20527,-36337,-41127,-22644,-33120,-52127,-69613,-102836,-2290259,-2725704,792
68,Total Liabilities And Stockholders Equity,14982,106,9688,14205,906198,890572,884042,852570,842766,2726874,-2719549,5555
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184551,2723548,592
70,Total Liabilities & Equity,14982,106,9688,14205,906198,890572,884042,852570,842766,2542323,3999,6146
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527102/000107997419000164/0001079974-19-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1527102/000121390020042822/0001213900-20-042822-index.htm,https://www.sec.gov/Archives/edgar/data/1527102/000121390021019142/0001213900-21-019142-index.htm,https://www.sec.gov/Archives/edgar/data/1527102/000121390022019464/0001213900-22-019464-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-24464,-64049,-45810,-4790,-139482,-10476,-19007,-36486,-25305,-7908939,-1553349,-9824975
74,Depreciation and Amortization,- -,- -,- -,- -,8378,26025,23843,22646,21986,15609,71000,1340425
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4543619
77,Change in Working Capital,1320,-32469,-15810,-4790,-25195,700,-7244,-24930,-782433,-3850742,4727762,-991
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75470
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212518
80,Accounts Payable,1320,6075,6844,-9648,3151,-9462,18336,2681,-9672,- -,- -,85939
81,Other Working Capital,11942,-20527,-36337,-41127,-66322,-65622,-72866,-97796,-880229,-4730971,-3209,-4201
82,Other Non-Cash Items,21820,77124,47497,14377,63595,6200,37266,46988,818834,10230601,-4110616,444898
83,Cash Provided by Operating Activities,-1324,-19394,-14123,4797,-92704,22449,34858,8218,33082,-1513471,-865203,-3497024
84,CAPEX,- -,- -,- -,- -,-875925,-1584,-940,- -,- -,-136584,- -,-77715
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,291,- -,-1525470
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34847
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16333,- -,-77715
89,Cash Used for Investing Activites,- -,- -,- -,- -,-875925,-1584,-940,- -,- -,-152626,- -,-1568338
90,Debt Repayment,- -,- -,- -,- -,-9578,-14003,-13265,-10790,-11120,-5288,- -,- -
91,Common Stock Issued,- -,- -,30000,- -,149600,- -,- -,- -,- -,125000,50000,925000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16500
94,Other Financing Activites,- -,11518,-6575,- -,851250,1500,-5661,-8193,-7695,1220770,3458575,1401093
95,Cash Used/Provided by Financing Activities,- -,11518,23425,- -,991272,-12503,-18926,-18983,-18815,1340482,3508575,2309593
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1324,-7876,9302,4797,22643,8362,14992,-10765,14267,-325615,2675088,-2755769
98,Cash at the End of Period,7982,106,9408,14205,36848,45210,60202,49437,63704,101337,2776425,20656
99,Cash at the Beginning of Period,9306,7982,106,9408,14205,36848,45210,60202,49437,426952,101337,2776425
100,Free Cash Flow,-1324,-19394,-14123,4797,-968629,20865,33918,8218,33082,-1650055,-865203,-3574739
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527102/000107997419000164/0001079974-19-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1527102/000121390020042822/0001213900-20-042822-index.htm,https://www.sec.gov/Archives/edgar/data/1527102/000121390021019142/0001213900-21-019142-index.htm,https://www.sec.gov/Archives/edgar/data/1527102/000121390022019464/0001213900-22-019464-index.htm
102,false,,,,,,,,,,,,
