,https://roic.ai/company/SGMA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/915358/000095013707010412/0000950137-07-010412-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095013708009474/0000950137-08-009474-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095012309023091/0000950123-09-023091-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095012310065935/0000950123-10-065935-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095012311066521/0000950123-11-066521-index.html,https://www.sec.gov/Archives/edgar/data/915358/000119312512355821/d364598d10k.htm,https://www.sec.gov/Archives/edgar/data/915358/000119312513303817/0001193125-13-303817-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535814000012/0000915358-14-000012-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535815000015/0000915358-15-000015-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535816000038/0000915358-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535817000014/0000915358-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535818000015/0000915358-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535819000010/sgma-20190430x10k.htm,https://www.sec.gov/Archives/edgar/data/915358/000091535820000013/0000915358-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/915358/000091535821000017/0000915358-21-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,300000,300000,300000,2500,2500,344880,383739,5145814,184014,3269925,2769653,3833627,3781252,4052572,4138102,4668931,4607731,5440319,2868217,4325268,3493324,1721599,1005810,6779445,3509229
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,300000,300000,300000,2500,2500,344880,383739,5145814,184014,3269925,2769653,3833627,3781252,4052572,4138102,4668931,4607731,5440319,2868217,4325268,3493324,1721599,1005810,6779445,3509229
34,Net Receivables,- -,- -,- -,8800000,12000000,13600000,11371758,11077799,9669269,12335555,13342108,14458974,18555712,20504063,26786335,17126389,25101565,24250520,28620533,20173546,19650537,20656808,19988466,28996264,29429586,34523010,35147040,38651199
35,Inventory,- -,- -,- -,17700000,19000000,16200000,17775199,17708733,12052390,12883496,14168357,21468506,31250050,40849791,42146770,36230555,37406056,45021840,37838378,50644741,53728377,68669709,67649022,73571238,86929793,85579575,87179369,98078601
36,Other Current Assets,- -,- -,- -,1900000,900000,4500000,866716,1858823,804067,989918,3317678,1597894,2286843,2540449,2492614,2484336,2772739,2422260,3011288,3513489,4351247,4282545,2128128,2971087,1948748,2436894,1510943,1314834
37,Total Current Assets,- -,- -,- -,28700000,32200000,34600000,30016173,30647855,22870606,26592708,35973957,37709388,55362530,66663956,75259346,59622532,69332932,75832722,74139130,78939507,83170480,96477279,94090884,109031913,120029726,123545289,130616797,141553863
38,PP&E,- -,- -,- -,10300000,11200000,13400000,13327430,13762439,12581595,13626187,25707901,26689940,30544307,30971107,29354623,26200578,25176664,26189150,24373494,28567052,32692908,33864527,33080858,33008714,35288997,33232769,33935760,47202904
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9298945,9298945,- -,- -,- -,- -,- -,3222899,3222899,3222899,3222899,3222899,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,756959,2186350,1461772,958069,608887,363671,199675,86925,5949434,5602754,5174144,4703245,4213235,3088085,2713360,2350949,1996749
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,756959,11485295,10760717,958069,608887,363671,199675,86925,9172333,8825653,8397043,7926144,7436134,3088085,2713360,2350949,1996749
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233057,236087,1109681,384022,284435,1647143
44,Other Non-Current Assets,- -,- -,- -,3100000,5200000,7300000,5997289,6525496,5398794,4887099,1316814,1386770,1548240,1006126,1034155,699379,822341,645864,547334,910025,790390,1319901,1531315,1472816,1713481,1589325,8891090,1772748
45,Total Non-Current Assets,- -,- -,- -,13400000,16400000,20700000,19324719,20287935,17980389,18513286,27024715,28833669,43577842,42737950,31346847,27508844,26362676,27034689,25007753,38649410,42308951,43581471,42771374,42153751,41200244,37919476,45462234,52619544
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,42100000,48600000,55300000,49340892,50935790,40850995,45105994,62998672,66543057,98940372,109401906,106606193,87131376,95695608,102867411,99146883,117588917,125479431,140058750,136862258,151185664,161229970,161464765,176079031,194173407
48,Accounts Payable,- -,- -,- -,4000000,7700000,9300000,7716044,8570659,5260132,7331080,7475026,7395111,13444928,15473660,19722175,10531553,20479495,18830629,20233521,31347354,27141079,35838275,37011786,44859344,49326402,45627014,55770953,62656451
49,Short-Term Debt,- -,- -,- -,1400000,2200000,2300000,1893486,18019027,921444,1052431,1070436,1367766,2838485,3218529,2922866,1140250,260990,260990,126828,99996,2126017,165000,165000,351562,655190,691701,2878160,12161454
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1331504
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150594,187889,220288,201349,139509,- -,423971
52,Other Current Liabilities,- -,- -,- -,1700000,1600000,2300000,1916815,2102245,2531860,5559548,4540744,4353201,4746056,5098519,5436360,4383382,6424645,5164231,4570133,6681809,7731400,7254717,8621634,10180020,9195545,9148542,11398928,10073373
53,Total Current Liabilities,- -,- -,- -,7100000,11500000,13900000,11526345,28691931,8713436,13943059,13086206,13116078,21029469,23790708,28081401,16055185,27165130,24255850,24930482,38129159,36998496,43408586,45986309,55611214,59378486,55606766,70048041,85315249
54,Long-Term Debt,- -,- -,- -,17200000,18800000,20900000,16470393,- -,9234015,3108417,6704673,4586786,24752988,30207387,30537692,22267884,17687889,24301841,18175013,20575017,24198500,31252793,23685069,27192246,36783879,42710954,38537064,46438922
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,722559,735616,1096272,1176121,999929,795289,555348,331251,179059,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,800000,800000,1200000,1277015,1347563,1225079,1185061,1265714,1668909,2458759,2537493,2446449,1915649,2610142,2799403,3477819,2946710,3217660,2550236,1355620,1361291,- -,161583,188206,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-100000,- -,- -,1984921,1225034,905995,299536,1239190,2804345,3125297,2125692,1490773,569240,1044181,806882,2858028,4482311,5161819,4964093,4593420,5926403,4518954,8429921,1870175
58,Total Non-Current Liabilities,- -,- -,- -,18000000,19500000,22100000,17747408,3332484,11684128,5199473,8269923,7494885,30016092,35870177,35109833,25674306,20867271,28867984,23195330,27476027,33074592,39964777,30800071,33702305,43041533,47570550,47155191,48309097
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,905995,299536,1239190,2804345,3125297,2125692,2442756,1443356,1876443,1026339,806882,3188962,4647545,4592656,5076029,6618384,4802158,11218989,15954493
61,Total Liabilities,- -,- -,- -,25100000,31000000,36000000,29273753,32024415,20397564,19142532,21356129,20610963,51045561,59660885,63191234,41729491,48032401,53123834,48125812,65605186,70073088,83373363,76786380,89313519,102420019,103177316,117203232,133624346
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,28812,28812,28812,29340,37510,37554,37870,37950,38226,38226,38226,38643,39096,39779,40215,40703,41560,41702,41896,42146,42265,42560
64,Retained Earnings,- -,- -,- -,7600000,8100000,9800000,10601773,9446009,10988065,16373781,22108721,26807520,28689652,30387967,23777232,25733079,27977622,29955656,31089979,31582940,34501631,35405043,37487702,38877908,35636038,34770924,35214021,36755040
65,Other Comprehensive Income/Loss,- -,- -,- -,-3400000,-4600000,-6100000,-7916390,-9910474,-11816084,-12684845,-20123520,-23372574,-25309559,-29343177,-33130257,-36716817,-40623589,-43944834,-47870567,-46463475,-51138234,-55472475,-60499811,-64733219,-69290803,-74222024,-78984547,-81502867
66,Other Total Stockholders Equity,- -,- -,- -,12800000,14100000,15600000,17352944,19347028,21252638,22245186,39180045,42459594,44476848,48658281,52729758,56347397,60270948,63694112,67762563,66824487,72002731,76712116,83046427,87685754,92422820,97696403,102604060,105254328
67,Total Stockholders Equity,- -,- -,- -,17000000,17600000,19300000,20067139,18911375,20453431,25963462,41202756,45932094,47894811,49741021,43414959,45401885,47663207,49743577,51021071,51983731,55406343,56685387,60075878,61872145,58809951,58287449,58875799,60549061
68,Total Liabilities And Stockholders Equity,- -,- -,- -,42100000,48600000,55300000,49340892,50935790,40850995,45105994,62558885,66543057,98940372,109401906,106606193,87131376,95695608,102867411,99146883,117588917,125479431,140058750,136862258,151185664,161229970,161464765,176079031,194173407
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439787,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,42100000,48600000,55300000,49340892,50935790,40850995,45105994,62998672,66543057,98940372,109401906,106606193,87131376,95695608,102867411,99146883,117588917,125479431,140058750,136862258,151185664,161229970,161464765,176079031,194173407
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/915358/000095013707010412/0000950137-07-010412-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095013708009474/0000950137-08-009474-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095012309023091/0000950123-09-023091-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095012310065935/0000950123-10-065935-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095012311066521/0000950123-11-066521-index.html,https://www.sec.gov/Archives/edgar/data/915358/000119312512355821/d364598d10k.htm,https://www.sec.gov/Archives/edgar/data/915358/000119312513303817/0001193125-13-303817-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535814000012/0000915358-14-000012-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535815000015/0000915358-15-000015-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535816000038/0000915358-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535817000014/0000915358-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535818000015/0000915358-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535819000010/sgma-20190430x10k.htm,https://www.sec.gov/Archives/edgar/data/915358/000091535820000013/0000915358-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/915358/000091535821000017/0000915358-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1900000,1900000,2400000,3300000,500000,1700000,766647,-1155764,1542056,5385716,5405732,4698799,1882132,1698324,-6456836,1955847,2244543,1978034,1134324,492961,2918691,903412,2082659,1390206,-3241870,-865114,443102,1541019
74,Depreciation and Amortization,400000,600000,800000,1100000,1300000,1500000,1799065,1994084,1905611,2540747,2682530,3249055,4231543,4758197,4507811,4384986,4252242,4604422,4182694,4654888,5138343,5413882,5590275,5198886,5553340,5382165,7397719,7668397
75,Deferred Income Tax,300000,- -,-100000,400000,- -,500000,-104799,-118712,114704,69780,-1607756,1876218,-358435,-215438,-490787,-518981,410730,533534,337580,-321167,-623233,-321610,751505,2641,-2234885,887242,126210,-1550914
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31079,16779,9657,2414,189305,89219,59648,588245,332783,83659,166612,90432,- -
77,Change in Working Capital,-3300000,- -,- -,21600000,-900000,- -,-2210172,-16533904,12201246,-1507521,10238102,1705559,9739751,8540187,4304697,-3610598,-1399545,9409070,-2368224,-8398300,5361636,6896709,-4964118,5316124,7230541,7287283,-7369767,-4330142
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9944685,-8144893,1374307,-4381326,-5242863,127461,-913776,1438964,-8812643,-1716793,-5134297,540436,2021815
79,Inventory,-1300000,-3600000,-5600000,-2800000,-1300000,2700000,-1584697,66466,5777843,-831106,109594,-6980704,-6121916,-10075504,-1774698,5759215,-1358301,-7615784,7147110,-5615748,-3083636,-14412734,1020687,-6222216,-13415555,1081984,-1821293,-12072227
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9190622,9491228,-241294,1402892,9254671,-4206275,8697196,1173511,7847558,3166007,-3699388,10143939,6885498
81,Other Working Capital,- -,- -,- -,21600000,20700000,20700000,18489828,1955924,14157170,12649649,22887751,24593310,34333061,42873248,47177945,43567347,42167802,51576872,49208648,40810348,46171984,53068693,48104575,53420699,60651240,67938523,60568756,56238614
82,Other Non-Cash Items,100000,-4100000,-4600000,-24900000,-300000,-200000,3539375,16603320,-6073016,3324811,-12535469,-10192550,-13497847,-17090117,2298584,8601932,2536287,-16719784,6519522,7133944,-11187825,-15733721,9081881,-12294401,-12107869,-14477688,14766598,4770586
83,Cash Provided by Operating Activities,-600000,-1600000,-1500000,1500000,600000,3500000,3790116,789024,9690601,9813533,4183139,1337081,1997144,-2308847,4163469,10844265,8061036,-185067,9808310,3751631,1696831,-2781680,13130447,-53761,-4717084,-1619500,15454294,8098946
84,CAPEX,-1100000,-1600000,-2300000,-3000000,-900000,-3800000,-1691706,-1509625,-724766,-1636621,-9231061,-3816935,-6372467,-2298240,-2400020,-820705,-2578873,-4920081,-2307143,-7171043,-8366039,-4802389,-3165083,-3505486,-3731370,-2361629,-4646325,-4747316
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-400000,100000,400000,1600000,500000,2453235,- -,- -,1282,- -,-1338858,116184,- -,12396,18052,1233830,- -,- -,164597,- -,- -,115140,- -,- -,- -,-768500,-5481500
89,Cash Used for Investing Activites,-1100000,-2000000,-2200000,-2600000,700000,-3300000,761529,-1509625,-724766,-1635339,-9231061,-5155793,-21256283,-2298240,-2387624,-802653,-1345043,-4920081,-2307143,-6006446,-8366039,-4802389,-3049943,-3505486,-3731370,-2361629,-5414825,-10228816
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10093987,-10688794,-2612273,-7111094,-346285,-613853,-162288277,-203355635,-92763946,-15994438,-330253584,-334465075,-378322728
91,Common Stock Issued,4500000,- -,- -,500000,- -,- -,- -,- -,- -,124315,4318865,17774,80587,17600,253092,- -,- -,92679,99656,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2000000,3600000,3800000,1000000,-1300000,-200000,-4829216,720601,-8623455,-8263650,5450027,-1160862,22264463,4089215,-964963,- -,4244121,7710272,41100,2539900,8115649,167300244,194732182,95491249,22671167,333518924,330199241,377182382
95,Cash Used/Provided by Financing Activities,1600000,3600000,3800000,1500000,-1300000,-200000,-4829216,720601,-8623455,-8139335,9768892,-1143088,22345050,4106815,-711871,-10093987,-6444673,5190678,-6970338,2193615,7501796,5011967,-8623453,2727303,6676729,3265340,-4265834,-1140346
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1600000,3600000,3800000,- -,- -,- -,-277571,- -,342380,38859,4720970,-4961800,3085911,-500272,1063974,-52375,271320,85530,530829,-61200,832588,-2572102,1457051,-831944,-1771725,-715789,5773635,-3270216
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,2500,2500,344880,383739,5145814,184014,3269925,2769653,3833627,3781252,4052572,4138102,4668931,4607731,5440319,2868217,4325268,3493324,1721599,1005810,6779445,3509229
99,Cash at the Beginning of Period,- -,- -,- -,- -,300000,300000,280071,2500,2500,344880,424844,5145814,184014,3269925,2769653,3833627,3781252,4052572,4138102,4668931,4607731,5440319,2868217,4325268,3493324,1721599,1005810,6779445
100,Free Cash Flow,-1700000,-3200000,-3800000,-1500000,-300000,-300000,2098410,-720601,8965835,8176912,-5047922,-2479854,-4375323,-4607087,1763449,10023560,5482163,-5105148,7501167,-3419412,-6669208,-7584069,9965364,-3559247,-8448454,-3981129,10807969,3351630
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/915358/000095013707010412/0000950137-07-010412-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095013708009474/0000950137-08-009474-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095012309023091/0000950123-09-023091-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095012310065935/0000950123-10-065935-index.html,https://www.sec.gov/Archives/edgar/data/915358/000095012311066521/0000950123-11-066521-index.html,https://www.sec.gov/Archives/edgar/data/915358/000119312512355821/d364598d10k.htm,https://www.sec.gov/Archives/edgar/data/915358/000119312513303817/0001193125-13-303817-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535814000012/0000915358-14-000012-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535815000015/0000915358-15-000015-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535816000038/0000915358-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535817000014/0000915358-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535818000015/0000915358-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/915358/000091535819000010/sgma-20190430x10k.htm,https://www.sec.gov/Archives/edgar/data/915358/000091535820000013/0000915358-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/915358/000091535821000017/0000915358-21-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
