,https://roic.ai/company/POAI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15690290,2813792,6857790
40,Intangible Assets,142145,141532,141532,140588,140588,53355,73183,94987,97867,- -,964495,3649412,3398101,3962118
41,Intangible Assets,142145,141532,141532,140588,140588,53355,73183,94987,97867,95356,964495,19339702,6211893,10819908
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1070000,1112524,- -,- -,167065
45,Total Non-Current Assets,153834,150792,148363,145188,144109,211465,269662,234585,199363,1253072,2257472,21577246,10034593,14312998
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,788979,290295,165872,446220,369577,593426,900977,5632419,2807546,3624254,3708999,22375510,11548828,43771271
48,Accounts Payable,497150,814137,768720,731135,733595,1062108,2194518,650413,220112,140462,445689,3155641,1372070,1021774
49,Short-Term Debt,- -,73620,66267,1055559,1081187,280000,937424,- -,- -,- -,1634914,4795800,4431925,639662
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,69000,5000,5000,7998,6663,23065,40384,53028,186951
52,Other Current Liabilities,502868,556614,498707,566574,1599519,2057957,3066379,864295,1346105,785215,1551859,2882103,3479898,1392121
53,Total Current Liabilities,1000018,1444371,1333694,2353268,3414301,3469065,6203321,1519708,1574215,932340,3655527,10873928,9336921,3240508
54,Long-Term Debt,98406,116108,1006789,630153,89300,- -,- -,- -,- -,- -,- -,- -,- -,239664
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1071847,14946,166063,169179,342815,213883,- -,309649,- -,- -,270264,235705,25415
58,Total Non-Current Liabilities,98406,1187955,1021735,796216,258479,342815,213883,- -,309649,- -,- -,270264,235705,265079
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1316539,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,729745,1442598,- -
61,Total Liabilities,1098424,2632326,2355429,3149484,3672780,3811880,6417204,1519708,1883864,932340,3655527,11144192,10417755,3505587
62,Preferred Stock,- -,- -,- -,- -,- -,- -,206,18950,792,7271,792,35795,792,- -
63,Common Stock,81308,113831,140023,320740,1042473,2199376,30927,52063,45644,69432,140917,40567,198048,656146
64,Retained Earnings,-3143792,-6029368,-7382077,-11868956,-19291111,-28697415,-35641105,-40492437,-47018451,-54765045,-63107945,-82498711,- -,-128040282
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-16909,-78967,-144079,-214897,-273770,-358765,-771574,- -,- -
66,Other Total Stockholders Equity,2753039,3573506,5052497,8844952,14945435,23296494,30172712,44678214,48110594,57654026,63378473,94425241,2443841,167649820
67,Total Stockholders Equity,-309445,-2342031,-2189557,-2703264,-3303203,-3218454,-5516227,4112711,923682,2691914,53472,11231318,2642681,40265684
68,Total Liabilities And Stockholders Equity,788979,290295,165872,446220,369577,593426,900977,5632419,2807546,3624254,3708999,22375510,13060436,43771271
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1511608,- -
70,Total Liabilities & Equity,788979,290295,165872,446220,369577,593426,900977,5632419,2807546,3624254,3708999,22375510,11548828,43771271
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1446159/000114420410017078/0001144204-10-017078-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420411018918/0001144204-11-018918-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420412021628/0001144204-12-021628-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420413016910/0001144204-13-016910-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420414018035/0001144204-14-018035-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420415026613/0001144204-15-026613-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184316008621/0001171843-16-008621-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184317001534/0001171843-17-001534-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184318002453/0001171843-18-002453-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184319002131/0001171843-19-002131-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184320002217/0001171843-20-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184321001786/0001171843-21-001786-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184322002237/0001171843-22-002237-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-1762628,-2892230,-1352709,-4486879,-7422155,-9406304,-6833568,-4790530,-6526014,-7746593,-10086477,-19390766,-25884397,-19657174
74,Depreciation and Amortization,569,3042,2429,3175,1079,148761,63040,78566,82356,71562,147628,704883,1024848,1340301
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,355124,- -,- -,- -,- -,- -,871877,- -,4042256,- -,- -,- -,- -
77,Change in Working Capital,250405,-939995,-11317,-736051,-1136597,101729,-2484902,9450132,-2844158,404874,-3642842,-7871664,2252978,34040451
78,Accounts Receivable,- -,-15737,15737,-50294,10583,-57534,39696,19266,-636,-98580,-95103,143316,-1290000,-20769
79,Inventory,- -,- -,- -,-97605,-47604,23034,-245192,135627,-40468,7163,23979,91114,-94715,-98149
80,Accounts Payable,290003,316987,411883,71714,421104,429033,1132410,-1544105,-430301,-79650,305227,365772,-1656158,-350296
81,Other Working Capital,-364873,-1304868,-1316185,-2052236,-3188833,-3087104,-5572006,3878126,1033968,1438842,-2204000,-10075664,-7822686,26217765
82,Other Non-Cash Items,611126,2164074,540917,3438124,7373508,5300648,5884017,-13097338,4906376,-1231849,8293735,17825096,10348839,-27932507
83,Cash Provided by Operating Activities,-900528,-1309985,-820680,-1781631,-1184165,-3855166,-3371413,-7487293,-4381440,-4459750,-5287956,-8732451,-12257732,-12208929
84,CAPEX,-41857,- -,- -,- -,- -,-216116,-121237,-60565,-44747,-55272,-232003,-26607,-298379,-910429
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-850000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,571887,284665,244971,- -,- -,- -
88,Other Investing Activites,-29599,- -,- -,- -,- -,-53355,-19828,-28095,-111987,-1892662,-1177890,-593199,130923,-9697107
89,Cash Used for Investing Activites,-41857,- -,- -,- -,- -,-216116,-121237,-60565,-422860,-1653090,-1110651,-599087,-167456,-10607536
90,Debt Repayment,-28125,-183581,-114334,-16267,-150000,- -,-305000,-933074,- -,- -,- -,-1154513,-1472389,-4162744
91,Common Stock Issued,1593502,625000,219632,1386000,695794,2337378,157081,13051830,1712158,3814938,2959509,5642214,1935855,50523527
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11526
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-163333,421360,708133,525500,528525,1822718,3555000,268950,- -,1300001,2835061,4832516,12489223,3991491
95,Cash Used/Provided by Financing Activities,1402044,862779,813431,1895233,1074319,4160096,3407081,12387706,1712158,5114939,5794570,9320217,12952689,50340748
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,459659,-447206,-7249,113602,-109846,88814,-85569,4839848,-3092142,-997901,-604037,-11321,527501,27524283
98,Cash at the End of Period,463838,16632,9383,122985,13139,101953,16384,4856232,1764090,766189,162152,150831,678332,28202615
99,Cash at the Beginning of Period,4179,463838,16632,9383,122985,13139,101953,16384,4856232,1764090,766189,162152,150831,678332
100,Free Cash Flow,-942385,-1309985,-820680,-1781631,-1184165,-4071282,-3492650,-7547858,-4426187,-4515022,-5519959,-8759058,-12556111,-13119358
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1446159/000114420410017078/0001144204-10-017078-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420411018918/0001144204-11-018918-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420412021628/0001144204-12-021628-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420413016910/0001144204-13-016910-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420414018035/0001144204-14-018035-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420415026613/0001144204-15-026613-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184316008621/0001171843-16-008621-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184317001534/0001171843-17-001534-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184318002453/0001171843-18-002453-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184319002131/0001171843-19-002131-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184320002217/0001171843-20-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184321001786/0001171843-21-001786-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184322002237/0001171843-22-002237-index.htm
102,false,,,,,,,,,,,,,,
