,https://roic.ai/company/REED,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2404000,2414000,2400000,98000,106000,476000,490000,1343000,383000,839000,745000,555000
58,Total Non-Current Liabilities,1234163,1294114,1312931,821362,765753,1747000,2475000,2414000,2976000,2705000,2735000,4156000,6343000,8625000,5323000,5000000,5434000,726000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,2468000,2508000,280000,167000,185000,601000,643000,621000,434000,852000,786000,685000
61,Total Liabilities,3775460,4128703,4763200,4090061,2847845,5142000,5593000,7734000,9050000,9738000,11362000,13448000,19066000,20509000,23968000,19235000,14845000,9653000
62,Preferred Stock,- -,589402,589402,589402,481212,471000,1674000,1324000,1270000,560000,94000,94000,94000,94000,94000,94000,94000,94000
63,Common Stock,472,472,503,714,874,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,3000,5000,9000
64,Retained Earnings,-1670786,-2403638,-3259063,-5502142,-11081141,-14919000,-17501000,-18884000,-19890000,-20459000,-21984000,-22743000,-26709000,-31723000,-50101000,-60431000,-76548000,-86730000
65,Other Comprehensive Income/Loss,-293778,-390363,-508136,-663251,-867769,-1150000,-727000,-1178000,-1739000,-2351000,-2796000,-3405000,-4216000,-4863000,-9339000,-342000,-482000,- -
66,Other Total Stockholders Equity,2723602,3173827,3326289,10198365,18706285,19558000,20930000,22879000,24663000,26347000,28072000,29705000,31615000,34834000,59852000,53933000,78078000,97031000
67,Total Stockholders Equity,759510,969700,148995,4623088,7239461,3961000,4377000,4142000,4305000,4098000,3387000,3652000,785000,-1657000,508000,-6743000,1147000,10404000
68,Total Liabilities And Stockholders Equity,4534970,5098403,4912195,8713149,10087306,9103000,9970000,11876000,13355000,13836000,14749000,17100000,19851000,18852000,24476000,12492000,15992000,20057000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4534970,5098403,4912195,8713149,10087306,9103000,9970000,11876000,13355000,13836000,14749000,17100000,19851000,18852000,24476000,12492000,15992000,20057000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1140215/000114420406029865/0001144204-06-029865-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000114420407018700/0001144204-07-018700-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000114420408022273/0001144204-08-022273-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968709001053/0001019687-09-001053-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968710001176/0001019687-10-001176-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968711000925/0001019687-11-000925-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968712001062/0001019687-12-001062-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968713000980/0001019687-13-000980-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315214000826/0001493152-14-000826-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315215001040/0001493152-15-001040-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315216008215/0001493152-16-008215-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315217004310/0001493152-17-004310-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315218004464/0001493152-18-004464-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315219004430/0001493152-19-004430-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315220004211/0001493152-20-004211-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315221007217/0001493152-21-007217-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-774367,-479371,-825955,-2213609,-5551229,-3814000,-2559000,-1310000,-941000,-524000,-1520000,-754000,-3961000,-5009000,-18373000,-10325000,-16112000,-10177000
74,Depreciation and Amortization,124203,97329,118517,155860,205262,355000,469000,616000,653000,738000,550000,755000,933000,642000,551000,108000,152000,204000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,198000,389000,107000,327000,396000,877000,658000,276000,1161000,790000,1176000
77,Change in Working Capital,-63416,-94988,-910111,4429698,107969,-2306909,1401000,-207000,825000,-357000,-951000,860000,-1477000,-2293000,3866000,-5600000,8182000,4643000
78,Accounts Receivable,- -,- -,- -,- -,- -,264000,38000,-444000,-361000,-599000,-107000,-428000,-497000,509000,-551000,61000,757000,-2478000
79,Inventory,43262,-3665,93006,-303211,-1517220,191000,-37000,-1671000,-1544000,305000,-499000,-13000,-1621000,1089000,560000,-1157000,-3575000,-159000
80,Accounts Payable,- -,- -,- -,- -,- -,-68000,-638000,1632000,-276000,1058000,244000,2282000,1564000,-1499000,1521000,-1762000,-182000,1390000
81,Other Working Capital,-589659,-684647,-1594758,2834940,2942909,636000,2037000,1830000,2655000,2298000,1347000,2207000,730000,-1563000,2303000,-3297000,4885000,9528000
82,Other Non-Cash Items,431468,301010,1574939,-5375276,-568185,3297909,-628000,-108000,-3190000,1213000,401000,-241000,2280000,3469000,10258000,5398000,-11173000,-5342000
83,Cash Provided by Operating Activities,-282112,-176020,-42610,-3003327,-5806183,-2468000,-1317000,-811000,-2264000,1177000,-1193000,1016000,-1348000,-2533000,-3422000,-9258000,-18161000,-9496000
84,CAPEX,-148255,-204147,-181654,-64924,-2650807,-191000,-356000,-383000,-356000,-507000,-602000,-330000,-532000,-410000,-813000,-159000,-322000,-161000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-44040,-33013,-1580456,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1101000,45000,-39000
89,Cash Used for Investing Activites,-148255,-248187,-214667,-1645380,-2950807,-191000,-356000,-383000,-356000,-507000,-602000,-330000,-532000,-410000,-813000,942000,-277000,-161000
90,Debt Repayment,- -,- -,- -,- -,- -,-800000,-3208000,-176000,-2537000,-353000,-324000,-338000,-272000,-709000,-1103000,-50716000,-58875000,-58908000
91,Common Stock Issued,10500,334400,196575,7004611,7791393,- -,713000,432000,672000,- -,- -,- -,- -,2230000,13087000,- -,22341000,16564000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,408055,119365,45958,-744731,69399,2945000,5245000,716000,4114000,133000,2060000,-493000,3009000,57000,3927000,47529000,55261000,51683000
95,Cash Used/Provided by Financing Activities,418555,453765,242533,6259880,7860792,2145000,2750000,972000,2249000,-220000,1736000,-831000,2737000,1578000,15911000,-3187000,18727000,9339000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-11812,29558,-14744,1611173,-896198,-514000,1077000,-222000,-371000,450000,-59000,-145000,857000,-1365000,11676000,-11503000,289000,-318000
98,Cash at the End of Period,12930,42488,27744,1638917,742719,229000,1306000,1084000,713000,1163000,1104000,959000,1816000,451000,12127000,624000,913000,595000
99,Cash at the Beginning of Period,24742,12930,42488,27744,1638917,743000,229000,1306000,1084000,713000,1163000,1104000,959000,1816000,451000,12127000,624000,913000
100,Free Cash Flow,-430367,-380167,-224264,-3068251,-8456990,-2659000,-1673000,-1194000,-2620000,670000,-1795000,686000,-1880000,-2943000,-4235000,-9417000,-18483000,-9657000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1140215/000114420406029865/0001144204-06-029865-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000114420407018700/0001144204-07-018700-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000114420408022273/0001144204-08-022273-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968709001053/0001019687-09-001053-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968710001176/0001019687-10-001176-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968711000925/0001019687-11-000925-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968712001062/0001019687-12-001062-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968713000980/0001019687-13-000980-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315214000826/0001493152-14-000826-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315215001040/0001493152-15-001040-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315216008215/0001493152-16-008215-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315217004310/0001493152-17-004310-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315218004464/0001493152-18-004464-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315219004430/0001493152-19-004430-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315220004211/0001493152-20-004211-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315221007217/0001493152-21-007217-index.htm
102,false,,,,,,,,,,,,,,,,,,
