,https://roic.ai/company/HUN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,298100000,1039300000,1253900000,1309200000,1520100000,1451900000,1500000000,1184000000,1396000000,1539000000,1819000000,1741000000,2025000000,1692000000,1344000000,1073000000,1134000000,914000000,848000000,1201000000
36,Other Current Assets,- -,- -,52000000,173100000,161600000,161400000,296000000,226600000,170000000,192000000,167000000,319000000,330000000,323000000,447000000,436000000,362000000,3153000000,212000000,1363000000,217000000,167000000
37,Total Current Assets,- -,- -,768800000,2512900000,3199100000,3096000000,3336600000,3095200000,3240000000,4140000000,4008000000,3946000000,4119000000,4159000000,5039000000,3834000000,3555000000,5979000000,2958000000,3755000000,3568000000,3928000000
38,PP&E,- -,- -,1287200000,5079300000,5150900000,4643200000,4059400000,3762600000,3649000000,3516000000,3605000000,3622000000,3745000000,3824000000,4423000000,4446000000,4212000000,3098000000,3064000000,2779000000,2950000000,2979000000
39,Goodwill,- -,- -,3300000,3300000,- -,- -,90200000,92500000,92000000,94000000,94000000,114000000,117000000,131000000,122000000,116000000,121000000,140000000,275000000,276000000,533000000,650000000
40,Intangible Assets,- -,- -,39600000,316800000,248900000,307500000,187600000,173200000,153000000,125000000,105000000,91000000,68000000,87000000,95000000,86000000,66000000,56000000,219000000,197000000,453000000,469000000
41,Intangible Assets,- -,- -,42900000,320100000,248900000,307500000,277800000,265700000,245000000,219000000,199000000,205000000,185000000,218000000,217000000,202000000,187000000,196000000,494000000,473000000,986000000,1119000000
42,Investments,- -,- -,242900000,158000000,- -,176000000,201000000,228000000,267000000,250000000,234000000,202000000,238000000,285000000,350000000,365000000,350000000,266000000,526000000,535000000,405000000,470000000
43,Tax Assets,- -,- -,- -,28800000,34500000,94200000,190400000,349500000,284000000,138000000,166000000,195000000,229000000,243000000,435000000,418000000,396000000,208000000,324000000,292000000,288000000,206000000
44,Other Non-Current Assets,- -,- -,405400000,638300000,803100000,553600000,379700000,464600000,373000000,363000000,502000000,487000000,368000000,459000000,538000000,555000000,489000000,497000000,587000000,486000000,516000000,690000000
45,Total Non-Current Assets,- -,- -,1978400000,6224500000,6237400000,5774500000,5108300000,5070400000,4818000000,4486000000,4706000000,4711000000,4765000000,5029000000,5963000000,5986000000,5634000000,4265000000,4995000000,4565000000,5145000000,5464000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,2747200000,8737400000,9436500000,8870500000,8444900000,8165600000,8058000000,8626000000,8714000000,8657000000,8884000000,9188000000,11002000000,9820000000,9189000000,10244000000,7953000000,8320000000,8713000000,9392000000
48,Accounts Payable,- -,- -,242600000,832100000,1022600000,1093500000,1018200000,1018400000,747000000,755000000,887000000,912000000,1150000000,1113000000,1275000000,1061000000,1102000000,964000000,961000000,822000000,876000000,1208000000
49,Short-Term Debt,- -,- -,169500000,137100000,37500000,44600000,187900000,68500000,205000000,431000000,519000000,212000000,288000000,277000000,267000000,170000000,60000000,40000000,96000000,254000000,645000000,63000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,140000000,100000000,83000000,94000000,139000000,146000000,123000000,129000000,202000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,11000000,5000000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,200300000,717100000,792900000,749600000,867000000,888400000,653000000,625000000,647000000,702000000,727000000,758000000,785000000,686000000,616000000,2261000000,554000000,932000000,458000000,780000000
53,Total Current Liabilities,- -,- -,612400000,1686300000,1853000000,1887700000,2073100000,1975300000,1605000000,1811000000,2053000000,1826000000,2181000000,2159000000,2332000000,1917000000,1778000000,3265000000,1611000000,2008000000,1979000000,2051000000
54,Long-Term Debt,- -,- -,1672300000,5773000000,6262000000,4413300000,3457400000,3505000000,3683000000,3786000000,3631000000,3734000000,3418000000,3639000000,4939000000,4626000000,4136000000,2258000000,2224000000,2177000000,1939000000,1908000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,13000000,234800000,217900000,258300000,192600000,154400000,117000000,289000000,314000000,309000000,228000000,313000000,333000000,422000000,427000000,264000000,296000000,29000000,212000000,161000000
57,Other Non-Current Liabilities,- -,- -,647100000,1200500000,1448800000,770200000,955800000,677800000,1021000000,875000000,866000000,1012000000,1161000000,948000000,1447000000,1226000000,1381000000,1086000000,1073000000,1282000000,910000000,713000000
58,Total Non-Current Liabilities,- -,- -,2332400000,7208300000,7928700000,5441800000,4605800000,4337200000,4821000000,4950000000,4811000000,5055000000,4807000000,4900000000,6719000000,6274000000,5944000000,3608000000,3593000000,3488000000,3061000000,2782000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,426000000,463000000,421000000
61,Total Liabilities,- -,- -,2944800000,8894600000,9781700000,7329500000,6678900000,6312500000,6426000000,6761000000,6864000000,6881000000,6988000000,7059000000,9051000000,8191000000,7722000000,6873000000,5204000000,5496000000,5040000000,4833000000
62,Preferred Stock,- -,- -,- -,194400000,195700000,287500000,287500000,287500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,2200000,2200000,2200000,2000000,2000000,2000000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
64,Retained Earnings,- -,- -,-923700000,-1243500000,-1471200000,-1505800000,-1277600000,-1540100000,-1031000000,-1015000000,-1090000000,-947000000,-687000000,-687000000,-493000000,-528000000,-325000000,161000000,292000000,690000000,1564000000,2435000000
65,Other Comprehensive Income/Loss,- -,- -,-131100000,61200000,181000000,-43100000,-73900000,245100000,-489000000,-287000000,-297000000,-559000000,-744000000,-577000000,-1053000000,-1288000000,-1671000000,-1268000000,-1316000000,-1362000000,-1346000000,-1203000000
66,Other Total Stockholders Equity,- -,- -,726100000,1086300000,3343800000,2779800000,2798400000,2831900000,3128000000,3144000000,3175000000,3166000000,3202000000,3242000000,3321000000,3255000000,3280000000,3724000000,3541000000,3356000000,3298000000,3143000000
67,Total Stockholders Equity,- -,- -,-197600000,-187700000,-382000000,1520600000,1736600000,1826600000,1610000000,1844000000,1790000000,1662000000,1773000000,1980000000,1778000000,1442000000,1287000000,2620000000,2520000000,2687000000,3519000000,4378000000
68,Total Liabilities And Stockholders Equity,- -,- -,2747200000,8706900000,9399700000,8850100000,8415500000,8139100000,8036000000,8605000000,8654000000,8543000000,8761000000,9039000000,10829000000,9633000000,9009000000,9493000000,7724000000,8183000000,8559000000,9211000000
69,Minority Interest,- -,- -,- -,30500000,36800000,20400000,29400000,26500000,22000000,21000000,60000000,114000000,123000000,149000000,173000000,187000000,180000000,751000000,229000000,137000000,154000000,181000000
70,Total Liabilities & Equity,- -,- -,2747200000,8737400000,9436500000,8870500000,8444900000,8165600000,8058000000,8626000000,8714000000,8657000000,8884000000,9188000000,11002000000,9820000000,9189000000,10244000000,7953000000,8320000000,8713000000,9392000000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089748/000110465906017507/0001104659-06-017507-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000110465907015134/a07-4943_110k.htm,https://www.sec.gov/Archives/edgar/data/1307954/000104746908001623/a2182682z10-k.htm,https://www.sec.gov/Archives/edgar/data/1089748/000104746909001883/0001047469-09-001883-index.html,https://www.sec.gov/Archives/edgar/data/1089748/000104746910001019/0001047469-10-001019-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000104746911001007/a2201909z10-k.htm,https://www.sec.gov/Archives/edgar/data/1089748/000104746912001105/0001047469-12-001105-index.html,https://www.sec.gov/Archives/edgar/data/1089748/000104746913000888/0001047469-13-000888-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000104746914000771/a2218178z10-k.htm,https://www.sec.gov/Archives/edgar/data/1307954/000104746915000900/a2222928z10-k.htm,https://www.sec.gov/Archives/edgar/data/1089748/000104746916010161/0001047469-16-010161-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000104746917000682/0001047469-17-000682-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000155837018001028/0001558370-18-001028-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000155837019000573/0001558370-19-000573-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000155837020000780/0001558370-20-000780-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000143774921002772/0001437749-21-002772-index.htm,https://www.sec.gov/Archives/edgar/data/1307954/000143774922003430/0001437749-22-003430-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-138600000,-842900000,-22200000,-319800000,-227700000,-34600000,229800000,-172100000,609000000,114000000,27000000,247000000,363000000,128000000,323000000,93000000,326000000,636000000,337000000,562000000,1034000000,1045000000
74,Depreciation and Amortization,200300000,197500000,152700000,353400000,536800000,500800000,465700000,412900000,398000000,442000000,405000000,439000000,432000000,448000000,445000000,399000000,432000000,319000000,343000000,270000000,283000000,296000000
75,Deferred Income Tax,- -,- -,- -,-3600000,-64500000,-3100000,-82400000,-202700000,202000000,231000000,45000000,-23000000,-38000000,10000000,-51000000,-25000000,15000000,-55000000,-116000000,-93000000,172000000,-37000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,20000000,20000000,27000000,24000000,27000000,29000000,28000000,30000000,34000000,36000000,27000000,29000000,27000000,32000000
77,Change in Working Capital,- -,156400000,670200000,519500000,-137800000,55200000,-143600000,515100000,694000000,-374000000,165000000,-182000000,62000000,707000000,-790000000,-140000000,937000000,-1367000000,400000000,-158000000,1390000000,-461000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-254000000,- -,- -,-11000000,2000000,121000000,-35000000,-183000000,-13000000,- -,- -,-315000000
79,Inventory,- -,- -,1300000,87800000,-158900000,-96900000,-58800000,-73900000,-119000000,351000000,-207000000,-161000000,-248000000,77000000,-20000000,179000000,283000000,-104000000,-86000000,77000000,145000000,-367000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-186000000,35000000,83000000,24000000,146000000,-12000000,86000000,-157000000,56000000,154000000,8000000,21000000,32000000,342000000
81,Other Working Capital,- -,156400000,826600000,1346100000,1208300000,1263500000,1119900000,1635000000,2329000000,1955000000,2120000000,1938000000,2000000000,2707000000,1917000000,1777000000,2714000000,1347000000,1747000000,1589000000,2979000000,- -
82,Other Non-Cash Items,-61700000,489000000,-712000000,-324100000,74000000,455800000,423600000,-604700000,-1156000000,671000000,-727000000,-140000000,-72000000,-614000000,805000000,218000000,-656000000,1650000000,216000000,287000000,-2653000000,77000000
83,Cash Provided by Operating Activities,- -,- -,88700000,225400000,180800000,974100000,893100000,-51500000,767000000,1104000000,-58000000,365000000,774000000,708000000,760000000,575000000,1088000000,1219000000,1207000000,897000000,253000000,952000000
84,CAPEX,-90300000,-76400000,-70200000,-193300000,-226600000,-338700000,-549900000,-665100000,-418000000,-189000000,-236000000,-330000000,-412000000,-471000000,-601000000,-663000000,-421000000,-282000000,-313000000,-274000000,-249000000,-342000000
85,Acquisitions Net,- -,- -,- -,-286000000,- -,-124800000,717600000,863100000,-62000000,-19000000,6000000,46000000,-139000000,-168000000,-1053000000,-67000000,178000000,11000000,-366000000,- -,1630000000,-202000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-12800000,- -,- -,- -,-26000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,14400000,4000000,- -,14000000,28000000,- -,- -,- -,66000000,- -,7000000,3000000,16000000,- -,- -
88,Other Investing Activites,- -,- -,-24500000,-622500000,-3400000,-5700000,6200000,900000,-431000000,-186000000,-202000000,-328000000,-332000000,-398000000,-553000000,-599000000,-380000000,-442000000,-610000000,-276000000,-167000000,-322000000
89,Cash Used for Investing Activites,- -,- -,-24500000,-908500000,-230000000,-469200000,173900000,200500000,-489000000,-205000000,-182000000,-280000000,-471000000,-566000000,-1606000000,-600000000,-202000000,-424000000,-973000000,-260000000,1463000000,-524000000
90,Debt Repayment,- -,- -,-121600000,-726200000,- -,- -,- -,- -,-66000000,-661000000,-1852000000,-628000000,-799000000,-911000000,-466000000,-646000000,-1160000000,-2141000000,-106000000,-792000000,-365000000,-998000000
91,Common Stock Issued,- -,- -,- -,- -,5400000,1491900000,- -,- -,- -,- -,3000000,3000000,3000000,13000000,47000000,1000000,1000000,1047000000,61000000,2000000,3000000,10000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,-2000000,-6000000,-58000000,- -,- -,- -,-100000000,- -,- -,-277000000,-208000000,-96000000,-200000000
93,Dividends Paid,- -,- -,- -,- -,- -,-10800000,-14400000,-102800000,-97000000,-96000000,-96000000,-96000000,-96000000,-120000000,-121000000,-121000000,-120000000,-120000000,-156000000,-150000000,-144000000,-159000000
94,Other Financing Activites,- -,- -,28600000,1512900000,78100000,-2084100000,-946800000,-167100000,397000000,943000000,1408000000,289000000,419000000,1012000000,1737000000,304000000,556000000,695000000,54000000,698000000,-53000000,370000000
95,Cash Used/Provided by Financing Activities,- -,- -,-93000000,786700000,83500000,-603000000,-961200000,-269900000,230000000,184000000,-543000000,-490000000,-473000000,-6000000,1197000000,-562000000,-723000000,-519000000,-424000000,-450000000,-655000000,-977000000
96,Effect of Forex Changes on Cash,- -,- -,3600000,9500000,11100000,-2300000,14600000,11700000,-5000000,5000000,4000000,-7000000,3000000,-3000000,-11000000,-16000000,-6000000,18000000,-35000000,-2000000,7000000,-3000000
97,Net Change In Cash,- -,- -,-25200000,175300000,45400000,-100400000,120400000,-109200000,503000000,1088000000,-779000000,-412000000,-167000000,133000000,340000000,-603000000,157000000,294000000,-379000000,185000000,1068000000,-552000000
98,Cash at the End of Period,- -,- -,22500000,197800000,243200000,142800000,263200000,154000000,657000000,1745000000,966000000,554000000,387000000,520000000,860000000,257000000,414000000,708000000,340000000,525000000,1593000000,1041000000
99,Cash at the Beginning of Period,- -,- -,47700000,22500000,197800000,243200000,142800000,263200000,154000000,657000000,1745000000,966000000,554000000,387000000,520000000,860000000,257000000,414000000,719000000,340000000,525000000,1593000000
100,Free Cash Flow,- -,- -,18500000,32100000,-45800000,635400000,343200000,-716600000,349000000,915000000,-294000000,35000000,362000000,237000000,159000000,-88000000,667000000,937000000,894000000,623000000,4000000,610000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089748/000110465906017507/0001104659-06-017507-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000110465907015134/a07-4943_110k.htm,https://www.sec.gov/Archives/edgar/data/1307954/000104746908001623/a2182682z10-k.htm,https://www.sec.gov/Archives/edgar/data/1089748/000104746909001883/0001047469-09-001883-index.html,https://www.sec.gov/Archives/edgar/data/1089748/000104746910001019/0001047469-10-001019-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000104746911001007/a2201909z10-k.htm,https://www.sec.gov/Archives/edgar/data/1089748/000104746912001105/0001047469-12-001105-index.html,https://www.sec.gov/Archives/edgar/data/1089748/000104746913000888/0001047469-13-000888-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000104746914000771/a2218178z10-k.htm,https://www.sec.gov/Archives/edgar/data/1307954/000104746915000900/a2222928z10-k.htm,https://www.sec.gov/Archives/edgar/data/1089748/000104746916010161/0001047469-16-010161-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000104746917000682/0001047469-17-000682-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000155837018001028/0001558370-18-001028-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000155837019000573/0001558370-19-000573-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000155837020000780/0001558370-20-000780-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000143774921002772/0001437749-21-002772-index.htm,https://www.sec.gov/Archives/edgar/data/1307954/000143774922003430/0001437749-22-003430-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
