,https://roic.ai/company/RSRV,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,35480,40310,- -,- -,- -,103373,- -,197304,- -,- -,- -,6232,86856,- -,- -,- -,- -,- -,3943498,9965729
37,Total Current Assets,5302036,5340859,6220226,8572722,11753630,16430804,19508062,19428357,18576393,19924531,20138482,20796937,24686942,24122912,23290636,23030944,24212935,22879704,21529736,21457849
38,PP&E,1232941,1636639,2854517,5172456,5127911,7693037,8743143,8490314,9014916,12633375,14634371,18521626,18067351,12223361,10928482,10648262,11184867,9514398,279240,7557938
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,536691,- -,- -,- -,- -,- -,577882,616607,637807,673691,746694,765397,1025411,1841626,2729426,2624394,2571109,2643145,3020390,4217857
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,585665,979752,1009489,770312,768536,759343,325744,350389,355959,361802,363722,376982,391290,- -,- -,- -,- -,687048,-3020390,112400
45,Total Non-Current Assets,2355297,2616391,3864006,5942768,5896447,8452380,9646769,9457310,10008682,13668868,15744787,19664005,19484052,14064987,13657908,13272656,13755976,12844591,279240,11888195
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7657333,7957250,10084232,14515490,17650077,24883184,29154831,28885667,28585075,33593399,35883269,40460942,44170994,38187899,36948544,36303600,37968911,35724295,21808976,33346044
48,Accounts Payable,130506,38862,169823,324675,107426,304288,208487,310889,177628,276017,519654,367622,819010,225648,161749,235007,318387,156768,248054,261114
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1515234,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350927
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,47218,112414,152076,796520,582062,532926,221266,201794,256354,292166,207430,337624,263234,38493,25590,25243,25243,25243,-1499791,262554
53,Total Current Liabilities,177724,151276,321899,1121195,689488,837214,429753,512683,433982,568183,727084,705246,1082244,264141,187339,260250,343630,182011,263497,523668
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,8144,384484,655470,600928,1168685,1613163,1125923,1587434,2726978,3274807,3548035,3249291,1613883,1511160,918050,1210271,917365,- -,551320
57,Other Non-Current Liabilities,151439,160307,170928,184749,230879,324930,1475373,1714487,2301701,2409958,2697646,2880830,3097232,3085287,2988943,3003282,2831597,2497675,- -,2472226
58,Total Non-Current Liabilities,151439,168451,555412,840219,831807,1493615,3088536,2840410,3889135,5136936,5972453,6428865,6346523,4699170,4500103,3921332,4041868,3415040,- -,3023546
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2235405,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,329163,319727,877311,1961414,1521295,2330829,3518289,3353093,4323117,5705119,6699537,7134111,7428767,4963311,4687442,4181582,4385498,3597051,2498902,3023546
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368,92368
64,Retained Earnings,7387225,7720645,9303963,12786650,16407036,22957809,26114016,26100088,24895712,28563474,29898866,34363292,37946212,34475369,33600718,33497463,35023662,33660169,30920837,31389240
65,Other Comprehensive Income/Loss,-172570,-4915414,-5317253,-5977472,-6833901,-7975776,-13205561,-16595405,-18935259,-21405436,-25994767,-31475505,-37212507,-42779561,-44688000,-45589133,-46257800,-48132049,- -,- -
66,Other Total Stockholders Equity,21147,4739924,5127843,5652530,6463279,7477954,12635719,15935523,18209137,20637874,25187265,30346676,35916154,41436412,43256016,44121320,44725183,46506756,-1627893,- -
67,Total Stockholders Equity,7328170,7637523,9206921,12554076,16128782,22552355,25636542,25532574,24261958,27888280,29183732,33326831,36742227,33224588,32261102,32122018,33583413,32127244,29385312,29798830
68,Total Liabilities And Stockholders Equity,7657333,7957250,10084232,14515490,17650077,24883184,29154831,28885667,28585075,33593399,35883269,40460942,44170994,38187899,36948544,36303600,37968911,35724295,31884214,32822376
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10075238,523668
70,Total Liabilities & Equity,7657333,7957250,10084232,14515490,17650077,24883184,29154831,28885667,28585075,33593399,35883269,40460942,44170994,38187899,36948544,36303600,37968911,35724295,21808976,33346044
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/83350/000106083005000115/0001060830-05-000115-index.htm,- -,https://www.sec.gov/Archives/edgar/data/83350/000114420407016120/0001144204-07-016120-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036108008186/0001140361-08-008186-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036109008282/0001140361-09-008282-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036110014533/0001140361-10-014533-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036111019792/0001140361-11-019792-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713112000895/0001387131-12-000895-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713113001017/0001387131-13-001017-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713114001129/0001387131-14-001129-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713115001075/0001387131-15-001075-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774916028590/0001437749-16-028590-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774917005485/0001437749-17-005485-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774918005798/0001437749-18-005798-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774919005801/0001437749-19-005801-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774920006401/0001437749-20-006401-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774921007732/0001437749-21-007732-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774922007779/0001437749-22-007779-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-616876,499886,1748991,3812095,4274921,7527876,9647693,1607399,5250659,5279039,4553845,6068042,6762875,-1885332,-84225,685687,2313692,-266763,-1956255,1251295
74,Depreciation and Amortization,- -,829672,918864,1389678,1790729,1472849,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3315822,2754923
75,Deferred Income Tax,- -,259216,413942,590177,19830,401906,- -,- -,- -,- -,- -,- -,- -,- -,- -,209968,310443,-93612,-348738,-17307
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,65271,708744,1553200,3612615,4529448,3484719,-162635,-773263,1213937,55050,680293,3513007,254073,-755474,-332603,1098611,-1171612,-1431454,-332058
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,709001,63998,-379211,-159942,168652,-709039,302851,1499203,-70046,-95259,25057,-98220,107932,-358242
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,14739,125440,-113405,36768,118146,36519,-48731,-54408,5911,-13034,4692,10460,50692,14055
81,Other Working Capital,5124312,5189583,5898327,7451527,11064142,15593590,19078309,18915674,18142411,19356348,19411398,20091691,23604698,23858771,23103297,22770694,23869305,22697693,21266239,20934181
82,Other Non-Cash Items,920830,-174500,-913843,-2890257,-4479682,-4443148,411318,3859859,3865682,1395395,5845117,5509749,4315371,7057198,3615827,2208400,1123354,4387411,1525962,120310
83,Cash Provided by Operating Activities,303954,1479545,2876698,4454893,5218413,9488931,13543730,5304623,8343078,7888371,10454012,12258084,14591253,5425939,2776128,2771452,4846100,2855424,1105337,3777163
84,CAPEX,-1043023,-1317192,-2183687,-3554593,-2663354,-3878372,-5163043,-3222146,-3534643,-6789339,-7167669,-10426615,-6508237,-2300347,-1978179,-2688759,-2788038,-2083991,54051,-20130
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-9113801,-8166948,-8333404,-10490059,-14092999,-23262903,-29484421,-33894758,-28964735,-19548714,-13304785,-13307544,-13839714,-16156287,-23114650,-32775990,-32720374,-37703853,- -,- -
87,Sales/Maturities of Investments,- -,8184102,7880588,9686787,12141847,18290624,26632838,32994856,31896399,26085687,13351233,13355810,13308610,13308097,17283067,29841639,32786554,35427891,- -,- -
88,Other Investing Activites,9911746,33848,153107,487714,667762,282641,598469,93325,233027,1259623,499553,131400,151910,130981,178774,420948,560750,73173,- -,- -
89,Cash Used for Investing Activites,-245078,-1266190,-2483396,-3870151,-3946744,-8568010,-7416157,-4028723,-369952,1007257,-6621668,-10246949,-6887431,-5017556,-7630988,-5202162,-2161108,-4286780,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-14176,-24067,-13920,-135532,-45680,-127200,-72020,-90040,-66240,-41440,-39940,-321327,-167524,-46796,-88834,-35829,-64804,-92676,- -,-54885
93,Dividends Paid,-161369,-157597,-155052,-315586,-608403,-883052,-5857097,-1565551,-6017060,-1644413,-3100835,-1767613,-3097246,-1627930,-921667,-837505,-959499,-2166129,-783078,-782892
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2600,- -
95,Cash Used/Provided by Financing Activities,-175545,-181664,-168972,-451118,-654083,-1010252,-5929117,-1655591,-6083300,-1685853,-3140775,-2088940,-3264770,-1674726,-1010501,-873334,-1024303,-2258805,-785678,-837777
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-116669,31691,224330,133624,617586,-89331,198456,-379691,1889826,7209775,691569,-77805,4439052,-1266343,-5865361,-3304044,1660689,-3690161,13448747,-6057928
98,Cash at the End of Period,314476,346167,570497,704121,1321707,1232376,1430832,1051141,2940967,10150742,10842311,10764506,15203558,13937215,8071854,4767810,6428499,2738338,16187085,10129157
99,Cash at the Beginning of Period,431145,314476,346167,570497,704121,1321707,1232376,1430832,1051141,2940967,10150742,10842311,10764506,15203558,13937215,8071854,4767810,6428499,2738338,16187085
100,Free Cash Flow,-739069,162353,693011,900300,2555059,5610559,8380687,2082477,4808435,1099032,3286343,1831469,8083016,3125592,797949,82693,2058062,771433,1159388,3757033
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/83350/000106083005000115/0001060830-05-000115-index.htm,- -,https://www.sec.gov/Archives/edgar/data/83350/000114420407016120/0001144204-07-016120-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036108008186/0001140361-08-008186-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036109008282/0001140361-09-008282-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036110014533/0001140361-10-014533-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036111019792/0001140361-11-019792-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713112000895/0001387131-12-000895-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713113001017/0001387131-13-001017-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713114001129/0001387131-14-001129-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713115001075/0001387131-15-001075-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774916028590/0001437749-16-028590-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774917005485/0001437749-17-005485-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774918005798/0001437749-18-005798-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774919005801/0001437749-19-005801-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774920006401/0001437749-20-006401-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774921007732/0001437749-21-007732-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774922007779/0001437749-22-007779-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
