,https://roic.ai/company/AVLNF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.03,-0.09,-0.08,-0.07,-0.06,-0.02,-0.04,-0.04,-0.06,-0.02,-0.03,-0.02,-0.02,-0.04,-0.05,-0.10,-0.11,-0.11,-0.05,-0.02,-0.02,-0.02,-0.01,-0.01,-0.02,-0.01
27,Weighted Average Shares Outstanding,10000000,15555556,16250000,18571429,21430231,18946600,24655248,25192316,29216958,34078392,44134020,50462019,61658223,67603514,77865072,93074790,103224070,103683356,112724520,139893312,167184272,187869637,215152381,275760316,334332582,354590337
28,Weighted Average Shares Outstanding Diluted,10000000,15555556,16250000,18571429,21430231,18946600,24655248,25192316,29216958,34078392,44134020,50462019,61658223,67603514,77865072,93074790,103224070,103683356,112724520,139893312,167184272,187869637,215152381,275760316,334332582,354590337
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1362898/000106299319004622/0001062993-19-004622-index.htm,https://www.sec.gov/Archives/edgar/data/1362898/000106299320005940/0001062993-20-005940-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,1100000,700000,500000,251488,753773,116577,131686,257020,431420,2023139,1562102,10738700,6003782,6932125,70858678,38299998,10313798,6017598,5247738,1360487,1073574,319057,1881841,1295723,1823459
32,Short-Term Investments,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2400000,1100000,700000,500000,251488,753773,116577,131686,257020,431420,2023139,1562102,10738700,6003782,6932125,70858678,38299998,10313798,6017598,5247738,1360487,1073574,319057,1881841,1295723,1823459
34,Net Receivables,100000,100000,200000,200000,152936,203010,37779,53292,36307,32785,81185,174651,152165,598468,1057660,650454,639836,388969,416923,424259,226485,117718,168672,337573,263141,117295
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,63817,130226,118037,194080,921748,1098405,928948,958957,680008,299894,176189,137515,2745867,118536,593866
37,Total Current Assets,2600000,1700000,900000,700000,404424,956783,154356,184978,293327,464205,2104324,1800570,11021091,6720287,8183865,72430880,40038239,11631715,7393478,6352005,1886866,1367481,625244,4965281,1677400,2534620
38,PP&E,1500000,2100000,3800000,4600000,4423314,5019054,4855501,4462602,3556153,3825370,4804466,7327105,13359556,19798320,33342850,51462673,84043084,100214231,109443889,112871269,116628184,119068898,121306944,119047041,114920084,115934488
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,21178,21596,20247,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,21178,21596,20247,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,300000,300000,100000,156155,187125,121193,23143,69643,22143,22143,3044,3943,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,1800000,2400000,4100000,4700000,4600647,5227775,4996941,4485745,3625796,3847513,4826609,7330149,13363499,19800977,33342850,51462673,84043084,100214231,109443889,112871269,116628184,119068898,121306944,119047041,114920084,115934488
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4400000,4100000,5000000,5400000,5005071,6184558,5151297,4670723,3919123,4311718,6930933,9130719,24384590,26521264,41526715,123893553,124081323,111845946,116837367,119223274,118515050,120436379,121932188,124012322,116597484,118469108
48,Accounts Payable,300000,100000,200000,300000,321294,231417,165327,304960,193147,178962,203275,626635,892806,1429712,2178140,3792595,5463683,1463225,1099413,488719,223661,399220,387451,151318,153743,142821
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178893,192487
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,200000,- -,- -,29641,283039,16611,10606,- -,- -,- -,- -,- -,- -,- -,- -,1237586,1178806,2406954,1182735,1010769,643287,460858,4169955,711183,523043
53,Total Current Liabilities,300000,300000,200000,300000,350935,514456,181938,315566,193147,178962,203275,626635,892806,1429712,2178140,3792595,6701269,2642031,3506367,1671454,1234430,1042507,848309,4321273,1043819,858351
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3354750,175000,688574,3486087
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103600,236600,236600,263600,263600,3082762,413421,1288794,363427,499354
58,Total Non-Current Liabilities,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103600,236600,236600,263600,263600,3082762,3768171,1463794,1052001,3985441
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,867467,688574
61,Total Liabilities,300000,400000,200000,300000,350935,514456,181938,315566,193147,178962,203275,626635,892806,1429712,2178140,3792595,6804869,2878631,3742967,1935054,1498030,4125269,4616480,5785067,2095820,4843792
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173600797,177802700,179329547,181918759
64,Retained Earnings,-6500000,-7800000,-9100000,-10400000,-11678517,-12153476,-13197739,-14102342,-15772520,-16245253,-17532834,-18435853,-19827434,-22782353,-26881653,-36303039,-47786800,-58985964,-64716545,-67892919,-71432564,-74789885,-78030629,-81416964,-86784228,-90539351
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-19385,-21927,-24580,87797,108798,146294,-24309,-9099,-8200,-9486,- -,- -,16017583,14912475,15394442,20485148,21268230,17249577,-1193578,-1228509,-1444344,- -
66,Other Total Stockholders Equity,10600000,11500000,13900000,15500000,16352038,17845505,18191678,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22939118,23070028,23400689,- -
67,Total Stockholders Equity,4100000,3700000,4800000,5100000,4654136,5670102,4969359,4355157,3725976,4132756,6727658,8504084,23491784,25091552,39348575,120100958,117276454,108967315,113094400,117288220,117017020,116311110,117315708,118227255,114501664,113625316
68,Total Liabilities And Stockholders Equity,4400000,4100000,5000000,5400000,5005071,6184558,5151297,4670723,3919123,4311718,6930933,9130719,24384590,26521264,41526715,123893553,124081323,111845946,116837367,119223274,118515050,120436379,121932188,124012322,116597484,118469108
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4400000,4100000,5000000,5400000,5005071,6184558,5151297,4670723,3919123,4311718,6930933,9130719,24384590,26521264,41526715,123893553,124081323,111845946,116837367,119223274,118515050,120436379,121932188,124012322,116597484,118469108
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1362898/000106299319004622/0001062993-19-004622-index.htm,https://www.sec.gov/Archives/edgar/data/1362898/000106299320005940/0001062993-20-005940-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-300000,-1400000,-1300000,-1300000,-1294791,-474959,-1044263,-904603,-1670178,-472733,-1287581,-903019,-1391581,-2954919,-4099300,-9421386,-11152194,-11199164,-5730581,-3176374,-3539645,-3357321,-3240744,-3386335,-5367264,-3755123
74,Depreciation and Amortization,- -,- -,- -,- -,2896,3893,4002,2901,1376,1753,7809,18290,40806,50466,81385,173302,231850,211085,167680,55730,38282,35656,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,8624,676530,749454,1118708,303159,584355,73297,-432601,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,8624,676530,749454,1118708,303159,584355,73297,-432601,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-100000,800000,900000,- -,965572,-3893,-4002,-2901,-1376,-1753,-7809,-18290,-40806,1037008,1576532,5100758,5834805,10988079,5562901,3120644,3501363,3321665,3240744,3386335,5367264,3755123
83,Cash Provided by Operating Activities,-400000,-600000,-400000,-500000,-326323,-466335,-367733,-155149,-551470,-169574,-703226,-829722,-1824182,-1867445,-2441383,-4147326,-5085539,- -,- -,- -,- -,- -,- -,- -,- -,- -
84,CAPEX,-1300000,-1700000,-2300000,-1200000,-1561461,-2828528,-1040855,-256264,-318509,-400675,-987405,-2366139,-6119644,-6811513,-13477865,-17395400,-28849666,-22265023,-10070745,-4270979,-3650046,-2288253,-2318585,-916527,-743317,-1178560
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000
86,Purchases of Investments,-2200000,-100000,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,2200000,- -,- -,- -,- -,- -,145775,23213,59544,- -,45598,- -,- -,2306,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,100000,- -,- -,922415,2547223,511392,22747,22500,40000,12500,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,1778408,- -
89,Cash Used for Investing Activites,-3600000,500000,-2300000,-1200000,-639046,-381305,-529463,-87742,-272796,-301131,-974905,-2320541,-6109644,-6811513,-13475559,-17395400,-28849666,-22265023,-10070745,-4270979,-3650046,-2288253,-2318585,2283473,1035091,-1378560
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-207063,-59390
91,Common Stock Issued,4100000,1000000,2300000,1500000,725000,1349925,260000,202604,491808,645105,3269850,2689226,17110424,1400625,- -,69497735,- -,- -,10847422,7290345,2955112,2159353,2025843,955379,507100,450977
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200750
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,55396,457792,- -,- -,- -,- -,2543415,16845285,15916028,1381990,210000,252500,11000,63750,2601403,2123292,606696,- -,3746259
95,Cash Used/Provided by Financing Activities,4100000,1000000,2300000,1500000,725000,1349925,260000,258000,949600,645105,3269850,2689226,17110424,3944040,16845285,85413763,1381990,210000,11099922,7301345,3018862,4760756,4149135,1562075,300037,3937096
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55516,-5465,3359,-20097,25355,9274,-5137,-2705,-1435,-622,-3663
97,Net Change In Cash,100000,900000,-400000,-200000,-240369,502285,-637196,15109,125334,174400,1591719,-461037,9176598,-4734918,928343,63926553,-32558680,-27986200,-4296200,-769860,-3887251,-286913,-754517,1562784,-586118,527736
98,Cash at the End of Period,200000,1100000,700000,500000,251488,753773,116577,131686,257020,431420,2023139,1562102,10738700,6003782,6932125,70858678,38299998,10313798,6017598,5247738,1360487,1073574,319057,1881841,1295723,1823459
99,Cash at the Beginning of Period,100000,200000,1100000,700000,491857,251488,753773,116577,131686,257020,431420,2023139,1562102,10738700,6003782,6932125,70858678,38299998,10313798,6017598,5247738,1360487,1073574,319057,1881841,1295723
100,Free Cash Flow,-1700000,-2300000,-2700000,-1700000,-1887784,-3294863,-1408588,-411413,-869979,-570249,-1690631,-3195861,-7943826,-8678958,-15919248,-21542726,-33935205,-28199559,-15376025,-8096560,-6915387,-5042532,-4900947,-3197856,-2663941,-3205697
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1362898/000106299319004622/0001062993-19-004622-index.htm,https://www.sec.gov/Archives/edgar/data/1362898/000106299320005940/0001062993-20-005940-index.htm,- -
102,Forex Rate,0.7308,0.7203,0.6384,0.6702,0.6792,0.6446,0.6415,0.7212,0.7619,0.8415,0.9061,0.9469,0.9401,0.9138,0.9395,1.0223,1.0135,0.9487,0.9189,0.7609,0.7631,0.801,0.7669,0.7511,0.7664,0.7925
