,https://roic.ai/company/XP,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,685731000,947696000,7153373000,10894586000,14588752000
66,Other Total Stockholders Equity,- -,203446000,209165000,- -,- -,- -
67,Total Stockholders Equity,- -,1143799000,2084777000,7153396000,10894609000,14416836000
68,Total Liabilities And Stockholders Equity,- -,7128177000,17717332000,43620205000,96026156000,139337609000
69,Minority Interest,- -,7923000,6935000,2563000,3005000,2793000
70,Total Liabilities & Equity,- -,7136100000,17724267000,43622768000,96029161000,139340402000
71,SEC Link,undefined,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,243765000,413874000,465330000,1080484000,2076430000,3589416000
74,Depreciation and Amortization,23074000,27403000,52788000,90710000,143261000,231730000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,5371000,232791000,561457000
77,Change in Working Capital,-331269000,-170702000,-964232000,-5129561000,-883201000,-8575085000
78,Accounts Receivable,-41417000,-70589000,-92809000,-243893000,-46247000,37160000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,29934000,3163000,63000000,132235000,564324000,-133576000
81,Other Working Capital,165220000,-130967000,-1451424000,-11418935000,-21696606000,-16700754000
82,Other Non-Cash Items,69206000,-8208000,-10633000,139004000,-58553000,172153000
83,Cash Provided by Operating Activities,4776000,262367000,-456747000,-3813992000,1510728000,-4020329000
84,CAPEX,-31635000,-50996000,-136666000,-161448000,-291532000,-353013000
85,Acquisitions Net,- -,-404631000,-10413000,- -,-290478000,-797714000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-19176000,-20627000,-83149000,-88949000,-146368000,-217569000
89,Cash Used for Investing Activites,-31635000,-455627000,-147079000,-161448000,-582010000,-1150727000
90,Debt Repayment,- -,- -,-689634000,-135147000,-617585000,-254197000
91,Common Stock Issued,- -,- -,- -,- -,1411281000,1134797000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-174365000,-189998000,-325000000,-500000000,- -,- -
94,Other Financing Activites,256447000,774514000,1394720000,4869004000,-4985000,5758662000
95,Cash Used/Provided by Financing Activities,82082000,584516000,380086000,4233857000,788711000,6639262000
96,Effect of Forex Changes on Cash,-7168000,4110000,15110000,2516000,55163000,-376733000
97,Net Change In Cash,48055000,395365000,-208630000,260933000,1772592000,1091473000
98,Cash at the End of Period,440128000,835493000,626863000,887796000,2660388000,3751861000
99,Cash at the Beginning of Period,392073000,440128000,835493000,626863000,887796000,2660388000
100,Free Cash Flow,-26859000,211371000,-593413000,-3975440000,1219196000,-4373342000
101,SEC Link,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
