,https://roic.ai/company/LFAP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
69,Minority Interest,- -,-1405,3443,4275,-2,-6,-6,5,-5,-5,- -
70,Total Liabilities & Equity,10000,20000,840000,270000,73210,16830,3450,1830,41500,197280,229580
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1510247/000147793212000698/0001477932-12-000698-index.html,https://www.sec.gov/Archives/edgar/data/1510247/000147793213001731/0001477932-13-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000147793214001696/0001477932-14-001696-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577415000760/0001615774-15-000760-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577416004984/0001615774-16-004984-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577417001739/0001615774-17-001739-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577418002742/0001615774-18-002742-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577419005830/0001615774-19-005830-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000149315220008999/0001493152-20-008999-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000149315221008914/0001493152-21-008914-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-10000,-440000,-750000,-668100,-615770,-265810,-256830,-834700,-5151480,-4108755
74,Depreciation and Amortization,- -,- -,3337,31053,38667,38352,9798,975,150,4499,27592
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,152681,14876,- -,16507,53179,47927,786954,213276
77,Change in Working Capital,10000,-6825,11915,-69734,87799,159034,153838,148857,140911,456824,877794
78,Accounts Receivable,- -,- -,- -,-3253,-399,3652,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-138952,42460,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-25,37563,32807,-29198,5977,3838,-6088,140911,520959,148504
81,Other Working Capital,- -,-6800,-39375,41888,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-17988,37285,-3063,214946,303970,3,4205,581937,2627348,2048425
83,Cash Provided by Operating Activities,10000,-34813,-387463,-639063,-311812,-114414,-85664,-49614,-63775,-1275855,-941668
84,CAPEX,- -,- -,-3472,-15279,- -,- -,- -,- -,- -,-79375,-32800
85,Acquisitions Net,- -,- -,- -,-99500,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-3472,-12608,- -,- -,- -,- -,- -,-77375,-32800
89,Cash Used for Investing Activites,- -,- -,-3472,-114779,- -,- -,- -,- -,- -,-79375,-32800
90,Debt Repayment,- -,- -,-115000,- -,- -,- -,- -,- -,-2000,-97514,-5000
91,Common Stock Issued,- -,40000,1185252,- -,- -,- -,- -,- -,55000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,111050,-347,294877,99440,82085,49310,50599,1425024,996592
95,Cash Used/Provided by Financing Activities,- -,40000,1181302,-347,294877,99440,82085,49310,103599,1327510,991592
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,5187,790367,-754189,-16935,-14973,-3580,-304,39824,-27720,17124
98,Cash at the End of Period,10000,12012,791065,36876,19941,4968,1388,1084,40908,13188,30312
99,Cash at the Beginning of Period,- -,6825,698,791065,36876,19941,4968,1388,1084,40908,13188
100,Free Cash Flow,10000,-34813,-390935,-654342,-311812,-114414,-85664,-49614,-63775,-1355230,-974468
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1510247/000147793212000698/0001477932-12-000698-index.html,https://www.sec.gov/Archives/edgar/data/1510247/000147793213001731/0001477932-13-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000147793214001696/0001477932-14-001696-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577415000760/0001615774-15-000760-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577416004984/0001615774-16-004984-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577417001739/0001615774-17-001739-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577418002742/0001615774-18-002742-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577419005830/0001615774-19-005830-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000149315220008999/0001493152-20-008999-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000149315221008914/0001493152-21-008914-index.htm
102,false,,,,,,,,,,,
