,https://roic.ai/company/LBSR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57173,-716,349471,-45340,154484
81,Other Working Capital,-29097,- -,570629,808491,603885,-505662,-2258655,-3625627,-2193786,-4287593,-5025086,-6202731,-1251939,-943763,-1111399,-1498869,-1695505,-1708540,-1991571
82,Other Non-Cash Items,57745,- -,-568208,-73690,1077680,1719402,3610372,2946002,15070292,3223872,1485686,1999581,-10065138,648098,1077811,718711,1139632,-66967,645561
83,Cash Provided by Operating Activities,-59777,- -,-2106195,-4436608,-2335730,-3511241,-1464934,-1005508,-771407,-1164147,-1718988,-1222662,-960359,-550580,-505901,-650190,-359896,-334366,-380879
84,CAPEX,- -,- -,-41511,-215840,-103473,-663424,-74700,- -,-50668,-29656,-5419,-1418,-9870,-4303,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,213232,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,16820,1774,6229,-204797,53081,76640,269601,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-24691,-214066,-97244,-868221,191613,76640,218933,-29656,-2419,-1418,-9870,-4303,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-576827,-39231,-118631,-3763,-4630,-5090,-5594,-6149,-561,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,2686930,5052732,2245995,1074417,- -,- -,1284681,253120,1687884,732043,474251,180051,402968,228334,13000,60000,35599
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17000,- -,-25000,- -,-69814,3893923,648211,925371,466217,- -,- -,434500,500000,328000,108000,452900,311700,298500,326974
95,Cash Used/Provided by Financing Activities,17000,- -,2661930,5052732,2176181,4968340,71384,886140,1632267,249357,1683254,1161453,968657,501902,510407,681234,324700,358500,362573
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-42777,- -,- -,402058,-256793,588878,-1201937,-42728,1079793,-944446,-38153,-62627,-1572,-52981,4506,31044,-35196,24134,-18306
98,Cash at the End of Period,16820,- -,531044,933102,676309,1265187,63250,20522,1100315,155869,117716,55089,53517,536,5042,36086,890,25024,6718
99,Cash at the Beginning of Period,59597,- -,- -,531044,933102,676309,1265187,63250,20522,1100315,155869,117716,55089,53517,536,5042,36086,890,25024
100,Free Cash Flow,-59777,- -,-2147706,-4652448,-2439203,-4174665,-1539634,-1005508,-822075,-1193803,-1724407,-1224080,-970229,-554883,-505901,-650190,-359896,-334366,-380879
101,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172178/000106299308001955/form10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1172178/000106299311001749/0001062993-11-001749-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000106299312001485/0001062993-12-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000106299313002635/0001062993-13-002635-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000106299315001959/0001062993-15-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000106299315002327/0001062993-15-002327-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000121390016013553/0001213900-16-013553-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000149315217004625/0001493152-17-004625-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000149315218007184/0001493152-18-007184-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000149315219007636/0001493152-19-007636-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000149315220007432/0001493152-20-007432-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000149315221010343/0001493152-21-010343-index.htm
102,false,,,,,,,,,,,,,,,,,,,
