,https://roic.ai/company/VTSI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
41,Intangible Assets,- -,- -,- -,36261,18133,- -,- -,88074,- -,6600000,6415655,6542958,- -,- -,- -,- -,- -,- -,- -,- -,217930,271048
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136579,471928,1374933,1120000,840000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2710182,2400000,1792000,1892000
44,Other Non-Current Assets,- -,- -,- -,67885,67885,196223,130815,- -,14530,32197,14168,30391,- -,- -,-14,- -,- -,- -,-1,638897,662058,586614
45,Total Non-Current Assets,- -,- -,- -,450260,292250,1231140,1082445,229460,69991,6694784,7242252,7168337,799189,612380,460513,367898,652584,1286251,4762388,4837142,5931059,5225933
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,659973,688394,1452966,1268113,727465,624439,7500297,8937541,9289796,2270688,1883018,4058681,4651961,7270007,9911989,14849892,15218013,17459793,22753227
48,Accounts Payable,- -,- -,- -,1201849,1118580,1038870,1317429,873336,869726,35615,186512,302745,271734,227331,289820,339373,508358,467679,535795,429949,621127,345573
49,Short-Term Debt,- -,- -,- -,7348035,7733836,2464100,1570775,480874,202286,- -,- -,- -,- -,80499,- -,- -,- -,11250,11250,11250,297244,587764
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,952591,619888,121411,62069,62069,98875,55504,145947,32668,108574,202118,2382,316076
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,36461,12769,- -,1987162,1173449,1516792,952464,1523841,2065905,2992912,1924307,2490845,4708575
52,Other Current Liabilities,- -,- -,- -,726492,735841,1189194,2041219,3038645,3536633,2059434,897161,187005,458513,453960,741972,542824,706228,812250,837064,1246297,946238,1615985
53,Total Current Liabilities,- -,- -,- -,9276376,9588257,4692164,4929423,4392855,4608645,2131510,1096442,489750,2717409,1935239,2548584,1834661,2738427,3357084,4377021,3611803,4355454,7257897
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,535000,- -,- -,143636,- -,- -,- -,22500,11250,- -,- -,1063243
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,962356,1748257,1920346
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3891,2454,2032,1859,1859,1859,1859,1859,1859,114023,131358,144990,95375,159941,122126,75444,46523,1174882,853155
58,Total Non-Current Liabilities,- -,- -,- -,3891,2454,2032,1859,1859,1859,1859,536859,1859,114023,274994,144990,95375,159941,144626,86694,1008879,2923139,3836744
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1472126,1174882
61,Total Liabilities,- -,- -,- -,9280267,9590711,4694196,4931282,4394714,4610504,2133369,1633301,491609,2831432,2210233,2693574,1930036,2898368,3501710,4463715,4620682,7278593,11094641
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,186658,242843,302191,329918,483663,635771,681021,731656,791641,791641,791641,791641,791641,791466,1586,793,783,775,778
64,Retained Earnings,- -,- -,- -,-11729785,-13319907,-11753816,-13748872,-15222379,-15849989,-6598403,-5183391,-4163529,-14261769,-14148373,-12567597,-11306356,-9769373,-7719351,-4457070,-3638978,-3714255,-2235852
65,Other Comprehensive Income/Loss,- -,- -,- -,-1780817,-222113,-391887,-489710,150000,-411220,-429340,-518556,-657348,-764565,-540970,-759039,-951182,-1136028,-1366445,-1637326,-1929181,-2224831,- -
66,Other Total Stockholders Equity,- -,- -,- -,4703650,4396860,8602282,10245495,10921467,11639373,11713650,12274531,12827423,13673949,13570487,13900102,14187822,14485574,15494489,16479780,16164707,16119511,13893660
67,Total Stockholders Equity,- -,- -,- -,-8620294,-8902317,-3241230,-3663169,-3667249,-3986065,5366928,7304240,8798187,-560744,-327215,1365107,2721925,4371639,6410279,10386177,10597331,10181200,11658586
68,Total Liabilities And Stockholders Equity,- -,- -,- -,659973,688394,1452966,1268113,727465,624439,7500297,8937541,9289796,2270688,1883018,4058681,4651961,7270007,9911989,14849892,15218013,17459793,22753227
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,659973,688394,1452966,1268113,727465,624439,7500297,8937541,9289796,2270688,1883018,4058681,4651961,7270007,9911989,14849892,15218013,17459793,22753227
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1085243/000116232703000018/0001162327-03-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000116232704000035/0001162327-04-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000116232705000025/0001162327-05-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000133248907000022/0001332489-07-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000133248907000023/0001332489-07-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000113717108000384/0001137171-08-000384-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085243/000149315218004294/0001493152-18-004294-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000149315219004401/0001493152-19-004401-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000149315220004519/0001493152-20-004519-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000149315221007053/0001493152-21-007053-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-361880,-190266,-2954576,-2692755,-1590122,1566091,-1995056,-1473507,-1124045,9251584,1415012,1019862,-692761,113396,1580776,1261241,1536983,2050022,3262282,818092,-75277,1478403
74,Depreciation and Amortization,5356,20896,1127280,547190,911433,100465,569579,258145,187646,40507,534997,652880,202686,227492,218059,192153,184846,192602,270881,291855,591936,676500
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115512,120133,111546,95577,118328,181786,167475,7124,- -,- -
77,Change in Working Capital,251941,- -,- -,-9066663,-125450,4721775,-273417,848905,-159347,2728200,1924844,1032862,-2877619,581309,1714185,1399818,1429594,1389658,441829,1058585,404212,3096117
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51654,-97222,- -,-823504,-735760,- -,1766716,176125,-1005962,929702
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179428,197073,434529,-37415,-295395,-199813,-417302,-400494,108436,-337412,-2291394
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92930,303387,-108881,- -
81,Other Working Capital,- -,- -,- -,-9066663,-9192113,-4470338,-4743755,-3894850,-4054197,-1325997,598847,1631709,-1245910,-664601,1049584,2449402,3878996,5268654,5710483,6769068,7173280,10269397
82,Other Non-Cash Items,-64831,-130927,1138019,10966695,-25299,-7266414,279809,-294590,1003428,-11864845,-3499678,-1440616,3151301,-997714,-1347403,-3295477,-1526910,-2059188,-1490366,-347581,-2353222,-2905383
83,Cash Provided by Operating Activities,-169414,-300297,-689277,-245533,-829438,-878083,-1419085,-661047,-92318,155446,375175,1264988,-100881,44616,2277163,-346688,1742841,1754880,2652101,1828075,-1432351,2245637
84,CAPEX,-41237,-18979,-88656,-52212,-98819,-83754,-14536,-11865,-12524,-47632,-565494,-1259687,-292995,-40683,-66192,-99538,-332953,-309535,-133831,-292827,-879475,-62007
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-335349,- -,-3960000,-3560000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,470000,5135000,1915000
88,Other Investing Activites,-41237,- -,34897,- -,120000,-196062,17827,105747,55267,-47632,-565494,-1097742,- -,- -,- -,- -,- -,-185450,- -,- -,-222438,-62007
89,Cash Used for Investing Activites,-41237,-18979,-53759,-52212,21181,-279816,3291,93882,42743,-47632,-565494,-1097742,-292995,-40683,-66192,-99538,-332953,-830334,-133831,-3782827,699165,1852993
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22500,- -,- -,-750000,-1680865,-374135,- -,- -,- -,-11250,-11250,-11250,- -
91,Common Stock Issued,- -,64847,82279,- -,- -,1238421,76143,839784,75000,- -,325500,479885,- -,- -,- -,- -,- -,16351,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127160,-221384,-2981,- -,- -,- -,- -,- -,-112109,-381937,-318204,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,220547,245000,654622,396187,790685,-826,1179849,-182162,-100000,- -,- -,- -,750000,1905000,150000,- -,-5597,-554338,-1018045,-232125,-22650,1328263
95,Cash Used/Provided by Financing Activities,220547,309847,736901,396187,790685,1237595,1255992,657622,-25000,-22500,198340,258501,-2981,224135,-224135,- -,-5597,-537987,-1141404,-625312,-352104,1328263
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9896,-9429,736901,396187,-17572,79696,-159802,90457,-74575,85314,8021,425747,-396857,228068,1986836,-446226,1404291,386559,1376866,-2580064,-1085290,5426893
98,Cash at the End of Period,15562,6135,- -,98442,80870,160566,764,91221,16646,101960,109981,535728,144051,372119,2358955,1912729,3317020,3703579,5080445,2500381,1415091,6841984
99,Cash at the Beginning of Period,5666,15564,6135,- -,98442,80870,160566,764,91221,16646,101960,109981,540908,144051,372119,2358955,1912729,3317020,3703579,5080445,2500381,1415091
100,Free Cash Flow,-210651,-319276,-777933,-297745,-928257,-961837,-1433621,-672912,-104842,107814,-190319,5301,-393876,3933,2210971,-446226,1409888,1445345,2518270,1535248,-2311826,2183630
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085243/000116232703000018/0001162327-03-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000116232704000035/0001162327-04-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000116232705000025/0001162327-05-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000133248907000022/0001332489-07-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000133248907000023/0001332489-07-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000113717108000384/0001137171-08-000384-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085243/000149315218004294/0001493152-18-004294-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000149315219004401/0001493152-19-004401-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000149315220004519/0001493152-20-004519-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000149315221007053/0001493152-21-007053-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
