,https://roic.ai/company/PACV,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,- -,- -,- -,- -,-0.01,-33.02,-86.27,-22.58,-21.03,-1.24,-8.83,-9.90,-3.26,-2.33,-0.35,-0.41
26,EPS Diluted,- -,- -,- -,- -,-0.01,-33.02,-86.27,-22.58,-21.03,-1.24,-8.83,-9.90,-3.26,-2.33,-0.35,-0.41
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,142351,284,371,775,775,54134,57160,73589,474674,1141718,16871351,16871351
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,142351,284,371,775,775,54134,57160,73589,474674,1141718,16871351,16871351
29,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882800/000149315220002997/0001493152-20-002997-index.htm,https://www.sec.gov/Archives/edgar/data/882800/000149315220008094/0001493152-20-008094-index.htm,https://www.sec.gov/Archives/edgar/data/882800/000149315221008947/0001493152-21-008947-index.htm,https://www.sec.gov/Archives/edgar/data/882800/000149315222009572/0001493152-22-009572-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,1975,51,383,7,- -,210,25284,69,118579,315957,58234,16435
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,1975,51,383,7,- -,210,25284,69,118579,315957,58234,16435
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,983,6589,280142,1290637,1213991,1402334
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,2020,- -,- -,160858,830504,1216562,1393215
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500,1500,1500,33979,300224,300224,300223
37,Total Current Assets,- -,- -,- -,- -,- -,- -,383,7,- -,3730,27767,8158,593558,2737322,2789011,3112207
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,35831,31838,27844,112794,2338919,1169441,878229
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,950000,3189371,3468222,3249423
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,950000,3680371,3468222,3249423
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11520,12420,-6257233,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,35831,31838,27844,1074314,6031710,-1619570,-2233978
46,Other Assets,- -,- -,- -,- -,1975,51,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,1975,51,383,7,- -,39561,59605,36002,1667872,8769032,1169441,878229
48,Accounts Payable,- -,- -,- -,- -,- -,12455,4977,4262,7471,206383,177475,171085,597888,1409420,2809136,3475443
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1362605,2891023,3467567
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,90042,15042,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,39818,2074,15155,471082,378283,1143176,1351614,1083950,1677853,1456870
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,44795,6336,22626,767507,570800,1314261,1949502,3855975,7378012,8399880
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,660154,1075790,353821,2301081,8669129,- -,13594008
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,90042,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90041,- -,-1,-1,861249,3950841,363250
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,660155,1075790,353820,2301080,9530378,3950841,13957258
59,Other Liabilities,- -,- -,- -,- -,- -,12455,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88896,1230238,1082417,- -
61,Total Liabilities,- -,- -,- -,- -,- -,12455,44795,6336,22626,1427662,1646590,1668081,4250582,13386353,11328853,22357138
62,Preferred Stock,- -,- -,- -,- -,11429,10000,1000,1000,1000,- -,- -,1000,1000,6000,5010,- -
63,Common Stock,- -,- -,- -,- -,70471,70471,184,384,384,26799,28297,36430,236511,570033,8415444,15771642
64,Retained Earnings,- -,- -,- -,- -,-46974719,-46974719,-47065412,-47082913,-47099210,-4870645,-5357734,-5970024,-7499045,-10040367,- -,-21235728
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51238,-55231,-59225,-40408,-99815,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,46894794,46881844,47019816,47075200,47075200,3506983,3797683,4359739,4719231,4946828,-18933373,- -
67,Total Stockholders Equity,- -,- -,- -,- -,1975,-12404,-44412,-6329,-22626,-1388101,-1586985,-1632080,-2582711,-4617321,-10512919,-14737757
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,51,383,7,- -,39561,59605,36001,1667871,8769032,815934,7619380
69,Minority Interest,- -,- -,- -,- -,1975,- -,- -,- -,- -,-0,-0,1,1,- -,353507,-6741151
70,Total Liabilities & Equity,- -,- -,- -,- -,1975,51,383,7,- -,39561,59605,36002,1667872,8769032,1169441,878229
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882800/000149315220002997/0001493152-20-002997-index.htm,https://www.sec.gov/Archives/edgar/data/882800/000149315220008094/0001493152-20-008094-index.htm,https://www.sec.gov/Archives/edgar/data/882800/000149315221008947/0001493152-21-008947-index.htm,https://www.sec.gov/Archives/edgar/data/882800/000149315222009572/0001493152-22-009572-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-1400,-9379,-32008,-17501,-16297,-64552,-487089,-590059,-1547860,-2674033,-5882038,-5557679
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,3993,3993,3995,-18818,72375,696144,567042
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-44412,38083,-16297,-741151,220744,-763070,-49841,237291,-3470348,-698672
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,12721,-983,-5606,-279953,-939104,5255,-191600
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,56237,2020,- -,-160858,-669646,-386059,-175754
80,Accounts Payable,- -,- -,- -,- -,-65,55,4977,-715,3209,-108111,-28908,-19238,340236,1205383,1361741,620620
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-44412,-6329,-22626,-763777,-543033,-1306103,-1355944,-1118653,-4589001,-5287673
82,Other Non-Cash Items,- -,- -,- -,- -,-65,55,49917,-39381,19685,118859,-272356,837100,18956,-256298,6329094,- -
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-1465,-9324,-26503,-18799,-12909,-682851,-534708,-512034,-1597563,-2620665,-2327148,-2334760
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1101839,-4167621,-186519,-55498
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,233289,- -,- -,-950000,-2817618,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,233289,- -,- -,-1101839,-4202000,-186519,-55498
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155086,- -,-514038,-324973,- -,- -,-277000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,80738,371776,534196,432641,440211,- -,1000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5000,- -,-109416,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,12400,26835,127839,12902,526709,188006,466662,2742721,6547353,2255943,2624459
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,7400,26835,18423,12902,452361,559782,486820,2850389,6987564,2255943,2348459
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-1465,-1924,332,-376,- -,2799,25074,-25215,150989,164899,-257723,-41798
98,Cash at the End of Period,- -,- -,- -,- -,1975,51,383,7,- -,210,25284,69,151058,315957,58233,16435
99,Cash at the Beginning of Period,- -,- -,- -,- -,3440,1975,51,383,7,-2589,210,25284,69,151058,315956,58233
100,Free Cash Flow,- -,- -,- -,- -,-1465,-9324,-26503,-18799,-12909,-682851,-534708,-512034,-2699402,-6788286,-2513667,-2390258
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882800/000149315220002997/0001493152-20-002997-index.htm,https://www.sec.gov/Archives/edgar/data/882800/000149315220008094/0001493152-20-008094-index.htm,https://www.sec.gov/Archives/edgar/data/882800/000149315221008947/0001493152-21-008947-index.htm,https://www.sec.gov/Archives/edgar/data/882800/000149315222009572/0001493152-22-009572-index.htm
102,false,,,,,,,,,,,,,,,,
