,https://roic.ai/company/WNS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,9872000,11308000,16662000,21321000,46701000,53574000,51169000,45436000,41059000,37749000,38579000,40633000,37442000,35459000,36117000,62873000,62645000
15,EBITDA,-6720000,5164000,31211000,45817000,36015000,69863000,72105000,70056000,73442000,75761000,96520000,120861000,121958000,93159000,140541000,170535000,223776000,209577000
16,EBITDA ratio,-0.0774,0.0318,0.1539,0.1301,0.0783,0.1296,0.1238,0.1137,0.1549,0.1646,0.1920,0.2264,0.2169,0.1546,0.1854,0.2108,0.2411,0.2296
17,Operating Income,- -,-4384000,19876000,26755000,5513000,28514000,24560000,12051000,27963000,30129000,49359000,70451000,72844000,47151000,94901000,119762000,146588000,135054000
18,Operating Income ratio,- -,-0.0270,0.0980,0.0759,0.0120,0.0529,0.0422,0.0196,0.0590,0.0655,0.0982,0.1320,0.1296,0.0783,0.1252,0.1480,0.1579,0.1480
19,Total Other Income Expenses (Gains),- -,-324000,27000,2400000,9181000,-17421000,-20875000,-1912000,-3974000,1134000,6577000,10580000,8216000,8142000,6966000,11390000,-2636000,-2363000
20,Income Before Tax,- -,-4708000,19903000,29155000,14694000,11093000,3685000,10139000,23989000,31263000,55936000,81031000,81060000,55293000,101867000,131152000,143952000,132691000
21,Income Before Tax Ratio,- -,-0.0290,0.0981,0.0828,0.0320,0.0206,0.0063,0.0165,0.0506,0.0679,0.1113,0.1518,0.1442,0.0918,0.1344,0.1621,0.1551,0.1454
22,Income Tax expense (Gain),- -,1068000,1574000,2574000,5194000,3302000,998000,1052000,11456000,9864000,14289000,22417000,21180000,17530000,15431000,25719000,27183000,30074000
23,Net Income,-6720000,-5776000,18329000,26581000,9500000,8078000,3710000,9817000,12533000,21399000,41647000,58614000,59880000,37763000,86436000,105433000,116769000,102617000
24,Net Income ratio,-0.0774,-0.0356,0.0904,0.0755,0.0207,0.0150,0.0064,0.0159,0.0264,0.0465,0.0829,0.1098,0.1065,0.0627,0.1140,0.1303,0.1258,0.1124
25,EPS,-0.22,-0.19,0.56,0.69,0.23,0.19,0.09,0.21,0.28,0.43,0.82,1.14,1.17,0.75,1.72,2.10,2.35,2.06
26,EPS Diluted,-0.22,-0.19,0.52,0.65,0.22,0.19,0.08,0.21,0.27,0.41,0.79,1.10,1.12,0.71,1.63,2.02,2.24,1.97
27,Weighted Average Shares Outstanding,30545455,30969658,32874299,38523188,41304348,42520404,43093316,44260713,44642857,49767442,50731707,51403509,51196581,50400000,50232558,50190476,49702128,49805825
28,Weighted Average Shares Outstanding Diluted,30545455,30969658,35029766,40893846,43181818,43108599,44174128,45020833,46296296,52195122,52658228,53272727,53482143,53239437,53006135,52178218,52142857,52081218
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9099000,18549000,112340000,102698000,38931000,32311000,27090000,46725000,27878000,33691000,32448000,41854000,69803000,99829000,85444000,96929000,105633000
32,Short-Term Investments,- -,- -,- -,12000000,8074000,14304000,11417000,12000,26384000,46473000,83817000,133542000,132989000,111992000,120960000,67913000,125641000,203676000
33,Cash and Short-Term Investments,- -,9099000,18549000,124340000,110772000,53235000,43728000,27102000,73109000,74351000,117508000,165990000,174843000,181795000,220789000,153357000,222570000,309309000
34,Net Receivables,- -,26014000,29003000,41881000,49067000,62066000,46347000,110655000,102299000,95746000,103807000,102517000,106419000,118582000,140777000,146983000,162463000,164315000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,8881000,9843000,17201000,22239000,48240000,86862000,47008000,50215000,33709000,32545000,46573000,41196000,62677000,38983000,35071000,43801000,36283000
37,Total Current Assets,- -,43994000,57395000,183422000,182078000,163541000,176937000,184765000,225623000,203806000,253860000,315080000,322458000,363054000,400549000,335411000,428834000,509907000
38,PP&E,- -,24670000,30623000,41830000,50840000,55992000,51700000,48592000,45418000,48440000,45165000,48230000,50417000,54796000,60606000,60998000,216082000,219038000
39,Goodwill,- -,26550000,33774000,37356000,87470000,81679000,90662000,94036000,86695000,87132000,85654000,79058000,76242000,134008000,135186000,130811000,121304000,123979000
40,Intangible Assets,- -,151000,8713000,7091000,9393000,217372000,188079000,156587000,115141000,92104000,67222000,43274000,27117000,96624000,89652000,80188000,70100000,65141000
41,Intangible Assets,- -,26701000,42487000,44447000,96863000,299051000,278741000,250623000,201836000,179236000,152876000,122332000,103359000,230632000,224838000,210999000,191404000,189120000
42,Investments,- -,- -,- -,- -,- -,- -,7086000,2000,2000,43218000,28674000,- -,- -,429000,542000,82487000,80135000,85875000
43,Tax Assets,- -,722000,1308000,3101000,8055000,15584000,25184000,33742000,43712000,41642000,37066000,21331000,22522000,16687000,27395000,23772000,28942000,33022000
44,Other Non-Current Assets,- -,1892000,2990000,3081000,8669000,17758000,10242000,10695000,8430000,18551000,20784000,23328000,26695000,38525000,45633000,71963000,66932000,69186000
45,Total Non-Current Assets,- -,53985000,77408000,92459000,164427000,388385000,372953000,343654000,299398000,331087000,284565000,215221000,202993000,341069000,359014000,450219000,583495000,596241000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,97979000,134803000,275881000,346505000,551926000,549890000,528419000,525021000,534893000,538425000,530301000,525451000,704123000,759563000,785630000,1012329000,1106148000
48,Accounts Payable,- -,22966000,23074000,18751000,15568000,30921000,27900000,43748000,47304000,29321000,29059000,22706000,19862000,14239000,19703000,17831000,29333000,28015000
49,Short-Term Debt,- -,10315000,184000,13000,- -,49331000,40000000,64593000,49996000,62622000,71220000,25709000,- -,27613000,27740000,27969000,40105000,42775000
50,Tax Payable,- -,- -,- -,- -,- -,3995000,2550000,3088000,8183000,8670000,6534000,5976000,5547000,6678000,6379000,7344000,8812000,10777000
51,Deferred Revenue,- -,11478000,8994000,9827000,7790000,5583000,4891000,6962000,6180000,6508000,5371000,3881000,2924000,5478000,2908000,5427000,10281000,12685000
52,Other Current Liabilities,- -,10069000,21211000,34819000,88443000,81875000,101112000,79377000,84121000,83934000,79194000,75748000,80545000,101434000,116910000,110733000,126120000,123991000
53,Total Current Liabilities,- -,54828000,53463000,63410000,111801000,167710000,173903000,194680000,187601000,182385000,184844000,128044000,103331000,148764000,167261000,161960000,205839000,207466000
54,Long-Term Debt,- -,200000,2000,- -,- -,155000000,95000000,43095000,36674000,33741000,13509000,- -,- -,89130000,61391000,33422000,172209000,165880000
55,Deferred Revenue,- -,- -,- -,- -,- -,5528000,3515000,5976000,4072000,3308000,1677000,402000,256000,378000,571000,6609000,20073000,16645000
56,Deferred Tax Liabilities,- -,- -,2350000,23000,1834000,9946000,8343000,5953000,4097000,3606000,2949000,2273000,1789000,20800000,11812000,10706000,10055000,10228000
57,Other Non-Current Liabilities,- -,- -,824000,6920000,5720000,25746000,15248000,7496000,8450000,11256000,10476000,10476000,11886000,29985000,23572000,20514000,17043000,21837000
58,Total Non-Current Liabilities,- -,200000,3176000,6943000,7554000,196220000,122106000,62520000,53293000,51911000,28611000,13151000,13931000,140293000,97346000,71251000,219380000,214590000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,200000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178892000,191907000
61,Total Liabilities,- -,55028000,56639000,70353000,119355000,363930000,296009000,257200000,240894000,234296000,213455000,141195000,117262000,289057000,264607000,233211000,425219000,422056000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4585000,5290000,6519000,6622000,6667000,6848000,6955000,7842000,7922000,8044000,8141000,8211000,8333000,8533000,8056000,7874000,7977000
64,Retained Earnings,- -,-14225000,4104000,30685000,38839000,46917000,50797000,60259000,59122000,80084000,121731000,180345000,240225000,277988000,364424000,478145000,586340000,688957000
65,Other Comprehensive Income/Loss,- -,9069000,6542000,13372000,14230000,-49710000,-7573000,-4045000,- -,- -,- -,- -,- -,- -,- -,-146894000,- -,- -
66,Other Total Stockholders Equity,- -,43522000,62228000,154952000,167459000,184122000,203531000,208050000,217163000,212591000,195195000,200620000,159753000,128745000,121999000,213112000,-7104000,-12842000
67,Total Stockholders Equity,- -,42951000,78164000,205528000,227150000,187996000,253603000,271219000,284127000,300597000,324970000,389106000,408189000,415066000,494956000,552419000,587110000,684092000
68,Total Liabilities And Stockholders Equity,- -,97979000,134803000,275881000,346505000,551926000,549612000,528419000,525021000,534893000,538425000,530301000,525451000,704123000,759563000,785630000,1012329000,1106148000
69,Minority Interest,- -,- -,- -,- -,- -,- -,278000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,97979000,134803000,275881000,346505000,551926000,549890000,528419000,525021000,534893000,538425000,530301000,525451000,704123000,759563000,785630000,1012329000,1106148000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-5776000,18329000,26581000,9500000,8078000,3710000,9817000,12533000,21399000,41647000,58614000,59880000,37763000,86436000,105433000,116769000,102617000
74,Depreciation and Amortization,- -,9872000,11308000,16662000,21321000,46701000,53574000,51169000,45436000,41059000,37749000,38579000,40633000,37442000,35459000,36117000,62873000,62645000
75,Deferred Income Tax,- -,-71000,-1028000,-4122000,-5387000,-8722000,-11251000,-12006000,-11376000,9864000,14289000,22417000,21180000,17530000,15431000,25719000,27183000,30074000
76,Stock Based Compensation,- -,- -,- -,- -,- -,13422000,15127000,4014000,5309000,5343000,6935000,9499000,17919000,23036000,30565000,30305000,37520000,38230000
77,Change in Working Capital,- -,-2512000,4121000,2296000,-7962000,4438000,-6968000,-23272000,-3786000,2130000,-7370000,-1642000,-11695000,1247000,-7418000,-15754000,14247000,14357000
78,Accounts Receivable,- -,- -,- -,- -,- -,4611000,- -,-20414000,4657000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,3628000,-3830000,13643000,3763000,-17406000,-2442000,-3671000,-2290000,-4203000,2029000,-585000,13876000,-4412000
81,Other Working Capital,- -,-779000,-1067000,16763000,12754000,4245000,4445000,-24603000,-1093000,-268000,-2881000,-2577000,-1050000,2303000,-2560000,8714000,19017000,-2687000
82,Other Non-Cash Items,- -,308000,2116000,-2099000,23579000,-1020000,83000,6084000,9131000,-14984000,-11859000,-31929000,-25050000,-24883000,-24165000,-32166000,-29971000,-34197000
83,Cash Provided by Operating Activities,- -,1821000,34846000,39318000,41051000,62897000,54275000,35806000,57247000,64811000,81391000,95538000,102867000,92135000,136308000,149654000,228621000,213726000
84,CAPEX,- -,-18267000,-14893000,-27475000,-28134000,-22693000,-13257000,-15263000,-21218000,-21152000,-19563000,-22968000,-27455000,-22867000,-33684000,-32292000,-27860000,-26530000
85,Acquisitions Net,- -,- -,-3862000,-938000,-36121000,-290994000,-1461000,-494000,- -,-7053000,-7608000,-328000,-2572000,-101280000,-5592000,-7155000,-1745000,- -
86,Purchases of Investments,- -,- -,- -,-12000000,- -,-41983000,- -,-2000,-27995000,-64830000,-26929000,-88073000,-44407000,-25134000,-26584000,-106722000,-76095000,-73736000
87,Sales/Maturities of Investments,- -,- -,- -,- -,3969000,39710000,9548000,34000,- -,- -,- -,66126000,38943000,47525000,18037000,74870000,8630000,7300000
88,Other Investing Activites,- -,- -,77000,1841000,1748000,342000,660000,309000,-1483000,-17663000,-16358000,-17970000,-22086000,-52378000,-29444000,-32340000,-27778000,-26341000
89,Cash Used for Investing Activites,- -,-18267000,-18678000,-38572000,-58538000,-315618000,-4510000,-15416000,-50696000,-89546000,-50895000,-40245000,-30122000,-131267000,-43583000,-71347000,-96988000,-92777000
90,Debt Repayment,- -,- -,- -,- -,- -,-19493000,-69185000,-94142000,-50000000,-26133000,-16836000,-12007000,-13163000,- -,-28100000,-28100000,-48993000,-39873000
91,Common Stock Issued,- -,666000,3942000,6672000,4204000,988000,1348000,- -,49950000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30461000,-64224000,-39546000,-56417000,-63737000,-78563000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,9488000,-10299000,84306000,1463000,217445000,5671000,65150000,27485000,39290000,1902000,-42888000,-11526000,125783000,1626000,1260000,998000,674000
95,Cash Used/Provided by Financing Activities,- -,10154000,-6357000,90978000,5667000,198940000,-62166000,-28992000,27435000,13157000,-14934000,-54895000,-55150000,61559000,-66020000,-83257000,-111732000,-117762000
96,Effect of Forex Changes on Cash,- -,566000,-361000,2068000,2178000,-9986000,5781000,3381000,-14351000,-7269000,-9749000,-1641000,-8189000,5522000,3321000,-9435000,-8416000,5517000
97,Net Change In Cash,- -,-5726000,9450000,93791000,-9642000,-63767000,-6620000,-5221000,19635000,-18847000,5813000,-1243000,9406000,27949000,30026000,-14385000,11485000,8704000
98,Cash at the End of Period,- -,9099000,18549000,112340000,102698000,38931000,32311000,27090000,46725000,27878000,33691000,32448000,41854000,69803000,99829000,85444000,96929000,105633000
99,Cash at the Beginning of Period,- -,14825000,9099000,18549000,112340000,102698000,38931000,32311000,27090000,46725000,27878000,33691000,32448000,41854000,69803000,99829000,85444000,96929000
100,Free Cash Flow,- -,-16446000,19953000,11843000,12917000,40204000,41018000,20543000,36029000,43659000,61828000,72570000,75412000,69268000,102624000,117362000,200761000,187196000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,
