,https://roic.ai/company/DPWW,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559172/000147793214002648/0001477932-14-002648-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000147793215000856/0001477932-15-000856-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000149315216009504/0001493152-16-009504-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000149315217004707/0001493152-17-004707-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000149315218005326/0001493152-18-005326-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000173112219000196/0001731122-19-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000173112220000616/0001731122-20-000616-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000173112221000565/0001731122-21-000565-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,10302,114429,25473,36001,51333,158702,60437,317446,327864
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10302,114429,25473,36001,51333,158702,60437,317446,327864
34,Net Receivables,37000,- -,- -,18927,- -,170677,493620,391273,523958
35,Inventory,- -,- -,- -,80971,47025,32945,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,482765,21621,54170,12111,11275
37,Total Current Assets,47302,114429,25473,135899,581123,383945,608227,720830,863097
38,PP&E,465,2295,1548,838754,758112,409128,- -,3009163,1062592
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,116667,43333,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,323000,320000,320000,409595,938177,1120422
45,Total Non-Current Assets,465,2295,1548,1278421,1121445,729128,409595,3947340,2183014
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47767,116724,27021,1414320,1702568,1113073,1017822,4668170,3046111
48,Accounts Payable,- -,- -,65178,585997,2031600,626258,612580,514196,526377
49,Short-Term Debt,- -,- -,- -,1146628,1952146,908831,1447680,3303227,3841320
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,21816,45402,- -,53000,160957,304878,178210,- -,- -
52,Other Current Liabilities,111396,109841,16025,846733,847576,4955493,7043543,6906233,8262922
53,Total Current Liabilities,133212,155243,81203,2632358,4992279,6795460,9282013,10723656,12630619
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2299152,921932
55,Deferred Revenue,21822,- -,- -,370000,316000,262000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,8750,- -
58,Total Non-Current Liabilities,21822,- -,- -,370000,316000,262000,- -,2307902,921932
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2975488,1043173
61,Total Liabilities,155034,155243,81203,3002358,5308279,7057460,9282013,13031558,13552551
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5,6,6,38,49,143,28,114,216
64,Retained Earnings,-68860,-43645,-63400,-21699153,-28114125,-42764086,-49354030,-51968902,-55110000
65,Other Comprehensive Income/Loss,-1635,6898,10990,- -,-9447,-444285,- -,- -,- -
66,Other Total Stockholders Equity,-36777,-1778,-1778,20111077,24517812,37263841,41089811,43605400,44603344
67,Total Stockholders Equity,-107267,-38519,-54182,-1588038,-3605711,-5944387,-8264191,-8363388,-10506440
68,Total Liabilities And Stockholders Equity,47767,116724,27021,1414320,1702568,1113073,1017822,4668170,3046111
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,47767,116724,27021,1414320,1702568,1113073,1017822,4668170,3046111
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559172/000147793214002648/0001477932-14-002648-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000147793215000856/0001477932-15-000856-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000149315216009504/0001493152-16-009504-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000149315217004707/0001493152-17-004707-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000149315218005326/0001493152-18-005326-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000173112219000196/0001731122-19-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000173112220000616/0001731122-20-000616-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000173112221000565/0001731122-21-000565-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-68860,25215,-19755,-16518387,-7066685,-14649961,-6904944,-2570904,-3000427
74,Depreciation and Amortization,93,451,594,- -,9447,456918,498400,139595,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,13167772,3323257,3984014,1731267,1014756,192475
77,Change in Working Capital,43602,45096,-14916,-2440729,-1914697,-2000359,-2262271,116047,165939
78,Accounts Receivable,-37000,28048,- -,-1110,1110,-170677,45784,-222414,-132685
79,Inventory,- -,- -,- -,-80971,33946,14080,8979,- -,- -
80,Accounts Payable,- -,- -,- -,287059,1472125,-150294,23069,-98385,12181
81,Other Working Capital,-85910,-40814,-55730,-2496459,-4411156,-6411515,-8673786,-463416,- -
82,Other Non-Cash Items,- -,8592,-47447,3138006,5091438,11168856,5735930,116515,2295565
83,Cash Provided by Operating Activities,-25165,79354,-81524,-2653338,-557240,-1040532,-1201618,-1183991,-346448
84,CAPEX,-558,-2311,- -,-584764,-860469,-125000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-200000,3000,- -,- -,550000,- -
89,Cash Used for Investing Activites,-558,-2311,- -,-784764,-857469,-125000,- -,550000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-129050,-75269,-120500,-49578
91,Common Stock Issued,- -,35000,- -,1164375,845491,56951,20872,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,37660,-15919,-1645,2276627,584550,1345000,1157750,1011500,406444
95,Cash Used/Provided by Financing Activities,37660,19081,-1645,3441002,1430041,1272901,1103353,891000,356866
96,Effect of Forex Changes on Cash,-1635,8003,-5787,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,104127,-88956,2900,15332,107369,-98265,257009,10418
98,Cash at the End of Period,10302,114429,25473,36001,51333,158702,60437,317446,327864
99,Cash at the Beginning of Period,- -,10302,114429,33101,36001,51333,158702,60437,317446
100,Free Cash Flow,-25723,77043,-81524,-3238102,-1417709,-1165532,-1201618,-1183991,-346448
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559172/000147793214002648/0001477932-14-002648-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000147793215000856/0001477932-15-000856-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000149315216009504/0001493152-16-009504-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000149315217004707/0001493152-17-004707-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000149315218005326/0001493152-18-005326-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000173112219000196/0001731122-19-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000173112220000616/0001731122-20-000616-index.htm,https://www.sec.gov/Archives/edgar/data/1559172/000173112221000565/0001731122-21-000565-index.htm
102,false,,,,,,,,,
