,https://roic.ai/company/LC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,8400000,56100000,5300000,- -,- -,- -,297211000,297509000,127841000,178972000,279169000,150501000,295256000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,131493000,74627000,209491000,524339000,- -,2860067000,-297211000,4270977000,3800387000,2942934000,-279169000,- -,- -
45,Total Non-Current Assets,139993000,130827000,214991000,524864000,- -,2996012000,159584000,4719593000,4087717000,3253829000,222404000,332606000,637836000
46,Other Assets,- -,- -,- -,- -,1943395000,- -,- -,- -,- -,- -,- -,2195899000,5538155000
47,Total Assets,31100000,68000000,169900000,403330000,1943395000,3890054000,5793634000,5562631000,4640831000,3819527000,2982341000,1863293000,4900319000
48,Accounts Payable,600000,400000,300000,3488000,22265000,32856000,45786000,54463000,42393000,26345000,20115000,8270000,100972000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,458802000,587453000,104989000,27780000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,56117000,22141000,536000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,-47317000,-21241000,150664000,363112000,- -,2883979000,- -,- -,376952000,-98840000,-87368000,- -,- -
53,Total Current Liabilities,9400000,1300000,151500000,366600000,- -,2916835000,- -,- -,419345000,386307000,520200000,113259000,128752000
54,Long-Term Debt,9600000,64500000,2900000,361164000,1839990000,2813618000,4571583000,4320895000,3298991000,2162229000,1122076000,884120000,402213000
55,Deferred Revenue,- -,- -,- -,- -,653000,2136000,7166000,14194000,18149000,25631000,13688000,4923000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1332000,3446000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-360764000,- -,- -,- -,- -,-18149000,376159000,426190000,- -,- -
58,Total Non-Current Liabilities,9600000,64500000,2900000,400000,1840643000,2817086000,4582195000,4335089000,3298991000,2564019000,1561954000,889043000,402213000
59,Other Liabilities,- -,- -,- -,85599000,3715944000,- -,9333969000,8921950000,- -,- -,- -,1914906000,4323538000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112344000,94538000,91588000
61,Total Liabilities,19000000,65800000,154400000,451799000,1875301000,2916835000,4751774000,4586861000,3713074000,2948546000,2082154000,1139122000,4050077000
62,Preferred Stock,- -,- -,- -,- -,103244000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100000,100000,100000,91000,138000,3714000,3797000,4003000,4198000,4319000,892000,881000,1010000
64,Retained Earnings,-19900000,-30200000,-41500000,-53399000,-50329000,-83223000,-88218000,-234187000,-389419000,-517727000,-548472000,-786214000,-767634000
65,Other Comprehensive Income/Loss,-100000,-200000,-200000,-321000,- -,-7983000,-1671000,-767000,-5000,157000,-565000,1484000,7046000
66,Other Total Stockholders Equity,32000000,32500000,57100000,5160000,15041000,1060711000,1127952000,1206721000,1307721000,1382452000,1448332000,1508020000,1609820000
67,Total Stockholders Equity,12100000,2200000,15500000,-48469000,68094000,973219000,1041860000,975770000,922495000,869201000,900187000,724171000,850242000
68,Total Liabilities And Stockholders Equity,31100000,68000000,169900000,403330000,1943395000,3890054000,5793634000,5562631000,4635569000,3817747000,2982341000,1863293000,4900319000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,5262000,1780000,- -,- -,- -
70,Total Liabilities & Equity,31100000,68000000,169900000,403330000,1943395000,3890054000,5793634000,5562631000,4640831000,3819527000,2982341000,1863293000,4900319000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1409970/000095012309014424/0000950123-09-014424-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000095012310062067/0000950123-10-062067-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000095012311062871/0000950123-11-062871-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000119312512290153/0001193125-12-290153-index.html,- -,https://www.sec.gov/Archives/edgar/data/1409970/000119312515070385/d851207d10k.htm,https://www.sec.gov/Archives/edgar/data/1409970/000140997016001762/0001409970-16-001762-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997017000255/0001409970-17-000255-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997018000231/0001409970-18-000231-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997019000222/0001409970-19-000222-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997020000212/0001409970-20-000212-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997021000016/0001409970-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1409970/000140997022000006/0001409970-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-12100000,-10300000,-11300000,-11944000,7308000,-32894000,-4995000,-145969000,-153835000,-128308000,-30745000,-187538000,18580000
74,Depreciation and Amortization,60000,70000,80000,150000,1663000,10258000,21578000,29882000,46208000,54764000,59152000,54029000,5575000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,73677000,154134000,210591000,641000,6490000,37150000,51222000,69244000,70983000,75087000,73639000,61533000,66759000
77,Change in Working Capital,270000,54166000,-132464000,-291543000,488134000,-2022793000,7656843000,-4791012000,-709269000,45622000,2060346000,-2239737000,16639000
78,Accounts Receivable,-61447000,18638000,-44812000,-2351000,-10454000,-8287000,-13819000,-2218000,6293000,-3785000,-16298000,-5048000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,226644000,-207762000,-163008000,3224000,12851000,11580000,12682000,8912000,-12495000,-16377000,-5685000,-11610000,- -
81,Other Working Capital,-118293000,-64127000,-196591000,-488134000,- -,-2022793000,5634050000,843038000,133769000,179391000,2239737000,- -,- -
82,Other Non-Cash Items,-72187000,-206200000,-76407000,292145000,-502456000,2058199000,-7649907000,4838400000,155099000,-686115000,-2433036000,2729744000,132316000
83,Cash Provided by Operating Activities,-10280000,-8130000,-9500000,-10551000,1139000,49920000,74741000,545000,-590814000,-638950000,-270644000,418031000,239869000
84,CAPEX,-28179000,-61890000,-162918000,-383000,-10435000,-20572000,-39387000,-51842000,-44615000,-52976000,-50668000,-31147000,-34413000
85,Acquisitions Net,- -,- -,- -,- -,- -,-109464000,- -,- -,- -,- -,- -,- -,522892000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-419173000,-85983000,-139770000,-136445000,-144481000,-53736000,-100474000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,120420000,87158000,363080000,202450000,236528000,231675000,249594000
88,Other Investing Activites,14999000,10380000,62028000,-218423000,-1110180000,-1127039000,-2068560000,-372290000,755118000,865707000,612389000,418979000,-1092009000
89,Cash Used for Investing Activites,-13180000,-51510000,-100890000,-218806000,-1120615000,-1257075000,-2406700000,-422957000,933813000,878736000,653768000,565771000,-454410000
90,Debt Repayment,- -,- -,- -,-104552000,-505999000,-1107911000,-1827002000,-2440431000,-3078777000,-3561423000,-4132703000,-2479733000,-1092916000
91,Common Stock Issued,8835000,25340000,9408000,158000,- -,827680000,5091000,5244000,5611000,5233000,2411000,- -,- -
92,Common Stock Repurchased,17300000,30000,24400000,- -,- -,- -,- -,-19485000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50204000,- -
94,Other Financing Activites,3725000,24840000,87352000,351659000,1622223000,2307867000,3907621000,2769155000,2616284000,3316173000,3590232000,1687498000,1442558000
95,Cash Used/Provided by Financing Activities,29860000,50210000,121160000,247265000,1116224000,2027636000,2085710000,314483000,-456882000,-240017000,-540060000,-842439000,349642000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6390000,-9430000,10760000,17908000,-3252000,820481000,-246249000,-107929000,-113883000,-231000,-156936000,141363000,135101000
98,Cash at the End of Period,6390000,2570000,13360000,31244000,49299000,869780000,623531000,515602000,401719000,644058000,487122000,628485000,763586000
99,Cash at the Beginning of Period,- -,12000000,2600000,13336000,52551000,49299000,869780000,623531000,515602000,644289000,644058000,487122000,628485000
100,Free Cash Flow,-10310000,-8190000,-9660000,-10934000,-9296000,29348000,35354000,-51297000,-635429000,-691926000,-321312000,386884000,205456000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1409970/000095012309014424/0000950123-09-014424-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000095012310062067/0000950123-10-062067-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000095012311062871/0000950123-11-062871-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000119312512290153/0001193125-12-290153-index.html,- -,https://www.sec.gov/Archives/edgar/data/1409970/000119312515070385/d851207d10k.htm,https://www.sec.gov/Archives/edgar/data/1409970/000140997016001762/0001409970-16-001762-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997017000255/0001409970-17-000255-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997018000231/0001409970-18-000231-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997019000222/0001409970-19-000222-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997020000212/0001409970-20-000212-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997021000016/0001409970-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1409970/000140997022000006/0001409970-22-000006-index.htm
102,false,,,,,,,,,,,,,
