,https://roic.ai/company/GNSS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,23097,12131,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7166000,6608000
61,Total Liabilities,367990,558956,300000,500000,445739,843789,4674516,2016200,2452376,5066532,5104805,1643004,1941718,2969811,2833043,4225420,1983278,2797486,5076029,1722451,2242648,3673761,8371590,11738634,22232000,24170000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,3,3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,86,98,- -,100000,133,137,144,193,198,243,301,305,305,306,306,324,324,329,332,329,318,322,332,330,- -,- -
64,Retained Earnings,-2025937,-4170300,-8800000,-11800000,-14873693,-19919912,-28140044,-36367057,-42327493,-51414200,-61060587,-67501135,-73861411,-74904164,-70421488,-65398586,-63936566,-62673754,-59346666,-49658850,-51895099,-52771853,-56516895,-53731903,-41858000,-41154000
65,Other Comprehensive Income/Loss,- -,- -,-400000,-500000,-578885,-737518,-902873,-1050692,-1193531,-880319,-916267,-1228465,-1301082,-1473868,-1397207,-1484171,-1084080,-1195523,-1326125,-301,-1549,-1269,-245375,-458719,-250000,2000
66,Other Total Stockholders Equity,3253323,7863124,10600000,13900000,22282320,23650788,28157891,47145724,48713738,62436614,75579927,80345257,82676019,84421813,82156079,87157731,87442091,88630357,89375250,87608034,86467215,87956839,90251145,89571641,93497000,- -
67,Total Stockholders Equity,1227472,3692922,1400000,1700000,6829875,2993495,-884882,9728171,5192915,10142338,13603374,11615962,7513831,8044087,10337690,20275298,22421769,24761409,28702791,37949212,34570885,35184039,33489207,35381349,49140000,65958000
68,Total Liabilities And Stockholders Equity,1595462,4251878,1700000,2200000,7275614,3837284,3789634,11744371,7645291,15208870,18708179,13258966,9455549,11013898,13170733,24500718,24405047,27558895,33778820,39671663,36813533,38857800,41860797,47119983,71372000,90128000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1595462,4251878,1700000,2200000,7275614,3837284,3789634,11744371,7645291,15208870,18708179,13258966,9455549,11013898,13170733,24500718,24405047,27558895,33778820,39671663,36813533,38857800,41860797,47119983,71372000,90128000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/924383/0000936392-98-000988-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/924383/000089843000004014/0000898430-00-004014-index.html,https://www.sec.gov/Archives/edgar/data/924383/000102140801511695/0001021408-01-511695-index.html,https://www.sec.gov/Archives/edgar/data/924383/000095016802003916/0000950168-02-003916-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000101968703002557/0001019687-03-002557-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000101968704002933/0001019687-04-002933-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000101968705003508/0001019687-05-003508-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312507002417/0001193125-07-002417-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312508002436/0001193125-08-002436-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312508247995/0001193125-08-247995-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312509245063/0001193125-09-245063-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312510272302/0001193125-10-272302-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312511330669/0001193125-11-330669-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312512490634/0001193125-12-490634-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774913015128/0001437749-13-015128-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774914021173/0001437749-14-021173-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774915021734/0001437749-15-021734-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774916043040/0001437749-16-043040-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774917020614/0001437749-17-020614-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774918022542/0001437749-18-022542-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774919024099/0001437749-19-024099-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774920025049/0001437749-20-025049-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774921027262/0001437749-21-027262-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-560448,-2144363,-4600000,-3000000,-3068046,-5046219,-8220132,-8227013,-5960436,-9086707,-7707799,-5560848,-6360276,-1042753,2983613,5022902,1462020,1262812,3327088,9687816,-1281599,-876754,-3745042,2784992,11874000,704000
74,Depreciation and Amortization,74493,97920,100000,100000,226986,621967,2357248,954612,239948,1167566,463198,479200,352514,312382,271370,138191,93931,146307,209975,238314,167693,153283,483087,824889,1399000,2291000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8339000,-188000,196000,2374000,570000,-5708000,433000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1562633,479771,422643,684451,736378,585753,619201,605426,1116400,584873,735003,980000,1424000
77,Change in Working Capital,-96050,2672020,-2719807,100000,3694743,-3902703,-337327,7929497,-5011226,6253325,2932554,-2886788,-3666789,752753,3019386,9154430,2280395,2391725,3976024,-2078285,-2508030,2318422,-4321634,3674706,5030822,884000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,772065,-2766440,-910149,-424118,559962,678253,2167728,-1292589,-2272970,3149579,-854676,-1775000,-2138000
79,Inventory,-28555,124116,-100000,-200000,114848,-24540,60132,-272063,-332151,-1932502,-2693851,-679175,695199,-325157,193946,64830,-531078,-1331575,655047,-1096128,2309,-519568,-1648484,756732,-521000,-846000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3607,- -,75155,-44483,600690,-765906,-126561,-129376,537800,192638,-2211695,477000,600000
81,Other Working Capital,1047787,3719807,1000000,1100000,4794743,892040,554713,8484210,3472984,9726309,12658863,9772075,6105286,6858039,9877425,19031855,21312250,23703975,27679999,25601714,23093684,25412106,21090472,24765178,29796000,- -
82,Other Non-Cash Items,-29345,-2198002,4719807,-100000,-4544282,4698702,2020925,-6114465,4701671,-7136106,-6475055,3835499,6264619,993615,-6381944,-10720455,-4326619,-2781523,304015,7765,2055413,-3574123,5876535,1265441,-6657822,414000
83,Cash Provided by Operating Activities,-611350,-1572425,-2500000,-2900000,-3690599,-3628253,-4179286,-5457369,-6030043,-8801922,-10787102,-4132937,-3409932,2578630,372196,4017711,194178,1755699,8402855,135811,-1149097,-666772,1251819,9855031,6918000,6150000
84,CAPEX,-42715,-176766,-100000,-100000,-204625,-441616,-84080,-108246,-395932,-480926,-659927,-245630,-310401,-181373,-84048,-60179,-205435,-150459,-341847,-354743,-173594,-182326,-625845,-343126,-140000,-208000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2431795,- -,- -,-15848000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4299414,-825795,-2908093,-4920547,-4495228,-8056000,-5144000
87,Sales/Maturities of Investments,- -,- -,- -,- -,988315,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2961367,5190821,4228068,5061000,5646000
88,Other Investing Activites,-30007,-101235,-100000,-200000,-474276,-246674,-293918,-112007,-346818,-275587,6610,36500,665,-38650,-19505,-2291,-3631,-2955,-341847,-354743,-173594,-182326,-625845,-343126,-140000,-208000
89,Cash Used for Investing Activites,-72722,-278001,-200000,-300000,309414,-688290,-377998,-220253,-742750,-756513,-653317,-209130,-309736,-181373,-83948,-60179,-205435,-150459,-341847,-4654157,-999389,-129052,-2787366,-610286,-3135000,-15554000
90,Debt Repayment,-69584,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1175205,-17044,-17000,-18000
91,Common Stock Issued,432084,363650,300000,2800000,7436564,225000,2293998,14268603,1111317,16566389,11593813,860262,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-516352,-1564666,-1748456,- -,-725445,-2171022,-398000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-954650,- -,- -,- -,- -,- -
94,Other Financing Activites,920000,4167903,- -,- -,- -,800000,2716934,-548343,-9914,-839143,-604831,- -,- -,10376,30417,4492063,- -,340450,544893,504371,2200,133000,2497544,703313,1094000,31000
95,Cash Used/Provided by Financing Activities,1282500,4531553,300000,2800000,7436564,1025000,5010932,13720260,1101403,15727246,10988982,860262,- -,10376,30417,4492063,- -,340450,28541,-1060295,-2700906,133000,596894,-1484753,679000,13000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59160,-49148,17000,-77000
97,Net Change In Cash,598428,2681127,-2300000,-400000,4055379,-3291543,453648,8042638,-5671390,6168811,-451437,-3481805,-3719668,2407633,318665,8449595,-11257,1945690,8089549,-5578641,-4849392,-662824,-997813,7710844,4479000,-9468000
98,Cash at the End of Period,657331,3338458,1000000,600000,4645615,1354072,1807720,9850358,4178968,10347779,9896342,6414537,2694869,5102502,5421167,13870762,13859505,15805195,23894744,18316103,13466711,12803887,11806074,19516918,23996000,14528000
99,Cash at the Beginning of Period,58903,657331,3300000,1000000,590236,4645615,1354072,1807720,9850358,4178968,10347779,9896342,6414537,2694869,5102502,5421167,13870762,13859505,15805195,23894744,18316103,13466711,12803887,11806074,19517000,23996000
100,Free Cash Flow,-654065,-1749191,-2600000,-3000000,-3895224,-4069869,-4263366,-5565615,-6425975,-9282848,-11447029,-4378567,-3720333,2397257,288148,3957532,-11257,1605240,8061008,-218932,-1322691,-849098,625974,9511905,6778000,5942000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/924383/0000936392-98-000988-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/924383/000089843000004014/0000898430-00-004014-index.html,https://www.sec.gov/Archives/edgar/data/924383/000102140801511695/0001021408-01-511695-index.html,https://www.sec.gov/Archives/edgar/data/924383/000095016802003916/0000950168-02-003916-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000101968703002557/0001019687-03-002557-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000101968704002933/0001019687-04-002933-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000101968705003508/0001019687-05-003508-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312507002417/0001193125-07-002417-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312508002436/0001193125-08-002436-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312508247995/0001193125-08-247995-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312509245063/0001193125-09-245063-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312510272302/0001193125-10-272302-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312511330669/0001193125-11-330669-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312512490634/0001193125-12-490634-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774913015128/0001437749-13-015128-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774914021173/0001437749-14-021173-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774915021734/0001437749-15-021734-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774916043040/0001437749-16-043040-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774917020614/0001437749-17-020614-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774918022542/0001437749-18-022542-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774919024099/0001437749-19-024099-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774920025049/0001437749-20-025049-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774921027262/0001437749-21-027262-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
