,https://roic.ai/company/LYV,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-255269000,32430000,68367000,14725000,-69131000,5768000,31656000,-336125000,-114678000,-188654000,-96627000,-132161000,-5137000,-99820000,6353000,48326000,-9380000,131105000,185104000,-1856665000,-611267000
21,Income Before Tax Ratio,-0.1004,0.0131,0.0252,0.0052,-0.0235,0.0016,0.0076,-0.0807,-0.0274,-0.0373,-0.0179,-0.0227,-0.0008,-0.0145,0.0009,0.0058,-0.0009,0.0122,0.0160,-0.9976,-0.0975
22,Income Tax expense (Gain),-531000,-28999000,11335000,-1535000,61488000,37210000,43592000,-15925000,11333000,15154000,-26224000,29736000,30878000,4630000,22122000,28029000,-17154000,40765000,66892000,-28875000,-2481000
23,Net Income,-254738000,-3928576000,57032000,16260000,-130619000,-31442000,-11936000,-231765000,-60179000,-228390000,-83016000,-163227000,-43378000,-90807000,-32508000,2942000,-6015000,60249000,69889000,-1724535000,-670675000
24,Net Income ratio,-0.1001,-1.5884,0.0211,0.0058,-0.0445,-0.0085,-0.0029,-0.0556,-0.0144,-0.0451,-0.0154,-0.0281,-0.0067,-0.0132,-0.0045,0.0004,-0.0006,0.0056,0.0061,-0.9266,-0.1070
25,EPS,-3.77,-58.15,0.84,0.24,-1.96,-0.48,-0.17,-3.04,-0.73,-1.39,-0.46,-0.87,-0.22,-0.49,-0.33,-0.23,-0.48,-0.09,-0.02,-8.12,-2.81
26,EPS Diluted,-3.77,-58.15,0.84,0.24,-1.96,-0.48,-0.17,-3.04,-0.73,-1.39,-0.46,-0.87,-0.22,-0.49,-0.33,-0.23,-0.48,-0.09,-0.02,-8.12,-2.72
27,Weighted Average Shares Outstanding,67565000,67565000,67565000,67565000,66809000,64853243,68440582,76228275,82652366,164410167,182388070,186955748,193885066,198874019,200973485,202076243,204923740,207441468,210082696,212270944,216888355
28,Weighted Average Shares Outstanding Diluted,67565000,67565000,67565000,67565000,66809000,64853243,68440582,76228275,82652366,164410167,182388070,186955748,193885066,198874019,200973485,202076243,204923740,207441468,210082696,212270944,223800400
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1335258/000095012907001097/0000950129-07-001097-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000119312508043193/0001193125-08-043193-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000119312509045320/0001193125-09-045320-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000119312510040804/0001193125-10-040804-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000119312511050243/0001193125-11-050243-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000119312512075895/0001193125-12-075895-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000119312513077102/0001193125-13-077102-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525814000027/0001335258-14-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000026/lyv-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1335258/000133525816000167/0001335258-16-000167-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525817000031/0001335258-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525818000023/0001335258-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525819000024/0001335258-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525820000028/0001335258-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525821000009/0001335258-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000133525822000019/0001335258-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,116360000,179137000,403716000,313880000,338991000,199660000,236955000,892758000,844253000,1001055000,1299184000,1382029000,1303125000,1526591000,1825322000,2371540000,2470362000,2537787000,4884729000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,116360000,179137000,403716000,313880000,338991000,199660000,236955000,892758000,844253000,1001055000,1299184000,1382029000,1303125000,1526591000,1825322000,2371540000,2470362000,2537787000,4884729000
34,Net Receivables,- -,- -,180387000,167868000,190207000,248772000,264316000,217286000,176179000,329947000,389346000,415790000,439151000,419301000,452600000,568936000,725304000,844520000,1029448000,501290000,1085779000
35,Inventory,- -,- -,- -,- -,- -,12369000,20188000,- -,- -,- -,12947000,12034000,12270000,12824000,14388000,15114000,17467000,12575000,16106000,22000000,33826000
36,Other Current Assets,- -,- -,126870000,125552000,161769000,163088000,210913000,222872000,304732000,380792000,330244000,383933000,409499000,453537000,518202000,562910000,584649000,619439000,676983000,588691000,679759000
37,Total Current Assets,- -,- -,423617000,472557000,755692000,738109000,834408000,639818000,717866000,1603497000,1576790000,1812812000,2160104000,2267691000,2288315000,2673551000,3152742000,3848074000,4192899000,3649768000,6684093000
38,PP&E,- -,- -,782154000,793316000,808919000,876172000,915045000,887735000,749984000,737064000,720136000,721786000,706800000,695337000,731282000,751536000,885936000,946593000,2519951000,2525637000,2630840000
39,Goodwill,- -,- -,127076000,44813000,- -,423169000,471542000,205296000,204672000,1226416000,1257644000,1357827000,1466983000,1479037000,1604315000,1747088000,1754589000,1822943000,1998498000,2129203000,2590869000
40,Intangible Assets,- -,- -,15633000,14838000,149461000,73398000,382999000,514469000,470889000,1372482000,1250872000,1101926000,1053300000,1052193000,1147080000,1180797000,1098288000,1030305000,1239095000,1224658000,1395366000
41,Intangible Assets,- -,- -,142709000,59651000,149461000,496567000,854541000,719765000,675561000,2598898000,2508516000,2459753000,2520283000,2531230000,2751395000,2927885000,2852877000,2853248000,3237593000,3353861000,3986235000
42,Investments,- -,- -,19717000,27002000,- -,- -,- -,- -,2077000,30077000,55796000,46160000,39778000,127222000,81811000,82032000,105271000,137211000,167603000,170494000,293645000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,127518000,126180000,62512000,114154000,148109000,231339000,196271000,226024000,226533000,250295000,256556000,366881000,303438000,329262000,507437000,711760000,857569000,889543000,807505000
45,Total Non-Current Assets,- -,- -,1072098000,1006149000,1020892000,1486893000,1917695000,1838839000,1623893000,3592063000,3510981000,3477994000,3523417000,3720670000,3867926000,4090715000,4351521000,4648812000,6782716000,6939535000,7718225000
46,Other Assets,- -,1518644000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1518644000,1495715000,1478706000,1776584000,2225002000,2752103000,2478657000,2341759000,5195560000,5087771000,5290806000,5683521000,5988361000,6156241000,6764266000,7504263000,8496886000,10975615000,10589303000,14402318000
48,Accounts Payable,- -,- -,41298000,31440000,37654000,40646000,79273000,53563000,50844000,539177000,561583000,660671000,767573000,732259000,721548000,781505000,1034303000,1127415000,1106125000,830452000,1642968000
49,Short-Term Debt,- -,- -,1283000,1214000,25705000,31721000,36345000,48637000,41032000,54150000,52632000,62050000,278403000,47485000,42352000,53317000,347593000,82142000,159745000,160562000,708969000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,232754000,230179000,259868000,225664000,284536000,335539000,273536000,402002000,486433000,543122000,618640000,804973000,925220000,1227797000,1391032000,1839323000,2774792000
52,Other Current Liabilities,- -,- -,505170000,546691000,405507000,471414000,529984000,443373000,375822000,545355000,604802000,643449000,723109000,687915000,718666000,820549000,1269884000,1312512000,1450697000,966232000,1728993000
53,Total Current Liabilities,- -,- -,547751000,579345000,701620000,773960000,905470000,771237000,752234000,1474221000,1492553000,1768172000,2255518000,2010781000,2101206000,2460344000,3577000000,3749866000,4107599000,3796569000,6855722000
54,Long-Term Debt,- -,- -,616555000,649461000,341136000,607425000,786261000,837076000,699037000,1677714000,1663056000,1677955000,1530484000,2015915000,2002662000,2259736000,1952366000,2732878000,3271262000,4855096000,6751548000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5119000,3601000,5102000,4768000,6128000,5506000,9569000,27504000,34390000,88641000,116682000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,219143000,186298000,199596000,161637000,196759000,199472000,197811000,137635000,137067000,178173000,170759000,236549000
57,Other Non-Current Liabilities,- -,- -,139403000,88997000,70766000,128790000,131465000,186360000,165047000,215273000,115574000,132908000,140974000,276291000,399854000,491353000,409549000,506828000,1920237000,1811990000,630271000
58,Total Non-Current Liabilities,- -,- -,755958000,738458000,411902000,736215000,917726000,1023436000,864084000,2112130000,1970047000,2014060000,1838197000,2493733000,2608116000,2954406000,2509119000,3404277000,5404062000,6926486000,7735050000
59,Other Liabilities,- -,1287730000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52632000,- -,- -,- -,- -,- -,- -,- -,1496431000,1552821000,1729779000
61,Total Liabilities,- -,1287730000,1303709000,1317803000,1113522000,1510175000,1823196000,1794673000,1616318000,3586351000,3462600000,3782232000,4093715000,4504514000,4709322000,5414750000,6086119000,7154143000,9511661000,10723055000,14590772000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,672000,672000,749000,785000,860000,1724000,1868000,1877000,1978000,2004000,2020000,2034000,2069000,2091000,2113000,2145000,2220000
64,Retained Earnings,- -,- -,-4204115000,-4187855000,-87563000,-119005000,-130941000,-362706000,-433785000,-662175000,-745191000,-908418000,-951796000,-1042603000,-1075111000,-1073457000,-1079472000,-1019223000,-949334000,-2676833000,-3327737000
65,Other Comprehensive Income/Loss,- -,- -,4951000,-13521000,-6417000,20719000,56410000,-961000,4199000,-22244000,-36374000,-10923000,-2370000,-70010000,-111657000,-176707000,-108542000,-145231000,-145713000,-177009000,-147964000
66,Other Total Stockholders Equity,- -,230914000,4594864000,4602876000,730008000,736276000,940848000,985144000,1081043000,2047111000,2240800000,2272882000,2361416000,2407563000,2421701000,2374146000,2367141000,2261344000,2238754000,2379925000,2890830000
67,Total Stockholders Equity,- -,230914000,188283000,156976000,636700000,638662000,867066000,622262000,652317000,1364416000,1461103000,1355418000,1409228000,1296954000,1236953000,1126016000,1181196000,1098981000,1145820000,-471772000,-582651000
68,Total Liabilities And Stockholders Equity,- -,1518644000,1491992000,1474779000,1750222000,2148837000,2690262000,2416935000,2268635000,4950767000,4923703000,5137650000,5502943000,5801468000,5946275000,6540766000,7267315000,8253124000,10657481000,10251283000,14008121000
69,Minority Interest,- -,- -,3723000,3927000,26362000,76165000,61841000,61722000,73124000,244793000,164068000,153156000,180578000,186893000,209966000,223500000,236948000,243762000,318134000,338020000,394197000
70,Total Liabilities & Equity,- -,1518644000,1495715000,1478706000,1776584000,2225002000,2752103000,2478657000,2341759000,5195560000,5087771000,5290806000,5683521000,5988361000,6156241000,6764266000,7504263000,8496886000,10975615000,10589303000,14402318000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1335258/000095012907001097/0000950129-07-001097-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000119312508043193/0001193125-08-043193-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000119312509045320/0001193125-09-045320-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000119312510040804/0001193125-10-040804-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000119312511050243/0001193125-11-050243-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000119312512075895/0001193125-12-075895-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000119312513077102/0001193125-13-077102-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525814000027/0001335258-14-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000026/lyv-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1335258/000133525816000167/0001335258-16-000167-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525817000031/0001335258-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525818000023/0001335258-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525819000024/0001335258-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525820000028/0001335258-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525821000009/0001335258-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000133525822000019/0001335258-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,57032000,16260000,-130619000,-31442000,-11936000,-231765000,-60179000,-228390000,-83016000,-163227000,-43378000,-90807000,-32508000,2942000,-6015000,60249000,69889000,-1724535000,-670675000
74,Depreciation and Amortization,- -,- -,63436000,64095000,64631000,128903000,122923000,152186000,162694000,321666000,343018000,429557000,368923000,368143000,397241000,403651000,455534000,386529000,443991000,485025000,416277000
75,Deferred Income Tax,- -,- -,79607000,54411000,114513000,10334000,7649000,8132000,-8698000,-25021000,-45603000,-10957000,-15888000,-17664000,-9611000,-7891000,-71539000,-6247000,-465000,-37877000,-9639000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,16675000,- -,50045000,37063000,28415000,39029000,33361000,32723000,42755000,45582000,48785000,116889000,209337000
77,Change in Working Capital,- -,- -,29207000,17346000,160860000,-89923000,-35211000,-60357000,97051000,163644000,-45039000,-39597000,-140054000,352324000,-69801000,26098000,-637465000,522466000,-12908000,-232101000,1773993000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,34485000,-4581000,-79807000,-20319000,11544000,-14356000,-67235000,-146128000,-133020000,-135429000,-159792000,490588000,-485211000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64437000,114253000,31878000,-4172000,193775000,474301000,323459000,-45920000,-1379461000,1315722000
81,Other Working Capital,- -,- -,-124134000,-106788000,54072000,-35851000,-71062000,-131419000,-34368000,129276000,84237000,44640000,-95414000,256910000,187109000,213207000,-424258000,98208000,85300000,-146801000,847949000
82,Other Non-Cash Items,- -,- -,-90569000,-32214000,-195472000,-1152000,-33615000,78968000,-150268000,-73381000,-83700000,114259000,219454000,-381616000,-18480000,139967000,839736000,-66993000,-79509000,309211000,61275000
83,Cash Provided by Operating Activities,- -,- -,138713000,119898000,13913000,16720000,49810000,-52836000,57275000,158518000,135705000,367098000,417472000,269409000,300202000,597490000,623006000,941586000,469783000,-1083388000,1780568000
84,CAPEX,- -,- -,-69936000,-73435000,-92520000,-417563000,-164417000,-252380000,-92130000,-77368000,-110091000,-138373000,-135390000,-142937000,-142491000,-180061000,-249412000,-275463000,-365827000,-222609000,-159834000
85,Acquisitions Net,- -,- -,- -,- -,-8467000,- -,-124285000,-19657000,-12786000,488957000,-39465000,-79429000,-103165000,-229843000,-121778000,-240546000,-73116000,-166725000,-292351000,-33322000,-404408000
86,Purchases of Investments,- -,- -,- -,- -,- -,-18395000,-5261000,-250000,-555000,- -,-15770000,- -,-9628000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,6170000,3616000,- -,695000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,17976000,-10641000,-5062000,54625000,149288000,204691000,147002000,39608000,10718000,-551000,103998000,-14864000,-26716000,-12104000,-16035000,-90351000,-75083000,23006000,-9820000
89,Cash Used for Investing Activites,- -,- -,-51960000,-84076000,-106049000,-375163000,-141059000,-67596000,70089000,452987000,-152017000,-203791000,-143663000,-384294000,-290985000,-426477000,-327586000,-496909000,-691000000,-224062000,-566962000
90,Debt Repayment,- -,- -,-56894000,-7550000,- -,- -,- -,- -,-705795000,-1233020000,-31338000,-525060000,-886597000,-253773000,-63569000,-606831000,-110855000,-400396000,-437267000,-30987000,-109705000
91,Common Stock Issued,- -,- -,- -,- -,19500000,- -,466000,6090000,1553000,- -,76492000,- -,- -,- -,- -,- -,- -,- -,- -,- -,449630000
92,Common Stock Repurchased,- -,- -,- -,- -,-18003000,-24717000,- -,-28628000,-8470000,-40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,30804000,343941000,293011000,109722000,56522000,595748000,1322106000,-89533000,505169000,919581000,494637000,27100000,706043000,-16228000,589180000,766156000,1381069000,831407000
95,Cash Used/Provided by Financing Activities,- -,- -,-56894000,23254000,345438000,268294000,110188000,33984000,-116964000,49086000,-44379000,-19891000,32984000,240864000,-36469000,99212000,-127083000,188784000,328889000,1350082000,1171332000
96,Effect of Forex Changes on Cash,- -,- -,-18396000,3701000,-28723000,313000,6172000,-52883000,26895000,-4788000,12186000,13386000,-8664000,-43134000,-51652000,-46759000,130394000,-84080000,-11633000,29565000,-43585000
97,Net Change In Cash,- -,- -,11463000,62777000,224579000,-89836000,25111000,-139331000,37295000,655803000,-48505000,156802000,298129000,82845000,-78904000,223466000,298731000,549381000,96039000,72197000,2341353000
98,Cash at the End of Period,- -,- -,116360000,179137000,403716000,313880000,338991000,199660000,236955000,892758000,844253000,1001055000,1299184000,1382029000,1303125000,1526591000,1825322000,2378203000,2474242000,2546439000,4887792000
99,Cash at the Beginning of Period,- -,- -,104897000,116360000,179137000,403716000,313880000,338991000,199660000,236955000,892758000,844253000,1001055000,1299184000,1382029000,1303125000,1526591000,1828822000,2378203000,2474242000,2546439000
100,Free Cash Flow,- -,- -,68777000,46463000,-78607000,-400843000,-114607000,-305216000,-34855000,81150000,25614000,228725000,282082000,126472000,157711000,417429000,373594000,666123000,103956000,-1305997000,1620734000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1335258/000095012907001097/0000950129-07-001097-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000119312508043193/0001193125-08-043193-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000119312509045320/0001193125-09-045320-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000119312510040804/0001193125-10-040804-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000119312511050243/0001193125-11-050243-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000119312512075895/0001193125-12-075895-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000119312513077102/0001193125-13-077102-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525814000027/0001335258-14-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000026/lyv-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1335258/000133525816000167/0001335258-16-000167-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525817000031/0001335258-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525818000023/0001335258-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525819000024/0001335258-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525820000028/0001335258-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1335258/000133525821000009/0001335258-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1335258/000133525822000019/0001335258-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
