,https://roic.ai/company/WNC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879526/000095013799000751/0000950137-99-000751-index.html,https://www.sec.gov/Archives/edgar/data/879526/000095013700001377/0000950137-00-001377-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879526/000095013707003674/c13018e10vk.htm,https://www.sec.gov/Archives/edgar/data/879526/000095013708002435/c23939e10vk.htm,https://www.sec.gov/Archives/edgar/data/879526/000095013709002918/c49450e10vk.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420410016033/0001144204-10-016033-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420411010985/v212088_10k.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420412012010/0001144204-12-012010-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420413011760/0001144204-13-011760-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420414012076/v368994_10k.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420415012408/v400124_10k.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420416084690/0001144204-16-084690-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420417011303/0001144204-17-011303-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420418011800/0001144204-18-011800-index.html,https://www.sec.gov/Archives/edgar/data/879526/000087952619000024/0000879526-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/879526/000087952620000021/0000879526-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/879526/000087952621000018/0000879526-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/879526/000087952622000014/0000879526-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1900000,14500000,3000000,27600000,39700000,2100000,5500000,14600000,67100000,22500000,4194000,11135000,35659000,12552000,41928000,67437000,29885000,41224000,29766000,1108000,21200000,19976000,81449000,113262000,146113000,178853000,163467000,191521000,132690000,140516000,217677000,71778000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1900000,14500000,3000000,27600000,39700000,2100000,5500000,14600000,67100000,22500000,4194000,11135000,35659000,12552000,41928000,67437000,29885000,41224000,29766000,1108000,21200000,19976000,81449000,113262000,146113000,178853000,163467000,191521000,132690000,140516000,217677000,71778000
34,Net Receivables,16000000,26900000,49200000,37800000,74800000,77500000,71200000,161200000,92900000,111600000,49320000,58358000,34396000,71368000,89697000,132713000,110462000,68752000,37925000,17081000,37853000,52219000,96590000,120358000,135206000,152824000,153634000,157657000,190936000,181438000,101301000,176511000
35,Inventory,19600000,28100000,38600000,46000000,76600000,134300000,140000000,211400000,225400000,269600000,330326000,191094000,134872000,84996000,94600000,108044000,133133000,113125000,92896000,51801000,110850000,189533000,189487000,184173000,177144000,166982000,139953000,180735000,184404000,186914000,163750000,237621000
36,Other Current Assets,400000,1900000,3200000,4300000,7300000,13700000,19200000,20700000,27400000,25300000,35574000,53550000,27827000,10249000,16313000,48405000,30738000,18560000,5307000,6877000,2155000,2317000,50569000,40345000,27196000,30848000,24351000,46478000,41389000,32521000,63036000,43795000
37,Total Current Assets,37900000,71400000,94000000,115700000,198400000,227600000,235900000,407900000,412800000,429000000,419414000,314137000,232754000,179165000,242538000,356599000,304218000,241661000,165894000,76867000,172058000,264045000,418095000,458138000,485659000,529507000,481405000,576391000,549419000,541389000,545764000,529705000
38,PP&E,11400000,13400000,17900000,21000000,44100000,76200000,81800000,108800000,136000000,186400000,216901000,170330000,145703000,151781000,137656000,131561000,130627000,122063000,122035000,108802000,98834000,96591000,132146000,142082000,142892000,140438000,134138000,195363000,206991000,221346000,209676000,232425000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66692000,66317000,- -,- -,- -,- -,146444000,149967000,149603000,149718000,148367000,317464000,311084000,311026000,199560000,188443000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,32600000,32700000,31123000,43777000,34652000,36045000,33698000,33018000,35998000,32498000,29089000,25952000,22863000,19821000,171990000,159181000,137100000,114616000,94405000,237030000,210328000,189898000,166887000,114441000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,32600000,32700000,31123000,43777000,34652000,36045000,33698000,33018000,102690000,98815000,29089000,25952000,22863000,19821000,318434000,309148000,286703000,264334000,242772000,554494000,521412000,500924000,366447000,302884000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3050000,- -,2772000,- -,- -,- -,- -,21894000,3591000,- -,1358000,20343000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,600000,8600000,22700000,43100000,58200000,80300000,122400000,113200000,123100000,143200000,114176000,164260000,152460000,30045000,18154000,24425000,18948000,18271000,14956000,12156000,9079000,7593000,12057000,10612000,13397000,14489000,20075000,25265000,26571000,40932000,- -,42057000
45,Total Non-Current Assets,12000000,22000000,40600000,64100000,102300000,156500000,204200000,222000000,291700000,362300000,362200000,378367000,332815000,217871000,189508000,192054000,252265000,241921000,166080000,146910000,130776000,124005000,484531000,465433000,442992000,420619000,417328000,775122000,754974000,763202000,576123000,577366000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,49900000,93400000,134600000,179800000,300700000,384100000,440100000,629900000,704500000,791300000,781614000,692504000,565569000,397036000,432046000,548653000,556483000,483582000,331974000,223777000,302834000,388050000,902626000,923571000,928651000,950126000,898733000,1351513000,1304393000,1304591000,1121887000,1107071000
48,Accounts Payable,13900000,24900000,39100000,43400000,84600000,88500000,69200000,94100000,109000000,145600000,94118000,51351000,60457000,68437000,78107000,84147000,90632000,40787000,42798000,30201000,71145000,107985000,87299000,112151000,96213000,79618000,71338000,108448000,153113000,134821000,104425000,173950000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3900000,4100000,3100000,3500000,12134000,82241000,55821000,7337000,2000000,500000,- -,- -,80345000,337000,590000,1507000,4521000,4854000,1954000,38417000,2962000,46310000,2179000,4696000,4465000,59000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28920000,37919000,38733000,42502000,33193000,37064000,23749000,35607000,20953000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43158000,30730000,21680000,14877000,19302000,26059000,23483000,19324000,46777000,- -
52,Other Current Liabilities,6800000,10200000,10800000,15900000,23000000,25900000,14100000,29500000,29500000,51200000,42440000,69246000,61424000,61421000,52442000,58751000,58706000,54258000,45449000,81256000,38896000,59024000,61715000,68628000,67010000,78165000,73012000,102851000,92901000,100537000,80086000,115316000
53,Total Current Liabilities,20700000,35100000,49900000,59300000,107600000,114400000,87200000,127700000,141600000,200300000,148692000,202838000,177702000,137195000,132549000,143398000,149338000,95045000,168592000,111794000,110631000,168516000,196693000,216363000,186857000,211077000,166614000,283668000,271676000,259378000,235753000,289325000
54,Long-Term Debt,13300000,1900000,18100000,24400000,24900000,73700000,151300000,231900000,165200000,164400000,226126000,274021000,239043000,219979000,125500000,125000000,125000000,104500000,5142000,31695000,59214000,65000000,416849000,358890000,324777000,275341000,233465000,504091000,503018000,455386000,447979000,428315000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2500000,4300000,8300000,13600000,18000000,22900000,26400000,31800000,30600000,23644000,- -,- -,- -,- -,- -,1556000,- -,- -,- -,- -,- -,1065000,1234000,2349000,1497000,499000,36955000,34905000,37576000,- -,36019000
57,Other Non-Current Liabilities,600000,500000,200000,300000,400000,400000,300000,17400000,20100000,16600000,15919000,84660000,74840000,17700000,9423000,1553000,2634000,4108000,4803000,26803000,3964000,8188000,19292000,24705000,23836000,22400000,25764000,20736000,20945000,31263000,26052000,27873000
58,Total Non-Current Liabilities,13900000,4900000,22600000,33000000,38900000,92100000,174500000,275700000,217100000,211600000,265689000,358681000,313883000,237679000,134923000,126553000,129190000,108608000,9945000,58498000,63178000,73188000,437206000,384829000,350962000,299238000,259728000,561782000,558868000,524225000,474031000,492207000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,994869000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51993000,- -,- -,- -,- -,- -,5140000,4806000,4554000,4821000,4921000,8460000,7254000,2681000,1903000,1302000,1013000,5074000,4495000,59000
61,Total Liabilities,34600000,40000000,72500000,92300000,146500000,206500000,261700000,403400000,358700000,411900000,414381000,561519000,491585000,374874000,267472000,269951000,278528000,203653000,178537000,170292000,173809000,241704000,633899000,601192000,537819000,510315000,426342000,845450000,830544000,783603000,756591000,781532000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,230000,230000,257000,269000,309000,315000,319000,321000,324000,331000,703000,704000,702000,705000,709000,715000,725000,737000,744000,750000,755000,759000
64,Retained Earnings,14800000,9900000,18600000,32900000,55300000,78700000,80100000,92000000,110700000,143900000,131617000,-104469000,-162222000,-220502000,-162097000,-56653000,-52887000,-42058000,-172031000,-277116000,-444330000,-429288000,-323657000,-277128000,-216198000,-111907000,3591000,98728000,150244000,221841000,107233000,92111000
65,Other Comprehensive Income/Loss,-3200000,-4200000,-5800000,-7700000,-10700000,-16200000,-23300000,-31600000,-39200000,-48700000,-64585000,-74362000,-264000,992000,2129000,2358000,2975000,-139986000,-1516000,- -,-172960000,-181992000,248000,-18000,-637000,-1500000,-2847000,-2385000,-3343000,-3978000,7633000,859000
66,Other Total Stockholders Equity,3700000,47700000,49300000,62300000,109600000,115100000,121600000,166100000,274300000,284000000,299971000,309586000,236210000,241403000,324233000,332682000,327548000,461652000,326660000,330270000,745612000,756922000,591434000,598820000,606958000,552503000,470922000,408983000,326204000,302375000,289258000,- -
67,Total Stockholders Equity,15300000,53400000,62100000,87500000,154200000,177600000,178400000,226500000,345800000,379400000,367233000,130985000,73984000,22162000,164574000,278702000,277955000,279929000,153437000,53485000,129025000,146346000,268727000,322379000,390832000,439811000,472391000,506063000,473849000,520988000,404879000,325539000
68,Total Liabilities And Stockholders Equity,49900000,93400000,134600000,179800000,300700000,384100000,440100000,629900000,704500000,791300000,781614000,692504000,565569000,397036000,432046000,548653000,556483000,483582000,331974000,223777000,302834000,388050000,902626000,923571000,928651000,950126000,898733000,1351513000,1304393000,1304591000,1161470000,1107071000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39583000,- -
70,Total Liabilities & Equity,49900000,93400000,134600000,179800000,300700000,384100000,440100000,629900000,704500000,791300000,781614000,692504000,565569000,397036000,432046000,548653000,556483000,483582000,331974000,223777000,302834000,388050000,902626000,923571000,928651000,950126000,898733000,1351513000,1304393000,1304591000,1121887000,1107071000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879526/000095013799000751/0000950137-99-000751-index.html,https://www.sec.gov/Archives/edgar/data/879526/000095013700001377/0000950137-00-001377-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879526/000095013707003674/c13018e10vk.htm,https://www.sec.gov/Archives/edgar/data/879526/000095013708002435/c23939e10vk.htm,https://www.sec.gov/Archives/edgar/data/879526/000095013709002918/c49450e10vk.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420410016033/0001144204-10-016033-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420411010985/v212088_10k.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420412012010/0001144204-12-012010-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420413011760/0001144204-13-011760-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420414012076/v368994_10k.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420415012408/v400124_10k.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420416084690/0001144204-16-084690-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420417011303/0001144204-17-011303-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420418011800/0001144204-18-011800-index.html,https://www.sec.gov/Archives/edgar/data/879526/000087952619000024/0000879526-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/879526/000087952620000021/0000879526-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/879526/000087952621000018/0000879526-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/879526/000087952622000014/0000879526-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2800000,6800000,8900000,15600000,23900000,25400000,3600000,15200000,23300000,38800000,-6736000,-232168000,-56190000,-57227000,58405000,111087000,9420000,16285000,-125826000,-101765000,-141760000,15042000,105631000,46529000,60930000,104289000,119433000,111422000,69421000,89575000,-97412000,1164000
74,Depreciation and Amortization,1100000,1500000,2900000,4900000,7400000,11500000,15300000,16600000,18400000,21800000,30051000,32143000,28626000,23788000,19441000,15547000,20598000,19467000,21467000,19585000,16855000,15591000,25565000,38336000,38829000,37998000,36770000,35053000,40683000,42357000,25989000,48842000
75,Deferred Income Tax,- -,100000,1700000,3900000,4900000,4500000,2300000,5500000,6400000,-6900000,-8906000,-14441000,- -,- -,- -,-37347000,7744000,8182000,17286000,- -,- -,- -,-57283000,30089000,16573000,-7749000,4044000,-14682000,-2976000,3420000,5016000,-8147000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4990000,3382000,3489000,3398000,5149000,7480000,7833000,10010000,12038000,10429000,10169000,9036000,4509000,7059000
77,Change in Working Capital,1300000,19100000,7800000,12300000,34400000,22400000,35500000,131500000,-9000000,-42500000,42022000,-159423000,-56247000,-13082000,68019000,103212000,-58321000,-8264000,-149314000,-32229000,96354000,34102000,125873000,20373000,57027000,19628000,-3639000,-22068000,-14980000,4268000,28000000,-94543000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30827000,20845000,-20772000,-14366000,1180000,-23691000,-14848000,-17618000,-809000,31943000,-39539000,8327000,71436000,-80879000
79,Inventory,500000,-7500000,-10400000,-7400000,-30600000,-57700000,-7900000,-51200000,2400000,-37600000,-64879000,107755000,58335000,51416000,-8485000,-13899000,-20332000,19958000,20229000,41095000,-59062000,-78683000,41696000,6260000,3116000,10162000,24969000,-13158000,-18713000,-2510000,21099000,-74804000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,17200000,36300000,44100000,56400000,90800000,113200000,148700000,280200000,271200000,228700000,270722000,111299000,55052000,41970000,109989000,213201000,154880000,146616000,-2698000,-34927000,61427000,95529000,221402000,241775000,298802000,318430000,314791000,292723000,277743000,282011000,310011000,-2292000
82,Other Non-Cash Items,2900000,-20500000,-28600000,-3900000,-55500000,-87500000,-62700000,-220600000,84000000,52300000,-70100000,380279000,188093000,88315000,-88941000,-141999000,72328000,23656000,262064000,104013000,-5629000,-69300000,-128918000,-14138000,-88557000,-32381000,10104000,24225000,10154000,-2372000,158032000,38155000
83,Cash Provided by Operating Activities,8100000,7000000,-7300000,32800000,15100000,-23700000,-6000000,-51800000,123100000,63500000,-13669000,6390000,104282000,41794000,56924000,50500000,51769000,59326000,30667000,-7014000,-30691000,-1167000,76017000,128669000,92635000,131795000,178750000,144379000,112471000,146284000,124134000,-7470000
84,CAPEX,-1700000,-6000000,-5900000,-5000000,-26300000,-37900000,-11200000,-20200000,-40600000,-80500000,-60342000,-76343000,-15495000,-6518000,-15495000,-30880000,-12931000,-6714000,-12613000,-981000,-1782000,-7264000,-14916000,-18352000,-19957000,-20847000,-20342000,-26056000,-34009000,-37645000,- -,-49105000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6336000,- -,- -,- -,- -,-69307000,-4500000,- -,- -,- -,- -,-364012000,-15985000,- -,- -,- -,-323487000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-5700000,-22900000,-21300000,-33700000,-24900000,-25600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-5000000,-11000000,-200000,-700000,6200000,-20600000,28200000,-23700000,-13800000,-9262000,41924000,27514000,83307000,6800000,11736000,7121000,147000,-12400000,-681000,31000,-7247000,-16809000,-15547000,-15757000,-7644000,-17309000,-8753000,-13173000,-36860000,-3016000,-27076000
89,Cash Used for Investing Activites,-1700000,-11000000,-22600000,-28100000,-48300000,-65400000,-56700000,-17600000,-64300000,-94300000,-69604000,-40755000,12019000,76789000,-8695000,-19144000,-75117000,-11067000,-12400000,-681000,31000,-7247000,-380821000,-31532000,-15757000,-7644000,-17309000,-332240000,-13173000,-36860000,-3016000,-27076000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227226000,-328758000,-686280000,-839376000,-274894000,-66074000,-45257000,-223058000,-102720000,-396518000,-83400000,-51397000,-327000,-471942000
91,Common Stock Issued,- -,39300000,- -,11000000,44400000,500000,100000,900000,87500000,300000,186000,144000,351000,4804000,80963000,3755000,762000,74000,- -,- -,71948000,-155000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
